DATE,AR_CAPACITY_UTILIZATION_FB
2002-01-31,64.1
2002-02-28,65.05
2002-03-31,62.17
2002-04-30,65.08
2002-05-31,65.74
2002-06-30,66.55
2002-07-31,68.17
2002-08-31,68.81
2002-09-30,68.66
2002-10-31,70.61
2002-11-30,70.48
2002-12-31,70.89
2003-01-31,67.52
2003-02-28,67.27
2003-03-31,62.53
2003-04-30,64.93
2003-05-31,65.26
2003-06-30,66.11
2003-07-31,68.88
2003-08-31,68.5
2003-09-30,73.13
2003-10-31,74.17
2003-11-30,71.23
2003-12-31,74.69
2004-01-31,72.76
2004-02-29,71.1
2004-03-31,74.57
2004-04-30,72.81
2004-05-31,71.23
2004-06-30,73.48
2004-07-31,74.82
2004-08-31,73.58
2004-09-30,75.39
2004-10-31,72.78
2004-11-30,70.72
2004-12-31,74.14
2005-01-31,70.24
2005-02-28,72.33
2005-03-31,69.29
2005-04-30,67.82
2005-05-31,67.34
2005-06-30,69.69
2005-07-31,68.73
2005-08-31,71.52
2005-09-30,75.83
2005-10-31,74.01
2005-11-30,73.25
2005-12-31,73.48
2006-01-31,69.87
2006-02-28,71.58
2006-03-31,70.11
2006-04-30,65.3
2006-05-31,67.32
2006-06-30,69.39
2006-07-31,69.06
2006-08-31,72.56
2006-09-30,74.7
2006-10-31,74.42
2006-11-30,76.97
2006-12-31,73.1
2007-01-31,72.63
2007-02-28,71.96
2007-03-31,71.19
2007-04-30,66.81
2007-05-31,68.25
2007-06-30,67.65
2007-07-31,66.59
2007-08-31,72.21
2007-09-30,74.75
2007-10-31,77.77
2007-11-30,80.85
2007-12-31,76.07
2008-01-31,74.57
2008-02-29,73.4
2008-03-31,59.59
2008-04-30,72.91
2008-05-31,69.23
2008-06-30,58.77
2008-07-31,71.31
2008-08-31,74.17
2008-09-30,79.01
2008-10-31,82.06
2008-11-30,87.04
2008-12-31,87.37
2009-01-31,77.89
2009-02-28,84.72
2009-03-31,72.23
2009-04-30,79.99
2009-05-31,72.47
2009-06-30,68.8
2009-07-31,71.92
2009-08-31,75.52
2009-09-30,81.09
2009-10-31,82.42
2009-11-30,82.86
2009-12-31,78.35
2010-01-31,71.42
2010-02-28,75.88
2010-03-31,70.78
2010-04-30,77.67
2010-05-31,71.52
2010-06-30,67.97
2010-07-31,71.66
2010-08-31,77.08
2010-09-30,82.15
2010-10-31,84.03
2010-11-30,80.34
2010-12-31,80.4
2011-01-31,69.4
2011-02-28,78.44
2011-03-31,70.96
2011-04-30,76.88
2011-05-31,70.0
2011-06-30,65.97
2011-07-31,67.6
2011-08-31,72.19
2011-09-30,79.34
2011-10-31,83.01
2011-11-30,85.14
2011-12-31,84.04
2012-01-31,70.35
2012-02-29,71.35
2012-03-31,75.42
2012-04-30,75.96
2012-05-31,70.03
2012-06-30,65.24
2012-07-31,66.88
2012-08-31,70.35
2012-09-30,73.1
2012-10-31,73.61
2012-11-30,73.03
2012-12-31,68.64
2013-01-31,64.96
2013-02-28,64.37
2013-03-31,66.62
2013-04-30,71.84
2013-05-31,67.64
2013-06-30,62.25
2013-07-31,66.66
2013-08-31,68.15
2013-09-30,72.46
2013-10-31,73.02
2013-11-30,70.3
2013-12-31,68.72
2014-01-31,64.19
2014-02-28,70.06
2014-03-31,67.63
2014-04-30,71.07
2014-05-31,65.97
2014-06-30,64.44
2014-07-31,63.55
2014-08-31,66.82
2014-09-30,75.74
2014-10-31,74.2
2014-11-30,73.27
2014-12-31,70.04
2015-01-31,60.49
2015-02-28,67.15
2015-03-31,66.24
2015-04-30,75.77
2015-05-31,64.3
2015-06-30,68.53
2015-07-31,70.53
2015-08-31,70.02
2015-09-30,76.53
2015-10-31,72.11
2016-01-31,68.5
2016-02-29,66.8
2016-03-31,67.2
2016-04-30,63.5
2016-05-31,64.5
2016-06-30,62.7
2016-07-31,61.7
2016-08-31,68.4
2016-09-30,65.7
2016-10-31,65.7
2016-11-30,69.0
2016-12-31,66.9
2017-01-31,65.1
2017-02-28,62.4
2017-03-31,70.2
2017-04-30,64.3
2017-05-31,65.0
2017-06-30,64.3
2017-07-31,63.9
2017-08-31,65.9
2017-09-30,63.8
2017-10-31,66.3
2017-11-30,67.7
2017-12-31,61.2
2018-01-31,62.7
2018-02-28,61.4
2018-03-31,63.3
2018-04-30,65.0
2018-05-31,61.5
2018-06-30,59.1
2018-07-31,58.9
2018-08-31,61.7
2018-09-30,59.4
2018-10-31,66.6
2018-11-30,63.5
2018-12-31,58.9
2019-01-31,57.5
2019-02-28,57.6
2019-03-31,55.7
2019-04-30,60.7
2019-05-31,60.5
2019-06-30,59.8
2019-07-31,63.9
2019-08-31,63.3
2019-09-30,61.6
2019-10-31,64.4
2019-11-30,59.7
2019-12-31,63.3
2020-01-31,58.6
2020-02-29,60.2
2020-03-31,55.6
2020-04-30,59.7
2020-05-31,57.0
2020-06-30,60.1
2020-07-31,59.5
2020-08-31,60.6
2020-09-30,64.7
2020-10-31,63.7
2020-11-30,65.3
2020-12-31,56.9
2021-01-31,60.0
2021-02-28,62.8
2021-03-31,63.9
2021-04-30,64.8
2021-05-31,59.1
2021-06-30,63.2
2021-07-31,62.2
2021-08-31,65.7
2021-09-30,68.5
2021-10-31,63.7
2021-11-30,66.6
2021-12-31,65.3
2022-01-31,58.5
2022-02-28,65.4
2022-03-31,64.4
2022-04-30,66.0
2022-05-31,64.8
2022-06-30,65.4
2022-07-31,63.6
2022-08-31,67.4
2022-09-30,68.6
2022-10-31,62.5
2022-11-30,68.2
2022-12-31,63.9
2023-01-31,60.4
2023-02-28,59.3
2023-03-31,61.3
2023-04-30,62.7
2023-05-31,64.6
2023-06-30,64.2
2023-07-31,61.3
2023-08-31,64.5
2023-09-30,62.4
2023-10-31,59.6
2023-11-30,65.2
2023-12-31,57.4
2024-01-31,57.7
2024-02-29,58.1
2024-03-31,54.5
2024-04-30,57.9
2024-05-31,59.4
2024-06-30,59.4
2024-07-31,65.4
2024-08-31,64.5
2024-09-30,68.2
2024-10-31,69.5
2024-11-30,66.9
2024-12-31,65.9
2025-01-31,61.0
