DATE,AR_CONSUMER_CONFIDENCE
2002-01-31,34.19
2002-02-28,30.82
2002-03-31,32.76
2002-04-30,30.11
2002-05-31,29.34
2002-06-30,31.6
2002-07-31,31.75
2002-08-31,32.92
2002-09-30,28.44
2002-10-31,36.44
2002-11-30,39.17
2002-12-31,37.06
2003-01-31,41.51
2003-02-28,39.5
2003-03-31,38.36
2003-04-30,40.13
2003-05-31,44.52
2003-06-30,54.42
2003-07-31,53.87
2003-08-31,54.8
2003-09-30,50.33
2003-10-31,50.37
2003-11-30,49.32
2003-12-31,50.18
2004-01-31,57.73
2004-02-29,59.83
2004-03-31,56.72
2004-04-30,49.96
2004-05-31,51.02
2004-06-30,50.82
2004-07-31,49.09
2004-08-31,46.68
2004-09-30,47.34
2004-10-31,49.45
2004-11-30,54.13
2004-12-31,52.03
2005-01-31,56.81
2005-02-28,55.97
2005-03-31,58.41
2005-04-30,52.27
2005-05-31,51.41
2005-06-30,50.63
2005-07-31,50.51
2005-08-31,52.06
2005-09-30,49.93
2005-10-31,50.12
2005-11-30,53.37
2005-12-31,51.01
2006-01-31,57.07
2006-02-28,56.22
2006-03-31,59.86
2006-04-30,54.02
2006-05-31,56.76
2006-06-30,58.53
2006-07-31,57.74
2006-08-31,55.86
2006-09-30,58.95
2006-10-31,59.73
2006-11-30,57.59
2006-12-31,57.11
2007-01-31,60.97
2007-02-28,59.54
2007-03-31,58.84
2007-04-30,52.8
2007-05-31,52.92
2007-06-30,51.32
2007-07-31,50.18
2007-08-31,46.61
2007-09-30,49.21
2007-10-31,47.9
2007-11-30,51.45
2007-12-31,51.51
2008-01-31,55.04
2008-02-29,52.03
2008-03-31,45.51
2008-04-30,45.62
2008-05-31,40.31
2008-06-30,39.6
2008-07-31,40.47
2008-08-31,41.38
2008-09-30,44.41
2008-10-31,40.11
2008-11-30,39.12
2008-12-31,37.04
2009-01-31,41.19
2009-02-28,39.44
2009-03-31,37.45
2009-04-30,37.54
2009-05-31,39.09
2009-06-30,40.21
2009-07-31,42.35
2009-08-31,40.69
2009-09-30,40.03
2009-10-31,39.03
2009-11-30,40.49
2009-12-31,40.22
2010-01-31,45.56
2010-02-28,43.54
2010-03-31,41.38
2010-04-30,43.48
2010-05-31,48.61
2010-06-30,47.63
2010-07-31,48.1
2010-08-31,50.37
2010-09-30,48.83
2010-10-31,50.05
2010-11-30,55.36
2010-12-31,53.21
2011-01-31,55.69
2011-02-28,53.96
2011-03-31,57.38
2011-04-30,54.42
2011-05-31,55.55
2011-06-30,55.71
2011-07-31,58.07
2011-08-31,57.46
2011-09-30,59.31
2011-10-31,57.68
2011-11-30,56.69
2011-12-31,52.57
2012-01-31,57.35
2012-02-29,52.63
2012-03-31,50.22
2012-04-30,43.83
2012-05-31,46.43
2012-06-30,44.38
2012-07-31,43.59
2012-08-31,42.74
2012-09-30,42.27
2012-10-31,43.44
2012-11-30,42.71
2012-12-31,46.43
2013-01-31,46.86
2013-02-28,47.62
2013-03-31,46.91
2013-04-30,44.06
2013-05-31,41.65
2013-06-30,44.49
2013-07-31,47.48
2013-08-31,50.03
2013-09-30,48.65
2013-10-31,51.85
2013-11-30,49.89
2013-12-31,46.15
2014-01-31,43.67
2014-02-28,33.46
2014-03-31,36.21
2014-04-30,36.69
2014-05-31,38.1
2014-06-30,41.92
2014-07-31,42.75
2014-08-31,43.89
2014-09-30,41.5
2014-10-31,43.94
2014-11-30,43.66
2014-12-31,44.22
2015-01-31,49.95
2015-02-28,50.47
2015-03-31,52.6
2015-04-30,52.85
2015-05-31,54.99
2015-06-30,54.88
2015-07-31,56.09
2015-08-31,56.78
2015-09-30,54.62
2015-10-31,56.96
2015-11-30,60.35
2015-12-31,54.89
2016-01-31,54.01
2016-02-29,45.59
2016-03-31,48.16
2016-04-30,43.19
2016-05-31,42.66
2016-06-30,42.57
2016-07-31,45.61
2016-08-31,42.6
2016-09-30,43.29
2016-10-31,46.04
2016-11-30,43.93
2016-12-31,44.48
2017-01-31,44.47
2017-02-28,40.68
2017-03-31,40.95
2017-04-30,46.19
2017-05-31,45.76
2017-06-30,42.04
2017-07-31,42.48
2017-08-31,47.61
2017-09-30,51.04
2017-10-31,51.11
2017-11-30,51.1
2017-12-31,43.18
2018-01-31,45.19
2018-02-28,43.82
2018-03-31,43.81
