DATE,AR_CPI_ALCOHOLIC_BEV
2017-12-31,23.7
2018-01-31,25.4
2018-02-28,22.3
2018-03-31,20.8
2018-04-30,19.5
2018-05-31,19.4
2018-06-30,19.7
2018-07-31,19.3
2018-08-31,19.3
2018-09-30,23.7
2018-10-31,22.9
2018-11-30,27.2
2018-12-31,28.3
2019-01-31,29.7
2019-02-28,30.5
2019-03-31,34.9
2019-04-30,34.5
2019-05-31,35.3
2019-06-30,37.7
2019-07-31,35.3
2019-08-31,39.4
2019-09-30,41.1
2019-10-31,46.4
2019-11-30,47.7
2019-12-31,50.2
2020-01-31,51.5
2020-02-29,50.0
2020-03-31,48.3
2020-04-30,48.8
2020-05-31,45.8
2020-06-30,47.3
2020-07-31,48.0
2020-08-31,43.7
2020-09-30,41.7
2020-10-31,36.0
2020-11-30,32.7
2020-12-31,33.1
2021-01-31,33.2
2021-02-28,36.3
2021-03-31,41.0
2021-04-30,44.0
2021-05-31,46.2
2021-06-30,48.6
2021-07-31,51.2
2021-08-31,52.2
2021-09-30,54.6
2021-10-31,55.0
2021-11-30,52.2
2021-12-31,55.1
2022-01-31,51.1
2022-02-28,49.7
2022-03-31,48.8
2022-04-30,48.4
2022-05-31,54.4
2022-06-30,56.2
2022-07-31,61.2
2022-08-31,69.1
2022-09-30,74.8
2022-10-31,80.3
2022-11-30,89.7
2022-12-31,92.9
2023-01-31,103.3
2023-02-28,108.4
2023-03-31,113.4
2023-04-30,114.3
2023-05-31,119.9
2023-06-30,115.3
2023-07-31,120.6
2023-08-31,123.6
2023-09-30,127.9
2023-10-31,137.4
2023-11-30,149.5
2023-12-31,180.0
2024-01-31,215.9
2024-02-29,253.2
2024-03-31,266.3
2024-04-30,272.3
2024-05-31,266.3
2024-06-30,257.7
2024-07-31,248.1
2024-08-31,230.7
2024-09-30,203.0
2024-10-31,184.1
2024-11-30,164.4
2024-12-31,125.4
2025-01-31,90.7
2025-02-28,64.2
