Date,Slaughter_heads,Perc_Female,Production_k_tons,MeatWeight,CattlePrice_USD,WeightLive,Consumption_k_tons,Consumption_per_capta,ExportVolume,ExportValue,PriceOfExports
1996-01-01,1048122,44.2270115063658,219.376319822169,209.30418388524333,0.851,442,185.794032947169,62.54776063620826,34235,66107.785,1931
1996-02-01,1018604,46.0432906924657,210.416109649092,206.57302509031183,0.861,442,173.364702774092,62.33054619875347,37704.12,71524.71564,1897
1996-03-01,1080415,47.7028016488345,219.972433137985,203.59994366792856,0.864,441,178.14879626298503,59.86265894971625,42476.35,76075.14284999999,1791
1996-04-01,1071631,49.4983321140277,216.99005836576598,202.4857981579163,0.865,441,176.08818149076598,61.08580651168863,41554.59,73759.39725,1775
1996-05-01,1101575,51.2954409950051,222.116735539552,201.63559951846403,0.844,441,185.62752866455202,62.25992614156028,37141.92,64701.22464,1742
1996-06-01,1013796,50.6250400353369,207.237559977761,204.41741728884412,0.803,441,170.090513102761,58.895661285266854,37799.76,64221.79224,1699
1996-07-01,1147922,48.655209316463,239.360507779254,208.51635196403066,0.749,439,197.88221090425398,66.24697921956059,42131.01,69516.1665,1650
1996-08-01,1087215,44.9620889752827,228.940655233663,210.5753280019711,0.774,439,183.609858358663,61.411806806415484,45983.51,78034.01647,1697
1996-09-01,1066607,41.7221840172199,227.043432369857,212.86512498967002,0.767,441,189.507525494857,65.43639014070382,38188.62,69770.60874000001,1827
1996-10-01,1157875,41.1911724265233,248.962065782572,215.01635822741832,0.772,445,205.564828907572,68.62743986675973,44049.95,81095.95794999998,1841
1996-11-01,1062404,41.8387705884618,229.557767806567,216.0738926120073,0.779,448,191.93596093156702,66.15190130143752,38274.52,69736.17543999999,1822
1996-12-01,1060549,44.4054190825558,223.58676989641802,210.8217252540128,0.82,445,187.138473021418,62.35986633945356,37101.01,66373.70689,1789
1997-01-01,1046797,43.6682870184436,222.599260317313,212.6479731192514,0.826,448,188.33326156731297,62.52841995626158,35076,60962.088,1738
1997-02-01,996988,44.4459127643196,209.551528724925,210.18460475444536,0.854,443,176.01752997492497,64.64077659660711,34344,63708.12,1855
1997-03-01,1076010,44.9420809629614,224.432549387612,208.57849777196492,0.825,444,190.067550637612,62.987085353099225,35175,63490.875,1805
1997-04-01,1218636,46.2920706476065,253.714677509851,208.19561994709738,0.831,440,210.83667875985097,72.13178730397027,43688,74094.848,1696
1997-05-01,1143246,46.3285351610273,239.38237530597,209.38833401207611,0.853,441,198.48237655596998,65.65360728729955,41710,70448.19,1689
1997-06-01,1039182,45.8731874255058,216.157403581791,208.0072630028147,0.895,438,182.95840483179097,62.47783899358408,34009,58937.597,1733
1997-07-01,1090037,44.4408941261045,228.918849204328,210.01016406262173,0.929,439,191.847850454328,63.34125830493798,37881,65912.94,1740
1997-08-01,1004227,39.8404730450736,214.739400075198,213.8355173433875,1.007,442,183.626401325198,60.57053725371242,31923,65378.304,2048
1997-09-01,1064479,37.4300159763556,230.700983054225,216.72666445672013,0.966,440,197.756984304225,67.34341351791586,33754,71727.25,2125
1997-10-01,1070150,37.9762308757653,231.078625080618,215.93106114153903,0.952,443,192.70162633061798,63.44607935492308,39187,79157.74,2020
1997-11-01,955432,39.6406474190324,206.420972142821,216.04988334368224,0.972,444,172.084973392821,58.49238796983359,35146,69729.664,1984
1997-12-01,1089533,40.6133806854629,234.270596843674,215.01927600510862,1.008,445,199.123598093674,65.43878823988804,35957,71626.344,1992
1998-01-01,981503,41.8221102951198,215.19791307583,219.2534440300539,1,448,191.22815896583003,62.785725229053405,26785.938485,54865.43234999989,2048.29232997471
1998-02-01,889530,43.0150976942953,191.886543796833,215.71677604671345,1.07414829659319,447,169.556263694633,61.57765205824806,25146.4644772,50791.637080000124,2019.8321368816
1998-03-01,992968,43.2380030932691,211.443753844341,212.94115605371067,1.08717434869739,441,190.17704243464098,62.32471018404853,24082.8957847,50331.91994000007,2089.9446806549
1998-04-01,936164,42.0343681982704,200.011872872961,213.65046388555956,1.10821643286573,441,176.689371902261,59.77913110732922,26138.6853457,56388.482030000196,2157.2807233504
1998-05-01,912879,42.8293793634814,193.45177876829396,211.91393247987298,1.13927855711423,440,174.36330923029408,57.036174465833426,21904.6539129999,48956.00422999977,2234.95903767489
1998-06-01,909223,42.6549183879821,195.322380647413,214.8234048714265,1.24148296593186,442,177.760443124713,60.0298700115565,20378.1218977,45619.47419,2238.64958797547
1998-07-01,895015,42.0929000633056,195.520131599675,218.45458634735172,1.2625250501002,441,179.624257084775,58.64802319014204,18712.0588899,44526.81801999993,2379.57876693268
1998-08-01,871195,39.94825213401,194.332060582339,223.063792356865,1.21643286573146,443,178.17308903013904,58.120194166832775,18975.1559272,48772.244979999974,2570.32116980326
1998-09-01,908890,39.2948079688162,204.34305211909,224.82704410774681,0.988977955911824,443,182.50861390089,61.46180445636833,24650.6225932,62598.94561999995,2539.44683885056
1998-10-01,953602,39.939278693604,214.719317457255,225.1665972358017,0.901803607214429,447,190.54487272855496,62.04050459613263,26990.6291037,60395.08163000011,2237.6314904687
1998-11-01,965913,40.8096829680402,218.556599341147,226.26944594507685,0.855711422845691,451,191.723004736347,64.44500680912746,29649.7789798,66067.57902000005,2228.26548100109
1998-12-01,1050844,41.5436469230385,234.383976652182,223.04355037682282,0.822645290581162,452,204.7478296025821,66.54117546523952,32452.3314245999,65069.75833999966,2005.08732296117
1999-01-01,948672,40.0248476921356,214.795984412441,226.41754411687177,0.779558337115895,454,187.29504669344098,60.812660993730596,28746.350219,55554.695179999864,1932.58256289109
1999-02-01,927260,40.0045175530713,207.69167055094297,223.98428763339624,0.79058037015995,452,179.08971180594298,64.31889419442514,29847.371245,54652.62588999991,1831.06999411733
1999-03-01,1074506,40.0284976639062,237.498924534299,221.0308034895096,0.80460841221602,455,208.814192250799,67.67384235319851,29930.1447835,57574.96239999996,1923.64463374531
1999-04-01,963026,40.6495732449059,211.967960973253,220.10616636856432,0.837674511348185,451,186.441317586253,62.379225611177645,26772.055887,49251.00888999993,1839.64239047907
1999-05-01,1006152,40.636087593588,222.973298653766,221.60995421543265,0.82665247830413,450,198.526685727766,64.22037283308993,25692.025426,48909.14617000002,1903.67031633499
1999-06-01,977610,40.6248768764036,217.052278210129,222.02338172699643,0.817634451268085,447,190.98483900212898,63.780778498071726,27312.851708,51497.4385200001,1885.46546038312
1999-07-01,981162,40.2906891612287,218.123436912626,222.31133789590913,0.815630445260075,446,194.531385630626,62.81114607616526,24837.463782,46874.493869999926,1887.24961137016
1999-08-01,1021676,39.9138560853969,229.506121037617,224.6368917715763,0.78857636415194,448,204.27995694861698,65.89756222756601,26471.576589,52967.72676999992,2000.92830103705
1999-09-01,1025461,39.9690843900632,231.016099579233,225.28023940377355,0.787574361147935,448,207.21274815223302,69.00762084154742,25048.763927,51321.555510000006,2048.86579072593
1999-10-01,1021556,40.8439284678249,233.094726946284,228.1761616066902,0.751502253003755,452,204.273452638284,65.77314795231528,30066.686808,60528.40627999997,2013.13854986825
1999-11-01,1098031,41.3163423633025,249.973197115142,227.65586501213716,0.736472207943679,455,215.252931500642,71.55216288065043,35965.6781145,68497.52875000016,1904.52487874501
1999-12-01,1099917,41.5054636271607,245.717027066312,223.39597175633432,0.737474210947684,454,210.05440620331197,67.50898865360377,36908.033363,64358.732680000234,1743.75946957172
2000-01-01,1041838,41.0624165101291,232.362070555695,223.03090361044136,0.759518277035795,456,199.1128235151948,64.10823370973358,34432.2657905002,56258.70574000024,1633.89496591078
2000-02-01,1005183,41.9898603575558,219.795009307124,218.66168578967608,0.82665247830413,453,191.15564639062399,65.72974705835661,29822.3816665,49337.56283999999,1654.38037081464
2000-03-01,1137095,42.4463554780542,246.574438407522,216.84594374922236,0.877754631508385,451,215.15288425752198,69.1440573820144,32604.5729,58071.56297000015,1781.08644907292
2000-04-01,934731,42.8026906685083,200.77493999794,214.79435259763505,0.883766649532415,448,174.17638554444,57.78750642441721,27781.5732035,49388.30853000007,1777.73620551402
2000-05-01,1079383,42.8399082188373,230.484808925995,213.53385121499505,0.883766649532415,446,203.728919670995,65.35118659525438,27938.908005,51574.474719999875,1845.97317514235
2000-06-01,1042738,43.7481778757676,225.716221035058,216.46494232976835,0.925850775700626,443,197.93480291305798,65.54807638578266,28964.436872,52460.01179000029,1811.18700915306
