DATE,AR_INFLATION
2017-12-31,24.8
2018-01-31,25.0
2018-02-28,25.4
2018-03-31,25.4
2018-04-30,25.5
2018-05-31,26.3
2018-06-30,29.5
2018-07-31,31.2
2018-08-31,34.4
2018-09-30,40.5
2018-10-31,45.9
2018-11-30,48.5
2018-12-31,47.6
2019-01-31,49.3
2019-02-28,51.3
2019-03-31,54.7
2019-04-30,55.8
2019-05-31,57.3
2019-06-30,55.8
2019-07-31,54.4
2019-08-31,54.5
2019-09-30,53.5
2019-10-31,50.5
2019-11-30,52.1
2019-12-31,53.8
2020-01-31,52.9
2020-02-29,50.3
2020-03-31,48.4
2020-04-30,45.6
2020-05-31,43.4
2020-06-30,42.8
2020-07-31,42.4
2020-08-31,40.7
2020-09-30,36.6
2020-10-31,37.2
2020-11-30,35.8
2020-12-31,36.1
2021-01-31,38.5
2021-02-28,40.7
2021-03-31,42.6
2021-04-30,46.3
2021-05-31,48.8
2021-06-30,50.2
2021-07-31,51.8
2021-08-31,51.4
2021-09-30,52.5
2021-10-31,52.1
2021-11-30,51.2
2021-12-31,50.9
2022-01-31,50.7
2022-02-28,52.3
2022-03-31,55.1
2022-04-30,58.0
2022-05-31,60.7
2022-06-30,64.0
2022-07-31,71.0
2022-08-31,78.5
2022-09-30,83.0
2022-10-31,88.0
2022-11-30,92.4
2022-12-31,94.8
2023-01-31,98.8
2023-02-28,102.5
2023-03-31,104.3
2023-04-30,108.8
2023-05-31,114.2
2023-06-30,115.6
2023-07-31,113.4
2023-08-31,124.4
2023-09-30,138.3
2023-10-31,142.7
2023-11-30,160.9
2023-12-31,211.4
2024-01-31,254.2
2024-02-29,276.2
2024-03-31,287.9
2024-04-30,289.4
2024-05-31,276.4
2024-06-30,271.5
2024-07-31,263.4
2024-08-31,236.7
2024-09-30,209.0
2024-10-31,193.0
2024-11-30,166.0
2024-12-31,117.8
2025-01-31,84.5
2025-02-28,66.9
