DATE,AR_INTEREST_RATE
2018-10-01,67.175
2018-10-02,69.465
2018-10-03,71.267
2018-10-04,72.831
2018-10-05,73.314
2018-10-08,73.524
2018-10-09,72.602
2018-10-10,72.409
2018-10-11,72.728
2018-10-12,71.997
2018-10-15,71.997
2018-10-16,72.198
2018-10-17,72.661
2018-10-18,72.537
2018-10-19,72.881
2018-10-22,71.729
2018-10-23,71.392
2018-10-24,71.869
2018-10-25,71.935
2018-10-26,71.756
2018-10-29,70.626
2018-10-30,70.048
2018-10-31,68.048
2018-11-01,68.801
2018-11-02,68.519
2018-11-05,68.197
2018-11-06,68.197
2018-11-07,67.433
2018-11-08,67.133
2018-11-09,66.654
2018-11-12,65.772
2018-11-13,65.044
2018-11-14,63.291
2018-11-15,62.499
2018-11-16,62.208
2018-11-19,62.208
2018-11-20,62.118
2018-11-21,61.954
2018-11-22,61.699
2018-11-23,61.405
2018-11-26,61.237
2018-11-27,61.248
2018-11-28,61.198
2018-11-29,60.753
2018-11-30,60.753
2018-12-03,60.278
2018-12-04,60.003
2018-12-05,59.102
2018-12-06,59.009
2018-12-07,59.16
2018-12-10,59.226
2018-12-11,58.97
2018-12-12,59.133
2018-12-13,59.164
2018-12-14,59.077
2018-12-17,59.411
2018-12-18,59.441
2018-12-19,59.45
2018-12-20,59.582
2018-12-21,59.383
2018-12-24,59.383
2018-12-25,59.383
2018-12-26,59.356
2018-12-27,59.394
2018-12-28,59.252
2018-12-31,59.252
2019-01-01,59.252
2019-01-02,59.252
2019-01-03,59.252
2019-01-04,59.287
2019-01-07,58.964
2019-01-08,58.8
2019-01-09,58.782
2019-01-10,58.459
2019-01-11,58.107
2019-01-14,57.801
2019-01-15,57.61
2019-01-16,57.542
2019-01-17,57.316
2019-01-18,57.253
2019-01-21,57.134
2019-01-22,56.942
2019-01-23,56.872
2019-01-24,56.697
2019-01-25,56.598
2019-01-28,56.314
2019-01-29,55.639
2019-01-30,54.889
2019-01-31,53.687
2019-02-01,52.441
2019-02-04,51.304
2019-02-05,50.02
2019-02-06,48.824
2019-02-07,47.55
2019-02-08,46.243
2019-02-11,45.155
2019-02-12,44.356
2019-02-13,43.971
2019-02-14,43.937
2019-02-15,44.214
2019-02-18,44.312
2019-02-19,44.486
2019-02-20,46.014
2019-02-21,49.026
2019-02-22,49.521
2019-02-25,49.829
2019-02-26,50.065
2019-02-27,49.982
2019-02-28,50.127
2019-03-01,50.219
2019-03-04,50.219
2019-03-05,50.219
2019-03-06,50.551
2019-03-07,51.862
2019-03-08,57.894
2019-03-11,59.863
2019-03-12,62.119
2019-03-13,63.328
2019-03-14,63.664
2019-03-15,63.744
2019-03-18,63.707
2019-03-19,63.873
2019-03-20,64.885
2019-03-21,65.758
2019-03-22,66.655
2019-03-25,66.827
2019-03-26,66.925
2019-03-27,67.758
2019-03-28,68.349
2019-03-29,68.155
2019-04-01,68.149
2019-04-02,68.149
2019-04-03,67.981
2019-04-04,67.691
2019-04-05,67.379
2019-04-08,67.172
2019-04-09,66.937
2019-04-10,66.755
2019-04-11,66.813
2019-04-12,66.86
2019-04-15,66.852
2019-04-16,66.792
2019-04-17,67.12
2019-04-18,67.12
2019-04-19,67.12
2019-04-22,67.872
2019-04-23,67.891
2019-04-24,68.366
2019-04-25,71.039
2019-04-26,71.868
2019-04-29,73.191
2019-04-30,73.93
2019-05-01,73.93
2019-05-02,74.069
2019-05-03,73.766
2019-05-06,73.53
2019-05-07,73.242
2019-05-08,72.875
2019-05-09,72.481
2019-05-10,72.053
2019-05-13,71.743
2019-05-14,71.627
2019-05-15,71.602
2019-05-16,71.571
2019-05-17,71.476
2019-05-20,71.441
2019-05-21,71.218
2019-05-22,70.985
2019-05-23,70.892
2019-05-24,70.904
2019-05-27,70.823
2019-05-28,70.793
2019-05-29,70.747
2019-05-30,70.752
2019-05-31,70.73
2019-06-03,70.691
2019-06-04,70.532
2019-06-05,70.275
2019-06-06,69.967
2019-06-07,69.61
2019-06-10,69.241
2019-06-11,68.889
2019-06-12,67.977
2019-06-13,67.313
2019-06-14,66.663
2019-06-17,66.663
2019-06-18,66.105
2019-06-19,65.441
2019-06-20,65.441
2019-06-21,64.616
2019-06-24,63.839
2019-06-25,63.025
2019-06-26,62.604
2019-06-27,62.595
2019-06-28,62.688
2019-07-01,62.08
2019-07-02,61.378
2019-07-03,60.795
2019-07-04,60.339
2019-07-05,59.895
2019-07-08,59.895
2019-07-09,59.895
2019-07-10,59.484
2019-07-11,59.161
2019-07-12,59.011
2019-07-15,58.833
