DATE,AR_UNEMPLOYMENT_RATE
2002-12-31,20.8
2003-03-31,20.4
2003-06-30,17.8
2003-09-30,16.3
2003-12-31,14.5
2004-03-31,14.4
2004-06-30,14.8
2004-09-30,13.2
2004-12-31,12.1
2005-03-31,13.0
2005-06-30,12.1
2005-09-30,11.1
2005-12-31,10.1
2006-03-31,11.4
2006-06-30,10.4
2006-09-30,10.2
2006-12-31,8.7
2007-03-31,9.8
2007-06-30,8.5
2007-09-30,8.1
2007-12-31,7.5
2008-03-31,8.4
2008-06-30,8.0
2008-09-30,7.8
2008-12-31,7.3
2009-03-31,8.4
2009-06-30,8.8
2009-09-30,9.1
2009-12-31,8.4
2010-03-31,8.3
2010-06-30,7.9
2010-09-30,7.5
2010-12-31,7.3
2011-03-31,7.4
2011-06-30,7.3
2011-09-30,7.2
2011-12-31,6.7
2012-03-31,7.1
2012-06-30,7.2
2012-09-30,7.6
2012-12-31,6.9
2013-03-31,7.1
2013-06-30,7.2
2013-09-30,6.8
2013-12-31,6.4
2014-03-31,7.5
2014-06-30,7.5
2014-09-30,7.1
2014-12-31,6.9
2015-03-31,7.1
2015-06-30,6.6
2015-09-30,5.9
2016-06-30,9.3
2016-09-30,8.5
2016-12-31,7.6
2017-03-31,9.2
2017-06-30,8.7
2017-09-30,8.3
2017-12-31,7.2
2018-03-31,9.1
2018-06-30,9.6
2018-09-30,9.0
2018-12-31,9.1
2019-03-31,10.1
2019-06-30,10.6
2019-09-30,9.7
2019-12-31,8.9
2020-03-31,10.4
2020-06-30,13.1
2020-09-30,11.7
2020-12-31,11.0
2021-03-31,10.2
2021-06-30,9.6
2021-09-30,8.2
2021-12-31,7.0
2022-03-31,7.0
2022-06-30,6.9
2022-09-30,7.1
2022-12-31,6.3
2023-03-31,6.9
2023-06-30,6.2
2023-09-30,5.7
2023-12-31,5.7
2024-03-31,7.7
2024-06-30,7.6
2024-09-30,6.9
2024-12-31,6.4
