Date,Bulls,Year,Month,Quarter,Cows,Calves,Beef,Veal
1976-09-01,1223.5,1976,9,3,1096.1,1076.7,472746,33179
1976-12-01,1098.7,1976,12,4,958,522.5,414203,22118
1977-03-01,1149.7,1977,3,1,1253.8,400.4,474426,21028
1977-06-01,1259.9,1977,6,2,1372.4,482,528426,21651
1977-09-01,1365.4,1977,9,3,1318.9,1044.7,547524,33532
1977-12-01,1298.9,1977,12,4,1199.8,536.4,507887,23768
1978-03-01,1191.8,1978,3,1,1285.1,423.6,489735,22269
1978-06-01,1346.6,1978,6,2,1302.4,528.7,534747,24378
1978-09-01,1326.2,1978,9,3,1195.3,880.5,511288,26487
1978-12-01,1345.5,1978,12,4,1112.3,353.4,505760,16137
1979-03-01,1254.7,1979,3,1,1208.7,254.5,505437,14157
1979-06-01,1036.9,1979,6,2,1046.9,331.4,425076,13765
1979-09-01,1099.6,1979,9,3,817.8,717.5,402814,19502
1979-12-01,1028.1,1979,12,4,769.2,273.4,377869,11034
1980-03-01,858.8,1980,3,1,769.7,207.2,331486,10095
1980-06-01,1001.9,1980,6,2,1006.3,339.1,398256,13386
1980-09-01,1130.1,1980,9,3,877.8,686.6,412821,17914
1980-12-01,921.5,1980,12,4,754.2,279.4,338748,10854
1981-03-01,772.1,1981,3,1,667.8,184.8,294621,9223
1981-06-01,964.1,1981,6,2,885.4,313,371473,11535
1981-09-01,1031.2,1981,9,3,726.7,697.6,366800,17586
1981-12-01,950.1,1981,12,4,654.3,251.7,340636,10431
1982-03-01,996.2,1982,3,1,817.2,203.1,384526,10053
1982-06-01,1118.3,1982,6,2,924.3,319.4,434277,11886
1982-09-01,1210.5,1982,9,3,929.3,815.1,445863,20905
1982-12-01,945.2,1982,12,4,849.4,331.8,356667,14317
1983-03-01,867.2,1983,3,1,876.6,263.9,341172,13344
1983-06-01,855,1983,6,2,839.4,328.9,337934,12680
1983-09-01,1011.9,1983,9,3,759.9,682.3,375000,17604
1983-12-01,836.3,1983,12,4,598.7,198.4,308305,8158
1984-03-01,755.1,1984,3,1,575.6,137.3,293777,6850
1984-06-01,863.7,1984,6,2,629.2,266.5,326148,9435
1984-09-01,896.7,1984,9,3,633.8,633.4,338982,15659
1984-12-01,738,1984,12,4,515.8,179.4,273817,7236
1985-03-01,767.5,1985,3,1,621.4,142.7,304875,7300
1985-06-01,899.2,1985,6,2,751.1,256.4,352879,9272
1985-09-01,880.3,1985,9,3,633.4,584.4,330243,14849
1985-12-01,806.7,1985,12,4,598.4,209.7,310879,7447
1986-03-01,807.5,1986,3,1,691.2,158.5,331836,7042
1986-06-01,885.7,1986,6,2,853.5,292.6,371125,11502
1986-09-01,958.6,1986,9,3,764.1,637.4,374185,16319
1986-12-01,955.7,1986,12,4,694.9,183.8,361440,7314
1987-03-01,843.9,1987,3,1,755.9,136.2,353548,6616
1987-06-01,937.8,1987,6,2,852.4,262.3,391918,9381
1987-09-01,1030.3,1987,9,3,702.7,581.6,386945,14428
1987-12-01,1041.6,1987,12,4,695.7,207.6,393960,7598
1988-03-01,951.3,1988,3,1,810.6,144.7,395282,7533
1988-06-01,896.5,1988,6,2,798.3,248.8,372996,8982
1988-09-01,984.5,1988,9,3,686.1,475.1,380430,12101
1988-12-01,986,1988,12,4,583.1,157.8,367466,6263
1989-03-01,875.3,1989,3,1,561.5,106.2,337993,5535
1989-06-01,965.3,1989,6,2,629.4,231.7,373481,8208
1989-09-01,1094.2,1989,9,3,652.8,474.9,413550,13003
1989-12-01,1108.1,1989,12,4,624.3,159.6,414436,6666
1990-03-01,1050.8,1990,3,1,662.2,116.5,410232,6373
1990-06-01,1000.6,1990,6,2,752.5,242.3,403299,9168
1990-09-01,1143.4,1990,9,3,727.1,514.2,441988,14012
1990-12-01,1203.3,1990,12,4,665.5,174.9,446148,6979
1991-03-01,939.7,1991,3,1,703.6,108.6,382596,6066
1991-06-01,1073,1991,6,2,893.3,230.1,452503,9277
1991-09-01,1102.2,1991,9,3,789,498.1,437553,14153
1991-12-01,1102,1991,12,4,782.2,205.6,438743,7911
1992-03-01,1000.4,1992,3,1,858.4,120.2,423358,6578
1992-06-01,1058.6,1992,6,2,957.2,242.5,453100,9472
1992-09-01,1107.3,1992,9,3,838.7,486.9,460275,13586
1992-12-01,1093.1,1992,12,4,799.8,168,460863,6609
1993-03-01,983.7,1993,3,1,724.1,123.4,412292,6908
1993-06-01,1072.3,1993,6,2,823.7,255.8,453429,11850
1993-09-01,1102.8,1993,9,3,819.8,465.8,465519,14503
1993-12-01,1053.5,1993,12,4,773.1,145.4,442566,6862
1994-03-01,944.2,1994,3,1,777.5,114.4,428537,7210
1994-06-01,969.5,1994,6,2,849.7,266,449601,10007
1994-09-01,1062.5,1994,9,3,842.4,498.5,474989,15035
1994-12-01,1109.7,1994,12,4,743.4,187.9,452480,7375
1995-03-01,896,1995,3,1,721.9,116.8,396034,6416
1995-06-01,988.4,1995,6,2,855.8,244.5,442103,8985
1995-09-01,1003.9,1995,9,3,753.5,462.1,427485,12960
1995-12-01,978.7,1995,12,4,716.3,167.9,418880,6596
1996-03-01,979.2,1996,3,1,754.7,110.2,430972,5862
1996-06-01,1026.4,1996,6,2,737.1,244.4,433585,8355
1996-09-01,954.1,1996,9,3,727.9,524.8,410151,14020
1996-12-01,986.1,1996,12,4,731.8,191.2,423732,7148
1997-03-01,987.3,1997,3,1,798.8,133,438374,6844
1997-06-01,1040.2,1997,6,2,1044.2,292.2,499940,10092
1997-09-01,1070.8,1997,9,3,986,622.8,491677,16696
1997-12-01,1015,1997,12,4,926.1,231.7,466695,8782
1998-03-01,958.3,1998,3,1,987,148.3,462312,7797
1998-06-01,949.6,1998,6,2,1159.1,265.9,490405,10888
1998-09-01,979.2,1998,9,3,1071.7,582.8,496205,15743
