Company,CNPJ,Region,State,City,Capacity_m3_day,Date
CEREAL COMÉRCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S.A.,12377000160,Mid-West,Goiás,RIO VERDE,650.0,2025-02-01
CARAMURU ALIMENTOS  S/A,80671000371,Mid-West,Goiás,SAO SIMAO,625.0,2025-02-01
CARAMURU ALIMENTOS  S/A,80671002153,Mid-West,Goiás,IPAMERI,625.0,2025-02-01
CARAMURU ALIMENTOS  S/A,80671002668,Mid-West,Mato Grosso,SORRISO,285.0,2025-02-01
ADM DO BRASIL LTDA,2003402002461,Mid-West,Mato Grosso,RONDONOPOLIS,1352.0,2025-02-01
ADM DO BRASIL LTDA,2003402004677,South,Santa Catarina,JOACABA,510.0,2025-02-01
COCAMAR MAQUINAS AGRICOLAS LTDA.,2213491001156,South,Paraná,MARINGA,353.0,2025-02-01
SEARA ALIMENTOS LTDA,2914460032788,South,Santa Catarina,MAFRA,1025.0,2025-02-01
JBS S/A,2916265013300,Southeast,São Paulo,LINS,744.6,2025-02-01
JBS S/A,2916265028099,Mid-West,Mato Grosso,CAMPO VERDE,410.0,2025-02-01
BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,2987873001056,South,Rio Grande do Sul,MUITOS CAPOES,300.0,2025-02-01
COFCO INTERNATIONAL BRASIL S.A.,6315338022864,Mid-West,Mato Grosso,RONDONOPOLIS,1200.0,2025-02-01
BINATURAL ENERGIAS RENOVAVEIS S.A,7113559000177,Mid-West,Goiás,FORMOSA,650.0,2025-02-01
BE8 S.A.,7322382000119,South,Rio Grande do Sul,PASSO FUNDO,1500.0,2025-02-01
BE8 S.A.,7322382000461,South,Paraná,MARIALVA,1500.0,2025-02-01
BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,8080422000126,Mid-West,Goiás,SAO MIGUEL DO ARAGUAIA,95.0,2025-02-01
BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,8387930000151,Mid-West,Mato Grosso,CUIABA,150.0,2025-02-01
CESBRA QUIMICA LTDA,8436584000154,Southeast,Rio de Janeiro,VOLTA REDONDA,166.7,2025-02-01
BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,8684263000179,Mid-West,Mato Grosso,NOVA MARILANDIA,568.0,2025-02-01
BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,8772264000175,Mid-West,Mato Grosso,VARZEA GRANDE,150.0,2025-02-01
AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,8794451000150,North,Rondônia,JI-PARANA,90.0,2025-02-01
