Region,State,Feedstock,Volumes_m3,Date
Mid-West,Goiás,Fatty_Acid_Soy,570.267,2025-02-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,1080.34,2025-02-01
Mid-West,Goiás,Tallow_Cattle,6858.35,2025-02-01
Mid-West,Mato Grosso,Tallow_Cattle,1181.683,2025-02-01
Mid-West,Mato Grosso do Sul,Tallow_Cattle,15.909,2025-02-01
Northeast,Bahia,Tallow_Cattle,6447.408,2025-02-01
North,Pará,Tallow_Cattle,3128.868,2025-02-01
North,Rondônia,Tallow_Cattle,6727.264,2025-02-01
Southeast,São Paulo,Tallow_Cattle,79.715,2025-02-01
South,Paraná,Tallow_Cattle,8600.365,2025-02-01
South,Rio Grande do Sul,Tallow_Cattle,13160.486,2025-02-01
South,Paraná,Tallow_Chicken,452.056,2025-02-01
South,Rio Grande do Sul,Tallow_Chicken,247.278,2025-02-01
Mid-West,Goiás,Tallow_Pork,4949.231,2025-02-01
Southeast,Rio de Janeiro,Tallow_Pork,5477.043,2025-02-01
South,Paraná,Tallow_Pork,336.525,2025-02-01
South,Rio Grande do Sul,Tallow_Pork,2717.371,2025-02-01
Mid-West,Goiás,Oil_Cotton,890.821,2025-02-01
Mid-West,Mato Grosso,Oil_Cotton,9768.912,2025-02-01
Northeast,Bahia,Oil_Cotton,4501.99,2025-02-01
Northeast,Piauí,Oil_Cotton,19.584,2025-02-01
South,Rio Grande do Sul,Oil_Canola,1578.974,2025-02-01
Mid-West,Goiás,UCO,8.493,2025-02-01
Northeast,Bahia,UCO,3327.296,2025-02-01
North,Pará,UCO,920.944,2025-02-01
North,Rondônia,UCO,246.656,2025-02-01
Southeast,Rio de Janeiro,UCO,2764.99,2025-02-01
Southeast,São Paulo,UCO,38.889,2025-02-01
South,Paraná,UCO,857.516,2025-02-01
South,Rio Grande do Sul,UCO,431.68,2025-02-01
Mid-West,Goiás,Oil_Sunflower,1522.599,2025-02-01
Mid-West,Goiás,Oil_Corn,711.135,2025-02-01
Mid-West,Mato Grosso,Oil_Corn,1726.688,2025-02-01
Mid-West,Mato Grosso do Sul,Oil_Corn,285.455,2025-02-01
Northeast,Bahia,Oil_Corn,294.381,2025-02-01
Southeast,São Paulo,Oil_Corn,747.877,2025-02-01
South,Paraná,Oil_Corn,640.54,2025-02-01
North,Pará,Oil_Palm,5032.511,2025-02-01
Mid-West,Goiás,Oil_Soy,76161.206,2025-02-01
Mid-West,Mato Grosso,Oil_Soy,140448.817,2025-02-01
Mid-West,Mato Grosso do Sul,Oil_Soy,54204.411,2025-02-01
Northeast,Bahia,Oil_Soy,26430.787,2025-02-01
Northeast,Piauí,Oil_Soy,6686.189,2025-02-01
North,Pará,Oil_Soy,2715.733,2025-02-01
North,Rondônia,Oil_Soy,91.226,2025-02-01
North,Tocantins,Oil_Soy,36849.886,2025-02-01
Southeast,Rio de Janeiro,Oil_Soy,82.108,2025-02-01
Southeast,São Paulo,Oil_Soy,9514.201,2025-02-01
South,Paraná,Oil_Soy,64559.031,2025-02-01
South,Rio Grande do Sul,Oil_Soy,143866.294,2025-02-01
South,Santa Catarina,Oil_Soy,19423.883,2025-02-01
North,Pará,OUTROS ÁCIDOS GRAXOS,1656.296,2025-02-01
Mid-West,Goiás,Fatty_Acid_Other,13731.982,2025-02-01
Mid-West,Mato Grosso,Fatty_Acid_Other,13044.421,2025-02-01
Northeast,Bahia,Fatty_Acid_Other,3110.779,2025-02-01
North,Tocantins,Fatty_Acid_Other,323.054,2025-02-01
Southeast,Minas Gerais,Fatty_Acid_Other,3887.915,2025-02-01
Southeast,Rio de Janeiro,Fatty_Acid_Other,867.655,2025-02-01
Southeast,São Paulo,Fatty_Acid_Other,10152.123,2025-02-01
South,Paraná,Fatty_Acid_Other,15441.089,2025-02-01
South,Rio Grande do Sul,Fatty_Acid_Other,15379.845,2025-02-01
South,Santa Catarina,Fatty_Acid_Other,19327.618,2025-02-01
Mid-West,Goiás,Fatty_Acid_Soy,1017.524,2025-01-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,973.855,2025-01-01
Southeast,São Paulo,Fatty_Acid_Soy,40.409,2025-01-01
Mid-West,Goiás,Tallow_Cattle,5642.607,2025-01-01
Mid-West,Mato Grosso,Tallow_Cattle,1207.348,2025-01-01
Mid-West,Mato Grosso do Sul,Tallow_Cattle,71.436,2025-01-01
Northeast,Bahia,Tallow_Cattle,11028.042,2025-01-01
North,Pará,Tallow_Cattle,4749.135,2025-01-01
North,Rondônia,Tallow_Cattle,8393.639,2025-01-01
Southeast,São Paulo,Tallow_Cattle,66.897,2025-01-01
South,Paraná,Tallow_Cattle,9320.348,2025-01-01
South,Rio Grande do Sul,Tallow_Cattle,13850.908,2025-01-01
Mid-West,Mato Grosso,Tallow_Chicken,43.585,2025-01-01
South,Paraná,Tallow_Chicken,1614.908,2025-01-01
Mid-West,Goiás,Tallow_Pork,4057.216,2025-01-01
Southeast,Rio de Janeiro,Tallow_Pork,8485.884,2025-01-01
South,Paraná,Tallow_Pork,209.633,2025-01-01
South,Rio Grande do Sul,Tallow_Pork,2379.148,2025-01-01
Mid-West,Goiás,Oil_Cotton,1922.5,2025-01-01
Mid-West,Mato Grosso,Oil_Cotton,10264.332,2025-01-01
Northeast,Bahia,Oil_Cotton,2896.081,2025-01-01
South,Rio Grande do Sul,Oil_Canola,1941.037,2025-01-01
Mid-West,Goiás,UCO,436.237,2025-01-01
Northeast,Bahia,UCO,1662.122,2025-01-01
North,Pará,UCO,851.345,2025-01-01
Southeast,Rio de Janeiro,UCO,2289.786,2025-01-01
Southeast,São Paulo,UCO,55.556,2025-01-01
South,Paraná,UCO,936.825,2025-01-01
South,Rio Grande do Sul,UCO,407.153,2025-01-01
Mid-West,Goiás,Oil_Corn,1835.239,2025-01-01
Mid-West,Mato Grosso,Oil_Corn,1632.076,2025-01-01
Mid-West,Mato Grosso do Sul,Oil_Corn,8.068,2025-01-01
Northeast,Bahia,Oil_Corn,1927.44,2025-01-01
Southeast,São Paulo,Oil_Corn,2320.694,2025-01-01
South,Paraná,Oil_Corn,687.508,2025-01-01
North,Pará,Oil_Palm,5801.88,2025-01-01
Mid-West,Goiás,Oil_Soy,90678.819,2025-01-01
Mid-West,Mato Grosso,Oil_Soy,88634.044,2025-01-01
Mid-West,Mato Grosso do Sul,Oil_Soy,26248.391,2025-01-01
Northeast,Bahia,Oil_Soy,26953.006,2025-01-01
Northeast,Piauí,Oil_Soy,7006.199,2025-01-01
North,Pará,Oil_Soy,708.72,2025-01-01
North,Rondônia,Oil_Soy,26.705,2025-01-01
North,Tocantins,Oil_Soy,58717.437,2025-01-01
Southeast,Rio de Janeiro,Oil_Soy,802.233,2025-01-01
Southeast,São Paulo,Oil_Soy,10701.467,2025-01-01
South,Paraná,Oil_Soy,66492.214,2025-01-01
South,Rio Grande do Sul,Oil_Soy,127605.901,2025-01-01
South,Santa Catarina,Oil_Soy,17837.032,2025-01-01
North,Pará,OUTROS ÁCIDOS GRAXOS,1657.785,2025-01-01
Southeast,São Paulo,OUTROS ÁCIDOS GRAXOS,271.92,2025-01-01
Mid-West,Goiás,Fatty_Acid_Other,14847.133,2025-01-01
Mid-West,Mato Grosso,Fatty_Acid_Other,12583.512,2025-01-01
Northeast,Bahia,Fatty_Acid_Other,5850.492,2025-01-01
North,Pará,Fatty_Acid_Other,125.381,2025-01-01
North,Tocantins,Fatty_Acid_Other,162.294,2025-01-01
Southeast,Minas Gerais,Fatty_Acid_Other,2452.12,2025-01-01
Southeast,Rio de Janeiro,Fatty_Acid_Other,994.946,2025-01-01
Southeast,São Paulo,Fatty_Acid_Other,16582.209,2025-01-01
South,Paraná,Fatty_Acid_Other,12830.99,2025-01-01
South,Rio Grande do Sul,Fatty_Acid_Other,13314.765,2025-01-01
South,Santa Catarina,Fatty_Acid_Other,17538.427,2025-01-01
Mid-West,Goiás,Fatty_Acid_Soy,1043.917,2024-12-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,971.635,2024-12-01
Mid-West,Goiás,Tallow_Cattle,5589.55,2024-12-01
Mid-West,Mato Grosso,Tallow_Cattle,2241.423,2024-12-01
Mid-West,Mato Grosso do Sul,Tallow_Cattle,262.59,2024-12-01
Northeast,Bahia,Tallow_Cattle,8551.628,2024-12-01
North,Pará,Tallow_Cattle,6093.536,2024-12-01
North,Rondônia,Tallow_Cattle,2547.292,2024-12-01
South,Paraná,Tallow_Cattle,5172.042,2024-12-01
South,Rio Grande do Sul,Tallow_Cattle,11520.367,2024-12-01
Mid-West,Mato Grosso,Tallow_Chicken,39.451,2024-12-01
South,Paraná,Tallow_Chicken,1831.2,2024-12-01
Mid-West,Goiás,Tallow_Pork,3609.937,2024-12-01
Southeast,Rio de Janeiro,Tallow_Pork,6224.196,2024-12-01
South,Paraná,Tallow_Pork,371.553,2024-12-01
South,Rio Grande do Sul,Tallow_Pork,2924.01,2024-12-01
Mid-West,Goiás,Oil_Cotton,1686.2,2024-12-01
Mid-West,Mato Grosso,Oil_Cotton,8861.865,2024-12-01
Northeast,Bahia,Oil_Cotton,4432.958,2024-12-01
South,Rio Grande do Sul,Oil_Canola,1463.581,2024-12-01
Northeast,Bahia,UCO,1824.341,2024-12-01
North,Pará,UCO,1083.656,2024-12-01
North,Rondônia,UCO,114.767,2024-12-01
Southeast,Rio de Janeiro,UCO,1908.626,2024-12-01
Southeast,São Paulo,UCO,47.778,2024-12-01
South,Paraná,UCO,1664.211,2024-12-01
South,Rio Grande do Sul,UCO,870.822,2024-12-01
Mid-West,Goiás,Oil_Corn,830.436,2024-12-01
Mid-West,Mato Grosso,Oil_Corn,0.11,2024-12-01
Northeast,Bahia,Oil_Corn,2046.401,2024-12-01
Southeast,São Paulo,Oil_Corn,1577.933,2024-12-01
South,Paraná,Oil_Corn,38.902,2024-12-01
Northeast,Bahia,Oil_Palm,0.609,2024-12-01
North,Pará,Oil_Palm,5686.076,2024-12-01
Mid-West,Goiás,Oil_Soy,89758.637,2024-12-01
Mid-West,Mato Grosso,Oil_Soy,132211.795,2024-12-01
Mid-West,Mato Grosso do Sul,Oil_Soy,22903.586,2024-12-01
Northeast,Bahia,Oil_Soy,31150.598,2024-12-01
Northeast,Piauí,Oil_Soy,6721.301,2024-12-01
North,Pará,Oil_Soy,1176.005,2024-12-01
North,Rondônia,Oil_Soy,546.329,2024-12-01
North,Tocantins,Oil_Soy,25405.233,2024-12-01
Southeast,Rio de Janeiro,Oil_Soy,862.75,2024-12-01
Southeast,São Paulo,Oil_Soy,9407.877,2024-12-01
South,Paraná,Oil_Soy,72778.915,2024-12-01
South,Rio Grande do Sul,Oil_Soy,169746.048,2024-12-01
South,Santa Catarina,Oil_Soy,13327.583,2024-12-01
North,Pará,OUTROS ÁCIDOS GRAXOS,2088.404,2024-12-01
Southeast,São Paulo,OUTROS ÁCIDOS GRAXOS,699.818,2024-12-01
Mid-West,Goiás,Fatty_Acid_Other,9783.774,2024-12-01
Mid-West,Mato Grosso,Fatty_Acid_Other,14906.939,2024-12-01
Northeast,Bahia,Fatty_Acid_Other,1696.944,2024-12-01
North,Pará,Fatty_Acid_Other,158.065,2024-12-01
Southeast,Minas Gerais,Fatty_Acid_Other,4306.564,2024-12-01
Southeast,Rio de Janeiro,Fatty_Acid_Other,736.296,2024-12-01
Southeast,São Paulo,Fatty_Acid_Other,17996.395,2024-12-01
South,Paraná,Fatty_Acid_Other,18293.107,2024-12-01
South,Rio Grande do Sul,Fatty_Acid_Other,14322.754,2024-12-01
South,Santa Catarina,Fatty_Acid_Other,19232.449,2024-12-01
Mid-West,Goiás,Fatty_Acid_Soy,893.636,2024-11-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,1104.545,2024-11-01
Mid-West,Goiás,Tallow_Cattle,8645.292,2024-11-01
Mid-West,Mato Grosso,Tallow_Cattle,2177.587,2024-11-01
Mid-West,Mato Grosso do Sul,Tallow_Cattle,390.864,2024-11-01
Northeast,Bahia,Tallow_Cattle,12496.409,2024-11-01
North,Pará,Tallow_Cattle,4256.931,2024-11-01
North,Rondônia,Tallow_Cattle,7999.323,2024-11-01
Southeast,São Paulo,Tallow_Cattle,416.85,2024-11-01
South,Paraná,Tallow_Cattle,9332.826,2024-11-01
South,Rio Grande do Sul,Tallow_Cattle,13659.092,2024-11-01
Mid-West,Mato Grosso,Tallow_Chicken,41.605,2024-11-01
South,Paraná,Tallow_Chicken,1506.233,2024-11-01
Mid-West,Goiás,Tallow_Pork,4690.135,2024-11-01
Southeast,Rio de Janeiro,Tallow_Pork,7521.67,2024-11-01
South,Paraná,Tallow_Pork,217.046,2024-11-01
South,Rio Grande do Sul,Tallow_Pork,3299.166,2024-11-01
Mid-West,Goiás,Oil_Cotton,3882.813,2024-11-01
Mid-West,Mato Grosso,Oil_Cotton,13269.555,2024-11-01
Northeast,Bahia,Oil_Cotton,5578.751,2024-11-01
South,Rio Grande do Sul,Oil_Canola,2368.003,2024-11-01
Mid-West,Goiás,UCO,185.038,2024-11-01
Northeast,Bahia,UCO,2599.727,2024-11-01
North,Pará,UCO,499.889,2024-11-01
North,Rondônia,UCO,349.567,2024-11-01
Southeast,Rio de Janeiro,UCO,3142.626,2024-11-01
Southeast,São Paulo,UCO,34.782,2024-11-01
South,Paraná,UCO,1134.886,2024-11-01
South,Rio Grande do Sul,UCO,1259.494,2024-11-01
Mid-West,Goiás,Oil_Corn,2852.906,2024-11-01
Northeast,Bahia,Oil_Corn,2061.851,2024-11-01
Southeast,Minas Gerais,Oil_Corn,2975.091,2024-11-01
Southeast,São Paulo,Oil_Corn,1349.028,2024-11-01
South,Paraná,Oil_Corn,38.853,2024-11-01
North,Pará,Oil_Palm,5584.523,2024-11-01
North,Rondônia,Oil_Palm,41.758,2024-11-01
Mid-West,Goiás,Oil_Soy,88238.459,2024-11-01
Mid-West,Mato Grosso,Oil_Soy,140244.927,2024-11-01
Mid-West,Mato Grosso do Sul,Oil_Soy,45248.577,2024-11-01
Northeast,Bahia,Oil_Soy,40096.17,2024-11-01
Northeast,Piauí,Oil_Soy,6560.723,2024-11-01
North,Pará,Oil_Soy,2474.084,2024-11-01
North,Rondônia,Oil_Soy,2399.96,2024-11-01
North,Tocantins,Oil_Soy,22126.802,2024-11-01
Southeast,Rio de Janeiro,Oil_Soy,2107.064,2024-11-01
Southeast,São Paulo,Oil_Soy,9892.848,2024-11-01
South,Paraná,Oil_Soy,80566.824,2024-11-01
South,Rio Grande do Sul,Oil_Soy,176750.728,2024-11-01
South,Santa Catarina,Oil_Soy,17900.938,2024-11-01
North,Pará,OUTROS ÁCIDOS GRAXOS,1634.236,2024-11-01
Southeast,São Paulo,OUTROS ÁCIDOS GRAXOS,778.204,2024-11-01
Mid-West,Goiás,Fatty_Acid_Other,16015.765,2024-11-01
Mid-West,Mato Grosso,Fatty_Acid_Other,17738.029,2024-11-01
Northeast,Bahia,Fatty_Acid_Other,4316.418,2024-11-01
North,Pará,Fatty_Acid_Other,208.809,2024-11-01
North,Tocantins,Fatty_Acid_Other,9.246,2024-11-01
Southeast,Minas Gerais,Fatty_Acid_Other,6403.121,2024-11-01
Southeast,Rio de Janeiro,Fatty_Acid_Other,1400.535,2024-11-01
Southeast,São Paulo,Fatty_Acid_Other,18250.315,2024-11-01
South,Paraná,Fatty_Acid_Other,17516.496,2024-11-01
South,Rio Grande do Sul,Fatty_Acid_Other,13431.893,2024-11-01
South,Santa Catarina,Fatty_Acid_Other,23740.775,2024-11-01
Mid-West,Goiás,Fatty_Acid_Soy,712.869,2024-10-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,1201.375,2024-10-01
Mid-West,Goiás,Tallow_Cattle,10134.575,2024-10-01
Mid-West,Mato Grosso,Tallow_Cattle,4042.727,2024-10-01
Northeast,Bahia,Tallow_Cattle,14594.074,2024-10-01
North,Pará,Tallow_Cattle,8008.541,2024-10-01
North,Rondônia,Tallow_Cattle,1903.921,2024-10-01
Southeast,São Paulo,Tallow_Cattle,359.045,2024-10-01
South,Paraná,Tallow_Cattle,5107.005,2024-10-01
South,Rio Grande do Sul,Tallow_Cattle,12988.228,2024-10-01
South,Paraná,Tallow_Chicken,923.482,2024-10-01
Mid-West,Goiás,Tallow_Pork,5922.001,2024-10-01
Southeast,Rio de Janeiro,Tallow_Pork,8300.891,2024-10-01
South,Paraná,Tallow_Pork,208.622,2024-10-01
South,Rio Grande do Sul,Tallow_Pork,2766.74,2024-10-01
Mid-West,Goiás,Oil_Cotton,2845.812,2024-10-01
Mid-West,Mato Grosso,Oil_Cotton,8893.515,2024-10-01
Northeast,Bahia,Oil_Cotton,4695.987,2024-10-01
South,Rio Grande do Sul,Oil_Canola,2416.901,2024-10-01
Mid-West,Goiás,UCO,129.221,2024-10-01
Northeast,Bahia,UCO,1611.564,2024-10-01
North,Pará,UCO,325.144,2024-10-01
North,Rondônia,UCO,274.367,2024-10-01
Southeast,Rio de Janeiro,UCO,4147.957,2024-10-01
Southeast,São Paulo,UCO,15.987,2024-10-01
South,Paraná,UCO,1326.049,2024-10-01
South,Rio Grande do Sul,UCO,1107.624,2024-10-01
Mid-West,Goiás,Oil_Corn,1738.013,2024-10-01
Northeast,Bahia,Oil_Corn,2616.917,2024-10-01
Southeast,Minas Gerais,Oil_Corn,2668.844,2024-10-01
Southeast,São Paulo,Oil_Corn,1793.473,2024-10-01
South,Paraná,Oil_Corn,594.255,2024-10-01
Northeast,Bahia,Oil_Palm,1110.808,2024-10-01
North,Pará,Oil_Palm,3461.998,2024-10-01
Mid-West,Goiás,Oil_Soy,121242.626,2024-10-01
Mid-West,Mato Grosso,Oil_Soy,143245.959,2024-10-01
Mid-West,Mato Grosso do Sul,Oil_Soy,64112.726,2024-10-01
Northeast,Bahia,Oil_Soy,40183.288,2024-10-01
Northeast,Piauí,Oil_Soy,7087.188,2024-10-01
North,Pará,Oil_Soy,3101.71,2024-10-01
North,Rondônia,Oil_Soy,675.72,2024-10-01
North,Tocantins,Oil_Soy,45259.822,2024-10-01
Southeast,Rio de Janeiro,Oil_Soy,41.809,2024-10-01
Southeast,São Paulo,Oil_Soy,8422.131,2024-10-01
South,Paraná,Oil_Soy,90774.105,2024-10-01
South,Rio Grande do Sul,Oil_Soy,197521.238,2024-10-01
South,Santa Catarina,Oil_Soy,18062.545,2024-10-01
North,Pará,OUTROS ÁCIDOS GRAXOS,2048.294,2024-10-01
Southeast,São Paulo,OUTROS ÁCIDOS GRAXOS,391.715,2024-10-01
Mid-West,Goiás,Fatty_Acid_Other,13703.002,2024-10-01
Mid-West,Mato Grosso,Fatty_Acid_Other,21501.409,2024-10-01
Northeast,Bahia,Fatty_Acid_Other,6652.726,2024-10-01
North,Pará,Fatty_Acid_Other,162.982,2024-10-01
North,Tocantins,Fatty_Acid_Other,75.013,2024-10-01
Southeast,Minas Gerais,Fatty_Acid_Other,4938.213,2024-10-01
Southeast,Rio de Janeiro,Fatty_Acid_Other,1765.374,2024-10-01
Southeast,São Paulo,Fatty_Acid_Other,19416.994,2024-10-01
South,Paraná,Fatty_Acid_Other,20993.925,2024-10-01
South,Rio Grande do Sul,Fatty_Acid_Other,13435.965,2024-10-01
South,Santa Catarina,Fatty_Acid_Other,26679.15,2024-10-01
Mid-West,Goiás,Fatty_Acid_Soy,573.578,2024-09-01
Mid-West,Mato Grosso,Fatty_Acid_Soy,1059.605,2024-09-01
Mid-West,Goiás,Tallow_Cattle,9204.725,2024-09-01
Mid-West,Mato Grosso,Tallow_Cattle,2778.716,2024-09-01
Mid-West,Mato Grosso do Sul,Tallow_Cattle,226.132,2024-09-01
Northeast,Bahia,Tallow_Cattle,11044.966,2024-09-01
North,Pará,Tallow_Cattle,5508.159,2024-09-01
North,Rondônia,Tallow_Cattle,8139.143,2024-09-01
South,Paraná,Tallow_Cattle,6666.368,2024-09-01
South,Rio Grande do Sul,Tallow_Cattle,11936.629,2024-09-01
South,Paraná,Tallow_Chicken,663.694,2024-09-01
Mid-West,Goiás,Tallow_Pork,4721.718,2024-09-01
Southeast,Rio de Janeiro,Tallow_Pork,7772.499,2024-09-01
South,Paraná,Tallow_Pork,363.462,2024-09-01
South,Rio Grande do Sul,Tallow_Pork,3302.934,2024-09-01
Mid-West,Goiás,Oil_Cotton,3406.427,2024-09-01
Mid-West,Mato Grosso,Oil_Cotton,12140.242,2024-09-01
Northeast,Bahia,Oil_Cotton,5340.405,2024-09-01
South,Rio Grande do Sul,Oil_Canola,0.001,2024-09-01
Mid-West,Goiás,UCO,268.49,2024-09-01
Northeast,Bahia,UCO,1546.299,2024-09-01
North,Pará,UCO,45.511,2024-09-01
North,Rondônia,UCO,384.111,2024-09-01
Southeast,Rio de Janeiro,UCO,4452.46,2024-09-01
Southeast,São Paulo,UCO,16.134,2024-09-01
South,Paraná,UCO,329.281,2024-09-01
South,Rio Grande do Sul,UCO,722.828,2024-09-01
Mid-West,Goiás,Oil_Corn,1039.71,2024-09-01
Mid-West,Mato Grosso,Oil_Corn,785.626,2024-09-01
Northeast,Bahia,Oil_Corn,921.975,2024-09-01
Southeast,São Paulo,Oil_Corn,2895.518,2024-09-01
South,Paraná,Oil_Corn,768.602,2024-09-01
