DATE,BR_BIODIESEL_PRICE
2022-01-03,6.50281
2022-01-10,6.49439
2022-01-17,6.53165
2022-01-24,6.5178
2022-01-31,6.58144
2022-02-07,6.60347
2022-02-14,6.63077
2022-02-21,6.70557
2022-02-28,6.79068
2022-03-07,7.05247
2022-03-14,7.2215
2022-03-21,7.25727
2022-03-28,7.13221
2022-04-04,6.91425
2022-04-11,6.8283700000000005
2022-04-18,6.86085
2022-04-25,6.97449
2022-05-02,7.15278
2022-05-09,7.32202
2022-05-16,7.38734
2022-05-23,7.38499
2022-05-30,7.25566
2022-06-06,7.06349
2022-06-13,6.97473
2022-06-20,6.93166
2022-06-27,6.78754
2022-07-04,6.48459
2022-07-11,6.38161
2022-07-18,6.21455
2022-07-25,6.11721
2022-08-01,5.97028
2022-08-08,5.91034
2022-08-15,5.89072
2022-08-22,5.88013
2022-08-29,5.84915
2022-09-05,5.86315
2022-09-12,5.85769
2022-09-19,5.68564
2022-09-26,5.55044
2022-10-03,5.31266
2022-10-10,5.24988
2022-10-17,5.34612
2022-10-24,5.42857
2022-10-31,5.68189
2022-11-07,5.92149
2022-11-14,6.03723
2022-11-21,6.14058
2022-11-28,6.19233
2022-12-05,6.07111
2022-12-12,5.86276
2022-12-19,5.70988
2022-12-26,5.73702
2023-01-02,5.71108
2023-01-09,5.66975
2023-01-16,5.61122
2023-01-23,5.49708
2023-01-30,5.37048
2023-02-06,5.24486
2023-02-13,5.18816
2023-02-20,5.1356
2023-02-27,5.11246
2023-03-06,4.9943
2023-03-13,4.94013
2023-03-20,4.81106
2023-03-27,4.73874
2023-04-03,4.48744
2023-04-10,4.37078
2023-04-17,4.221
2023-04-24,4.15725
2023-05-01,4.08357
2023-05-08,4.04596
2023-05-15,4.0936
2023-05-22,4.05529
2023-05-29,3.95246
2023-06-05,3.86218
2023-06-12,3.89235
2023-06-19,3.98685
2023-06-26,4.03363
2023-07-03,4.07118
2023-07-10,4.1400500000000005
2023-07-17,4.1746
2023-07-24,4.1397
2023-07-31,4.18817
2023-08-07,4.24048
2023-08-14,4.21278
2023-08-21,4.21771
2023-08-28,4.23579
2023-09-04,4.25699
2023-09-11,4.29443
2023-09-18,4.26276
2023-09-25,4.26781
2023-10-02,4.23823
2023-10-09,4.21375
2023-10-16,4.19797
2023-10-23,4.21267
2023-10-30,4.24412
2023-11-06,4.31724
2023-11-13,4.43539
2023-11-20,4.50534
2023-11-27,4.65183
2023-12-04,4.66821
2023-12-11,4.55463
2023-12-18,4.47173
2023-12-25,4.4716000000000005
2024-01-01,4.4094
2024-01-08,4.40821
2024-01-15,4.2914
2024-01-22,4.1939
2024-01-29,4.11964
2024-02-05,4.13357
2024-02-12,4.10716
2024-02-19,4.07427
2024-02-26,4.08808
2024-03-04,4.17843
2024-03-11,4.2501
2024-03-18,4.43639
2024-03-25,4.57616
2024-04-01,4.60363
2024-04-08,4.60486
2024-04-15,4.66773
2024-04-22,4.73491
2024-04-29,4.66876
2024-05-06,4.56189
2024-05-13,4.53313
2024-05-20,4.59515
2024-05-27,4.6838
2024-06-03,4.68506
2024-06-10,4.75228
2024-06-17,4.92817
2024-06-24,4.99009
2024-07-01,4.95293
2024-07-08,5.04084
2024-07-15,5.06696
2024-07-22,5.16986
2024-07-29,5.23022
2024-08-05,5.25946
2024-08-12,5.16765
2024-08-19,5.09227
2024-08-26,5.06803
2024-09-02,5.11473
2024-09-09,5.24025
2024-09-16,5.26019
2024-09-23,5.32638
2024-09-30,5.42706
2024-10-07,5.4934
2024-10-14,5.54775
2024-10-21,5.74362
2024-10-28,5.93204
2024-11-04,6.19187
2024-11-11,6.38336
2024-11-18,6.53788
2024-11-25,6.46368
2024-12-02,6.43095
2024-12-09,6.31071
2024-12-16,6.3471
2024-12-23,6.3298
2024-12-30,6.21448
2025-01-06,6.13904
2025-01-13,5.95944
2025-01-20,6.02562
2025-01-27,6.08491
2025-02-03,5.9145
2025-02-10,5.9055100000000005
2025-02-17,5.99016
2025-02-24,5.96926
2025-03-03,5.7966
2025-03-10,5.76056
2025-03-17,5.74196
2025-03-24,5.62319
