Region,Production,Date
Mid-West,288158.288,2025-02-01
Northeast,51036.793,2025-02-01
North,31931.295,2025-02-01
Southeast,36796.397,2025-02-01
South,289643.7,2025-02-01
Mid-West,231923.082,2025-01-01
Northeast,55805.181,2025-01-01
North,36068.632,2025-01-01
Southeast,47786.804,2025-01-01
South,271808.965,2025-01-01
Mid-West,264622.253,2024-12-01
Northeast,63111.504,2024-12-01
North,27278.409,2024-12-01
Southeast,48235.498,2024-12-01
South,291861.845,2024-12-01
Mid-West,309601.973,2024-11-01
Northeast,75426.925,2024-11-01
North,32513.8,2024-11-01
Southeast,58481.282,2024-11-01
South,339188.836,2024-11-01
Mid-West,323743.681,2024-10-01
Northeast,81763.388,2024-10-01
North,34255.921,2024-10-01
Southeast,55006.009,2024-10-01
South,350779.552,2024-10-01
Mid-West,318436.863,2024-09-01
Northeast,75760.882,2024-09-01
North,41282.944,2024-09-01
Southeast,52470.167,2024-09-01
South,329008.707,2024-09-01
Mid-West,337922.523,2024-08-01
Northeast,75960.308,2024-08-01
North,34385.12,2024-08-01
Southeast,49868.389,2024-08-01
South,342426.094,2024-08-01
Mid-West,341053.243,2024-07-01
Northeast,70757.804,2024-07-01
North,39243.701,2024-07-01
Southeast,47986.283,2024-07-01
South,323043.593,2024-07-01
Mid-West,319917.257,2024-06-01
Northeast,63598.563,2024-06-01
North,34946.451,2024-06-01
Southeast,45562.139,2024-06-01
South,306353.679,2024-06-01
Mid-West,303058.878,2024-05-01
Northeast,66327.959,2024-05-01
North,37831.508,2024-05-01
Southeast,43816.598,2024-05-01
South,284057.137,2024-05-01
Mid-West,296929.079,2024-04-01
Northeast,57128.862,2024-04-01
North,36438.513,2024-04-01
Southeast,42327.93,2024-04-01
South,332016.928,2024-04-01
Mid-West,299006.95,2024-03-01
Northeast,65423.725,2024-03-01
North,35101.95,2024-03-01
Southeast,43505.225,2024-03-01
South,301579.716,2024-03-01
Mid-West,269085.53,2024-02-01
Northeast,43860.448,2024-02-01
North,22416.449,2024-02-01
Southeast,39582.866,2024-02-01
South,261612.252,2024-02-01
Mid-West,239295.94,2024-01-01
Northeast,51286.081,2024-01-01
North,19992.47,2024-01-01
Southeast,40554.13,2024-01-01
South,264604.578,2024-01-01
Mid-West,266812.207,2023-12-01
Northeast,51669.378,2023-12-01
North,20244.53,2023-12-01
Southeast,44307.767,2023-12-01
South,294832.252,2023-12-01
Mid-West,275295.498,2023-11-01
Northeast,55304.174,2023-11-01
North,25965.127,2023-11-01
Southeast,43089.126,2023-11-01
South,300570.157,2023-11-01
Mid-West,297790.748,2023-10-01
Northeast,52442.22,2023-10-01
North,24711.145,2023-10-01
Southeast,38987.319,2023-10-01
South,290269.87,2023-10-01
Mid-West,270560.969,2023-09-01
Northeast,57404.475,2023-09-01
North,23173.413,2023-09-01
Southeast,36452.971,2023-09-01
South,285071.846,2023-09-01
Mid-West,296779.638,2023-08-01
Northeast,58716.386,2023-08-01
North,27730.994,2023-08-01
Southeast,37995.138,2023-08-01
South,286558.428,2023-08-01
Mid-West,292919.725,2023-07-01
Northeast,58281.09,2023-07-01
North,36577.892,2023-07-01
Southeast,40234.913,2023-07-01
South,289376.863,2023-07-01
Mid-West,277670.042,2023-06-01
Northeast,49976.963,2023-06-01
North,25050.455,2023-06-01
Southeast,29536.936,2023-06-01
South,275022.664,2023-06-01
Mid-West,272311.097,2023-05-01
Northeast,51348.243,2023-05-01
North,27626.491,2023-05-01
Southeast,29858.977,2023-05-01
South,267613.069,2023-05-01
Mid-West,217336.018,2023-04-01
Northeast,44102.44,2023-04-01
North,23687.778,2023-04-01
Southeast,39386.917,2023-04-01
South,253900.45,2023-04-01
Mid-West,217767.75,2023-03-01
Northeast,51205.649,2023-03-01
North,23578.869,2023-03-01
Southeast,32367.93,2023-03-01
South,227782.313,2023-03-01
Mid-West,185965.219,2023-02-01
Northeast,41727.155,2023-02-01
North,13019.108,2023-02-01
Southeast,29652.442,2023-02-01
South,185087.958,2023-02-01
Mid-West,164917.408,2023-01-01
Northeast,52547.551,2023-01-01
North,11888.05,2023-01-01
Southeast,33710.328,2023-01-01
South,191886.14,2023-01-01
Mid-West,186467.903,2022-12-01
Northeast,54714.456,2022-12-01
North,14192.207,2022-12-01
Southeast,33697.796,2022-12-01
South,208402.726,2022-12-01
Mid-West,195290.021,2022-11-01
Northeast,50628.533,2022-11-01
North,17084.415,2022-11-01
Southeast,35506.518,2022-11-01
South,220699.036,2022-11-01
Mid-West,237399.667,2022-10-01
Northeast,50874.278,2022-10-01
North,18846.799,2022-10-01
Southeast,37014.712,2022-10-01
South,225198.69,2022-10-01
Mid-West,204221.804,2022-09-01
Northeast,59314.362,2022-09-01
North,22562.487,2022-09-01
Southeast,38672.519,2022-09-01
South,225071.371,2022-09-01
Mid-West,238631.695,2022-08-01
Northeast,62949.483,2022-08-01
North,15502.408,2022-08-01
Southeast,41346.778,2022-08-01
South,224422.754,2022-08-01
Mid-West,224524.163,2022-07-01
Northeast,60859.946,2022-07-01
North,17591.419,2022-07-01
Southeast,37200.824,2022-07-01
South,228356.675,2022-07-01
Mid-West,183916.148,2022-06-01
Northeast,58415.272,2022-06-01
North,12294.57,2022-06-01
Southeast,38348.731,2022-06-01
South,214893.743,2022-06-01
Mid-West,186867.283,2022-05-01
Northeast,51881.207,2022-05-01
North,12976.375,2022-05-01
Southeast,42120.002,2022-05-01
South,242252.086,2022-05-01
Mid-West,174825.466,2022-04-01
Northeast,52669.72,2022-04-01
North,10034.551,2022-04-01
Southeast,36548.676,2022-04-01
South,205591.95,2022-04-01
Mid-West,188629.233,2022-03-01
Northeast,43918.328,2022-03-01
North,7318.374,2022-03-01
Southeast,34803.7,2022-03-01
South,225526.029,2022-03-01
Mid-West,190557.678,2022-02-01
Northeast,41889.274,2022-02-01
North,10290.676,2022-02-01
Southeast,36125.567,2022-02-01
South,210651.199,2022-02-01
Mid-West,147268.606,2022-01-01
Northeast,43475.224,2022-01-01
North,4106.721,2022-01-01
Southeast,36814.544,2022-01-01
South,222226.38,2022-01-01
Mid-West,180827.724,2021-12-01
Northeast,43596.962,2021-12-01
North,12164.478,2021-12-01
Southeast,32662.179,2021-12-01
South,256643.637,2021-12-01
Mid-West,199121.911,2021-11-01
Northeast,38131.297,2021-11-01
North,11982.623,2021-11-01
Southeast,29622.416,2021-11-01
South,250167.939,2021-11-01
Mid-West,230379.555,2021-10-01
Northeast,42481.523,2021-10-01
North,14819.697,2021-10-01
Southeast,40797.124,2021-10-01
South,294320.852,2021-10-01
Mid-West,210862.11,2021-09-01
Northeast,45525.108,2021-09-01
North,13788.868,2021-09-01
Southeast,39347.719,2021-09-01
South,270094.277,2021-09-01
Mid-West,236556.632,2021-08-01
Northeast,27661.522,2021-08-01
North,15183.023,2021-08-01
Southeast,26949.406,2021-08-01
South,267172.462,2021-08-01
Mid-West,232189.073,2021-07-01
Northeast,27207.093,2021-07-01
North,14261.017,2021-07-01
Southeast,26959.614,2021-07-01
South,260029.049,2021-07-01
Mid-West,210130.54,2021-06-01
Northeast,32129.429,2021-06-01
North,13263.841,2021-06-01
Southeast,38112.684,2021-06-01
South,234033.316,2021-06-01
Mid-West,209133.374,2021-05-01
Northeast,26642.019,2021-05-01
North,16483.02,2021-05-01
Southeast,35092.74,2021-05-01
South,254390.842,2021-05-01
Mid-West,222597.221,2021-04-01
Northeast,48045.993,2021-04-01
North,16417.584,2021-04-01
Southeast,43139.2,2021-04-01
South,300753.812,2021-04-01
Mid-West,240771.659,2021-03-01
Northeast,47500.733,2021-03-01
North,7375.091,2021-03-01
Southeast,43213.883,2021-03-01
South,303853.846,2021-03-01
Mid-West,202724.042,2021-02-01
Northeast,37184.475,2021-02-01
North,6612.56,2021-02-01
Southeast,35087.198,2021-02-01
South,245857.097,2021-02-01
Mid-West,190709.523,2021-01-01
Northeast,36715.301,2021-01-01
North,2069.92,2021-01-01
Southeast,34292.798,2021-01-01
South,244820.434,2021-01-01
Mid-West,188201.694,2020-12-01
Northeast,32587.633,2020-12-01
North,13818.571,2020-12-01
Southeast,38390.694,2020-12-01
South,244237.114,2020-12-01
Mid-West,204008.065,2020-11-01
Northeast,38335.68,2020-11-01
North,13162.349,2020-11-01
Southeast,41904.163,2020-11-01
South,258864.557,2020-11-01
Mid-West,231263.148,2020-10-01
Northeast,44982.152,2020-10-01
North,15445.482,2020-10-01
Southeast,41916.713,2020-10-01
South,256928.38,2020-10-01
Mid-West,243543.061,2020-09-01
Northeast,45788.944,2020-09-01
North,13954.494,2020-09-01
Southeast,45956.609,2020-09-01
South,242390.616,2020-09-01
Mid-West,241402.716,2020-08-01
Northeast,48945.85,2020-08-01
North,19261.462,2020-08-01
Southeast,53365.029,2020-08-01
South,260962.768,2020-08-01
Mid-West,246622.952,2020-07-01
Northeast,46181.869,2020-07-01
North,13108.32,2020-07-01
Southeast,51609.052,2020-07-01
South,245809.103,2020-07-01
Mid-West,214654.618,2020-06-01
Northeast,38381.351,2020-06-01
North,18030.682,2020-06-01
Southeast,45728.194,2020-06-01
South,223334.993,2020-06-01
Mid-West,193985.044,2020-05-01
Northeast,31028.568,2020-05-01
North,7221.443,2020-05-01
Southeast,29452.759,2020-05-01
South,219806.551,2020-05-01
Mid-West,183534.549,2020-04-01
Northeast,26967.881,2020-04-01
North,13322.536,2020-04-01
Southeast,37684.59,2020-04-01
South,178017.274,2020-04-01
Mid-West,236029.77,2020-03-01
Northeast,39330.239,2020-03-01
North,12337.109,2020-03-01
Southeast,46941.153,2020-03-01
South,215659.532,2020-03-01
Mid-West,194821.962,2020-02-01
Northeast,43167.842,2020-02-01
North,4651.783,2020-02-01
Southeast,38961.006,2020-02-01
South,201583.594,2020-02-01
Mid-West,192705.046,2020-01-01
Northeast,42525.911,2020-01-01
North,4297.039,2020-01-01
Southeast,34210.61,2020-01-01
South,193856.905,2020-01-01
Mid-West,219073.682,2019-12-01
Northeast,40708.967,2019-12-01
North,10464.279,2019-12-01
Southeast,43176.967,2019-12-01
South,210047.846,2019-12-01
Mid-West,212218.742,2019-11-01
Northeast,40721.768,2019-11-01
North,15356.019,2019-11-01
Southeast,49817.448,2019-11-01
South,221705.554,2019-11-01
Mid-West,242944.351,2019-10-01
Northeast,42216.705,2019-10-01
North,10808.821,2019-10-01
Southeast,52424.913,2019-10-01
South,235329.945,2019-10-01
Mid-West,231733.598,2019-09-01
Northeast,41539.573,2019-09-01
North,9162.523,2019-09-01
Southeast,47338.524,2019-09-01
South,228750.053,2019-09-01
Mid-West,214380.35,2019-08-01
Northeast,36508.967,2019-08-01
North,9557.285,2019-08-01
Southeast,42687.378,2019-08-01
South,200011.568,2019-08-01
Mid-West,212066.729,2019-07-01
Northeast,35938.143,2019-07-01
North,8987.208,2019-07-01
Southeast,34582.489,2019-07-01
South,203769.711,2019-07-01
Mid-West,188814.599,2019-06-01
Northeast,38328.357,2019-06-01
North,9337.563,2019-06-01
Southeast,38695.658,2019-06-01
South,186437.233,2019-06-01
Mid-West,178050.428,2019-05-01
Northeast,38695.353,2019-05-01
North,9204.898,2019-05-01
Southeast,34341.193,2019-05-01
South,188060.387,2019-05-01
Mid-West,196464.888,2019-04-01
Northeast,31054.612,2019-04-01
North,8349.75,2019-04-01
Southeast,40320.569,2019-04-01
South,188711.738,2019-04-01
Mid-West,197369.762,2019-03-01
Northeast,31655.084,2019-03-01
North,9260.306,2019-03-01
Southeast,36275.181,2019-03-01
South,187573.572,2019-03-01
Mid-West,170504.981,2019-02-01
Northeast,37157.111,2019-02-01
North,4853.157,2019-02-01
Southeast,38012.245,2019-02-01
South,164721.301,2019-02-01
Mid-West,179858.266,2019-01-01
Northeast,39800.953,2019-01-01
North,3009.033,2019-01-01
Southeast,42202.267,2019-01-01
South,181637.252,2019-01-01
Mid-West,190629.344,2018-12-01
Northeast,40383.766,2018-12-01
North,12599.75,2018-12-01
Southeast,42301.748,2018-12-01
South,187756.267,2018-12-01
Mid-West,198666.199,2018-11-01
Northeast,40036.027,2018-11-01
North,9736.037,2018-11-01
Southeast,35724.845,2018-11-01
South,194941.454,2018-11-01
Mid-West,215743.064,2018-10-01
Northeast,33142.928,2018-10-01
North,7598.709,2018-10-01
Southeast,40284.889,2018-10-01
South,203546.668,2018-10-01
Mid-West,202559.27,2018-09-01
Northeast,33110.742,2018-09-01
North,6537.825,2018-09-01
Southeast,44376.098,2018-09-01
South,193348.585,2018-09-01
Mid-West,189064.28,2018-08-01
Northeast,26974.675,2018-08-01
North,14131.56,2018-08-01
Southeast,45549.983,2018-08-01
South,210122.226,2018-08-01
Mid-West,192410.919,2018-07-01
Northeast,30669.0,2018-07-01
North,11521.18,2018-07-01
Southeast,40568.492,2018-07-01
South,213910.147,2018-07-01
Mid-West,190231.711,2018-06-01
Northeast,29481.485,2018-06-01
North,7888.242,2018-06-01
Southeast,39827.806,2018-06-01
South,199468.319,2018-06-01
Mid-West,154667.78,2018-05-01
Northeast,27872.943,2018-05-01
North,9832.911,2018-05-01
Southeast,31923.577,2018-05-01
