Region_Supply,Region_Demand,Sales,Date
Mid-West,Mid-West,35379.798,2017-01-01
Northeast,Other,89.316,2017-01-01
South,Other,130.007,2017-01-01
Mid-West,Northeast,35581.131,2017-01-01
Northeast,Northeast,20324.386,2017-01-01
Southeast,Northeast,6201.199,2017-01-01
South,Northeast,294.226,2017-01-01
Mid-West,North,7783.813,2017-01-01
Mid-West,Southeast,26634.568,2017-01-01
Northeast,Southeast,421.146,2017-01-01
Southeast,Southeast,17851.154,2017-01-01
South,Southeast,47590.706,2017-01-01
Mid-West,South,788.323,2017-01-01
South,South,56343.163,2017-01-01
Mid-West,Mid-West,36462.762,2017-02-01
Northeast,Other,90.217,2017-02-01
South,Other,43.692,2017-02-01
Mid-West,Northeast,29108.305,2017-02-01
Northeast,Northeast,17420.72,2017-02-01
Southeast,Northeast,5644.683,2017-02-01
Mid-West,North,7517.155,2017-02-01
Mid-West,Southeast,33193.515,2017-02-01
Northeast,Southeast,376.376,2017-02-01
Southeast,Southeast,17106.63,2017-02-01
South,Southeast,43243.424,2017-02-01
Mid-West,South,1282.7,2017-02-01
Southeast,South,330.473,2017-02-01
South,South,60460.779,2017-02-01
Mid-West,Mid-West,47977.564,2017-03-01
Mid-West,Northeast,30677.454,2017-03-01
Northeast,Northeast,22022.344,2017-03-01
Southeast,Northeast,7152.376,2017-03-01
Mid-West,North,16297.171,2017-03-01
North,North,338.709,2017-03-01
Mid-West,Southeast,44342.871,2017-03-01
Southeast,Southeast,12200.482,2017-03-01
South,Southeast,62465.777,2017-03-01
Mid-West,South,1727.971,2017-03-01
Southeast,South,41.747,2017-03-01
South,South,91680.449,2017-03-01
Mid-West,Mid-West,38300.118,2017-04-01
Mid-West,Northeast,36534.061,2017-04-01
Northeast,Northeast,21340.755,2017-04-01
Southeast,Northeast,6175.147,2017-04-01
South,Northeast,43.771,2017-04-01
Mid-West,North,10159.929,2017-04-01
Mid-West,Southeast,47759.974,2017-04-01
Southeast,Southeast,11904.55,2017-04-01
South,Southeast,59909.058,2017-04-01
Mid-West,South,1017.901,2017-04-01
South,South,82174.767,2017-04-01
Mid-West,Mid-West,44267.748,2017-05-01
North,Mid-West,180.896,2017-05-01
Mid-West,Northeast,44247.632,2017-05-01
Northeast,Northeast,21487.045,2017-05-01
Southeast,Northeast,7309.316,2017-05-01
Mid-West,North,13283.663,2017-05-01
Mid-West,Southeast,47427.671,2017-05-01
Southeast,Southeast,17489.982,2017-05-01
South,Southeast,71279.266,2017-05-01
Mid-West,South,1726.351,2017-05-01
South,South,85200.741,2017-05-01
Mid-West,Mid-West,47409.387,2017-06-01
North,Mid-West,172.695,2017-06-01
Southeast,Mid-West,285.398,2017-06-01
Mid-West,Northeast,38902.653,2017-06-01
Northeast,Northeast,21000.138,2017-06-01
North,Northeast,197.655,2017-06-01
Southeast,Northeast,8153.167,2017-06-01
South,Northeast,34.867,2017-06-01
Mid-West,North,16653.428,2017-06-01
Mid-West,Southeast,43962.826,2017-06-01
Southeast,Southeast,17737.724,2017-06-01
South,Southeast,66476.109,2017-06-01
Mid-West,South,3482.776,2017-06-01
South,South,82063.809,2017-06-01
Mid-West,Mid-West,46475.576,2017-07-01
Southeast,Mid-West,33.295,2017-07-01
Mid-West,Northeast,37062.079,2017-07-01
Northeast,Northeast,25147.059,2017-07-01
North,Northeast,386.441,2017-07-01
Southeast,Northeast,5844.711,2017-07-01
Mid-West,North,17304.463,2017-07-01
Mid-West,Southeast,49335.365,2017-07-01
Northeast,Southeast,42.639,2017-07-01
Southeast,Southeast,23890.019,2017-07-01
South,Southeast,60895.846,2017-07-01
Mid-West,South,1539.801,2017-07-01
Southeast,South,44.366,2017-07-01
South,South,88573.861,2017-07-01
Mid-West,Mid-West,48724.542,2017-08-01
Mid-West,Northeast,40601.593,2017-08-01
Northeast,Northeast,28537.574,2017-08-01
Southeast,Northeast,959.951,2017-08-01
Mid-West,North,19115.75,2017-08-01
North,North,44.757,2017-08-01
Mid-West,Southeast,53845.332,2017-08-01
Northeast,Southeast,430.53,2017-08-01
Southeast,Southeast,31926.66,2017-08-01
South,Southeast,68200.533,2017-08-01
Mid-West,South,1560.342,2017-08-01
Southeast,South,41.937,2017-08-01
South,South,90327.369,2017-08-01
Mid-West,Mid-West,41975.783,2017-09-01
Mid-West,Northeast,44603.717,2017-09-01
Northeast,Northeast,27720.935,2017-09-01
North,Northeast,620.065,2017-09-01
Mid-West,North,18195.074,2017-09-01
North,North,178.232,2017-09-01
Mid-West,Southeast,43426.464,2017-09-01
Northeast,Southeast,87.358,2017-09-01
Southeast,Southeast,37307.081,2017-09-01
South,Southeast,69779.526,2017-09-01
Mid-West,South,982.829,2017-09-01
South,South,97717.09,2017-09-01
Mid-West,Mid-West,46218.977,2017-10-01
Southeast,Mid-West,85.462,2017-10-01
South,Mid-West,372.829,2017-10-01
Mid-West,Northeast,45655.589,2017-10-01
Northeast,Northeast,29744.542,2017-10-01
North,Northeast,577.895,2017-10-01
Southeast,Northeast,117.99,2017-10-01
Mid-West,North,20670.484,2017-10-01
North,North,251.303,2017-10-01
Mid-West,Southeast,39428.639,2017-10-01
Southeast,Southeast,37836.925,2017-10-01
South,Southeast,68162.81,2017-10-01
Mid-West,South,497.618,2017-10-01
Southeast,South,43.859,2017-10-01
South,South,97549.127,2017-10-01
Mid-West,Mid-West,40007.313,2017-11-01
Southeast,Mid-West,57.218,2017-11-01
Mid-West,Northeast,45166.694,2017-11-01
Northeast,Northeast,28584.581,2017-11-01
North,Northeast,302.077,2017-11-01
Southeast,Northeast,80.631,2017-11-01
South,Northeast,392.744,2017-11-01
Mid-West,North,19643.465,2017-11-01
North,North,686.169,2017-11-01
Mid-West,Southeast,40149.268,2017-11-01
Northeast,Southeast,671.829,2017-11-01
Southeast,Southeast,29097.749,2017-11-01
South,Southeast,69702.383,2017-11-01
Mid-West,South,1117.591,2017-11-01
South,South,87912.201,2017-11-01
Mid-West,Mid-West,35869.783,2017-12-01
Mid-West,Northeast,50686.918,2017-12-01
Northeast,Northeast,26171.292,2017-12-01
North,Northeast,296.957,2017-12-01
Southeast,Northeast,83.615,2017-12-01
South,Northeast,315.432,2017-12-01
Mid-West,North,16400.669,2017-12-01
North,North,665.821,2017-12-01
Mid-West,Southeast,35966.7,2017-12-01
Southeast,Southeast,28945.644,2017-12-01
South,Southeast,63108.565,2017-12-01
South,South,83599.129,2017-12-01
Mid-West,Mid-West,33992.648,2018-01-01
Mid-West,Northeast,26378.913,2018-01-01
Northeast,Northeast,28595.409,2018-01-01
Southeast,Northeast,910.18,2018-01-01
Mid-West,North,27650.215,2018-01-01
North,North,387.77,2018-01-01
Mid-West,Southeast,34186.057,2018-01-01
Southeast,Southeast,25542.773,2018-01-01
South,Southeast,65302.343,2018-01-01
Mid-West,South,84.003,2018-01-01
South,South,70956.94,2018-01-01
Mid-West,Mid-West,45210.257,2018-02-01
Northeast,Mid-West,336.13,2018-02-01
Southeast,Mid-West,29.802,2018-02-01
Southeast,Other,12520.0,2018-02-01
South,Other,0.989,2018-02-01
Mid-West,Northeast,22678.225,2018-02-01
Northeast,Northeast,27419.975,2018-02-01
North,Northeast,74.375,2018-02-01
Southeast,Northeast,962.159,2018-02-01
Mid-West,North,27710.101,2018-02-01
North,North,395.251,2018-02-01
Mid-West,Southeast,32343.014,2018-02-01
Southeast,Southeast,25711.642,2018-02-01
South,Southeast,61847.061,2018-02-01
Mid-West,South,221.578,2018-02-01
South,South,81887.461,2018-02-01
Mid-West,Mid-West,55121.612,2018-03-01
North,Mid-West,2114.54,2018-03-01
South,Other,0.006,2018-03-01
Mid-West,Northeast,36510.067,2018-03-01
Northeast,Northeast,27092.884,2018-03-01
North,Northeast,4498.459,2018-03-01
Mid-West,North,32563.978,2018-03-01
North,North,357.192,2018-03-01
Mid-West,Southeast,49461.328,2018-03-01
Northeast,Southeast,1159.897,2018-03-01
