Date,Total_Volume
2019-01-01,262818.0
2019-02-01,274669.0
2019-03-01,271828.0
2019-04-01,282103.0
2019-05-01,273253.0
2019-06-01,271822.0
2019-07-01,281217.0
2019-08-01,290578.0
2019-09-01,290033.0
2019-10-01,256687.0
2019-11-01,278830.0
2019-12-01,296217.0
2020-01-01,289471.0
2020-02-01,280126.0
2020-03-01,278239.0
2020-04-01,212905.0
2020-05-01,265756.0
2020-06-01,276759.0
2020-07-01,286486.0
2020-08-01,305449.0
2020-09-01,295839.0
2020-10-01,297892.0
2020-11-01,295112.0
2020-12-01,288152.0
2021-01-01,281723.0
2021-02-01,302112.0
2021-03-01,281467.0
2021-04-01,234359.0
2021-05-01,263133.0
2021-06-01,292934.0
2021-07-01,300814.0
2021-08-01,290577.0
2021-09-01,302397.0
2021-10-01,313755.0
2021-11-01,302858.0
2021-12-01,303470.0
2022-01-01,298181.0
2022-02-01,307469.0
2022-03-01,315252.0
2022-04-01,317627.0
2022-05-01,305035.0
2022-06-01,316104.0
2022-07-01,324844.0
2022-08-01,313800.0
2022-09-01,287355.0
2022-10-01,291146.0
2022-11-01,297261.0
2022-12-01,312818.0
2023-01-01,309898.0
2023-02-01,305201.0
2023-03-01,298834.0
2023-04-01,311426.0
2023-05-01,324611.0
2023-06-01,328834.0
2023-07-01,322332.0
2023-08-01,327402.0
2023-09-01,328550.0
2023-10-01,327742.0
2023-11-01,319349.0
2023-12-01,317093.0
2024-01-01,323882.0
2024-02-01,316447.0
2024-03-01,314541.0
2024-04-01,307542.0
2024-05-01,305020.0
2024-06-01,313861.0
2024-07-01,317547.0
2024-08-01,318300.0
2024-09-01,318520.0
2024-10-01,317120.0
2024-11-01,318364.0
2024-12-01,323520.0
2025-01-01,313707.0
2025-02-01,309694.0
