DATE,BR_BRFS3_PRICE
2002-01-02,2.5
2002-01-03,2.6
2002-01-04,2.5
2002-01-07,2.51
2002-01-08,2.517
2002-01-09,2.667
2002-01-10,2.6
2002-01-11,2.583
2002-01-14,2.55
2002-01-16,2.582
2002-01-17,2.617
2002-01-18,2.608
2002-01-21,2.598
2002-01-22,2.583
2002-01-23,2.567
2002-01-24,2.533
2002-01-28,2.542
2002-01-29,2.533
2002-01-30,2.583
2002-01-31,2.6
2002-02-01,2.633
2002-02-04,2.583
2002-02-05,2.568
2002-02-06,2.683
2002-02-07,2.65
2002-02-08,2.625
2002-02-13,2.633
2002-02-14,2.667
2002-02-15,2.617
2002-02-18,2.583
2002-02-19,2.567
2002-02-20,2.567
2002-02-21,2.533
2002-02-22,2.5
2002-02-25,2.6
2002-02-26,2.585
2002-02-27,2.6
2002-02-28,2.6
2002-03-01,2.568
2002-03-04,2.633
2002-03-05,2.55
2002-03-06,2.558
2002-03-07,2.6
2002-03-08,2.667
2002-03-11,2.717
2002-03-12,2.765
2002-03-13,2.8
2002-03-14,2.783
2002-03-15,2.782
2002-03-18,2.717
2002-03-19,2.717
2002-03-20,2.667
2002-03-21,2.667
2002-03-22,2.683
2002-03-25,2.633
2002-03-26,2.617
2002-03-27,2.633
2002-03-28,2.667
2002-04-01,2.75
2002-04-02,2.748
2002-04-03,2.683
2002-04-04,2.667
2002-04-05,2.682
2002-04-08,2.682
2002-04-09,2.633
2002-04-10,2.617
2002-04-11,2.627
2002-04-12,2.667
2002-04-15,2.683
2002-04-16,2.75
2002-04-17,2.767
2002-04-18,2.718
2002-04-19,2.733
2002-04-22,2.767
2002-04-23,2.767
2002-04-24,2.733
2002-04-25,2.75
2002-04-26,2.748
2002-04-29,2.733
2002-04-30,2.717
2002-05-02,2.717
2002-05-03,2.733
2002-05-06,2.692
2002-05-07,2.7
2002-05-08,2.683
2002-05-09,2.683
2002-05-10,2.617
2002-05-13,2.567
2002-05-14,2.583
2002-05-15,2.533
2002-05-16,2.538
2002-05-17,2.5
2002-05-20,2.492
2002-05-21,2.5
2002-05-22,2.5
2002-05-23,2.467
2002-05-24,2.467
2002-05-27,2.467
2002-05-28,2.5
2002-05-29,2.583
2002-05-31,2.525
2002-06-03,2.525
2002-06-04,2.55
2002-06-05,2.55
2002-06-06,2.55
2002-06-07,2.5
2002-06-10,2.5
2002-06-11,2.483
2002-06-12,2.467
2002-06-13,2.4
2002-06-14,2.267
2002-06-17,2.3
2002-06-18,2.25
2002-06-19,2.242
2002-06-20,2.167
2002-06-21,2.167
2002-06-24,2.25
2002-06-25,2.283
2002-06-26,2.333
2002-06-27,2.367
2002-06-28,2.4
2002-07-01,2.415
2002-07-02,2.415
2002-07-03,2.258
2002-07-04,2.225
2002-07-05,2.167
2002-07-08,2.158
2002-07-10,2.183
2002-07-11,2.183
2002-07-12,2.167
2002-07-15,2.175
2002-07-16,2.175
2002-07-17,2.185
2002-07-18,2.178
2002-07-19,2.183
2002-07-22,2.15
2002-07-23,2.142
2002-07-24,2.103
2002-07-25,2.05
2002-07-26,2.15
2002-07-29,2.082
2002-07-30,2.032
2002-07-31,2.067
2002-08-01,2.1
2002-08-02,2.053
2002-08-05,2.025
2002-08-06,2.017
2002-08-07,1.967
2002-08-08,2.053
2002-08-09,2.0
2002-08-12,2.0
2002-08-13,2.0
2002-08-14,1.95
2002-08-15,1.952
2002-08-16,2.05
2002-08-19,1.992
2002-08-20,2.0
2002-08-21,2.083
2002-08-22,2.075
2002-08-23,2.058
2002-08-26,2.067
2002-08-27,2.067
2002-08-28,2.083
2002-08-29,2.083
2002-08-30,2.025
2002-09-02,2.033
2002-09-03,2.067
2002-09-04,2.042
2002-09-05,2.017
2002-09-06,2.017
2002-09-09,2.017
2002-09-10,1.992
2002-09-11,2.0
2002-09-12,2.0
2002-09-13,2.0
2002-09-16,1.992
2002-09-17,1.975
2002-09-18,1.933
2002-09-19,1.933
2002-09-20,1.933
2002-09-23,1.9
2002-09-24,1.917
2002-09-25,1.858
2002-09-26,1.867
2002-09-27,1.883
2002-09-30,1.833
2002-10-01,1.867
2002-10-02,1.867
2002-10-03,1.867
2002-10-04,1.865
2002-10-07,1.833
2002-10-08,1.833
2002-10-09,1.833
2002-10-10,1.752
2002-10-11,1.76
2002-10-14,1.7
2002-10-15,1.71
2002-10-16,1.747
2002-10-17,1.733
2002-10-18,1.733
2002-10-21,1.677
2002-10-22,1.657
2002-10-23,1.725
2002-10-24,1.725
2002-10-25,1.767
2002-10-28,1.825
2002-10-29,1.833
2002-10-30,1.917
2002-10-31,1.967
2002-11-01,1.925
2002-11-04,1.933
2002-11-05,1.9
2002-11-06,1.857
2002-11-07,1.833
2002-11-08,1.783
2002-11-11,1.775
2002-11-12,1.767
2002-11-13,1.8
2002-11-14,1.898
2002-11-18,1.858
2002-11-19,1.833
2002-11-20,1.8
2002-11-21,1.833
2002-11-22,1.875
2002-11-25,1.865
2002-11-26,1.855
2002-11-27,1.942
2002-11-28,1.948
2002-11-29,1.967
2002-12-02,1.975
2002-12-03,1.942
2002-12-04,1.942
2002-12-05,1.883
2002-12-06,1.9
2002-12-09,1.9
2002-12-10,1.883
2002-12-11,1.867
2002-12-12,1.883
2002-12-13,1.883
2002-12-16,1.842
2002-12-17,1.933
2002-12-18,1.933
2002-12-19,1.992
2002-12-20,2.033
2002-12-23,2.067
2002-12-26,2.05
2002-12-27,2.05
2002-12-30,2.033
2003-01-02,2.145
2003-01-03,2.125
2003-01-06,2.15
2003-01-07,2.107
2003-01-08,2.067
2003-01-09,2.048
2003-01-10,2.0
2003-01-13,2.0
2003-01-14,1.983
2003-01-15,1.987
2003-01-16,2.0
2003-01-17,1.983
2003-01-20,1.933
2003-01-21,1.867
2003-01-22,1.832
2003-01-23,1.832
2003-01-24,1.825
2003-01-27,1.783
2003-01-28,1.782
2003-01-29,1.815
2003-01-30,1.783
2003-01-31,1.78
2003-02-03,1.767
2003-02-04,1.75
2003-02-05,1.74
2003-02-06,1.742
2003-02-07,1.725
2003-02-10,1.7
2003-02-11,1.725
2003-02-12,1.712
2003-02-13,1.642
2003-02-14,1.667
2003-02-17,1.645
2003-02-18,1.667
2003-02-19,1.608
2003-02-20,1.597
2003-02-21,1.607
2003-02-24,1.592
2003-02-25,1.598
2003-02-26,1.592
2003-02-27,1.598
2003-02-28,1.633
2003-03-05,1.608
2003-03-06,1.608
2003-03-07,1.608
2003-03-10,1.608
2003-03-11,1.583
2003-03-12,1.575
2003-03-13,1.6
2003-03-14,1.583
2003-03-17,1.592
2003-03-18,1.632
2003-03-19,1.583
2003-03-20,1.583
2003-03-21,1.59
2003-03-24,1.583
2003-03-25,1.65
2003-03-26,1.715
2003-03-27,1.775
2003-03-28,1.8
2003-03-31,1.783
2003-04-01,1.782
2003-04-02,1.848
2003-04-03,1.84
2003-04-04,1.84
2003-04-07,1.842
2003-04-08,1.84
2003-04-09,1.842
2003-04-10,1.875
2003-04-11,1.858
2003-04-14,1.848
2003-04-15,1.87
2003-04-16,1.9
2003-04-17,1.917
2003-04-22,1.917
2003-04-23,1.928
2003-04-24,1.942
2003-04-25,1.927
2003-04-28,1.933
2003-04-29,1.932
2003-04-30,1.93
2003-05-02,1.95
2003-05-05,1.923
2003-05-06,1.958
2003-05-07,1.975
2003-05-08,1.983
2003-05-09,2.067
2003-05-12,2.068
2003-05-13,2.033
2003-05-14,2.058
2003-05-15,1.95
2003-05-16,1.958
2003-05-19,2.083
2003-05-20,2.275
2003-05-21,2.222
2003-05-22,2.215
2003-05-23,2.133
2003-05-26,2.092
2003-05-27,2.133
2003-05-28,2.167
2003-05-29,2.2
2003-05-30,2.2
2003-06-02,2.192
2003-06-03,2.195
2003-06-04,2.167
2003-06-05,2.133
2003-06-06,2.128
2003-06-09,2.117
2003-06-10,2.125
2003-06-11,2.125
2003-06-12,2.117
2003-06-13,2.145
2003-06-16,2.142
2003-06-17,2.108
2003-06-18,2.108
2003-06-20,2.117
2003-06-23,2.1
2003-06-24,2.125
2003-06-25,2.108
2003-06-26,2.15
2003-06-27,2.083
2003-06-30,1.992
2003-07-01,2.0
2003-07-02,2.0
2003-07-03,2.0
2003-07-04,2.008
2003-07-07,1.935
2003-07-08,1.935
2003-07-10,1.95
2003-07-11,1.983
2003-07-14,2.0
2003-07-15,2.065
2003-07-16,2.1
2003-07-17,2.155
2003-07-18,2.133
2003-07-21,2.092
2003-07-22,2.092
2003-07-23,2.1
2003-07-24,2.073
2003-07-25,2.083
2003-07-28,2.1
2003-07-29,2.167
2003-07-30,2.253
2003-07-31,2.303
2003-08-01,2.257
2003-08-04,2.25
2003-08-05,2.217
2003-08-06,2.2
2003-08-07,2.28
2003-08-08,2.267
2003-08-11,2.287
2003-08-12,2.267
2003-08-13,2.267
2003-08-14,2.4
2003-08-15,2.467
2003-08-18,2.567
2003-08-19,2.623
2003-08-20,2.597
2003-08-21,2.583
2003-08-22,2.523
2003-08-25,2.483
2003-08-26,2.642
2003-08-27,2.715
2003-08-28,2.782
2003-08-29,2.808
2003-09-01,2.842
2003-09-02,2.982
2003-09-03,3.033
2003-09-04,3.163
2003-09-05,3.167
2003-09-08,3.167
2003-09-09,3.0
2003-09-10,3.057
2003-09-11,3.002
2003-09-12,3.072
2003-09-15,3.083
2003-09-16,3.015
2003-09-17,3.017
2003-09-18,2.917
2003-09-19,2.833
2003-09-22,2.783
2003-09-23,2.817
2003-09-24,2.833
2003-09-25,2.84
2003-09-26,2.793
2003-09-29,2.817
2003-09-30,2.843
2003-10-01,3.0
2003-10-02,3.003
2003-10-03,3.067
2003-10-06,3.083
2003-10-07,3.308
2003-10-08,3.25
2003-10-09,3.135
2003-10-10,3.05
2003-10-13,3.205
2003-10-14,3.133
2003-10-15,3.158
2003-10-16,3.175
2003-10-17,3.183
2003-10-20,3.15
2003-10-21,3.092
2003-10-22,2.985
2003-10-23,2.983
2003-10-24,2.95
2003-10-27,2.975
2003-10-28,2.983
2003-10-29,2.95
2003-10-30,2.918
2003-10-31,2.917
2003-11-03,3.028
2003-11-04,3.117
2003-11-05,3.07
2003-11-06,3.073
2003-11-07,3.067
2003-11-10,3.017
2003-11-11,3.083
2003-11-12,3.088
2003-11-13,3.025
2003-11-14,3.05
2003-11-17,3.042
2003-11-18,3.073
2003-11-19,3.077
2003-11-20,3.095
2003-11-21,3.137
2003-11-24,3.222
2003-11-25,3.24
2003-11-26,3.268
2003-11-27,3.235
2003-11-28,3.247
2003-12-01,3.282
2003-12-02,3.298
2003-12-03,3.267
2003-12-04,3.258
2003-12-05,3.395
2003-12-08,3.378
2003-12-09,3.35
2003-12-10,3.332
2003-12-11,3.407
2003-12-12,3.367
2003-12-15,3.4
2003-12-16,3.533
2003-12-17,3.603
2003-12-18,3.698
2003-12-19,3.747
2003-12-22,3.733
2003-12-23,3.765
2003-12-26,4.0
2003-12-29,4.025
2003-12-30,4.117
2004-01-02,4.418
2004-01-05,4.783
2004-01-06,4.702
2004-01-07,4.458
2004-01-08,4.418
2004-01-09,4.522
2004-01-12,4.833
2004-01-13,4.7
2004-01-14,4.625
2004-01-15,4.5
2004-01-16,4.665
2004-01-19,4.667
2004-01-20,4.775
2004-01-21,4.733
2004-01-22,4.635
2004-01-23,4.97
2004-01-26,5.2
2004-01-27,5.233
2004-01-28,5.17
2004-01-29,4.95
2004-01-30,4.9
2004-02-02,4.95
2004-02-03,5.115
2004-02-04,5.093
2004-02-05,4.95
2004-02-06,5.15
2004-02-09,4.917
2004-02-10,4.917
2004-02-11,5.0
2004-02-12,4.995
2004-02-13,4.967
2004-02-16,4.833
2004-02-17,5.115
2004-02-18,5.2
2004-02-19,5.117
2004-02-20,5.008
2004-02-25,4.967
2004-02-26,4.933
2004-02-27,5.017
2004-03-01,5.042
2004-03-02,5.092
2004-03-03,5.298
2004-03-04,5.43
2004-03-05,5.3
2004-03-08,5.117
2004-03-09,5.117
2004-03-10,4.982
2004-03-11,4.9
2004-03-12,4.807
2004-03-15,4.947
2004-03-16,5.077
2004-03-17,5.133
2004-03-18,5.313
2004-03-19,5.283
2004-03-22,5.2
2004-03-23,5.167
2004-03-24,5.08
2004-03-25,5.033
2004-03-26,5.082
2004-03-29,5.195
2004-03-30,5.167
2004-03-31,5.117
2004-04-01,5.167
2004-04-02,5.117
2004-04-05,4.975
2004-04-06,5.0
2004-04-07,4.958
2004-04-08,4.908
2004-04-12,4.917
2004-04-13,4.8
2004-04-14,4.782
2004-04-15,4.633
2004-04-16,4.808
2004-04-19,4.835
2004-04-20,4.883
2004-04-22,4.965
2004-04-23,4.925
2004-04-26,4.833
2004-04-27,4.76
2004-04-28,4.587
2004-04-29,4.45
2004-04-30,4.387
2004-05-03,4.35
2004-05-04,4.633
2004-05-05,4.717
2004-05-06,4.433
2004-05-07,4.333
2004-05-10,3.972
2004-05-11,4.247
2004-05-12,4.292
2004-05-13,4.335
2004-05-14,4.467
2004-05-17,4.518
2004-05-18,4.683
2004-05-19,4.843
2004-05-20,4.583
2004-05-21,4.55
2004-05-24,4.517
2004-05-25,4.55
2004-05-26,4.467
2004-05-27,4.55
2004-05-28,4.55
2004-05-31,4.6
2004-06-01,4.633
2004-06-02,4.708
2004-06-03,4.617
2004-06-04,4.777
2004-06-07,4.942
2004-06-08,4.958
2004-06-09,4.983
2004-06-11,5.025
2004-06-14,4.967
2004-06-15,5.158
2004-06-16,5.233
2004-06-17,5.26
2004-06-18,5.333
2004-06-21,5.225
2004-06-22,5.167
2004-06-23,5.315
2004-06-24,5.213
2004-06-25,5.267
2004-06-28,5.192
2004-06-29,4.883
2004-06-30,5.012
2004-07-01,5.075
2004-07-02,5.183
2004-07-05,5.383
2004-07-06,5.333
2004-07-07,5.415
2004-07-08,5.488
2004-07-12,5.55
2004-07-13,5.683
2004-07-14,5.717
2004-07-15,5.833
2004-07-16,5.6
2004-07-19,5.815
2004-07-20,5.933
2004-07-21,5.933
2004-07-22,5.85
2004-07-23,6.067
2004-07-26,6.1
2004-07-27,6.247
2004-07-28,6.267
2004-07-29,6.292
2004-07-30,6.217
2004-08-02,6.325
2004-08-03,6.35
2004-08-04,6.567
2004-08-05,6.352
2004-08-06,6.435
2004-08-09,6.45
2004-08-10,6.467
2004-08-11,6.583
2004-08-12,6.625
2004-08-13,6.467
2004-08-16,6.567
2004-08-17,6.867
2004-08-18,7.075
2004-08-19,7.165
2004-08-20,7.175
2004-08-23,7.133
2004-08-24,7.133
2004-08-25,7.317
2004-08-26,7.332
2004-08-27,7.5
2004-08-30,7.5
2004-08-31,7.483
2004-09-01,7.45
2004-09-02,7.463
2004-09-03,7.483
2004-09-06,7.533
2004-09-08,7.885
2004-09-09,8.083
2004-09-10,8.25
2004-09-13,8.163
2004-09-14,8.065
2004-09-15,8.092
2004-09-16,8.217
2004-09-17,8.167
2004-09-20,8.138
2004-09-21,7.83
2004-09-22,7.65
2004-09-23,7.54
2004-09-24,7.502
2004-09-27,7.5
2004-09-28,7.667
2004-09-29,7.617
2004-09-30,7.633
2004-10-01,7.583
2004-10-04,7.367
2004-10-05,7.208
2004-10-06,7.067
2004-10-07,7.193
2004-10-08,7.263
2004-10-11,7.417
2004-10-13,7.233
2004-10-14,7.108
2004-10-15,7.3
2004-10-18,7.333
2004-10-19,7.125
2004-10-20,7.123
2004-10-21,7.167
2004-10-22,7.2
2004-10-25,7.217
2004-10-26,7.285
2004-10-27,7.3
2004-10-28,7.417
2004-10-29,7.548
2004-11-01,7.532
2004-11-03,7.523
2004-11-04,7.5
2004-11-05,7.5
2004-11-08,7.383
2004-11-09,7.167
2004-11-10,7.367
2004-11-11,7.355
2004-11-12,7.633
2004-11-16,7.7
2004-11-17,7.8
2004-11-18,7.658
2004-11-19,7.733
2004-11-22,7.833
2004-11-23,7.732
2004-11-24,7.8
2004-11-25,7.925
2004-11-26,7.908
2004-11-29,7.908
2004-11-30,8.005
2004-12-01,8.3
2004-12-02,8.48
2004-12-03,8.598
2004-12-06,8.617
2004-12-07,8.468
2004-12-08,8.758000000000001
2004-12-09,8.858
2004-12-10,9.0
2004-12-13,9.102
2004-12-14,9.417
2004-12-15,9.467
2004-12-16,9.665
2004-12-17,9.467
2004-12-20,9.175
2004-12-21,9.117
2004-12-22,9.0
2004-12-23,9.0
2004-12-27,9.333
2004-12-28,9.35
2004-12-29,9.35
2004-12-30,9.55
2005-01-03,9.683
2005-01-04,9.667
2005-01-05,9.7
2005-01-06,9.583
2005-01-07,9.567
2005-01-10,9.567
2005-01-11,9.6
2005-01-12,9.612
2005-01-13,9.533
2005-01-14,9.3
2005-01-17,9.2
2005-01-18,9.117
2005-01-19,8.883000000000001
2005-01-20,8.783
2005-01-21,9.0
2005-01-24,9.083
2005-01-26,9.065
2005-01-27,8.933
2005-01-28,8.758000000000001
2005-01-31,8.917
2005-02-01,8.95
2005-02-02,9.182
2005-02-03,9.413
2005-02-04,9.692
2005-02-09,9.948
2005-02-10,9.583
2005-02-11,9.5
2005-02-14,9.4
2005-02-15,9.367
2005-02-16,9.168
2005-02-17,9.065
2005-02-18,9.075
2005-02-21,9.167
2005-02-22,9.067
2005-02-23,8.835
2005-02-24,9.033
2005-02-25,8.937
2005-02-28,9.018
2005-03-01,9.1
2005-03-02,9.358
2005-03-03,9.6
2005-03-04,9.708
2005-03-07,9.792
2005-03-08,9.715
2005-03-09,9.75
2005-03-10,9.8
2005-03-11,9.333
2005-03-14,9.5
2005-03-15,9.483
2005-03-16,9.732
