CostName,R$_kg,Year,State,Month,Date
Ração,0.91,2010,GO,1,2010-01-01
Genética,0.24,2010,GO,1,2010-01-01
Mão de obra,0.06,2010,GO,1,2010-01-01
Sanidade,0.0,2010,GO,1,2010-01-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,1,2010-01-01
Manutenção | Seguro | Funrural,0.01,2010,GO,1,2010-01-01
Transporte,0.02,2010,GO,1,2010-01-01
Outros,0.0,2010,GO,1,2010-01-01
Depreciação,0.04,2010,GO,1,2010-01-01
Custo de capital,0.03,2010,GO,1,2010-01-01
Total,1.37,2010,GO,1,2010-01-01
Ração,0.93,2010,GO,2,2010-02-01
Genética,0.24,2010,GO,2,2010-02-01
Mão de obra,0.06,2010,GO,2,2010-02-01
Sanidade,0.0,2010,GO,2,2010-02-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,2,2010-02-01
Manutenção | Seguro | Funrural,0.01,2010,GO,2,2010-02-01
Transporte,0.02,2010,GO,2,2010-02-01
Outros,0.0,2010,GO,2,2010-02-01
Depreciação,0.04,2010,GO,2,2010-02-01
Custo de capital,0.03,2010,GO,2,2010-02-01
Total,1.39,2010,GO,2,2010-02-01
Ração,0.76,2010,GO,3,2010-03-01
Genética,0.24,2010,GO,3,2010-03-01
Mão de obra,0.06,2010,GO,3,2010-03-01
Sanidade,0.0,2010,GO,3,2010-03-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,3,2010-03-01
Manutenção | Seguro | Funrural,0.01,2010,GO,3,2010-03-01
Transporte,0.02,2010,GO,3,2010-03-01
Outros,0.0,2010,GO,3,2010-03-01
Depreciação,0.04,2010,GO,3,2010-03-01
Custo de capital,0.03,2010,GO,3,2010-03-01
Total,1.21,2010,GO,3,2010-03-01
Ração,1.06,2010,GO,4,2010-04-01
Genética,0.28,2010,GO,4,2010-04-01
Mão de obra,0.06,2010,GO,4,2010-04-01
Sanidade,0.0,2010,GO,4,2010-04-01
Energia elétrica | Cama | Calefação,0.04,2010,GO,4,2010-04-01
Manutenção | Seguro | Funrural,0.01,2010,GO,4,2010-04-01
Transporte,0.02,2010,GO,4,2010-04-01
Outros,0.0,2010,GO,4,2010-04-01
Depreciação,0.04,2010,GO,4,2010-04-01
Custo de capital,0.03,2010,GO,4,2010-04-01
Total,1.57,2010,GO,4,2010-04-01
Ração,0.96,2010,GO,5,2010-05-01
Genética,0.29,2010,GO,5,2010-05-01
Mão de obra,0.06,2010,GO,5,2010-05-01
Sanidade,0.0,2010,GO,5,2010-05-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,5,2010-05-01
Manutenção | Seguro | Funrural,0.01,2010,GO,5,2010-05-01
Transporte,0.02,2010,GO,5,2010-05-01
Outros,0.0,2010,GO,5,2010-05-01
Depreciação,0.05,2010,GO,5,2010-05-01
Custo de capital,0.03,2010,GO,5,2010-05-01
Total,1.47,2010,GO,5,2010-05-01
Ração,0.96,2010,GO,6,2010-06-01
Genética,0.35,2010,GO,6,2010-06-01
Mão de obra,0.06,2010,GO,6,2010-06-01
Sanidade,0.0,2010,GO,6,2010-06-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,6,2010-06-01
Manutenção | Seguro | Funrural,0.01,2010,GO,6,2010-06-01
Transporte,0.02,2010,GO,6,2010-06-01
Outros,0.0,2010,GO,6,2010-06-01
Depreciação,0.05,2010,GO,6,2010-06-01
Custo de capital,0.03,2010,GO,6,2010-06-01
Total,1.53,2010,GO,6,2010-06-01
Ração,0.95,2010,GO,7,2010-07-01
Genética,0.35,2010,GO,7,2010-07-01
Mão de obra,0.06,2010,GO,7,2010-07-01
Sanidade,0.0,2010,GO,7,2010-07-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,7,2010-07-01
Manutenção | Seguro | Funrural,0.01,2010,GO,7,2010-07-01
Transporte,0.02,2010,GO,7,2010-07-01
Outros,0.0,2010,GO,7,2010-07-01
Depreciação,0.05,2010,GO,7,2010-07-01
Custo de capital,0.03,2010,GO,7,2010-07-01
Total,1.53,2010,GO,7,2010-07-01
Ração,0.95,2010,GO,8,2010-08-01
Genética,0.35,2010,GO,8,2010-08-01
Mão de obra,0.06,2010,GO,8,2010-08-01
Sanidade,0.0,2010,GO,8,2010-08-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,8,2010-08-01
Manutenção | Seguro | Funrural,0.01,2010,GO,8,2010-08-01
Transporte,0.02,2010,GO,8,2010-08-01
Outros,0.0,2010,GO,8,2010-08-01
Depreciação,0.05,2010,GO,8,2010-08-01
Custo de capital,0.03,2010,GO,8,2010-08-01
Total,1.53,2010,GO,8,2010-08-01
Ração,1.06,2010,GO,9,2010-09-01
Genética,0.36,2010,GO,9,2010-09-01
Mão de obra,0.06,2010,GO,9,2010-09-01
Sanidade,0.0,2010,GO,9,2010-09-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,9,2010-09-01
Manutenção | Seguro | Funrural,0.02,2010,GO,9,2010-09-01
Transporte,0.03,2010,GO,9,2010-09-01
Outros,0.0,2010,GO,9,2010-09-01
Depreciação,0.05,2010,GO,9,2010-09-01
Custo de capital,0.04,2010,GO,9,2010-09-01
Total,1.65,2010,GO,9,2010-09-01
Ração,1.07,2010,GO,10,2010-10-01
Genética,0.36,2010,GO,10,2010-10-01
Mão de obra,0.06,2010,GO,10,2010-10-01
Sanidade,0.0,2010,GO,10,2010-10-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,10,2010-10-01
Manutenção | Seguro | Funrural,0.02,2010,GO,10,2010-10-01
Transporte,0.03,2010,GO,10,2010-10-01
Outros,0.0,2010,GO,10,2010-10-01
Depreciação,0.05,2010,GO,10,2010-10-01
Custo de capital,0.04,2010,GO,10,2010-10-01
Total,1.66,2010,GO,10,2010-10-01
Ração,1.07,2010,GO,11,2010-11-01
Genética,0.36,2010,GO,11,2010-11-01
Mão de obra,0.06,2010,GO,11,2010-11-01
Sanidade,0.0,2010,GO,11,2010-11-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,11,2010-11-01
Manutenção | Seguro | Funrural,0.02,2010,GO,11,2010-11-01
Transporte,0.03,2010,GO,11,2010-11-01
Outros,0.0,2010,GO,11,2010-11-01
Depreciação,0.05,2010,GO,11,2010-11-01
Custo de capital,0.04,2010,GO,11,2010-11-01
Total,1.66,2010,GO,11,2010-11-01
Ração,1.07,2010,GO,12,2010-12-01
Genética,0.36,2010,GO,12,2010-12-01
Mão de obra,0.06,2010,GO,12,2010-12-01
Sanidade,0.0,2010,GO,12,2010-12-01
Energia elétrica | Cama | Calefação,0.03,2010,GO,12,2010-12-01
Manutenção | Seguro | Funrural,0.02,2010,GO,12,2010-12-01
Transporte,0.03,2010,GO,12,2010-12-01
Outros,0.0,2010,GO,12,2010-12-01
Depreciação,0.05,2010,GO,12,2010-12-01
Custo de capital,0.04,2010,GO,12,2010-12-01
Total,1.66,2010,GO,12,2010-12-01
Ração,1.2,2010,CE,1,2010-01-01
Genética,0.3,2010,CE,1,2010-01-01
Mão de obra,0.06,2010,CE,1,2010-01-01
Sanidade,0.0,2010,CE,1,2010-01-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,1,2010-01-01
Manutenção | Seguro | Funrural,0.01,2010,CE,1,2010-01-01
Transporte,0.08,2010,CE,1,2010-01-01
Outros,0.0,2010,CE,1,2010-01-01
Depreciação,0.04,2010,CE,1,2010-01-01
Custo de capital,0.04,2010,CE,1,2010-01-01
Total,1.79,2010,CE,1,2010-01-01
Ração,1.2,2010,CE,2,2010-02-01
Genética,0.3,2010,CE,2,2010-02-01
Mão de obra,0.06,2010,CE,2,2010-02-01
Sanidade,0.0,2010,CE,2,2010-02-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,2,2010-02-01
Manutenção | Seguro | Funrural,0.01,2010,CE,2,2010-02-01
Transporte,0.08,2010,CE,2,2010-02-01
Outros,0.0,2010,CE,2,2010-02-01
Depreciação,0.04,2010,CE,2,2010-02-01
Custo de capital,0.04,2010,CE,2,2010-02-01
Total,1.79,2010,CE,2,2010-02-01
Ração,1.0,2010,CE,3,2010-03-01
Genética,0.32,2010,CE,3,2010-03-01
Mão de obra,0.06,2010,CE,3,2010-03-01
Sanidade,0.0,2010,CE,3,2010-03-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,3,2010-03-01
Manutenção | Seguro | Funrural,0.01,2010,CE,3,2010-03-01
Transporte,0.08,2010,CE,3,2010-03-01
Outros,0.0,2010,CE,3,2010-03-01
Depreciação,0.04,2010,CE,3,2010-03-01
Custo de capital,0.03,2010,CE,3,2010-03-01
Total,1.61,2010,CE,3,2010-03-01
Ração,1.0,2010,CE,4,2010-04-01
Genética,0.32,2010,CE,4,2010-04-01
Mão de obra,0.06,2010,CE,4,2010-04-01
Sanidade,0.0,2010,CE,4,2010-04-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,4,2010-04-01
Manutenção | Seguro | Funrural,0.01,2010,CE,4,2010-04-01
Transporte,0.08,2010,CE,4,2010-04-01
Outros,0.0,2010,CE,4,2010-04-01
Depreciação,0.04,2010,CE,4,2010-04-01
Custo de capital,0.04,2010,CE,4,2010-04-01
Total,1.61,2010,CE,4,2010-04-01
Ração,1.0,2010,CE,5,2010-05-01
Genética,0.32,2010,CE,5,2010-05-01
Mão de obra,0.06,2010,CE,5,2010-05-01
Sanidade,0.0,2010,CE,5,2010-05-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,5,2010-05-01
Manutenção | Seguro | Funrural,0.01,2010,CE,5,2010-05-01
Transporte,0.08,2010,CE,5,2010-05-01
Outros,0.0,2010,CE,5,2010-05-01
Depreciação,0.04,2010,CE,5,2010-05-01
Custo de capital,0.04,2010,CE,5,2010-05-01
Total,1.61,2010,CE,5,2010-05-01
Ração,1.02,2010,CE,6,2010-06-01
Genética,0.36,2010,CE,6,2010-06-01
Mão de obra,0.06,2010,CE,6,2010-06-01
Sanidade,0.0,2010,CE,6,2010-06-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,6,2010-06-01
Manutenção | Seguro | Funrural,0.01,2010,CE,6,2010-06-01
Transporte,0.08,2010,CE,6,2010-06-01
Outros,0.0,2010,CE,6,2010-06-01
Depreciação,0.04,2010,CE,6,2010-06-01
Custo de capital,0.04,2010,CE,6,2010-06-01
Total,1.67,2010,CE,6,2010-06-01
Ração,1.1,2010,CE,7,2010-07-01
Genética,0.36,2010,CE,7,2010-07-01
Mão de obra,0.06,2010,CE,7,2010-07-01
Sanidade,0.0,2010,CE,7,2010-07-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,7,2010-07-01
Manutenção | Seguro | Funrural,0.01,2010,CE,7,2010-07-01
Transporte,0.08,2010,CE,7,2010-07-01
Outros,0.0,2010,CE,7,2010-07-01
Depreciação,0.04,2010,CE,7,2010-07-01
Custo de capital,0.04,2010,CE,7,2010-07-01
Total,1.75,2010,CE,7,2010-07-01
Ração,1.16,2010,CE,8,2010-08-01
Genética,0.36,2010,CE,8,2010-08-01
Mão de obra,0.06,2010,CE,8,2010-08-01
Sanidade,0.0,2010,CE,8,2010-08-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,8,2010-08-01
Manutenção | Seguro | Funrural,0.01,2010,CE,8,2010-08-01
Transporte,0.08,2010,CE,8,2010-08-01
Outros,0.0,2010,CE,8,2010-08-01
Depreciação,0.04,2010,CE,8,2010-08-01
Custo de capital,0.04,2010,CE,8,2010-08-01
Total,1.82,2010,CE,8,2010-08-01
Ração,1.18,2010,CE,9,2010-09-01
Genética,0.36,2010,CE,9,2010-09-01
Mão de obra,0.06,2010,CE,9,2010-09-01
Sanidade,0.0,2010,CE,9,2010-09-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,9,2010-09-01
Manutenção | Seguro | Funrural,0.01,2010,CE,9,2010-09-01
Transporte,0.08,2010,CE,9,2010-09-01
Outros,0.0,2010,CE,9,2010-09-01
Depreciação,0.04,2010,CE,9,2010-09-01
Custo de capital,0.04,2010,CE,9,2010-09-01
Total,1.85,2010,CE,9,2010-09-01
Ração,1.32,2010,CE,10,2010-10-01
Genética,0.36,2010,CE,10,2010-10-01
Mão de obra,0.06,2010,CE,10,2010-10-01
Sanidade,0.0,2010,CE,10,2010-10-01
Energia elétrica | Cama | Calefação,0.05,2010,CE,10,2010-10-01
Manutenção | Seguro | Funrural,0.01,2010,CE,10,2010-10-01
Transporte,0.08,2010,CE,10,2010-10-01
Outros,0.0,2010,CE,10,2010-10-01
Depreciação,0.04,2010,CE,10,2010-10-01
Custo de capital,0.04,2010,CE,10,2010-10-01
Total,1.98,2010,CE,10,2010-10-01
Ração,1.47,2010,CE,11,2010-11-01
Genética,0.36,2010,CE,11,2010-11-01
Mão de obra,0.06,2010,CE,11,2010-11-01
