DATE,BR_CAML3_PRICE
2017-09-27,9.0
2017-09-28,8.99
2017-09-29,9.0
2017-10-02,9.0
2017-10-03,8.96
2017-10-04,8.66
2017-10-05,8.7
2017-10-06,8.74
2017-10-09,8.55
2017-10-10,8.6
2017-10-11,8.55
2017-10-13,8.6
2017-10-16,8.45
2017-10-17,8.35
2017-10-18,8.25
2017-10-19,8.34
2017-10-20,8.65
2017-10-23,8.6
2017-10-24,8.62
2017-10-25,8.6
2017-10-26,8.5
2017-10-27,8.4
2017-10-30,8.16
2017-10-31,8.06
2017-11-01,8.24
2017-11-03,8.0
2017-11-06,8.06
2017-11-07,8.0
2017-11-08,8.04
2017-11-09,8.05
2017-11-10,8.01
2017-11-13,8.0
2017-11-14,8.0
2017-11-16,8.0
2017-11-17,8.4
2017-11-21,8.85
2017-11-22,8.69
2017-11-23,8.67
2017-11-24,8.52
2017-11-27,8.35
2017-11-28,8.42
2017-11-29,8.11
2017-11-30,7.97
2017-12-01,8.29
2017-12-04,8.2
2017-12-05,8.01
2017-12-06,7.95
2017-12-07,7.5
2017-12-08,7.5
2017-12-11,7.39
2017-12-12,7.31
2017-12-13,7.64
2017-12-14,7.7
2017-12-15,7.63
2017-12-18,7.55
2017-12-19,7.45
2017-12-20,7.43
2017-12-21,7.6
2017-12-22,7.65
2017-12-26,7.72
2017-12-27,7.7
2017-12-28,7.83
2018-01-02,7.82
2018-01-03,7.81
2018-01-04,8.0
2018-01-05,8.18
2018-01-08,8.17
2018-01-09,8.15
2018-01-10,8.31
2018-01-11,8.5
2018-01-12,8.05
2018-01-15,8.15
2018-01-16,8.11
2018-01-17,7.9
2018-01-18,7.77
2018-01-19,7.79
2018-01-22,7.65
2018-01-23,7.5
2018-01-24,7.76
2018-01-26,7.76
2018-01-29,7.71
2018-01-30,7.5
2018-01-31,7.43
2018-02-01,7.5
2018-02-02,7.5
2018-02-05,7.53
2018-02-06,7.47
2018-02-07,7.69
2018-02-08,7.84
2018-02-09,7.74
2018-02-14,7.82
2018-02-15,7.66
2018-02-16,7.69
2018-02-19,7.84
2018-02-20,7.87
2018-02-21,8.05
2018-02-22,8.03
2018-02-23,8.1
2018-02-26,8.17
2018-02-27,8.13
2018-02-28,8.05
2018-03-01,8.19
2018-03-02,8.05
2018-03-05,8.01
2018-03-06,7.96
2018-03-07,7.87
2018-03-08,7.75
2018-03-09,7.75
2018-03-12,8.05
2018-03-13,7.81
2018-03-14,7.75
2018-03-15,7.75
2018-03-16,7.6
2018-03-19,7.64
2018-03-20,7.36
2018-03-21,7.47
2018-03-22,7.48
2018-03-23,7.29
2018-03-26,7.34
2018-03-27,7.4
2018-03-28,7.43
2018-03-29,7.45
2018-04-02,7.35
2018-04-03,7.4
2018-04-04,7.47
2018-04-05,7.5
2018-04-06,7.46
2018-04-09,7.47
2018-04-10,7.3
2018-04-11,7.35
2018-04-12,7.4
2018-04-13,7.42
2018-04-16,7.28
2018-04-17,7.48
2018-04-18,7.4
2018-04-19,7.61
2018-04-20,7.49
2018-04-23,7.55
2018-04-24,7.87
2018-04-25,7.8
2018-04-26,7.79
2018-04-27,7.89
2018-04-30,8.1
2018-05-02,7.9
2018-05-03,7.81
2018-05-04,7.85
2018-05-07,7.7
2018-05-08,7.69
2018-05-09,7.69
2018-05-10,7.73
2018-05-11,7.76
2018-05-14,7.83
2018-05-15,7.65
2018-05-16,7.64
2018-05-17,7.41
2018-05-18,7.43
2018-05-21,7.69
2018-05-22,8.0
2018-05-23,7.75
2018-05-24,7.8
2018-05-25,8.09
2018-05-28,7.96
2018-05-29,7.71
2018-05-30,7.92
2018-06-01,8.1
2018-06-04,8.33
2018-06-05,8.22
2018-06-06,8.15
2018-06-07,7.44
2018-06-08,7.81
2018-06-11,7.47
2018-06-12,7.45
2018-06-13,7.39
2018-06-14,7.4
2018-06-15,7.45
2018-06-18,7.17
2018-06-19,7.12
2018-06-20,7.21
2018-06-21,7.09
2018-06-22,6.95
2018-06-25,6.91
2018-06-26,6.9
2018-06-27,6.77
2018-06-28,6.52
2018-06-29,6.6
2018-07-02,6.6
2018-07-03,6.6
2018-07-04,6.64
2018-07-05,6.6
2018-07-06,6.54
2018-07-10,6.5
2018-07-11,6.4
2018-07-12,6.4
2018-07-13,6.11
2018-07-16,6.03
2018-07-17,6.3
2018-07-18,6.28
2018-07-19,6.31
2018-07-20,6.38
2018-07-23,6.41
2018-07-24,6.33
2018-07-25,6.35
2018-07-26,6.54
2018-07-27,6.53
2018-07-30,6.44
2018-07-31,6.33
2018-08-01,6.34
2018-08-02,6.34
2018-08-03,6.48
2018-08-06,6.45
2018-08-07,6.46
2018-08-08,6.36
2018-08-09,6.2
2018-08-10,6.15
2018-08-13,6.18
2018-08-14,6.25
2018-08-15,6.33
2018-08-16,6.45
2018-08-17,6.38
2018-08-20,6.39
2018-08-21,6.3
2018-08-22,6.4
2018-08-23,6.33
2018-08-24,6.35
2018-08-27,6.49
2018-08-28,6.82
2018-08-29,6.85
2018-08-30,6.72
2018-08-31,6.88
2018-09-03,6.86
2018-09-04,6.96
2018-09-05,7.1
2018-09-06,7.14
2018-09-10,7.13
2018-09-11,7.0
2018-09-12,7.0
2018-09-13,7.0
2018-09-14,6.73
2018-09-17,7.15
2018-09-18,7.1
2018-09-19,6.85
2018-09-20,7.07
2018-09-21,7.11
2018-09-24,6.9
2018-09-25,6.99
2018-09-26,7.14
2018-09-27,7.07
2018-09-28,7.02
2018-10-01,7.03
2018-10-02,7.45
2018-10-03,7.38
2018-10-04,7.36
2018-10-05,7.46
2018-10-08,7.42
2018-10-09,7.42
2018-10-10,7.56
2018-10-11,7.45
2018-10-15,7.33
2018-10-16,7.17
2018-10-17,7.54
2018-10-18,7.6
2018-10-19,7.8
2018-10-22,7.8
2018-10-23,7.9
2018-10-24,7.82
2018-10-25,7.81
2018-10-26,7.8
2018-10-29,7.86
2018-10-30,8.14
2018-10-31,8.22
2018-11-01,7.88
2018-11-05,8.12
2018-11-06,8.05
2018-11-07,7.99
2018-11-08,7.68
2018-11-09,7.68
2018-11-12,7.67
2018-11-13,7.7
2018-11-14,7.84
2018-11-16,7.85
2018-11-19,7.5
2018-11-21,7.41
2018-11-22,7.3
2018-11-23,7.17
2018-11-26,6.98
2018-11-27,6.95
2018-11-28,6.68
2018-11-29,6.91
2018-11-30,7.11
2018-12-03,7.04
2018-12-04,6.91
2018-12-05,6.82
2018-12-06,6.56
2018-12-07,6.56
2018-12-10,6.43
2018-12-11,6.6
2018-12-12,6.9
2018-12-13,6.91
2018-12-14,6.98
2018-12-17,7.06
2018-12-18,7.18
2018-12-19,7.21
2018-12-20,7.17
2018-12-21,7.24
2018-12-26,7.16
2018-12-27,7.02
2018-12-28,7.05
2019-01-02,7.3
2019-01-03,7.59
2019-01-04,7.63
2019-01-07,7.73
2019-01-08,7.56
2019-01-09,7.56
2019-01-10,7.55
2019-01-11,7.55
2019-01-14,7.35
2019-01-15,7.19
2019-01-16,7.1
2019-01-17,7.09
2019-01-18,7.06
2019-01-21,7.27
2019-01-22,7.28
2019-01-23,7.02
2019-01-24,7.24
2019-01-28,7.45
2019-01-29,7.45
2019-01-30,7.58
2019-01-31,7.51
2019-02-01,7.51
2019-02-04,7.44
2019-02-05,7.58
2019-02-06,7.34
2019-02-07,7.26
2019-02-08,7.41
2019-02-11,7.25
2019-02-12,7.28
2019-02-13,7.34
2019-02-14,7.54
2019-02-15,7.54
2019-02-18,7.45
2019-02-19,7.47
2019-02-20,7.32
2019-02-21,7.24
2019-02-22,7.26
2019-02-25,7.29
2019-02-26,7.16
2019-02-27,7.21
2019-02-28,7.19
2019-03-01,7.14
2019-03-06,7.09
2019-03-07,7.12
2019-03-08,7.09
2019-03-11,7.17
2019-03-12,7.09
2019-03-13,7.11
2019-03-14,7.1
2019-03-15,7.05
2019-03-18,7.05
2019-03-19,6.99
2019-03-20,6.9
2019-03-21,6.89
2019-03-22,6.86
2019-03-25,6.92
2019-03-26,6.85
2019-03-27,6.69
2019-03-28,6.81
2019-03-29,6.81
2019-04-01,7.03
2019-04-02,7.05
2019-04-03,6.85
2019-04-04,6.84
2019-04-05,6.83
2019-04-08,7.07
2019-04-09,6.98
