Year,Quarter,Real_Calf_Price,Real_Cattle_Price,Calf_Cattle_Ratio,Cattle_Slaughter_Heads,Female_Calves_Slaughter_Heads,Male_Calves_Slaughter_Heads,Cows_Slaughter_heads,Total_Slaughter_Heads,Adult_Slaughter_Heads,Calves_Slaughter_Heads,Percentage_of_Females_Slaughtered,Percentage_of_Calves_Slaughtered,Cycle_Indicator,Retention_Indicator
2000,1,93.95666927049334,173.87885215002922,0.5405224812098652,2155226.0,229510.0,475581.0,1229132.0,4089449.0,3384358.0,705091.0,0.36318025457117714,0.1724171153619962,0.19630709232724317,0.3442153888826221
2000,2,99.0813609711265,168.20329404600346,0.5892426239186067,2334263.0,237146.0,508437.0,1181882.0,4261728.0,3516145.0,745583.0,0.3361300515194908,0.1749485185352045,0.19806215353524123,0.3911804703833655
2000,3,98.78785902846988,178.02908715910598,0.5549794231119171,2518947.0,219825.0,573178.0,1013772.0,4325722.0,3532719.0,793003.0,0.2869664980430088,0.1833226915645527,0.1592605015363561,0.395718921575561
2000,4,100.82359723796229,178.69066938698896,0.5647384473439394,2398418.0,254382.0,722025.0,1014191.0,4389016.0,3412609.0,976407.0,0.2971893351977915,0.2224660379456352,0.16783424372677833,0.3969042036171611
2001,1,99.28670781426092,168.8614815517063,0.5880926027277193,2296233.0,255467.0,636460.0,1123583.0,4311743.0,3419816.0,891927.0,0.3285507173485357,0.20685996359244974,0.19321824649355962,0.39487435623415973
2001,2,110.38840791812906,172.1145582475566,0.6416831373181935,2480983.0,261201.0,721192.0,1041484.0,4504860.0,3522467.0,982393.0,0.2956689161317906,0.21807403559711067,0.1897257577109172,0.4519573796072763
2001,3,110.64274550126181,172.04077575657257,0.6431211075398177,2825114.0,229167.0,751667.0,945709.0,4751657.0,3770823.0,980834.0,0.25079644417147134,0.20641936065671407,0.1612924869426047,0.48182862059721293
2001,4,115.58537254025573,184.78088634226808,0.6256680233094291,2758383.0,241512.0,769694.0,1075029.0,4844618.0,3833412.0,1011206.0,0.2804365927794873,0.20872770567256282,0.17546020866797313,0.45020781464145593
2002,1,115.00868549677845,178.5307673244355,0.644306379970912,2601879.0,229592.0,616110.0,1111348.0,4558929.0,3713227.0,845702.0,0.2992943873347899,0.18550453406929565,0.19283728324929048,0.4514690967216215
2002,2,111.50082529389249,164.14502968017038,0.679246408345339,2887653.0,215131.0,612779.0,1096865.0,4812428.0,3984518.0,827910.0,0.2752817279279451,0.17203582058786127,0.1869841249781555,0.4922622833671835
2002,3,107.60975192723016,180.76784520041642,0.5965394145357122,2992927.0,221320.0,673018.0,1141292.0,5028557.0,4134219.0,894338.0,0.27605987974996005,0.1778518171316344,0.1646805990428403,0.431858815492872
2002,4,108.70006896587797,203.7136170957532,0.5337304563845559,3153477.0,228592.0,696284.0,1419635.0,5497988.0,4573112.0,924876.0,0.3104308400931357,0.16822081095848154,0.1656863939587504,0.36804406242580545
2003,1,107.17439038854785,193.34090385267095,0.5544659402703974,2866833.0,236791.0,508733.0,1690482.0,5302839.0,4557315.0,745524.0,0.37093815108238076,0.1405895973835902,0.205672570722055,0.3487933695483424
2003,2,107.16197199413789,176.61845212967816,0.6071138905229535,2735720.0,220930.0,489549.0,1672236.0,5118435.0,4407956.0,710479.0,0.3793676706391806,0.1388078582613631,0.23031938246038336,0.3767945080625701
2003,3,104.06359940730391,187.4717346034927,0.5555461989448255,2819112.0,255585.0,574960.0,1632417.0,5282074.0,4451529.0,830545.0,0.36670928123797464,0.15723842566385854,0.20372394730954582,0.3518222516352797
2003,4,102.64864006025236,194.4607836944174,0.5278761683513961,3216154.0,291425.0,659390.0,1731602.0,5898571.0,4947756.0,950815.0,0.349977242208387,0.1611941265096241,0.18474464562715182,0.34313152272424424
2004,1,99.71301665254252,187.9596361950602,0.5306403585074165,2946294.0,324736.0,548460.0,2144997.0,5964487.0,5091291.0,873196.0,0.421307090873415,0.146399179007348,0.22356254574278564,0.30707781276463086
2004,2,98.21127163846256,186.50625827927618,0.5266620991225465,3178249.0,401986.0,581707.0,2255722.0,6417664.0,5433971.0,983693.0,0.415114839589685,0.15327898126171766,0.21862525279522266,0.3080368463273238
2004,3,96.45225813461646,186.61055720154786,0.5169164483029037,3405271.0,451193.0,676057.0,2389331.0,6921852.0,5794602.0,1127250.0,0.41233737882256627,0.16285381426820453,0.21314397336348992,0.30377247493941384
2004,4,94.10698809887555,184.2258703086176,0.5109036983330674,3348547.0,360670.0,751394.0,2140483.0,6601094.0,5489030.0,1112064.0,0.3899565132637278,0.16846662083587963,0.1992302248155064,0.311673473517561
2005,1,91.18485811584846,173.14644179009903,0.5267558305750204,2918582.0,410909.0,569125.0,2541242.0,6439858.0,5459824.0,980034.0,0.46544394105011444,0.15218254812450835,0.24517530975396387,0.28158052082105656
2005,2,86.95540089979572,158.82782053684787,0.5475070763755762,3352746.0,504063.0,667495.0,2787149.0,7311453.0,6139895.0,1171558.0,0.45394082472094394,0.16023600233770224,0.2485358137904819,0.29897126258509427
2005,3,82.79932892451812,148.67691571744976,0.5570576893174917,3586433.0,509801.0,753543.0,2538225.0,7388002.0,6124658.0,1263344.0,0.41442722189549197,0.17099941229035942,0.23085987061937013,0.32619781869812153
2005,4,79.73947830126679,155.28490977521653,0.5140992950676276,3314227.0,434523.0,693457.0,2413385.0,6855592.0,5727612.0,1127980.0,0.4213597219923417,0.1645342955065004,0.21662073604615442,0.2974785590214732
2006,1,76.99244140085388,140.45348829552017,0.5482122642915416,3135987.0,434476.0,602218.0,2902011.0,7074692.0,6037998.0,1036694.0,0.480624703751144,0.14653556649533295,0.26348435711786605,0.2847279071736756
2006,2,81.07675719855513,137.8648986266437,0.5884001183872134,3407847.0,518980.0,663116.0,2931670.0,7521613.0,6339517.0,1182096.0,0.46244374768614077,0.15715990705716978,0.2721019558859519,0.3162981625012616
2006,3,82.58282783543575,153.76875283581865,0.5391045566025111,3957617.0,482166.0,715803.0,2776768.0,7932354.0,6734385.0,1197969.0,0.41232688656796423,0.15102313890681127,0.22228730335851626,0.31681725324399485
2006,4,83.07280365175284,156.90109394130687,0.5312502683563696,3945407.0,475497.0,758028.0,2644758.0,7823690.0,6590165.0,1233525.0,0.40131893511012245,0.1576653727333266,0.21320079197374503,0.31804947638262454
2007,1,83.66677752924126,149.90115257379168,0.5580782074031624,3733561.0,502208.0,633825.0,3081031.0,7950625.0,6814592.0,1136033.0,0.45212259222562406,0.14288599952833897,0.2523197657957472,0.30575844160741517
