Ano,Cattle,Chicken,Pork,Date
1974,92495364,18876770,34191986,1974-12-01
1975,102531758,17828226,37640291,1975-12-01
1976,107349052,18002155,38742102,1976-12-01
1977,107296556,18008585,34532153,1977-12-01
1978,106942565,17418308,33698970,1978-12-01
1979,109177486,17806268,35695012,1979-12-01
1980,118971418,18380960,34331236,1980-12-01
1981,121785084,19054132,32429244,1981-12-01
1982,123487834,18588149,33175597,1982-12-01
1983,124185999,18121376,31677541,1983-12-01
1984,127654597,18447244,32327339,1984-12-01
1985,128422666,18658967,32247687,1985-12-01
1986,132221568,19659739,32539339,1986-12-01
1987,135726280,19859609,32479681,1987-12-01
1988,139599106,20084877,32120895,1988-12-01
1989,144154103,20041463,33015038,1989-12-01
1990,147102314,20014505,33623186,1990-12-01
1991,152135505,20127945,34290275,1991-12-01
1992,154229303,19955874,34532168,1992-12-01
1993,155134073,18008283,34184187,1993-12-01
1994,158243229,18436098,35141839,1994-12-01
1995,161227938,18336432,36062103,1995-12-01
1996,158288540,14725503,29202182,1996-12-01
1997,161416157,14533716,29637109,1997-12-01
1998,163154357,14268387,30006946,1998-12-01
1999,164621038,14399960,30838616,1999-12-01
2000,169875524,14784958,31562111,2000-12-01
2001,176388726,14638925,32605112,2001-12-01
2002,185348838,14277061,31918749,2002-12-01
2003,195551576,14556484,32304905,2003-12-01
2004,204512737,15057838,33085299,2004-12-01
2005,207156696,15588041,34063934,2005-12-01
2006,205886244,16019170,35173824,2006-12-01
2007,199752014,16239455,35945015,2007-12-01
2008,202306731,16630408,36819017,2008-12-01
2009,205307954,16811721,38045454,2009-12-01
2010,209541109,17380581,38956758,2010-12-01
2011,212815311,17668063,39307336,2011-12-01
2012,211279082,16789492,38795902,2012-12-01
2013,211764292,17290519,36743593,2013-12-01
2014,212366132,17614454,37930307,2014-12-01
2015,215220508,18410551,39795222,2015-12-01
2016,218190768,18403947,40053184,2016-12-01
2017,215003578,18606767,41383029,2017-12-01
2018,213809445,18947352,41231856,2018-12-01
2019,214689984,19971802,40556109,2019-12-01
2020,217836282,20623064,41211188,2020-12-01
2021,224601992,20544899,42550892,2021-12-01
2022,234851536,21520872,44388351,2022-12-01
2023,238626442,21792139,42997536,2023-12-01
