DATE,BR_CATTLE_PRICE
2002-01-02,46.22
2002-01-03,46.19
2002-01-04,46.17
2002-01-07,46.18
2002-01-08,46.07
2002-01-09,45.88
2002-01-10,45.72
2002-01-11,45.53
2002-01-14,45.4
2002-01-15,45.26
2002-01-16,45.17
2002-01-17,45.3
2002-01-18,45.43
2002-01-21,45.4
2002-01-22,45.47
2002-01-23,45.39
2002-01-24,45.4
2002-01-25,45.46
2002-01-28,45.44
2002-01-29,45.43
2002-01-30,45.55
2002-01-31,45.57
2002-02-01,45.45
2002-02-04,45.43
2002-02-05,45.45
2002-02-06,45.47
2002-02-07,45.61
2002-02-08,45.65
2002-02-13,45.57
2002-02-14,45.7
2002-02-15,45.69
2002-02-18,45.73
2002-02-19,45.8
2002-02-20,45.82
2002-02-21,45.83
2002-02-22,45.92
2002-02-25,45.98
2002-02-26,45.94
2002-02-27,45.94
2002-02-28,45.95
2002-03-01,45.91
2002-03-04,45.88
2002-03-05,45.77
2002-03-06,45.73
2002-03-07,45.22
2002-03-08,44.99
2002-03-11,44.99
2002-03-12,44.77
2002-03-13,44.77
2002-03-14,44.82
2002-03-15,44.85
2002-03-18,44.99
2002-03-19,45.02
2002-03-20,44.95
2002-03-21,44.91
2002-03-22,44.58
2002-03-25,43.05
2002-03-26,42.68
2002-03-27,42.89
2002-03-28,43.19
2002-04-01,42.82
2002-04-02,42.95
2002-04-03,43.01
2002-04-04,43.44
2002-04-05,43.51
2002-04-08,43.5
2002-04-09,43.66
2002-04-10,43.63
2002-04-11,43.5
2002-04-12,43.5
2002-04-15,43.1
2002-04-16,43.01
2002-04-17,42.82
2002-04-18,42.47
2002-04-19,42.14
2002-04-22,42.01
2002-04-23,41.43
2002-04-24,41.26
2002-04-25,40.88
2002-04-26,40.49
2002-04-29,40.56
2002-04-30,40.65
2002-05-02,40.75
2002-05-03,40.93
2002-05-06,41.15
2002-05-07,41.44
2002-05-08,41.72
2002-05-09,41.72
2002-05-10,41.91
2002-05-13,42.0
2002-05-14,42.31
2002-05-15,42.36
2002-05-16,42.53
2002-05-17,42.58
2002-05-20,42.65
2002-05-21,42.65
2002-05-22,42.59
2002-05-23,42.75
2002-05-24,42.74
2002-05-27,42.76
2002-05-28,42.73
2002-05-29,42.71
2002-05-31,42.69
2002-06-03,42.64
2002-06-04,42.72
2002-06-05,42.85
2002-06-06,42.7
2002-06-07,42.57
2002-06-10,42.5
2002-06-11,42.49
2002-06-12,42.5
2002-06-13,42.26
2002-06-14,42.26
2002-06-17,42.32
2002-06-18,42.33
2002-06-19,42.15
2002-06-20,42.3
2002-06-21,42.26
2002-06-24,42.32
2002-06-25,42.39
2002-06-26,42.4
2002-06-27,42.43
2002-06-28,42.52
2002-07-01,42.54
2002-07-02,42.7
2002-07-03,42.78
2002-07-04,42.95
2002-07-05,43.06
2002-07-08,43.05
2002-07-10,43.19
2002-07-11,43.23
2002-07-12,43.3
2002-07-15,43.39
2002-07-16,43.62
2002-07-17,43.64
2002-07-18,43.73
2002-07-19,44.07
2002-07-22,44.24
2002-07-23,44.28
2002-07-24,44.54
2002-07-25,45.14
2002-07-26,45.28
2002-07-29,45.79
2002-07-30,45.9
2002-07-31,46.37
2002-08-01,46.54
2002-08-02,46.99
2002-08-05,47.41
2002-08-06,47.7
2002-08-07,48.01
2002-08-08,48.04
2002-08-09,48.15
2002-08-12,48.45
2002-08-13,48.8
2002-08-14,48.98
2002-08-15,49.52
2002-08-16,49.83
2002-08-19,50.01
2002-08-20,50.19
2002-08-21,50.26
2002-08-22,50.42
2002-08-23,50.51
2002-08-26,50.81
2002-08-27,50.84
2002-08-28,50.7
2002-08-29,50.4
2002-08-30,50.21
2002-09-02,49.73
2002-09-03,49.58
2002-09-04,49.57
2002-09-05,49.44
2002-09-06,49.39
2002-09-09,49.43
2002-09-10,49.43
2002-09-11,49.4
2002-09-12,49.51
2002-09-13,49.59
2002-09-16,49.76
2002-09-17,49.89
2002-09-18,50.0
2002-09-19,50.21
2002-09-20,50.34
2002-09-23,50.34
2002-09-24,50.38
2002-09-25,50.62
2002-09-26,50.76
2002-09-27,50.85
2002-09-30,50.84
2002-10-01,51.1
2002-10-02,51.29
2002-10-03,51.59
2002-10-04,51.54
2002-10-07,51.93
2002-10-08,52.08
2002-10-09,52.18
2002-10-10,52.34
2002-10-11,52.79
2002-10-14,52.97
2002-10-15,53.25
2002-10-16,53.53
2002-10-17,53.6
2002-10-18,53.91
2002-10-21,54.16
2002-10-22,54.56
2002-10-23,54.87
2002-10-24,55.14
2002-10-25,55.39
2002-10-28,55.79
2002-10-29,56.28
2002-10-30,56.51
2002-10-31,56.79
2002-11-01,57.12
2002-11-04,57.38
2002-11-05,57.62
2002-11-06,57.74
2002-11-07,58.22
2002-11-08,58.31
2002-11-11,58.67
2002-11-12,58.71
2002-11-13,58.95
2002-11-14,59.07
2002-11-18,58.92
2002-11-19,58.48
2002-11-20,58.24
2002-11-21,57.96
2002-11-22,57.55
2002-11-25,57.16
2002-11-26,56.96
2002-11-27,56.72
2002-11-28,56.16
2002-11-29,56.08
2002-12-02,55.4
2002-12-03,55.52
2002-12-04,55.66
2002-12-05,56.29
2002-12-06,56.71
2002-12-09,57.06
2002-12-10,57.39
2002-12-11,57.92
2002-12-12,58.37
2002-12-13,58.47
2002-12-16,58.78
2002-12-17,58.79
2002-12-18,58.59
2002-12-19,58.46
2002-12-20,57.94
2002-12-23,58.0
2002-12-26,58.3
2002-12-27,58.32
2002-12-30,58.2
2003-01-02,58.15
2003-01-03,58.18
2003-01-06,58.24
2003-01-07,58.12
2003-01-08,57.99
2003-01-09,57.62
2003-01-10,57.29
2003-01-13,56.91
2003-01-14,56.76
2003-01-15,56.37
2003-01-16,56.3
2003-01-17,56.28
2003-01-20,56.12
2003-01-21,56.05
2003-01-22,56.02
2003-01-23,56.2
2003-01-24,56.39
2003-01-27,56.53
2003-01-28,56.76
2003-01-29,57.16
2003-01-30,57.57
2003-01-31,57.64
2003-02-03,57.57
2003-02-04,57.44
2003-02-05,57.28
2003-02-06,57.25
2003-02-07,56.8
2003-02-10,56.83
2003-02-11,56.57
2003-02-12,56.5
2003-02-13,56.56
2003-02-14,56.63
2003-02-17,56.89
2003-02-18,57.02
2003-02-19,56.94
2003-02-20,56.89
2003-02-21,56.89
2003-02-24,56.94
2003-02-25,56.91
2003-02-26,56.85
2003-02-27,56.81
2003-02-28,56.84
2003-03-05,56.82
2003-03-06,56.83
2003-03-07,56.74
2003-03-10,56.75
2003-03-11,56.66
2003-03-12,56.69
2003-03-13,56.72
2003-03-14,56.72
2003-03-17,56.62
2003-03-18,56.55
