State,Animal,Gender,Slaughtered_Animals,Date
DF,Bovino,Male,4,2002-01-01
BA,Suino,Male,1097,2003-01-01
MG,Equino,Male,737,2003-01-01
MT,Novilho Precoce,Male,647,2003-01-01
PR,Suino,Male,80790,2003-01-01
RS,Leitao,Male,52,2003-01-01
RS,Leitoa,Male,23,2003-01-01
DF,Frango,Male,2929490,2004-01-01
GO,Touro/Touruno,Male,200,2004-01-01
MG,Novilhona,Male,10,2004-01-01
MT,Touro/Touruno,Male,1800,2004-01-01
SC,Coelho,Male,225,2004-01-01
SP,Capivara,Male,5,2004-01-01
SP,Frango Especial,Male,213442,2004-01-01
SP,Galeto,Male,10236,2004-01-01
SP,"Suino Tipo Banha,",Male,2319,2004-01-01
AC,Bovino,Male,5955,2005-01-01
BA,Asinino,Male,276,2005-01-01
BA,Ovino,Male,308,2005-01-01
GO,Vaca,Male,9940,2005-01-01
SP,Leitao,Male,95,2005-01-01
AM,Bufala,Male,56,2006-01-01
RN,Bovino,Male,32,2006-01-01
RS,Novilhao,Male,11120,2006-01-01
SC,Novilho Intermediario,Male,2117,2006-01-01
SC,Porco Matrizeiro,Male,354,2006-01-01
SP,Equino,Male,852,2006-01-01
BA,Equino,Male,331,2007-01-01
GO,Novilha Precoce,Male,255,2007-01-01
MG,Coelho,Male,480,2007-01-01
MG,Novilho Intermediario,Male,4569,2007-01-01
MS,Suino,Male,4670,2007-01-01
PA,Novilhona,Male,2529,2007-01-01
PR,Frango,Male,92356943,2007-01-01
GO,Bovino,Male,133639,2008-01-01
MS,Bovino,Male,218241,2008-01-01
MS,Touro/Touruno,Male,124,2008-01-01
MT,Frango,Male,10866771,2008-01-01
PR,Equino,Male,891,2008-01-01
RR,Bovino,Male,2846,2008-01-01
RS,Galeto,Male,181301,2008-01-01
PR,Equino,Male,665,2009-01-01
RS,Galinha,Male,700002,2009-01-01
SC,Coelha,Male,563,2009-01-01
SP,Novilhona,Male,1928,2009-01-01
MG,Ovino,Male,127,2010-01-01
PA,Frango,Male,2089198,2010-01-01
RS,Touro/Touruno,Male,70,2010-01-01
SP,Galinha,Male,2263954,2010-01-01
MG,Novilha Precoce,Male,459,2011-01-01
PA,Vaca,Male,55,2011-01-01
PR,Galo,Male,1787,2011-01-01
RO,Vaca,Male,45574,2011-01-01
RS,Galinha,Male,659050,2011-01-01
GO,Bufala,Male,67,2012-01-01
MG,Coelho,Male,460,2012-01-01
PR,Galinha,Male,1126896,2012-01-01
RN,Frango,Male,464398,2012-01-01
RS,Ovino,Male,3459,2012-01-01
RS,Peru,Male,406337,2012-01-01
SE,Suino,Male,53,2012-01-01
BA,Bufalo,Male,183,2013-01-01
BA,Caprino,Male,135,2013-01-01
MG,Faizão,Male,8666,2013-01-01
MS,Galinha,Male,68975,2013-01-01
SE,Suino,Male,173,2013-01-01
AC,Vaca,Male,462,2014-01-01
BA,Frango,Male,3848762,2014-01-01
ES,Bovino,Male,13707,2014-01-01
GO,Bufalo,Male,99,2014-01-01
GO,Frango,Male,29206778,2014-01-01
GO,Galinha De Postura,Male,40832,2014-01-01
GO,Nonato,Male,15,2014-01-01
MS,Novilhao,Male,20,2014-01-01
RR,Suino,Male,26,2014-01-01
SP,Leitao,Male,3,2014-01-01
SP,Novilha Precoce,Male,815,2014-01-01
AM,Bovino,Male,2977,2015-01-01
DF,Bovino,Male,15,2015-01-01
GO,Novilhao,Male,19856,2015-01-01
GO,Ovino,Male,4,2015-01-01
GO,Touro/Touruno,Male,3621,2015-01-01
PI,Frango,Male,538983,2015-01-01
PR,Frango Especial,Male,29397,2015-01-01
SP,Novilho Precoce,Male,192,2015-01-01
SP,Pato,Male,322,2015-01-01
ES,Bovino,Male,12215,2016-01-01
MG,Bufalo,Male,10,2016-01-01
MS,Novilha Precoce,Male,412,2016-01-01
PE,Cordeiro,Male,117,2016-01-01
PR,Vaca,Male,4003,2016-01-01
RS,Novilha Intermediaria,Male,172,2016-01-01
BA,Ovino,Male,92,2017-01-01
GO,Galinha De Postura,Male,13464,2017-01-01
MG,Avestruz,Male,15,2017-01-01
MG,Porco Nao Classificado,Male,52628,2017-01-01
MS,Galinha,Male,86846,2017-01-01
BA,Asinino,Male,2180,2018-01-01
GO,Peru,Male,347926,2018-01-01
MG,Leitao,Male,75,2018-01-01
MG,Novilhao,Male,270,2018-01-01
MT,"Suino Tipo Carne,",Male,100566,2018-01-01
PR,Novilho Precoce,Male,29,2018-01-01
RS,Leitoa,Male,2728,2018-01-01
SP,Porca Matrizeira,Male,983,2018-01-01
AC,Bovino,Male,17508,2019-01-01
GO,Touro/Touruno,Male,12733,2019-01-01
MT,Leitao,Male,151,2019-01-01
PR,Leitoa,Male,1772,2019-01-01
SC,Peru,Male,277334,2019-01-01
AC,Porca Matrizeira,Male,70,2020-01-01
GO,Novilha Intermediaria,Male,4841,2020-01-01
MA,Bovino,Male,27600,2020-01-01
MA,Galinha,Male,5729,2020-01-01
MG,Galo,Male,11389,2020-01-01
MG,Muar,Male,0,2020-01-01
PR,Galo,Male,80533,2020-01-01
PR,Touro/Touruno,Male,30,2020-01-01
RS,Asinino,Male,20,2020-01-01
SP,Leitoa,Male,60,2020-01-01
PA,Asinino,Male,5,2022-01-01
PA,Muar,Male,43,2022-01-01
PR,Aves,Male,36855879,2022-01-01
PR,Frango,Male,64094259,2022-01-01
SC,Aves,Male,7528459,2022-01-01
SC,Peru,Male,419977,2022-01-01
DF,Frango,Male,4452420,2024-01-01
MS,Jacaré,Male,900,2024-01-01
RS,Equino,Male,368,2024-01-01
SP,Galo,Male,6044,2024-01-01
BA,Asinino,Male,1328,2025-01-01
PR,Bovino,Male,42169,2025-01-01
SC,Coelho,Male,3780,2025-01-01
SP,Galo,Male,12474,2025-01-01
MG,Bovino,Male,1091,2001-02-01
RS,Porco Matrizeiro,Male,105,2002-02-01
SC,Frango,Male,6445050,2002-02-01
MG,Vaca,Male,1411,2003-02-01
RS,Novilha Precoce,Male,60,2003-02-01
SC,Equino,Male,115,2003-02-01
SC,Galinha,Male,184560,2003-02-01
SP,Touro/Touruno,Male,4,2003-02-01
MG,"Suino Tipo Carne,",Male,24578,2004-02-01
MS,Novilho Intermediario,Male,504,2004-02-01
SC,Bubalino Jovem,Male,11,2004-02-01
SC,Galinha,Male,256284,2004-02-01
SC,Novilho Intermediario,Male,1825,2004-02-01
SC,Perdiz,Male,30645,2004-02-01
SC,Porca Matrizeira,Male,4812,2004-02-01
SP,Galinha De Postura,Male,466907,2004-02-01
GO,Novilha Intermediaria,Male,454,2005-02-01
MG,Frango,Male,14787881,2005-02-01
MG,Muar,Male,19,2005-02-01
RS,"Suino Tipo Carne,",Male,14995,2005-02-01
SP,Vaca,Male,6113,2005-02-01
MG,"Suino Tipo Banha,",Male,45,2006-02-01
MS,Cordeira,Male,19,2006-02-01
MS,Leitoa,Male,159,2006-02-01
PR,Faizão,Male,5928,2006-02-01
PR,Ovino,Male,170,2006-02-01
RS,Novilho Precoce,Male,7320,2006-02-01
CE,Avestruz Fêmea,Male,4,2007-02-01
DF,Frango,Male,3474818,2007-02-01
GO,Asinino,Male,1,2007-02-01
MT,Bufala,Male,22,2007-02-01
MT,Porca Matrizeira,Male,280,2007-02-01
PA,Bufalo,Male,107,2007-02-01
PA,Vaca,Male,1137,2007-02-01
PR,Bufalo,Male,175,2007-02-01
RS,Bufala,Male,114,2007-02-01
SP,Vaca,Male,4585,2007-02-01
TO,Novilhao,Male,1754,2007-02-01
BA,Bovino,Male,21799,2008-02-01
MT,Bufalo,Male,54,2008-02-01
SC,Novilho Precoce,Male,779,2008-02-01
SP,"Suino Tipo Carne,",Male,55690,2008-02-01
BA,Ovino,Male,1394,2009-02-01
MG,Coelho,Male,295,2009-02-01
MG,Vitelo,Male,50,2009-02-01
MS,Bufala,Male,44,2009-02-01
PR,Leitao,Male,208,2009-02-01
RS,Cordeiro,Male,8084,2009-02-01
SP,Avestruz,Male,56,2009-02-01
MG,Novilha Precoce,Male,350,2010-02-01
MG,Vaca,Male,1544,2010-02-01
MS,Bovino,Male,180630,2010-02-01
MS,Novilhao,Male,294,2010-02-01
MT,Bovino,Male,100722,2010-02-01
PB,Frango,Male,373149,2010-02-01
RS,Galo,Male,28657,2010-02-01
RS,"Suino Tipo Carne,",Male,31600,2010-02-01
SC,Bufalo,Male,58,2010-02-01
MT,"Suino Tipo Banha,",Male,449,2011-02-01
PR,Bufalo,Male,80,2011-02-01
PR,Coelho,Male,2460,2011-02-01
RS,Novilhona,Male,654,2011-02-01
SC,Codorna,Male,497596,2011-02-01
SC,Porco Nao Classificado,Male,42057,2011-02-01
BA,Frango,Male,2483354,2012-02-01
DF,"Suino Tipo Banha,",Male,0,2012-02-01
MG,Bufalo,Male,18,2012-02-01
PR,Peru,Male,637525,2012-02-01
RO,Novilha Intermediaria,Male,1,2012-02-01
RO,Novilhona,Male,1473,2012-02-01
RS,Leitao,Male,1829,2012-02-01
RS,Touro/Touruno,Male,17,2012-02-01
PE,Frango,Male,1096358,2013-02-01
RS,Javali,Male,65,2013-02-01
RS,Novilha Precoce,Male,84,2013-02-01
RS,Novilho Intermediario,Male,5489,2013-02-01
MG,Novilhao,Male,164,2014-02-01
MT,Bovino,Male,112853,2014-02-01
GO,Galo,Male,5641,2015-02-01
MS,Bufalo,Male,142,2015-02-01
MS,Frango,Male,11385441,2015-02-01
PA,Novilhao,Male,6483,2015-02-01
DF,Ovino,Male,0,2016-02-01
GO,Muar,Male,41,2016-02-01
GO,Touro/Touruno,Male,4266,2016-02-01
MG,Avestruz Fêmea,Male,14,2016-02-01
MG,Novilha Precoce,Male,3164,2016-02-01
MG,Novilho Precoce,Male,5815,2016-02-01
MG,Porca Matrizeira,Male,2960,2016-02-01
MS,Suino,Male,33582,2016-02-01
RS,Novilho Precoce,Male,353,2016-02-01
SC,Equino,Male,13,2016-02-01
BA,Frango,Male,3394404,2017-02-01
DF,Bovino,Male,32,2017-02-01
GO,Touro/Touruno,Male,4409,2017-02-01
MG,Bovino,Male,73349,2017-02-01
RS,Galinha,Male,411236,2017-02-01
RS,Novilhona,Male,3,2017-02-01
MG,Galo,Male,6710,2018-02-01
PR,Galinha,Male,5526109,2018-02-01
RO,Touro/Touruno,Male,44489,2018-02-01
RS,Galinha De Postura,Male,33335,2018-02-01
RS,Suino,Male,289605,2018-02-01
RS,"Suino Tipo Carne,",Male,17813,2018-02-01
SC,Equino,Male,23,2018-02-01
GO,Leitoa,Male,414,2019-02-01
GO,Novilho Precoce,Male,9910,2019-02-01
MS,"Suino Tipo Carne,",Male,87145,2019-02-01
PR,Cordeiro,Male,90,2019-02-01
RS,Novilha Intermediaria,Male,245,2019-02-01
GO,Galinha,Male,145392,2020-02-01
MG,Galinha,Male,142473,2020-02-01
PE,Galeto,Male,1163194,2020-02-01
PR,Bufalo,Male,38,2020-02-01
PR,Leitao,Male,13,2020-02-01
SC,Galinha,Male,302187,2020-02-01
MA,Galinha,Male,612309,2021-02-01
RS,Muar,Male,0,2021-02-01
SC,Peru,Male,268130,2021-02-01
CE,Asinino,Male,0,2022-02-01
TO,Galinha,Male,0,2022-02-01
AC,Bovino,Male,16071,2023-02-01
BA,Bovino,Male,22998,2023-02-01
MA,Bovino,Male,25128,2023-02-01
MS,Galinha,Male,9603,2023-02-01
MS,Frango,Male,11094568,2024-02-01
PA,Capivara,Male,0,2024-02-01
SC,Frango,Male,48127024,2024-02-01
SC,Ovino,Male,15,2024-02-01
SC,Pato,Male,245560,2024-02-01
RN,Bovino,Male,30,2025-02-01
RO,Bovino,Male,110964,2025-02-01
MT,Vaca,Male,3881,2002-03-01
RS,Novilha Precoce,Male,75,2002-03-01
DF,Frango,Male,2412583,2003-03-01
GO,Bufala,Male,20,2003-03-01
GO,"Suino Tipo Carne,",Male,63149,2003-03-01
MT,"Suino Tipo Carne,",Male,5306,2003-03-01
PR,Coelho,Male,801,2003-03-01
RS,Vaca,Male,1708,2003-03-01
