DATE,BR_CHICKEN_PRICE
2009-03-03,2.67
2009-03-04,2.71
2009-03-05,2.73
2009-03-06,2.72
2009-03-11,2.71
2009-03-13,2.7
2009-03-16,2.7
2009-03-17,2.7
2009-03-18,2.7
2009-03-20,2.68
2009-03-23,2.68
2009-03-24,2.66
2009-03-26,2.61
2009-03-27,2.59
2009-03-30,2.59
2009-03-31,2.59
2009-04-03,2.56
2009-04-06,2.56
2009-04-08,2.63
2009-04-09,2.65
2009-04-13,2.65
2009-04-14,2.67
2009-04-17,2.67
2009-04-22,2.66
2009-04-24,2.67
2009-04-27,2.67
2009-04-29,2.67
2009-04-30,2.66
2009-05-04,2.66
2009-05-06,2.68
2009-05-08,2.68
2009-05-11,2.68
2009-05-12,2.68
2009-05-13,2.67
2009-05-14,2.67
2009-05-15,2.68
2009-05-20,2.7
2009-05-22,2.69
2009-05-25,2.69
2009-05-26,2.69
2009-05-27,2.64
2009-05-29,2.64
2009-06-01,2.61
2009-06-02,2.62
2009-06-03,2.62
2009-06-08,2.64
2009-06-09,2.71
2009-06-10,2.73
2009-06-12,2.81
2009-06-15,2.81
2009-06-17,2.82
2009-06-19,2.83
2009-06-22,2.83
2009-06-23,2.82
2009-06-24,2.76
2009-06-25,2.76
2009-06-29,2.76
2009-06-30,2.77
2009-07-01,2.76
2009-07-02,2.76
2009-07-06,2.76
2009-07-07,2.78
2009-07-08,2.85
2009-07-09,2.85
2009-07-10,2.85
2009-07-13,2.85
2009-07-14,2.85
2009-07-16,2.85
2009-07-20,2.86
2009-07-21,2.84
2009-07-22,2.84
2009-07-23,2.82
2009-07-24,2.81
2009-07-27,2.8
2009-07-28,2.73
2009-07-29,2.72
2009-07-30,2.72
2009-07-31,2.71
2009-08-03,2.72
2009-08-04,2.71
2009-08-05,2.78
2009-08-06,2.78
2009-08-10,2.78
2009-08-12,2.71
2009-08-13,2.69
2009-08-14,2.69
2009-08-18,2.7
2009-08-19,2.67
2009-08-20,2.66
2009-08-21,2.66
2009-08-24,2.66
2009-08-25,2.66
2009-08-26,2.66
2009-08-27,2.65
2009-08-28,2.62
2009-08-31,2.62
2009-09-01,2.61
2009-09-02,2.61
2009-09-03,2.58
2009-09-08,2.61
2009-09-09,2.61
2009-09-10,2.61
2009-09-14,2.61
2009-09-15,2.62
2009-09-16,2.62
2009-09-17,2.64
2009-09-18,2.63
2009-09-21,2.63
2009-09-22,2.63
2009-09-23,2.62
2009-09-24,2.62
2009-09-25,2.62
2009-09-28,2.6
2009-09-29,2.6
2009-09-30,2.6
2009-10-02,2.62
2009-10-05,2.62
2009-10-06,2.63
2009-10-07,2.65
2009-10-08,2.65
2009-10-09,2.65
2009-10-13,2.65
2009-10-14,2.65
2009-10-15,2.65
2009-10-19,2.65
2009-10-20,2.65
2009-10-21,2.62
2009-10-23,2.6
2009-10-27,2.58
2009-10-28,2.58
2009-10-30,2.57
2009-11-03,2.58
2009-11-04,2.58
2009-11-05,2.61
2009-11-06,2.61
2009-11-10,2.61
2009-11-11,2.61
2009-11-13,2.59
2009-11-16,2.59
2009-11-17,2.56
2009-11-18,2.57
2009-11-20,2.57
2009-11-23,2.58
2009-11-25,2.57
2009-11-26,2.57
2009-11-27,2.57
2009-12-01,2.56
2009-12-02,2.56
2009-12-03,2.56
2009-12-04,2.5
2009-12-07,2.48
2009-12-08,2.48
2009-12-09,2.5
2009-12-10,2.53
2009-12-11,2.59
2009-12-14,2.59
2009-12-15,2.56
2009-12-16,2.55
2009-12-17,2.55
2009-12-18,2.57
2009-12-21,2.57
2009-12-22,2.55
2009-12-28,2.57
2009-12-29,2.59
2009-12-30,2.59
2010-01-05,2.58
2010-01-06,2.58
2010-01-07,2.56
2010-01-11,2.56
2010-01-12,2.54
2010-01-14,2.52
2010-01-15,2.52
2010-01-18,2.52
2010-01-20,2.47
2010-01-21,2.47
2010-01-22,2.47
2010-01-25,2.47
2010-01-26,2.48
2010-01-27,2.48
2010-01-29,2.48
2010-02-01,2.48
2010-02-04,2.47
2010-02-05,2.46
2010-02-10,2.48
2010-02-11,2.5
2010-02-12,2.5
2010-02-17,2.5
2010-02-18,2.55
2010-02-19,2.54
2010-02-22,2.54
2010-02-23,2.55
2010-02-25,2.54
2010-02-26,2.54
2010-03-01,2.54
2010-03-02,2.54
2010-03-03,2.54
2010-03-04,2.54
2010-03-05,2.54
2010-03-08,2.54
2010-03-09,2.53
2010-03-11,2.53
2010-03-12,2.53
2010-03-15,2.53
2010-03-18,2.49
2010-03-19,2.48
2010-03-22,2.49
2010-03-23,2.48
2010-03-24,2.47
2010-03-25,2.44
2010-03-26,2.41
2010-03-29,2.4
2010-03-30,2.41
2010-03-31,2.41
2010-04-01,2.41
2010-04-05,2.41
2010-04-06,2.41
2010-04-07,2.42
2010-04-08,2.42
2010-04-09,2.45
2010-04-12,2.46
2010-04-13,2.47
2010-04-14,2.47
2010-04-15,2.46
2010-04-16,2.44
2010-04-19,2.44
2010-04-20,2.41
2010-04-22,2.38
2010-04-23,2.37
2010-04-26,2.38
2010-04-27,2.38
2010-04-28,2.37
2010-04-29,2.36
2010-04-30,2.34
2010-05-03,2.34
2010-05-04,2.31
2010-05-05,2.32
2010-05-06,2.3
2010-05-07,2.29
2010-05-10,2.28
2010-05-11,2.28
2010-05-12,2.28
2010-05-13,2.3
2010-05-14,2.3
2010-05-17,2.3
2010-05-18,2.29
2010-05-19,2.27
2010-05-20,2.26
2010-05-21,2.29
2010-05-24,2.28
2010-05-25,2.28
2010-05-26,2.28
2010-05-27,2.27
2010-05-28,2.27
2010-05-31,2.27
2010-06-01,2.25
2010-06-02,2.25
2010-06-04,2.26
2010-06-07,2.26
2010-06-08,2.28
2010-06-09,2.32
2010-06-10,2.34
2010-06-11,2.34
2010-06-14,2.35
2010-06-15,2.35
2010-06-16,2.35
2010-06-17,2.36
2010-06-18,2.35
2010-06-21,2.35
2010-06-22,2.32
2010-06-23,2.32
2010-06-24,2.31
2010-06-25,2.29
2010-06-28,2.29
2010-06-29,2.29
2010-06-30,2.28
2010-07-01,2.26
2010-07-02,2.26
2010-07-05,2.27
2010-07-16,2.42
2010-07-19,2.42
2010-07-20,2.43
2010-07-21,2.43
2010-07-22,2.4
2010-07-23,2.4
2010-07-26,2.37
2010-07-27,2.37
2010-07-28,2.31
2010-07-29,2.27
2010-07-30,2.27
2010-08-02,2.27
2010-08-03,2.35
2010-08-04,2.35
2010-08-05,2.35
2010-08-06,2.35
2010-08-09,2.35
2010-08-10,2.43
2010-08-11,2.43
2010-08-12,2.44
2010-08-13,2.42
2010-08-16,2.42
2010-08-17,2.4
2010-08-18,2.4
2010-08-19,2.37
2010-08-20,2.41
2010-08-23,2.43
2010-08-24,2.43
2010-08-25,2.4
2010-08-26,2.4
2010-08-27,2.42
2010-08-30,2.39
2010-08-31,2.45
2010-09-01,2.52
2010-09-02,2.61
2010-09-03,2.63
2010-09-06,2.63
2010-09-08,2.63
2010-09-09,2.8
2010-09-13,2.9
2010-09-14,2.94
2010-09-15,2.94
2010-09-16,2.95
2010-09-17,2.95
2010-09-20,2.93
2010-09-21,2.93
2010-09-22,2.94
2010-09-23,2.96
2010-09-24,2.93
2010-09-27,2.93
2010-09-28,2.85
2010-09-29,2.83
2010-09-30,2.83
2010-10-01,2.83
2010-10-04,2.83
2010-10-05,2.89
2010-10-06,2.9
2010-10-07,2.9
2010-10-08,2.9
2010-10-11,2.9
2010-10-13,2.9
2010-10-14,2.95
2010-10-15,2.89
2010-10-19,2.91
2010-10-20,2.93
2010-10-21,2.93
2010-10-22,2.91
2010-10-25,2.87
2010-10-27,2.77
2010-10-28,2.78
2010-10-29,2.78
2010-11-03,2.76
2010-11-04,2.9
2010-11-05,2.91
2010-11-08,2.93
2010-11-09,3.04
2010-11-10,3.08
2010-11-11,3.1
2010-11-12,3.1
2010-11-16,3.15
2010-11-17,3.19
2010-11-18,3.12
2010-11-19,3.15
2010-11-22,3.16
2010-11-23,3.24
2010-11-24,3.22
2010-11-25,3.21
2010-11-26,3.21
2010-11-29,3.18
2010-11-30,3.18
2010-12-01,3.15
2010-12-02,3.16
2010-12-03,3.16
2010-12-06,3.16
2010-12-07,3.16
2010-12-08,3.16
2010-12-10,3.19
2010-12-13,3.19
2010-12-14,3.27
2010-12-15,3.31
2010-12-16,3.3
2010-12-17,3.3
2010-12-20,3.23
2010-12-21,3.25
2010-12-22,3.25
2010-12-23,3.22
2010-12-27,3.28
2010-12-28,3.28
2010-12-29,3.27
2010-12-30,3.27
2011-01-03,3.29
2011-01-04,3.19
2011-01-05,3.22
2011-01-06,3.22
2011-01-07,3.13
2011-01-10,3.13
2011-01-11,3.13
2011-01-12,3.07
2011-01-13,3.03
2011-01-14,2.92
2011-01-17,2.92
2011-01-18,2.99
2011-01-19,2.97
2011-01-20,2.97
2011-01-21,2.97
2011-01-24,2.97
2011-01-25,2.97
2011-01-26,2.97
2011-01-27,2.92
2011-01-28,2.92
2011-01-31,2.92
2011-02-01,2.88
2011-02-02,2.89
2011-02-03,2.87
2011-02-04,2.86
2011-02-07,2.86
2011-02-08,2.88
2011-02-09,2.94
2011-02-10,2.99
2011-02-11,2.99
2011-02-14,3.03
2011-02-15,3.08
2011-02-16,3.09
2011-02-17,3.09
2011-02-18,3.09
2011-02-21,3.09
2011-02-22,3.08
2011-02-23,3.03
2011-02-24,3.02
2011-02-25,3.0
2011-02-28,3.0
2011-03-01,3.04
2011-03-02,3.03
2011-03-03,3.04
2011-03-04,3.04
2011-03-09,3.05
2011-03-10,3.09
2011-03-11,3.14
2011-03-14,3.14
2011-03-15,3.15
2011-03-16,3.15
2011-03-17,3.13
2011-03-18,3.12
2011-03-21,3.13
2011-03-22,3.08
2011-03-23,3.05
2011-03-24,3.02
2011-03-25,3.0
2011-03-28,3.0
2011-03-29,2.95
2011-03-30,2.94
2011-03-31,2.94
2011-04-01,2.9
2011-04-04,2.9
2011-04-05,2.9
2011-04-06,2.88
2011-04-07,2.86
2011-04-08,2.88
2011-04-11,2.88
2011-04-12,2.86
2011-04-13,2.82
2011-04-14,2.81
2011-04-15,2.8
2011-04-18,2.76
2011-04-19,2.77
2011-04-20,2.78
2011-04-25,2.8
2011-04-26,2.78
2011-04-27,2.77
2011-04-28,2.75
2011-04-29,2.73
2011-05-02,2.73
2011-05-03,2.72
2011-05-04,2.71
2011-05-05,2.71
2011-05-06,2.73
2011-05-09,2.73
2011-05-10,2.72
2011-05-11,2.72
2011-05-13,2.66
2011-05-16,2.65
2011-05-17,2.64
2011-05-18,2.62
2011-05-19,2.6
2011-05-20,2.59
2011-05-23,2.59
2011-05-24,2.54
2011-05-25,2.49
2011-05-26,2.44
2011-05-27,2.43
2011-05-30,2.43
2011-05-31,2.4
2011-06-01,2.38
2011-06-02,2.39
2011-06-03,2.39
2011-06-06,2.4
2011-06-07,2.38
2011-06-08,2.42
2011-06-09,2.44
2011-06-10,2.44
2011-06-13,2.44
2011-06-14,2.46
2011-06-15,2.41
2011-06-16,2.43
2011-06-17,2.41
2011-06-20,2.4
2011-06-21,2.44
2011-06-22,2.45
2011-06-24,2.41
2011-06-27,2.41
2011-06-28,2.41
2011-06-29,2.4
2011-06-30,2.42
2011-07-01,2.43
2011-07-04,2.44
2011-07-05,2.44
2011-07-06,2.44
2011-07-07,2.5
2011-07-08,2.51
2011-07-11,2.53
2011-07-12,2.53
2011-07-13,2.53
2011-07-14,2.59
2011-07-15,2.59
2011-07-18,2.59
2011-07-19,2.59
2011-07-20,2.62
2011-07-21,2.62
2011-07-22,2.62
2011-07-25,2.62
2011-07-26,2.62
2011-07-27,2.63
2011-07-28,2.65
2011-07-29,2.67
2011-08-01,2.69
2011-08-02,2.69
2011-08-03,2.86
2011-08-04,2.86
2011-08-05,2.86
2011-08-08,2.89
2011-08-09,2.87
2011-08-10,3.02
2011-08-11,3.05
2011-08-12,3.09
2011-08-15,3.09
2011-08-16,3.07
2011-08-17,3.01
2011-08-18,3.01
2011-08-19,3.01
2011-08-22,3.01
2011-08-23,2.94
2011-08-24,2.96
2011-08-25,2.89
2011-08-26,2.9
2011-08-29,2.86
2011-08-30,2.84
2011-08-31,2.84
2011-09-01,2.86
2011-09-02,2.87
2011-09-05,2.87
2011-09-06,2.87
2011-09-08,2.89
2011-09-09,2.94
2011-09-12,2.95
2011-09-13,2.98
2011-09-14,3.01
2011-09-15,3.01
2011-09-16,3.01
2011-09-19,3.0
2011-09-20,2.91
2011-09-21,2.89
2011-09-22,2.89
2011-09-23,2.89
2011-09-26,2.87
2011-09-27,2.84
2011-09-28,2.8
2011-09-29,2.8
2011-09-30,2.8
2011-10-03,2.8
2011-10-04,2.86
2011-10-05,2.9
2011-10-06,2.92
2011-10-07,2.97
2011-10-11,3.0
2011-10-13,3.04
2011-10-14,3.05
2011-10-17,3.03
2011-10-18,3.07
2011-10-19,3.06
2011-10-20,3.06
2011-10-21,3.03
2011-10-24,3.05
2011-10-25,3.02
2011-10-26,2.91
2011-10-27,2.91
2011-10-28,2.89
2011-10-31,2.9
2011-11-01,3.0
2011-11-03,3.02
2011-11-04,3.06
2011-11-07,3.06
2011-11-08,3.05
2011-11-09,3.11
2011-11-10,3.11
2011-11-11,3.12
2011-11-14,3.12
2011-11-16,3.12
2011-11-17,3.12
2011-11-18,3.12
2011-11-21,3.13
2011-11-22,3.15
2011-11-23,3.16
2011-11-24,3.15
2011-11-25,3.14
2011-11-28,3.13
2011-11-29,3.09
2011-11-30,3.1
2011-12-01,3.09
2011-12-02,3.09
2011-12-05,3.09
2011-12-06,3.08
2011-12-07,3.09
2011-12-08,3.09
2011-12-09,3.09
2011-12-12,3.07
2011-12-13,3.07
2011-12-14,3.09
2011-12-15,3.09
2011-12-16,3.09
2011-12-19,3.09
2011-12-20,3.09
2011-12-21,3.07
2011-12-22,3.08
2011-12-23,3.08
2011-12-26,3.08
2011-12-27,3.05
2011-12-28,3.03
2011-12-29,3.02
2012-01-02,3.04
2012-01-03,3.03
2012-01-04,2.95
2012-01-05,2.91
2012-01-06,2.86
2012-01-09,2.86
2012-01-10,2.82
2012-01-11,2.79
2012-01-12,2.77
2012-01-13,2.72
2012-01-16,2.72
2012-01-17,2.68
2012-01-18,2.63
2012-01-19,2.63
2012-01-20,2.63
2012-01-23,2.63
2012-01-24,2.6
2012-01-25,2.51
2012-01-26,2.51
2012-01-27,2.5
2012-01-30,2.5
2012-01-31,2.49
2012-02-01,2.45
2012-02-02,2.41
2012-02-03,2.43
2012-02-06,2.43
2012-02-07,2.57
2012-02-08,2.6
2012-02-09,2.63
2012-02-10,2.69
2012-02-13,2.71
2012-02-14,2.78
2012-02-15,2.78
2012-02-16,2.79
2012-02-17,2.8
2012-02-22,2.8
2012-02-23,2.79
2012-02-24,2.78
2012-02-27,2.78
2012-02-28,2.78
2012-02-29,2.78
2012-03-01,2.79
2012-03-02,2.78
2012-03-05,2.79
2012-03-06,2.79
2012-03-07,2.84
2012-03-08,2.84
2012-03-09,2.85
2012-03-12,2.85
2012-03-13,2.85
2012-03-14,2.84
2012-03-15,2.82
2012-03-16,2.8
2012-03-19,2.81
2012-03-20,2.8
2012-03-21,2.73
2012-03-22,2.71
2012-03-23,2.71
2012-03-26,2.69
2012-03-27,2.66
2012-03-28,2.66
2012-03-29,2.62
2012-03-30,2.62
2012-04-02,2.62
2012-04-03,2.62
2012-04-04,2.63
2012-04-05,2.63
2012-04-09,2.68
2012-04-10,2.75
2012-04-11,2.76
2012-04-12,2.8
2012-04-13,2.81
2012-04-16,2.81
2012-04-17,2.79
2012-04-18,2.82
2012-04-19,2.82
2012-04-20,2.78
2012-04-23,2.82
2012-04-24,2.81
2012-04-25,2.79
2012-04-26,2.75
2012-04-27,2.74
2012-04-30,2.74
2012-05-02,2.71
2012-05-03,2.7
2012-05-04,2.7
2012-05-07,2.69
2012-05-08,2.78
2012-05-09,2.79
2012-05-10,2.79
2012-05-11,2.79
2012-05-14,2.79
2012-05-15,2.82
2012-05-16,2.85
2012-05-17,2.84
2012-05-18,2.84
2012-05-21,2.79
2012-05-22,2.78
2012-05-23,2.77
2012-05-24,2.75
2012-05-25,2.72
2012-05-28,2.71
2012-05-29,2.68
2012-05-30,2.68
2012-05-31,2.69
