DATE,BR_COFFEE_PRICE
2002-01-02,104.77
2002-01-03,105.95
2002-01-04,106.5
2002-01-07,106.98
2002-01-08,108.4
2002-01-09,112.45
2002-01-10,113.72
2002-01-11,109.89
2002-01-14,111.4
2002-01-15,112.14
2002-01-16,111.55
2002-01-17,111.51
2002-01-18,109.69
2002-01-21,108.79
2002-01-22,109.63
2002-01-23,110.96
2002-01-24,112.22
2002-01-25,110.9
2002-01-28,110.49
2002-01-29,110.92
2002-01-30,110.92
2002-01-31,110.51
2002-02-01,110.72
2002-02-04,110.56
2002-02-05,110.05
2002-02-06,110.31
2002-02-07,111.24
2002-02-08,111.41
2002-02-13,110.0
2002-02-14,111.08
2002-02-15,111.28
2002-02-18,110.45
2002-02-19,111.67
2002-02-20,113.18
2002-02-21,114.61
2002-02-22,112.63
2002-02-25,109.47
2002-02-26,109.13
2002-02-27,108.72
2002-02-28,108.63
2002-03-01,109.07
2002-03-04,108.69
2002-03-05,111.29
2002-03-06,112.76
2002-03-07,111.71
2002-03-08,113.12
2002-03-11,119.41
2002-03-12,121.54
2002-03-13,118.65
2002-03-14,118.24
2002-03-15,118.43
2002-03-18,112.47
2002-03-19,114.76
2002-03-20,119.83
2002-03-21,117.72
2002-03-22,118.76
2002-03-25,118.78
2002-03-26,119.9
2002-03-27,121.04
2002-03-28,122.06
2002-04-01,123.12
2002-04-02,126.95
2002-04-03,126.41
2002-04-04,122.49
2002-04-05,118.77
2002-04-08,117.11
2002-04-09,121.02
2002-04-10,120.29
2002-04-11,119.49
2002-04-12,115.91
2002-04-15,116.7
2002-04-16,115.36
2002-04-17,114.76
2002-04-18,119.87
2002-04-19,115.56
2002-04-22,116.93
2002-04-23,118.22
2002-04-24,115.84
2002-04-25,112.23
2002-04-26,111.82
2002-04-29,110.67
2002-04-30,111.17
2002-05-02,108.54
2002-05-03,107.74
2002-05-06,109.25
2002-05-07,109.34
2002-05-08,108.93
2002-05-09,106.41
2002-05-10,106.33
2002-05-13,105.67
2002-05-14,106.56
2002-05-15,105.67
2002-05-16,107.64
2002-05-17,106.74
2002-05-20,107.35
2002-05-21,109.15
2002-05-22,107.38
2002-05-23,107.32
2002-05-24,107.0
2002-05-27,107.28
2002-05-28,107.19
2002-05-29,108.23
2002-05-31,108.56
2002-06-03,107.55
2002-06-04,108.26
2002-06-05,107.86
2002-06-06,108.95
2002-06-07,107.25
2002-06-10,108.0
2002-06-11,109.32
2002-06-12,109.87
2002-06-13,106.3
2002-06-14,105.44
2002-06-17,104.71
2002-06-18,104.82
2002-06-19,104.84
2002-06-20,105.76
2002-06-21,105.5
2002-06-24,104.88
2002-06-25,105.01
2002-06-26,104.81
2002-06-27,104.09
2002-06-28,104.25
2002-07-01,103.84
2002-07-02,107.29
2002-07-03,103.2
2002-07-04,102.99
2002-07-05,103.64
2002-07-08,103.36
2002-07-10,106.09
2002-07-11,110.65
2002-07-12,105.61
2002-07-15,104.81
2002-07-16,105.79
2002-07-17,106.12
2002-07-18,102.84
2002-07-19,102.94
2002-07-22,102.59
2002-07-23,104.15
2002-07-24,102.18
2002-07-25,104.31
2002-07-26,103.72
2002-07-29,104.81
2002-07-30,105.12
2002-07-31,107.29
2002-08-01,106.56
2002-08-02,106.93
2002-08-05,105.52
2002-08-06,107.26
2002-08-07,106.11
2002-08-08,106.2
2002-08-09,106.46
2002-08-12,108.93
2002-08-13,110.4
2002-08-14,110.94
2002-08-15,109.57
2002-08-16,109.94
2002-08-19,108.65
2002-08-20,108.32
2002-08-21,108.6
2002-08-22,111.21
2002-08-23,111.39
2002-08-26,109.31
2002-08-27,109.78
2002-08-28,113.58
2002-08-29,114.38
2002-08-30,112.65
2002-09-02,113.16
2002-09-03,120.04
2002-09-04,125.68
2002-09-05,124.37
2002-09-06,126.05
2002-09-09,136.47
2002-09-10,133.77
2002-09-11,134.23
2002-09-12,140.9
2002-09-13,142.94
2002-09-16,148.8
2002-09-17,148.39
2002-09-18,145.91
2002-09-19,142.47
2002-09-20,135.58
2002-09-23,133.75
2002-09-24,137.54
2002-09-25,140.08
2002-09-26,141.46
2002-09-27,143.98
2002-09-30,141.31
2002-10-01,145.24
2002-10-02,146.71
2002-10-03,146.72
2002-10-04,145.48
2002-10-07,150.39
2002-10-08,152.02
2002-10-09,159.61
2002-10-10,159.99
2002-10-11,158.35
2002-10-14,170.19
2002-10-15,195.53
2002-10-16,187.3
2002-10-17,184.71
2002-10-18,168.2
2002-10-21,180.4
2002-10-22,176.47
2002-10-23,177.06
2002-10-24,187.62
2002-10-25,190.03
2002-10-28,172.47
2002-10-29,163.52
2002-10-30,164.15
2002-10-31,175.29
2002-11-01,168.62
2002-11-04,173.67
2002-11-05,179.43
2002-11-06,180.26
2002-11-07,184.08
2002-11-08,185.85
2002-11-11,179.52
2002-11-12,178.65
2002-11-13,181.69
2002-11-14,184.4
2002-11-18,187.97
2002-11-19,193.62
2002-11-20,197.47
2002-11-21,195.99
2002-11-22,197.26
2002-11-25,192.93
2002-11-26,195.6
2002-11-27,198.15
2002-11-28,198.8
2002-11-29,199.13
2002-12-02,204.12
2002-12-03,200.45
2002-12-04,198.36
2002-12-05,202.54
2002-12-06,192.95
2002-12-09,189.83
2002-12-10,191.43
2002-12-11,180.96
2002-12-12,180.15
2002-12-13,178.68
2002-12-16,178.43
2002-12-17,180.01
2002-12-18,178.82
2002-12-19,177.88
2002-12-20,174.96
2002-12-23,174.01
2002-12-26,172.26
2002-12-27,171.49
2002-12-30,171.1
2003-01-02,172.6
2003-01-03,171.78
2003-01-06,176.4
2003-01-07,181.07
2003-01-08,182.09
2003-01-09,182.19
2003-01-10,185.59
2003-01-13,184.3
2003-01-14,185.91
2003-01-15,188.96
2003-01-16,189.92
2003-01-17,193.08
2003-01-20,199.11
2003-01-21,200.2
2003-01-22,202.89
2003-01-23,204.45
2003-01-24,203.85
2003-01-27,201.72
2003-01-28,200.34
2003-01-29,196.76
2003-01-30,195.19
2003-01-31,197.88
2003-02-03,201.7
2003-02-04,198.76
2003-02-05,197.42
2003-02-06,201.75
2003-02-07,202.19
2003-02-10,203.48
2003-02-11,202.04
2003-02-12,199.87
2003-02-13,191.62
2003-02-14,194.81
2003-02-17,193.96
2003-02-18,193.25
2003-02-19,191.95
2003-02-20,193.95
2003-02-21,191.91
2003-02-24,187.08
2003-02-25,183.56
2003-02-26,179.13
2003-02-27,179.4
2003-02-28,172.79
2003-03-05,174.73
2003-03-06,178.64
2003-03-07,179.07
2003-03-10,182.62
2003-03-11,174.25
2003-03-12,174.64
2003-03-13,176.15
2003-03-14,173.53
2003-03-17,167.21
2003-03-18,169.0
2003-03-19,175.21
2003-03-20,180.05
2003-03-21,180.28
2003-03-24,174.18
2003-03-25,170.77
2003-03-26,170.39
2003-03-27,169.97
2003-03-28,176.7
2003-03-31,176.97
2003-04-01,176.95
2003-04-02,178.93
2003-04-03,183.26
2003-04-04,179.78
2003-04-07,178.59
2003-04-08,176.67
2003-04-09,175.95
2003-04-10,175.61
2003-04-11,177.03
2003-04-14,169.0
2003-04-15,172.13
2003-04-16,171.19
2003-04-17,173.26
2003-04-22,177.34
2003-04-23,175.31
2003-04-24,173.75
2003-04-25,172.16
2003-04-28,168.48
2003-04-29,170.47
2003-04-30,174.11
2003-05-02,174.12
2003-05-05,178.34
2003-05-06,182.31
2003-05-07,179.0
2003-05-08,177.59
2003-05-09,174.57
2003-05-12,174.27
2003-05-13,172.85
2003-05-14,169.3
2003-05-15,170.53
2003-05-16,172.78
2003-05-19,171.78
2003-05-20,180.84
2003-05-21,175.04
2003-05-22,176.37
2003-05-23,174.79
2003-05-26,171.63
2003-05-27,164.41
2003-05-28,165.1
2003-05-29,164.6
2003-05-30,162.54
2003-06-02,166.6
2003-06-03,166.77
2003-06-04,165.33
2003-06-05,164.88
2003-06-06,162.28
2003-06-09,159.9
2003-06-10,160.75
2003-06-11,162.28
2003-06-12,162.32
2003-06-13,160.61
2003-06-16,160.51
2003-06-17,160.36
2003-06-18,158.69
2003-06-20,153.05
2003-06-23,152.78
2003-06-24,153.85
2003-06-25,152.06
2003-06-26,155.68
2003-06-27,154.48
2003-06-30,158.33
2003-07-01,157.16
2003-07-02,161.98
2003-07-03,158.39
2003-07-04,158.23
2003-07-07,158.12
2003-07-08,160.67
2003-07-10,160.51
2003-07-11,160.8
2003-07-14,163.99
2003-07-15,163.57
2003-07-16,164.21
2003-07-17,165.87
2003-07-18,165.38
2003-07-21,159.11
2003-07-22,158.32
2003-07-23,159.21
2003-07-24,160.35
2003-07-25,165.79
2003-07-28,165.25
2003-07-29,170.6
2003-07-30,170.66
2003-07-31,172.71
2003-08-01,178.46
2003-08-04,180.17
2003-08-05,175.7
2003-08-06,179.44
2003-08-07,179.43
2003-08-08,177.74
2003-08-11,170.47
2003-08-12,170.15
2003-08-13,174.51
2003-08-14,171.42
2003-08-15,170.62
2003-08-18,169.67
2003-08-19,170.03
2003-08-20,169.78
2003-08-21,175.08
2003-08-22,173.65
2003-08-25,172.44
2003-08-26,171.84
2003-08-27,170.82
2003-08-28,171.26
2003-08-29,171.12
2003-09-01,170.98
2003-09-02,171.4
2003-09-03,170.95
2003-09-04,172.94
2003-09-05,174.11
2003-09-08,182.77
2003-09-09,184.06
2003-09-10,183.22
2003-09-11,185.61
2003-09-12,180.95
2003-09-15,171.5
2003-09-16,168.65
2003-09-17,168.95
2003-09-18,168.32
2003-09-19,169.79
2003-09-22,172.08
2003-09-23,173.1
2003-09-24,174.39
2003-09-25,173.36
2003-09-26,169.09
2003-09-29,170.38
2003-09-30,169.09
2003-10-01,173.59
2003-10-02,171.58
2003-10-03,172.74
2003-10-06,167.71
2003-10-07,168.16
2003-10-08,165.19
2003-10-09,162.98
2003-10-10,162.66
2003-10-13,160.96
2003-10-14,162.42
2003-10-15,162.94
2003-10-16,164.28
2003-10-17,162.74
2003-10-20,165.94
2003-10-21,168.7
2003-10-22,168.06
2003-10-23,170.41
2003-10-24,171.79
2003-10-27,174.75
2003-10-28,175.72
2003-10-29,166.96
2003-10-30,165.64
2003-10-31,163.04
2003-11-03,162.47
2003-11-04,166.99
2003-11-05,166.49
2003-11-06,168.03
2003-11-07,167.56
2003-11-10,166.54
2003-11-11,167.07
2003-11-12,167.35
2003-11-13,171.77
2003-11-14,171.47
2003-11-17,169.85
2003-11-18,170.4
2003-11-19,171.83
2003-11-20,167.67
2003-11-21,166.23
2003-11-24,165.01
2003-11-25,166.7
2003-11-26,167.55
2003-11-27,166.63
2003-11-28,166.18
2003-12-01,168.76
2003-12-02,177.64
2003-12-03,177.28
2003-12-04,171.99
2003-12-05,174.27
2003-12-08,181.94
2003-12-09,178.27
2003-12-10,178.13
2003-12-11,176.59
2003-12-12,178.36
2003-12-15,167.82
2003-12-16,172.51
2003-12-17,174.76
2003-12-18,173.41
2003-12-19,173.6
2003-12-22,174.94
2003-12-23,173.08
2003-12-26,171.54
2003-12-29,172.8
2003-12-30,172.92
2004-01-02,172.5
2004-01-05,179.64
2004-01-06,185.07
2004-01-07,184.04
2004-01-08,182.87
2004-01-09,184.33
2004-01-12,191.99
2004-01-13,188.18
2004-01-14,185.98
2004-01-15,187.41
2004-01-16,192.21
2004-01-19,192.64
2004-01-20,200.91
2004-01-21,202.05
2004-01-22,200.0
2004-01-23,197.99
2004-01-26,208.59
2004-01-27,210.2
2004-01-28,205.02
2004-01-29,203.81
2004-01-30,202.64
2004-02-02,201.75
2004-02-03,205.98
2004-02-04,198.5
2004-02-05,199.35
2004-02-06,202.9
2004-02-09,198.84
2004-02-10,207.25
2004-02-11,206.25
2004-02-12,207.15
2004-02-13,205.0
2004-02-16,205.13
2004-02-17,206.58
2004-02-18,196.92
2004-02-19,198.97
2004-02-20,199.68
2004-02-25,203.43
2004-02-26,210.15
2004-02-27,209.61
2004-03-01,206.6
2004-03-02,207.0
2004-03-03,202.64
2004-03-04,203.6
2004-03-05,204.24
2004-03-08,205.52
2004-03-09,200.93
2004-03-10,205.36
2004-03-11,208.48
2004-03-12,206.53
2004-03-15,210.01
2004-03-16,211.52
2004-03-17,208.74
