DATE,BR_CONSECANA_MONTHLY
2002-01-31,0.2064
2002-02-28,0.1978
2002-03-31,0.191
2002-04-30,0.191
2002-05-31,0.1781
2002-06-30,0.1662
2002-07-31,0.1653
2002-08-31,0.1822
2002-09-30,0.2053
2002-10-31,0.2487
2002-11-30,0.2752
2002-12-31,0.2751
2003-01-31,0.2986
2003-02-28,0.3297
2003-03-31,0.3261
2003-04-30,0.3261
2003-05-31,0.2688
2003-06-30,0.2192
2003-07-31,0.199
2003-08-31,0.2339
2003-09-30,0.2156
2003-10-31,0.1951
2003-11-30,0.2001
2003-12-31,0.2135
2004-01-31,0.1985
2004-02-29,0.1646
2004-03-31,0.1567
2004-04-30,0.1838
2004-05-31,0.1957
2004-06-30,0.2173
2004-07-31,0.2249
2004-08-31,0.2375
2004-09-30,0.2352
2004-10-31,0.2485
2004-11-30,0.2614
2004-12-31,0.2555
2005-01-31,0.255
2005-02-28,0.268
2005-03-31,0.2773
2005-04-30,0.2669
2005-05-31,0.2269
2005-06-30,0.2238
2005-07-31,0.2438
2005-08-31,0.2488
2005-09-30,0.2654
2005-10-31,0.287
2005-11-30,0.2848
2005-12-31,0.3179
2006-01-31,0.3569
2006-02-28,0.3743
2006-03-31,0.4027
2006-05-31,0.4006
2006-06-30,0.3897
2006-07-31,0.392
2006-08-31,0.3645
2006-09-30,0.335
2006-10-31,0.3149
2006-11-30,0.3124
2006-12-31,0.3155
2007-01-31,0.3152
2007-02-28,0.3028
2007-03-31,0.3089
2007-04-30,0.3217
2007-05-31,0.2632
2007-06-30,0.2299
2007-07-31,0.2243
2007-08-31,0.2268
2007-09-30,0.2261
2007-10-31,0.2174
2007-11-30,0.237
2007-12-31,0.2418
2008-01-31,0.2402
2008-02-29,0.2529
2008-03-31,0.2628
2008-04-30,0.2538
2008-05-31,0.2506
2008-06-30,0.2385
2008-07-31,0.2493
2008-08-31,0.2498
2008-09-30,0.2685
2008-10-31,0.292
2008-11-30,0.3015
2008-12-31,0.3116
2009-01-31,0.3238
2009-02-28,0.3394
2009-03-31,0.3211
2009-04-30,0.2978
2009-05-31,0.2802
2009-06-30,0.2749
2009-07-31,0.2993
2009-08-31,0.3084
2009-09-30,0.3375
2009-10-31,0.3676
2009-11-30,0.3744
2009-12-31,0.3886
2010-01-31,0.4391
2010-02-28,0.4726
2010-03-31,0.4307
2010-04-30,0.3888
2010-05-31,0.3486
2010-06-30,0.3253
2010-07-31,0.3374
2010-08-31,0.3489
2010-09-30,0.376
2010-10-31,0.4005
2010-11-30,0.4236
2010-12-31,0.4445
2011-01-31,0.4651
2011-02-28,0.4749
2011-03-31,0.5192
2011-04-30,0.5704
2011-05-31,0.4619
2011-06-30,0.4575
2011-07-31,0.4972
2011-08-31,0.4915
2011-09-30,0.502
2011-10-31,0.5197
2011-11-30,0.5306000000000001
2011-12-31,0.5311
2012-01-31,0.5026
2012-02-29,0.4801
2012-03-31,0.5057
2012-04-30,0.4976
2012-05-31,0.5109
2012-06-30,0.4943
2012-07-31,0.4702
2012-08-31,0.4651
2012-09-30,0.4583
2012-10-31,0.4497
2012-11-30,0.4635
2012-12-31,0.4678
2013-01-31,0.4607
2013-02-28,0.4536
2013-03-31,0.4472
2013-04-30,0.447
2013-05-31,0.4363
2013-06-30,0.4416
2013-07-31,0.4415
2013-08-31,0.4436
2013-09-30,0.4441
2013-10-31,0.4412
2013-11-30,0.4637
2013-12-31,0.4831
2014-01-31,0.4812
2014-02-28,0.4867
2014-04-30,0.4938
2014-05-31,0.4608
2014-06-30,0.4615
2014-07-31,0.4643
2014-08-31,0.4609
2014-09-30,0.4554
2014-10-31,0.4498
2014-11-30,0.474
2014-12-31,0.4894
2015-01-31,0.4952
2015-02-28,0.5154
2015-03-31,0.5155000000000001
2015-04-30,0.4909
2015-05-31,0.4737
2015-06-30,0.4675
