DATE,BR_CORN_ETHANOL_PRICE
2013-03-22,1498.201
2013-04-12,1472.952
2013-04-19,1469.605
2013-05-03,1420.068
2013-05-17,1453.25
2013-05-24,1482.28
2013-05-31,1467.398
2013-06-07,1443.418
2013-06-21,1426.429
2013-06-28,1435.628
2013-07-05,1415.004
2013-07-12,1427.787
2013-08-16,1390.445
2013-08-23,1389.495
2013-08-30,1359.157
2013-09-06,1351.949
2013-09-13,1338.94
2013-09-20,1367.121
2013-09-27,1364.524
2013-10-04,1365.365
2013-10-11,1351.246
2013-10-18,1365.309
2013-10-25,1362.063
2013-11-01,1364.762
2013-11-08,1384.277
2013-11-22,1459.764
2013-11-29,1530.624
2013-12-06,1551.136
2013-12-13,1560.087
2013-12-20,1550.756
2013-12-27,1652.168
2014-01-03,1653.667
2014-01-10,1714.861
2014-01-17,1755.192
2014-01-24,1756.3
2014-01-31,1760.518
2014-02-07,1773.164
2014-02-14,1762.406
2014-02-21,1761.866
2014-02-28,1682.308
2014-03-07,1754.314
2014-03-14,1753.209
2014-03-21,1763.809
2014-03-28,1754.012
2014-04-11,1739.37
2014-04-18,1748.524
2014-04-25,1736.487
2014-05-02,1721.812
2014-05-09,1692.2
2014-05-16,1642.269
2014-05-23,1611.074
2014-05-30,1587.678
2014-06-06,1551.03
2014-06-13,1532.218
2014-06-20,1508.735
2014-06-27,1486.503
2014-07-04,1450.42
2014-07-11,1397.678
2014-07-18,1404.219
2014-07-25,1401.961
2014-08-01,1410.074
2014-08-08,1393.174
2014-08-15,1400.241
2014-08-22,1402.709
2014-08-29,1407.988
2014-09-05,1416.14
2014-09-12,1406.474
2014-09-19,1421.861
2014-09-26,1418.104
2014-10-03,1398.99
2014-10-10,1422.97
2014-10-17,1410.375
2014-10-24,1405.664
2014-10-31,1400.022
2014-11-07,1399.041
2014-11-14,1424.494
2014-11-21,1453.888
2014-11-28,1460.18
2014-12-05,1451.456
2014-12-12,1511.531
2014-12-19,1530.858
2014-12-26,1527.316
