DATE,BR_CORN_SORRISO_PRICE
2004-01-26,10.5
2004-01-27,10.0
2004-01-28,9.5
2004-01-29,9.5
2004-01-30,9.4
2004-02-04,10.0
2004-02-06,10.0
2004-02-09,10.1
2004-02-10,9.5
2004-02-12,9.5
2004-02-13,9.5
2004-02-16,9.5
2004-02-18,9.5
2004-02-19,9.5
2004-02-20,9.5
2004-02-25,9.5
2004-02-26,9.5
2004-02-27,9.5
2004-03-02,9.3
2004-03-03,10.5
2004-03-04,10.0
2004-03-05,10.3
2004-03-08,10.2
2004-03-09,10.65
2004-03-10,10.5
2004-03-11,10.5
2004-03-12,10.27
2004-03-15,9.83
2004-03-16,10.17
2004-03-17,9.5
2004-03-18,10.33
2004-03-19,10.5
2004-03-22,11.22
2004-03-23,13.0
2004-03-24,11.96
2004-03-25,11.15
2004-03-26,11.25
2004-03-29,11.5
2004-03-30,11.17
2004-03-31,11.43
2004-04-01,11.33
2004-04-02,11.3
2004-04-05,11.33
2004-04-06,13.0
2004-04-07,12.73
2004-04-08,12.5
2004-04-12,12.5
2004-04-13,12.6
2004-04-14,12.36
2004-04-15,13.25
2004-04-16,12.63
2004-04-19,13.0
2004-04-20,13.13
2004-04-22,12.75
2004-04-23,12.87
2004-04-26,12.63
2004-04-27,14.0
2004-04-28,14.0
2004-04-29,14.0
2004-04-30,14.0
2004-05-03,14.0
2004-05-04,14.0
2004-05-05,14.0
2004-05-06,13.63
2004-05-07,13.75
2004-05-10,13.63
2004-05-11,13.5
2004-05-12,14.0
2004-05-14,13.78
2004-05-17,14.0
2004-05-18,13.75
2004-05-19,13.69
2004-05-20,13.5
2004-05-21,13.38
2004-05-24,13.33
2004-05-25,13.43
2004-05-26,13.56
2004-05-27,13.4
2004-05-28,13.43
2004-05-31,12.97
2004-06-01,13.17
2004-06-02,13.05
2004-06-03,13.13
2004-06-04,12.63
2004-06-07,12.9
2004-06-08,12.38
2004-06-09,12.5
2004-06-11,12.5
2004-06-14,12.5
2004-06-15,12.33
2004-06-16,12.34
2004-06-17,12.17
2004-06-18,11.88
2004-06-21,12.08
2004-06-22,11.93
2004-06-23,11.8
2004-06-24,12.03
2004-06-25,12.03
2004-06-28,11.57
2004-06-29,11.0
2004-06-30,11.5
2004-07-01,11.22
2004-07-02,11.07
2004-07-05,11.23
2004-07-06,11.13
2004-07-07,11.17
2004-07-08,11.17
2004-07-09,11.38
2004-07-12,11.06
2004-07-13,11.0
2004-07-14,10.72
2004-07-15,10.67
2004-07-16,10.5
2004-07-19,11.02
2004-07-20,11.0
2004-07-21,10.27
2004-07-22,10.1
2004-07-23,10.0
2004-07-26,10.33
2004-07-27,10.17
2004-07-28,9.9
2004-07-29,10.1
2004-07-30,10.17
2004-08-02,10.2
2004-08-03,10.1
2004-08-04,10.1
2004-08-05,10.45
2004-08-06,10.53
2004-08-09,10.38
2004-08-10,10.1
2004-08-11,10.25
2004-08-12,10.5
2004-08-13,10.2
2004-08-16,10.25
2004-08-17,10.17
2004-08-18,10.5
2004-08-19,10.25
2004-08-20,10.25
2004-08-23,10.5
2004-08-24,10.5
2004-08-25,10.25
2004-08-26,10.1
2004-08-27,10.5
2004-08-30,10.27
2004-08-31,10.25
2004-09-01,10.33
2004-09-02,10.13
2004-09-03,10.13
2004-09-06,10.25
2004-09-08,10.15
2004-09-09,10.0
2004-09-10,10.0
2004-09-13,10.1
2004-09-14,10.5
2004-09-15,10.5
2004-09-16,10.36
2004-09-17,10.33
2004-09-20,10.33
2004-09-21,10.33
2004-09-22,10.0
2004-09-23,10.25
2004-09-24,10.0
2004-09-27,10.25
2004-09-28,10.33
2004-09-29,9.92
2004-09-30,9.5
2004-10-01,9.63
2004-10-04,9.6
2004-10-05,9.55
2004-10-06,9.4
2004-10-07,9.75
2004-10-08,9.67
2004-10-11,9.5
2004-10-13,9.25
2004-10-14,9.5
2004-10-15,9.33
2004-10-18,9.5
2004-10-19,9.75
2004-10-20,9.0
2004-10-21,9.13
2004-10-22,9.0
2004-10-25,9.05
2004-10-26,9.0
2004-10-27,9.0
2004-10-28,9.0
2004-10-29,9.13
2004-11-01,9.5
2004-11-03,9.5
2004-11-04,9.18
2004-11-05,9.5
2004-11-08,9.0
2004-11-09,9.1
2004-11-10,9.0
2004-11-11,8.93
2004-11-12,9.0
2004-11-16,9.0
2004-11-17,9.0
2004-11-18,9.0
2004-11-19,8.83
2004-11-22,8.83
2004-11-23,8.83
2004-11-24,9.0
2004-11-25,9.0
2004-11-26,8.83
2004-11-29,8.67
2004-11-30,9.0
2004-12-01,9.0
2004-12-02,9.0
2004-12-03,8.67
2004-12-06,8.67
2004-12-07,8.67
2004-12-08,8.5
2004-12-09,8.75
2004-12-10,8.6
2004-12-13,8.67
2004-12-14,9.0
2004-12-15,8.67
2004-12-16,8.5
2004-12-17,8.0
2004-12-20,8.25
2004-12-21,8.0
2004-12-22,8.25
2004-12-23,8.0
2004-12-27,8.5
2004-12-28,8.3
2004-12-29,8.3
2004-12-30,8.3
2005-01-03,8.5
2005-01-04,8.5
2005-01-05,8.5
2005-01-06,8.0
2005-01-07,8.0
2005-01-10,8.0
2005-01-11,8.33
2005-01-12,8.2
2005-01-13,8.03
2005-01-14,8.3
2005-01-17,8.3
2005-01-18,8.55
2005-01-19,8.5
2005-01-20,8.67
2005-01-21,8.83
2005-01-24,8.5
2005-01-25,8.2
2005-01-26,8.73
2005-01-27,8.6
2005-01-28,8.87
2005-01-31,8.3
2005-02-01,8.25
2005-02-02,9.03
2005-02-03,9.08
2005-02-04,8.93
2005-02-09,8.75
2005-02-10,8.5
2005-02-11,8.0
2005-02-14,8.5
2005-02-15,8.65
2005-02-16,9.1
2005-02-17,9.25
2005-02-18,8.75
2005-02-21,9.13
2005-02-22,8.75
2005-02-23,8.75
2005-02-24,9.0
2005-02-25,9.25
2005-02-28,9.25
2005-03-01,9.25
2005-03-02,9.67
2005-03-03,10.23
2005-03-04,10.05
2005-03-07,10.17
2005-03-08,9.88
2005-03-09,10.0
2005-03-10,9.88
2005-03-11,10.0
2005-03-14,10.3
2005-03-15,10.0
2005-03-16,10.5
2005-03-17,10.5
2005-03-18,10.5
2005-03-21,10.5
2005-03-22,10.83
2005-03-23,10.83
2005-03-24,10.75
2005-03-28,10.75
2005-03-29,10.5
2005-03-30,11.0
2005-03-31,11.35
2005-04-01,11.35
2005-04-04,11.1
2005-04-05,11.75
2005-04-06,11.67
2005-04-07,11.83
2005-04-08,11.83
2005-04-11,11.8
2005-04-12,12.23
2005-04-13,11.8
2005-04-14,11.9
2005-04-15,11.53
2005-04-18,12.0
2005-04-19,11.87
2005-04-20,11.97
2005-04-22,11.7
2005-04-25,11.8
