DATE,BR_DIESEL_PRICE
2018-02-08,1.8165
2018-02-09,1.7698
2018-02-10,1.7657
2018-02-12,1.7657
2018-02-13,1.7657
2018-02-14,1.7657
2018-02-15,1.7657
2018-02-16,1.7243
2018-02-17,1.7112
2018-02-19,1.7369
2018-02-20,1.736
2018-02-21,1.7598
2018-02-22,1.7699
2018-02-23,1.792
2018-02-24,1.792
2018-02-26,1.803
2018-02-27,1.8205
2018-02-28,1.8017
2018-03-01,1.7495
2018-03-02,1.7463
2018-03-03,1.7463
2018-03-05,1.75
2018-03-06,1.7645
2018-03-07,1.7539
2018-03-08,1.731
2018-03-09,1.7301
2018-03-10,1.7301
2018-03-12,1.7583
2018-03-13,1.7331
2018-03-14,1.7342
2018-03-15,1.7478
2018-03-16,1.7657
2018-03-17,1.7657
2018-03-19,1.7862
2018-03-20,1.7751
2018-03-21,1.8181
2018-03-22,1.8565
2018-03-23,1.8475
2018-03-24,1.8475
2018-03-26,1.8702
2018-03-27,1.8688
2018-03-28,1.8884
2018-03-29,1.8884
2018-03-30,1.8884
2018-04-02,1.8835
2018-04-03,1.8578
2018-04-04,1.8696
2018-04-05,1.8867
2018-04-06,1.8646
2018-04-07,1.8646
2018-04-09,1.8729
2018-04-10,1.9169
2018-04-11,1.9549
2018-04-12,1.9874
2018-04-13,1.9837
2018-04-14,1.9837
2018-04-16,1.9988
2018-04-17,1.9917
2018-04-18,1.9752
2018-04-19,1.9822
2018-04-20,2.0045
2018-04-21,2.0045
2018-04-23,2.0045
2018-04-24,2.0576
2018-04-25,2.0667
2018-04-26,2.0953
2018-04-27,2.1112
2018-04-28,2.1112
2018-04-30,2.0877
2018-05-01,2.0877
2018-05-02,2.0535
2018-05-03,2.1051
2018-05-04,2.1015
2018-05-05,2.1015
2018-05-07,2.1289
2018-05-08,2.1728
2018-05-09,2.1728
2018-05-10,2.2361
2018-05-11,2.2162
2018-05-14,2.2236
2018-05-15,2.2682
2018-05-16,2.3082
2018-05-17,2.3302
2018-05-18,2.3488
2018-05-21,2.3716
2018-05-22,2.3351
2018-05-23,2.1016
2018-05-24,2.1016
2018-05-25,2.1016
2018-05-28,2.1016
2018-05-29,2.1016
2018-05-30,2.1016
