Year,Quarter,Month,Date,TableLayers,MeatLayers,TotalLayers,TableEggsProduced,MeatEggsProduced,TotalEggsProduced
1987,1,1,1987-01-01,-,-,60143857,-,-,98136
1987,1,2,1987-02-01,-,-,59604489,-,-,91805
1987,1,3,1987-03-01,-,-,60146407,-,-,98916
1987,2,4,1987-04-01,-,-,60286125,-,-,97778
1987,2,5,1987-05-01,-,-,60316472,-,-,97940
1987,2,6,1987-06-01,-,-,60253865,-,-,96716
1987,3,7,1987-07-01,-,-,59972509,-,-,100996
1987,3,8,1987-08-01,-,-,59908981,-,-,100621
1987,3,9,1987-09-01,-,-,60194573,-,-,99494
1987,4,10,1987-10-01,-,-,59426085,-,-,101213
1987,4,11,1987-11-01,-,-,57549282,-,-,96762
1987,4,12,1987-12-01,-,-,55921318,-,-,96252
1988,1,1,1988-01-01,-,-,58228763,-,-,98530
1988,1,2,1988-02-01,-,-,58645106,-,-,94966
1988,1,3,1988-03-01,-,-,60016363,-,-,102016
1988,2,4,1988-04-01,-,-,60761559,-,-,101266
1988,2,5,1988-05-01,-,-,61312434,-,-,104458
1988,2,6,1988-06-01,-,-,60553037,-,-,101634
1988,3,7,1988-07-01,-,-,60003324,-,-,101765
1988,3,8,1988-08-01,-,-,60234138,-,-,103120
1988,3,9,1988-09-01,-,-,59520378,-,-,100857
1988,4,10,1988-10-01,-,-,59664181,-,-,102349
1988,4,11,1988-11-01,-,-,59319627,-,-,101134
1988,4,12,1988-12-01,-,-,58213540,-,-,100952
1989,1,1,1989-01-01,-,-,57698678,-,-,98191
1989,1,2,1989-02-01,-,-,58588777,-,-,92070
1989,1,3,1989-03-01,-,-,59400260,-,-,100521
1989,2,4,1989-04-01,-,-,60227152,-,-,99336
1989,2,5,1989-05-01,-,-,60817762,-,-,103325
1989,2,6,1989-06-01,-,-,60858028,-,-,101133
1989,3,7,1989-07-01,-,-,61949917,-,-,103439
1989,3,8,1989-08-01,-,-,62159808,-,-,105456
1989,3,9,1989-09-01,-,-,61832935,-,-,103082
1989,4,10,1989-10-01,-,-,61952368,-,-,105786
1989,4,11,1989-11-01,-,-,62005159,-,-,104677
1989,4,12,1989-12-01,-,-,61434373,-,-,106993
1990,1,1,1990-01-01,-,-,58716162,-,-,100853
1990,1,2,1990-02-01,-,-,58886338,-,-,93759
1990,1,3,1990-03-01,-,-,60016483,-,-,101971
1990,2,4,1990-04-01,-,-,61106695,-,-,101849
1990,2,5,1990-05-01,-,-,61264219,-,-,105441
1990,2,6,1990-06-01,-,-,61571363,-,-,103639
1990,3,7,1990-07-01,-,-,61323988,-,-,105669
1990,3,8,1990-08-01,-,-,62549549,-,-,107246
1990,3,9,1990-09-01,-,-,62368067,-,-,104938
1990,4,10,1990-10-01,-,-,61645835,-,-,108387
1990,4,11,1990-11-01,-,-,60982467,-,-,104282
1990,4,12,1990-12-01,-,-,59245461,-,-,103195
1991,1,1,1991-01-01,-,-,62233407,-,-,107102
1991,1,2,1991-02-01,-,-,62779557,-,-,100921
1991,1,3,1991-03-01,-,-,64344235,-,-,110811
1991,2,4,1991-04-01,-,-,65003166,-,-,109815
1991,2,5,1991-05-01,-,-,65258041,-,-,111869
1991,2,6,1991-06-01,-,-,65316171,-,-,109829
1991,3,7,1991-07-01,-,-,65351129,-,-,113009
1991,3,8,1991-08-01,-,-,65145794,-,-,113976
1991,3,9,1991-09-01,-,-,65343720,-,-,112004
1991,4,10,1991-10-01,-,-,63691721,-,-,113162
1991,4,11,1991-11-01,-,-,63462147,-,-,108953
1991,4,12,1991-12-01,-,-,63147419,-,-,110610
1992,1,1,1992-01-01,-,-,62473562,-,-,109620
1992,1,2,1992-02-01,-,-,63359973,-,-,105046
1992,1,3,1992-03-01,-,-,65053171,-,-,113166
1992,2,4,1992-04-01,-,-,66506008,-,-,111331
1992,2,5,1992-05-01,-,-,67178688,-,-,114749
1992,2,6,1992-06-01,-,-,67106060,-,-,113585
1992,3,7,1992-07-01,-,-,67264435,-,-,118969
1992,3,8,1992-08-01,-,-,67036159,-,-,118865
1992,3,9,1992-09-01,-,-,66306778,-,-,115294
1992,4,10,1992-10-01,-,-,66592522,-,-,115356
1992,4,11,1992-11-01,-,-,66382599,-,-,112489
1992,4,12,1992-12-01,-,-,65986366,-,-,115219
1993,1,1,1993-01-01,-,-,65878147,-,-,112901
1993,1,2,1993-02-01,-,-,66405110,-,-,107318
1993,1,3,1993-03-01,-,-,67795615,-,-,116919
1993,2,4,1993-04-01,-,-,68552337,-,-,114954
1993,2,5,1993-05-01,-,-,68566534,-,-,116666
1993,2,6,1993-06-01,-,-,68977220,-,-,115237
1993,3,7,1993-07-01,-,-,68809173,-,-,116272
1993,3,8,1993-08-01,-,-,68633775,-,-,117347
1993,3,9,1993-09-01,-,-,68294698,-,-,115496
1993,4,10,1993-10-01,-,-,67441243,-,-,116671
1993,4,11,1993-11-01,-,-,67342028,-,-,114532
1993,4,12,1993-12-01,-,-,66560821,-,-,116874
1994,1,1,1994-01-01,-,-,67786095,-,-,116285
1994,1,2,1994-02-01,-,-,68299519,-,-,109340
1994,1,3,1994-03-01,-,-,69651794,-,-,120819
1994,2,4,1994-04-01,-,-,69659701,-,-,117530
1994,2,5,1994-05-01,-,-,70473339,-,-,120716
1994,2,6,1994-06-01,-,-,70848849,-,-,119713
1994,3,7,1994-07-01,-,-,71577506,-,-,121576
1994,3,8,1994-08-01,-,-,71000017,-,-,120736
1994,3,9,1994-09-01,-,-,70619484,-,-,118965
1994,4,10,1994-10-01,-,-,70959850,-,-,123728
1994,4,11,1994-11-01,-,-,71098003,-,-,122242
1994,4,12,1994-12-01,-,-,72402039,-,-,128108
1995,1,1,1995-01-01,-,-,74529976,-,-,128119
1995,1,2,1995-02-01,-,-,73671754,-,-,116699
1995,1,3,1995-03-01,-,-,74220767,-,-,128097
1995,2,4,1995-04-01,-,-,75067149,-,-,126092
1995,2,5,1995-05-01,-,-,75051873,-,-,129654
1995,2,6,1995-06-01,-,-,75960998,-,-,128902
1995,3,7,1995-07-01,-,-,74629169,-,-,129288
1995,3,8,1995-08-01,-,-,72335312,-,-,128059
1995,3,9,1995-09-01,-,-,71832811,-,-,125182
1995,4,10,1995-10-01,-,-,72663940,-,-,128921
1995,4,11,1995-11-01,-,-,73031192,-,-,126440
1995,4,12,1995-12-01,-,-,71762157,-,-,125616
1996,1,1,1996-01-01,-,-,70520355,-,-,118598
1996,1,2,1996-02-01,-,-,71741147,-,-,114793
1996,1,3,1996-03-01,-,-,72094451,-,-,121751
1996,2,4,1996-04-01,-,-,72985242,-,-,124540
1996,2,5,1996-05-01,-,-,73066402,-,-,125989
1996,2,6,1996-06-01,-,-,73348188,-,-,123794
1996,3,7,1996-07-01,-,-,73426073,-,-,127343
1996,3,8,1996-08-01,-,-,73871827,-,-,127146
1996,3,9,1996-09-01,-,-,72948650,-,-,123640
1996,4,10,1996-10-01,-,-,71878609,-,-,124795
1996,4,11,1996-11-01,-,-,71317666,-,-,123552
1996,4,12,1996-12-01,-,-,71762756,-,-,124576
1997,1,1,1997-01-01,-,-,71884401,-,-,125598
1997,1,2,1997-02-01,-,-,72004331,-,-,117771
1997,1,3,1997-03-01,-,-,72519417,-,-,127017
1997,2,4,1997-04-01,-,-,73712911,-,-,125980
1997,2,5,1997-05-01,-,-,73492732,-,-,126953
1997,2,6,1997-06-01,-,-,73404909,-,-,124686
1997,3,7,1997-07-01,-,-,74338678,-,-,130604
1997,3,8,1997-08-01,-,-,74404508,-,-,130614
1997,3,9,1997-09-01,-,-,73558798,-,-,127650
1997,4,10,1997-10-01,-,-,71732095,-,-,127673
1997,4,11,1997-11-01,-,-,71307389,-,-,123824
1997,4,12,1997-12-01,-,-,71955662,-,-,127837
1998,1,1,1998-01-01,-,-,73970443,-,-,129202
1998,1,2,1998-02-01,-,-,74669461,-,-,121050
1998,1,3,1998-03-01,-,-,75125107,-,-,131919
1998,2,4,1998-04-01,-,-,77510248,-,-,131364
1998,2,5,1998-05-01,-,-,77818217,-,-,133909
1998,2,6,1998-06-01,-,-,76898444,-,-,131032
1998,3,7,1998-07-01,-,-,77318416,-,-,134069
1998,3,8,1998-08-01,-,-,78053095,-,-,135025
1998,3,9,1998-09-01,-,-,77211938,-,-,131711
1998,4,10,1998-10-01,-,-,74434825,-,-,127590
1998,4,11,1998-11-01,-,-,74870639,-,-,125625
1998,4,12,1998-12-01,-,-,74618305,-,-,128566
1999,1,1,1999-01-01,-,-,76303674,-,-,129996
1999,1,2,1999-02-01,-,-,76727717,-,-,122337
1999,1,3,1999-03-01,-,-,78252412,-,-,134820
