Month,Southeast,South,Northeast,North
2001-01-01,56.92,56.92,33.87,33.87
2001-02-01,160.29,154.17,121.47,121.47
2001-03-01,165.97,151.6,154.21,154.21
2001-04-01,252.18,242.66,247.35,247.35
2001-05-01,459.89,420.22,440.99,440.99
2001-06-01,684.0,67.63,684.0,549.42
2001-07-01,684.0,53.64,684.0,684.0
2001-08-01,684.0,46.2,684.0,684.0
2001-09-01,579.6,74.25,647.45,579.6
2001-10-01,336.0,13.62,562.15,336.0
2001-11-01,336.0,38.05,562.15,336.0
2001-12-01,336.0,26.4,562.15,336.0
2002-01-01,297.05,50.49,515.17,4.04
2002-02-01,43.86,8.02,319.41,4.45
2002-03-01,9.77,9.11,5.79,5.79
2002-04-01,14.58,15.0,6.97,9.12
2002-05-01,19.53,20.23,4.12,10.4
2002-06-01,13.39,11.83,7.73,7.01
2002-07-01,16.67,16.9,16.45,13.62
2002-08-01,11.32,11.83,12.87,11.22
2002-09-01,5.82,5.97,5.35,5.35
2002-10-01,4.84,4.63,4.65,4.65
2002-11-01,6.44,4.54,6.0,6.34
2002-12-01,5.05,4.23,5.2,6.31
2003-01-01,4.05,4.02,4.33,4.29
2003-02-01,4.0,4.0,4.0,4.0
2003-03-01,4.0,4.0,4.0,4.0
2003-04-01,5.48,5.48,5.48,5.48
2003-05-01,7.3,7.3,6.34,6.23
2003-06-01,11.22,11.22,10.53,10.43
2003-07-01,13.14,13.92,9.87,13.1
2003-08-01,16.95,18.56,13.37,16.89
2003-09-01,18.3,20.52,15.44,18.3
2003-10-01,25.82,26.3,19.88,25.73
2003-11-01,28.03,29.85,24.7,27.91
2003-12-01,20.18,20.18,49.41,19.93
2004-01-01,23.68,23.68,294.09,21.48
2004-02-01,18.59,18.59,18.59,18.59
2004-03-01,18.59,18.59,18.59,18.59
2004-04-01,18.59,18.59,18.59,18.59
2004-05-01,18.59,18.59,18.59,18.59
2004-06-01,18.59,18.59,18.59,18.59
2004-07-01,18.59,18.59,18.59,18.59
2004-08-01,18.59,18.59,18.59,18.59
2004-09-01,18.59,18.59,18.59,18.59
2004-10-01,18.75,18.75,18.59,18.75
2004-11-01,18.59,18.59,18.59,18.59
2004-12-01,18.59,18.59,18.59,18.59
2005-01-01,18.33,18.33,18.33,18.33
2005-02-01,18.33,18.99,18.33,18.33
2005-03-01,18.33,27.3,18.33,18.33
2005-04-01,24.88,83.97,18.33,18.87
2005-05-01,43.96,79.35,18.33,20.28
2005-06-01,26.45,24.07,18.33,25.42
2005-07-01,31.74,31.56,18.33,31.74
2005-08-01,34.51,34.51,18.5,34.51
2005-09-01,31.94,29.42,18.4,31.94
2005-10-01,43.12,18.83,18.86,43.12
2005-11-01,35.73,24.17,19.79,35.73
2005-12-01,19.2,19.19,18.4,19.2
2006-01-01,28.64,28.78,19.14,19.14
2006-02-01,58.02,63.63,37.62,29.2
2006-03-01,28.56,42.67,36.1,18.94
2006-04-01,20.87,21.06,16.92,16.92
2006-05-01,51.91,52.51,19.79,16.97
2006-06-01,67.89,70.01,23.44,44.84
2006-07-01,90.9,91.44,30.61,90.9
2006-08-01,104.98,105.19,51.94,104.98
2006-09-01,123.88,123.88,68.56,123.88
2006-10-01,92.42,92.42,46.25,92.42
2006-11-01,80.82,80.82,24.4,80.82
2006-12-01,58.75,59.18,17.58,45.23
2007-01-01,22.62,26.28,17.59,17.59
2007-02-01,17.59,17.59,17.59,17.59
2007-03-01,17.59,17.59,17.59,17.59
2007-04-01,49.36,49.05,28.07,24.25
2007-05-01,59.96,23.48,53.37,53.37
2007-06-01,97.15,59.42,97.19,97.35
2007-07-01,122.59,122.19,118.94,122.87
2007-08-01,39.27,36.13,45.81,44.36
2007-09-01,149.53,149.8,149.11,149.53
2007-10-01,198.13,198.13,197.45,198.13
2007-11-01,185.11,185.11,185.11,185.11
2007-12-01,204.93,204.93,204.93,204.93
2008-01-01,502.45,502.45,497.61,502.45
2008-02-01,200.42,200.65,214.37,200.43
2008-03-01,124.7,127.41,123.24,117.67
2008-04-01,68.8,72.12,71.92,50.97
2008-05-01,34.18,34.19,34.42,27.61
2008-06-01,76.2,76.2,75.34,75.34
2008-07-01,108.42,108.42,108.42,108.42
2008-08-01,102.79,101.21,102.79,102.79
2008-09-01,109.93,109.4,109.91,109.93
2008-10-01,92.43,92.17,92.43,92.43
2008-11-01,106.14,93.77,106.14,106.14
2008-12-01,96.97,96.93,96.97,96.97
2009-01-01,83.64,83.66,77.77,77.82
2009-02-01,52.08,66.15,27.41,27.41
2009-03-01,90.87,91.28,84.25,24.96
2009-04-01,46.46,48.73,27.79,16.31
