DATE,BR_ETHANOL_ANHYDROUS
2008-02-16,0.0
2008-03-01,1.0
2008-03-16,15.0
2008-04-01,25.0
2008-04-16,89.0
2008-05-01,296.0
2008-05-16,383.0
2008-06-01,490.0
2008-06-16,477.0
2008-07-01,505.0
2008-07-16,486.0
2008-08-01,543.0
2008-08-16,561.0
2008-09-01,616.0
2008-09-16,580.0
2008-10-01,471.0
2008-10-16,464.0
2008-11-01,506.0
2008-11-16,399.0
2008-12-01,315.0
2008-12-16,139.0
2009-01-01,53.0
2009-01-16,31.0
2009-02-01,4.0
2009-02-16,-9.0
2009-03-01,-1.0
2009-03-16,-7.0
2009-04-01,-16.0
2009-04-16,57.0
2009-05-01,137.0
2009-05-16,265.0
2009-06-01,334.0
2009-06-16,359.0
2009-07-01,358.0
2009-07-16,406.0
2009-08-01,438.0
2009-08-16,510.0
2009-09-01,385.0
2009-09-16,373.0
2009-10-01,400.0
2009-10-16,483.0
2009-11-01,435.0
2009-11-16,440.0
2009-12-01,391.0
2009-12-16,201.0
2010-01-01,53.0
2010-01-16,31.0
2010-02-01,4.0
2010-02-16,-9.0
2010-03-01,-1.0
2010-03-16,-7.0
2010-04-01,-13.0
2010-04-16,89.0
2010-05-01,296.0
2010-05-16,383.0
2010-06-01,490.0
2010-06-16,477.0
2010-07-01,505.0
2010-07-16,486.0
2010-08-01,543.0
2010-08-16,561.0
2010-09-01,616.0
2010-09-16,580.0
2010-10-01,471.0
2010-10-16,464.0
2010-11-01,506.0
2010-11-16,399.0
2010-12-01,315.0
2010-12-16,139.0
2011-01-01,-1.0
2011-01-16,-23.0
2011-02-01,-67.0
2011-02-16,-45.0
2011-03-01,-46.0
2011-03-16,-77.0
2011-04-01,-107.0
2011-04-16,56.0
2011-05-01,276.0
2011-05-16,507.0
2011-06-01,630.0
2011-06-16,472.0
2011-07-01,603.0
2011-07-16,615.0
2011-08-01,685.0
2011-08-16,648.0
2011-09-01,736.0
2011-09-16,666.0
2011-10-01,664.0
2011-10-16,462.0
2011-11-01,393.0
2011-11-16,287.0
2011-12-01,97.0
2011-12-16,18.0
2012-01-01,58.0
2012-01-16,7.0
2012-02-01,4.0
2012-02-16,-18.0
2012-03-01,-27.0
2012-03-16,-31.0
2012-04-01,-34.0
2012-04-16,-43.0
2012-05-01,-6.0
2012-05-16,173.0
2012-06-01,436.0
2012-06-16,405.0
2012-07-01,491.0
2012-07-16,675.0
2012-08-01,778.0
2012-08-16,779.0
2012-09-01,858.0
2012-09-16,811.0
2012-10-01,634.0
2012-10-16,753.0
2012-11-01,683.0
2012-11-16,519.0
2012-12-01,490.0
2012-12-16,350.0
2013-01-01,112.0
2013-01-16,9.0
2013-02-01,7.0
2013-02-16,9.0
2013-03-01,-9.0
2013-03-16,-16.0
2013-04-01,40.0
2013-04-16,23.0
2013-05-01,360.0
2013-05-16,667.0
2013-06-01,689.0
2013-06-16,643.0
2013-07-01,581.0
2013-07-16,808.0
2013-08-01,887.0
2013-08-16,862.0
2013-09-01,965.0
2013-09-16,863.0
2013-10-01,712.0
2013-10-16,623.0
2013-11-01,788.0
2013-11-16,608.0
2013-12-01,489.0
2013-12-16,321.0
2014-01-01,75.0
2014-01-16,0.0
2014-02-01,11.0
2014-02-16,-5.0
2014-03-01,-52.0
2014-03-16,-41.0
2014-04-01,4.0
2014-04-16,167.0
2014-05-01,311.0
2014-05-16,695.0
2014-06-01,723.0
2014-06-16,801.0
2014-07-01,840.0
2014-07-16,799.0
2014-08-01,733.0
2014-08-16,906.0
2014-09-01,960.0
2014-09-16,777.0
2014-10-01,634.0
2014-10-16,781.0
2014-11-01,691.0
2014-11-16,436.0
2014-12-01,291.0
2014-12-16,202.0
2015-01-01,206.0
2015-01-16,28.0
2015-02-01,50.0
2015-02-16,31.0
2015-03-01,1.0
2015-03-16,-46.0
2015-04-01,112.0
2015-04-16,88.0
2015-05-01,319.0
2015-05-16,395.0
