DATE,BR_ETHANOL_ANHYDROUS_EXPORT
2012-01-31,267127.626878
2012-02-29,270731.851543
2012-03-31,260304.283745
2012-04-30,241512.080032
2012-05-31,681691.318628
2012-06-30,626096.109456
2012-07-31,1938731.603581
2012-08-31,1579298.102771
2012-09-30,1670788.980862
2012-10-31,1900493.634578
2012-11-30,1233543.164984
2012-12-31,1568940.521688
2013-01-31,1086380.95215
2013-02-28,662294.49435
2013-03-31,302467.213694
2013-04-30,558569.803723
2013-05-31,695000.902528
2013-06-30,1116117.349785
2013-07-31,1654677.915588
2013-08-31,2486995.113332
2013-09-30,1139487.182869
2013-10-31,1104439.267122
2013-11-30,386704.733212
2013-12-31,166171.987365
2014-01-31,630636.993756
2014-02-28,33755.114489
2014-03-31,324449.829183
2014-04-30,633766.123913
2014-05-31,760747.072525
2014-06-30,651002.348138
2014-07-31,258665.209577
2014-08-31,229720.931744
2014-09-30,460064.730793
2014-10-31,176883.181565
2014-11-30,258206.455995
2014-12-31,342758.484882
2015-01-31,609865.235881
2015-02-28,251522.903889
2015-03-31,245507.706994
2015-04-30,79744.418903
2015-05-31,472580.446324
2015-06-30,423092.045129
2015-07-31,461082.15159
2015-08-31,781932.366538
2015-09-30,765076.996598
2015-10-31,956947.191492
2015-11-30,708203.49047
2015-12-31,726777.852903
2016-01-31,291589.754656
2016-02-29,715146.365152
2016-03-31,835388.184896
2016-04-30,320947.769901
2016-05-31,378184.544006
2016-06-30,734595.960937
2016-07-31,789202.393108
2016-08-31,694484.905385
2016-09-30,122680.234416
2016-10-31,275925.234444
2016-11-30,89902.745095
2016-12-31,89902.745095
2017-01-31,637674.687325
2017-02-28,379833.68187
2017-03-31,278739.647667
2017-04-30,800192.320239
2017-05-31,349153.554853
2017-06-30,651286.345639
2017-07-31,946081.953554
2017-08-31,576215.362493
2017-09-30,394295.628149
2017-10-31,720793.532685
2017-11-30,594552.957608
2017-12-31,110927.296724
2018-01-31,450832.73008
2018-02-28,383197.811908
2018-03-31,298377.34022
2018-04-30,394467.163848
2018-05-31,486613.289185
2018-06-30,520501.936341
2018-07-31,562969.7837
2018-08-31,1017372.263996
2018-09-30,652748.097483
2018-10-31,955308.90984
2018-11-30,641371.976018
2018-12-31,344659.39755
2019-01-31,348231.292592
2019-02-28,560963.868944
2019-03-31,641119.245163
2019-04-30,1137.889527
2019-05-31,740503.702718
2019-06-30,805402.767394
2019-07-31,949620.405676
2019-08-31,1378531.198065
2019-09-30,929943.376652
2019-10-31,842434.772256
2019-11-30,620597.576423
2019-12-31,457422.670944
2020-01-31,242455.28107
2020-02-29,711893.325738
2020-03-31,299387.439677
2020-04-30,2022.148756
2020-05-31,425519.307967
2020-06-30,915188.079924
2020-07-31,853843.770558
2020-08-31,1091082.635443
2020-09-30,663099.325858
2020-10-31,1307008.428826
2020-11-30,980393.282232
2020-12-31,120661.40668
2021-01-31,433838.248412
2021-02-28,225604.89895
2021-03-31,97167.186313
2021-04-30,107240.461694
2021-05-31,306951.860804
2021-06-30,643636.169243
2021-07-31,497878.879819
2021-08-31,252424.944411
2021-09-30,202516.503415
2021-10-31,370984.523022
2021-11-30,180697.114786
2021-12-31,541130.047536
2022-01-31,266449.453274
2022-02-28,76546.245502
2022-03-31,294439.91916
2022-04-30,472636.413053
2022-05-31,391906.12933
2022-06-30,903504.147737
2022-07-31,559213.496588
2022-08-31,1035281.53563
2022-09-30,1158238.244934
2022-10-31,1319177.09151
2022-11-30,1042377.126899
2022-12-31,966643.581457
2023-01-31,868192.091419
2023-02-28,446623.721314
2023-03-31,315465.816808
2023-04-30,402033.08195
2023-05-31,191258.366206
2023-06-30,354063.456016
2023-07-31,1061139.818824
2023-08-31,489778.019667
2023-09-30,872644.578731
2023-10-31,634258.270096
2023-11-30,504860.713585
2023-12-31,1365530.148216
2024-01-31,392586.372282
2024-02-29,254601.401075
2024-03-31,520907.031554
2024-04-30,333130.270168
2024-05-31,571567.425626
2024-06-30,177440.905308
2024-07-31,472891.137779
2024-08-31,406907.0054
2024-09-30,202057.397603
2024-10-31,200192.39346
2024-11-30,310247.85962
2024-12-31,3054.897819
2025-01-31,336811.821757
2025-02-28,146325.888248
