DATE,BR_ETHANOL_ANHYDROUS_IMPORT
2012-01-31,905749.301707
2012-02-29,866335.666578
2012-03-31,306464.098618
2012-04-30,656284.039971
2012-05-31,247460.674129
2012-06-30,45166.823699
2012-07-31,168032.079166
2012-08-31,284068.613712
2012-09-30,68.464582
2012-10-31,27.15311
2012-11-30,67.703515
2012-12-31,28.694113
2013-01-31,91233.385849
2013-02-28,55130.052564
2013-03-31,374646.58249
2013-04-30,89319.346348
2013-05-31,37.002952
2013-06-30,95153.509932
2013-07-31,63520.847798
2013-08-31,4.094666
2013-09-30,38.38671
2013-10-31,4.817994
2013-11-30,116.392934
2013-12-31,56429.627947
2014-01-31,238926.534125
2014-02-28,463424.92341
2014-03-31,624057.154328
2014-04-30,430720.427334
2014-05-31,161587.244219
2014-06-30,164630.310905
2014-07-31,3247.416323
2014-08-31,345159.204722
2014-09-30,83288.185915
2014-10-31,209.840641
2014-11-30,75153.612381
2014-12-31,249966.924402
2015-01-31,507987.510222
2015-02-28,424821.69885
2015-03-31,581079.272566
2015-04-30,664040.897835
2015-05-31,316142.770189
2015-06-30,432024.411874
2015-07-31,8190.3327
2015-08-31,83502.020585
2015-09-30,43.003431
2015-10-31,60421.317488
2015-11-30,62570.092698
2015-12-31,81871.739572
2016-01-31,180934.957661
2016-02-29,207270.165698
2016-03-31,512276.022186
2016-04-30,520790.915372
2016-05-31,234407.003729
2016-06-30,236940.765631
2016-07-31,345743.993517
2016-08-31,465492.063177
2016-09-30,329899.414914
2016-10-31,452757.223246
2016-11-30,862455.155718
2016-12-31,883620.97019
2017-01-31,1084690.131716
2017-02-28,1618749.873018
2017-03-31,1831653.746055
2017-04-30,703982.317211
2017-05-31,1559805.484686
2017-06-30,1254671.001583
2017-07-31,464295.131203
2017-08-31,850975.919109
2017-09-30,691047.574538
2017-10-31,573407.647917
2017-11-30,316287.913844
2017-12-31,532471.910217
2018-01-31,1035140.794842
2018-02-28,1027442.186908
2018-03-31,1977486.072912
2018-04-30,2438443.497569
2018-05-31,649697.33207
2018-06-30,374397.474565
2018-07-31,839953.259807
2018-08-31,299445.123525
2018-09-30,10115.222124
2018-10-31,299843.362845
2018-11-30,876703.594398
2018-12-31,1097782.761199
2019-01-31,978888.803709
2019-02-28,810693.673798
2019-03-31,702190.356632
2019-04-30,1451182.352929
2019-05-31,1147648.217633
2019-06-30,540905.872417
2019-07-31,604163.516826
2019-08-31,529937.701739
2019-09-30,415684.114475
2019-10-31,520544.140966
2019-11-30,301804.072736
2019-12-31,1163552.882792
2020-01-31,1132118.576107
2020-02-29,945949.056159
2020-03-31,1737474.578011
2020-04-30,908037.251543
2020-05-31,269871.267159
2020-06-30,171923.647511
2020-07-31,129074.298017
2020-08-31,86840.337243
2020-09-30,66298.063085
2020-10-31,122993.699677
2020-11-30,169577.982378
2020-12-31,603573.419432
2021-01-31,486886.071955
2021-02-28,324671.840606
2021-03-31,312746.599859
2021-04-30,113339.413699
2021-05-31,94716.814713
2021-06-30,94701.951892
2021-07-31,94757.541233
2021-08-31,113522.755371
2021-09-30,292.922742
2021-10-31,88183.727442
2021-11-30,391548.232852
2021-12-31,602455.273618
2022-01-31,141116.309086
2022-02-28,432077.271437
2022-03-31,221075.22938
2022-04-30,25666.261584
2022-05-31,689005.782706
2022-06-30,128435.655868
2022-07-31,126254.054139
2022-08-31,217.445022
2022-09-30,31.964814
2022-10-31,50734.173543
2022-11-30,75904.659723
2022-12-31,94339.633677
2023-01-31,31423.56998
2023-02-28,63081.768742
2023-03-31,63513.136491
2023-04-30,126307.454626
2023-05-31,71.383054
2023-06-30,217.275197
2023-07-31,419.008273
2023-08-31,505.48687
2023-09-30,211.721294
2023-10-31,63274.960256
2023-11-30,25478.127077
2023-12-31,266.700524
2024-01-31,38140.263095
2024-02-29,176.158709
2024-03-31,431.0281
2024-04-30,291414.18719
2024-05-31,365618.434518
2024-06-30,357.280077
2024-07-31,1833.781526
2024-08-31,4506.560808
2024-09-30,38957.919525
2024-10-31,159316.226551
2024-11-30,46767.165217
2024-12-31,268060.292485
2025-01-31,132551.877357
2025-02-28,274509.429662
