DATE,BR_ETHANOL_ANHYDROUS_OTHERS
2008-02-16,0.0
2008-03-01,1.0
2008-03-16,14.0
2008-04-01,12.0
2008-04-16,21.0
2008-05-01,76.0
2008-05-16,115.0
2008-06-01,141.0
2008-06-16,147.0
2008-07-01,148.0
2008-07-16,155.0
2008-08-01,172.0
2008-08-16,177.0
2008-09-01,190.0
2008-09-16,185.0
2008-10-01,160.0
2008-10-16,170.0
2008-11-01,159.0
2008-11-16,119.0
2008-12-01,85.0
2008-12-16,38.0
2009-01-01,21.0
2009-01-16,6.0
2009-02-01,-2.0
2009-02-16,-5.0
2009-03-01,-1.0
2009-03-16,-7.0
2009-04-01,-4.0
2009-04-16,15.0
2009-05-01,40.0
2009-05-16,79.0
2009-06-01,108.0
2009-06-16,125.0
2009-07-01,116.0
2009-07-16,123.0
2009-08-01,140.0
2009-08-16,160.0
2009-09-01,140.0
2009-09-16,117.0
2009-10-01,145.0
2009-10-16,155.0
2009-11-01,124.0
2009-11-16,130.0
2009-12-01,121.0
2009-12-16,72.0
2010-01-01,21.0
2010-01-16,6.0
2010-02-01,-2.0
2010-02-16,-5.0
2010-03-01,-1.0
2010-03-16,-7.0
2010-04-01,0.0
2010-04-16,21.0
2010-05-01,76.0
2010-05-16,115.0
2010-06-01,141.0
2010-06-16,147.0
2010-07-01,148.0
2010-07-16,155.0
2010-08-01,172.0
2010-08-16,177.0
2010-09-01,190.0
2010-09-16,185.0
2010-10-01,160.0
2010-10-16,170.0
2010-11-01,159.0
2010-11-16,119.0
2010-12-01,85.0
2010-12-16,38.0
2011-01-01,10.0
2011-01-16,-1.0
2011-02-01,-6.0
2011-02-16,-13.0
2011-03-01,-32.0
2011-03-16,-39.0
2011-04-01,-32.0
2011-04-16,23.0
2011-05-01,98.0
2011-05-16,171.0
2011-06-01,204.0
2011-06-16,161.0
2011-07-01,196.0
2011-07-16,203.0
2011-08-01,231.0
2011-08-16,246.0
2011-09-01,274.0
2011-09-16,228.0
2011-10-01,242.0
2011-10-16,175.0
2011-11-01,154.0
2011-11-16,140.0
2011-12-01,55.0
2011-12-16,19.0
2012-01-01,21.0
2012-01-16,-1.0
2012-02-01,0.0
2012-02-16,-1.0
2012-03-01,-12.0
2012-03-16,-23.0
2012-04-01,-17.0
2012-04-16,-4.0
2012-05-01,13.0
2012-05-16,78.0
2012-06-01,137.0
2012-06-16,188.0
2012-07-01,216.0
2012-07-16,249.0
2012-08-01,294.0
2012-08-16,288.0
2012-09-01,311.0
2012-09-16,291.0
2012-10-01,227.0
2012-10-16,248.0
2012-11-01,228.0
2012-11-16,164.0
2012-12-01,141.0
2012-12-16,101.0
2013-01-01,34.0
2013-01-16,2.0
2013-02-01,2.0
2013-02-16,1.0
2013-03-01,-6.0
2013-03-16,-2.0
2013-04-01,11.0
2013-04-16,-9.0
2013-05-01,110.0
2013-05-16,218.0
2013-06-01,260.0
2013-06-16,250.0
2013-07-01,212.0
2013-07-16,309.0
2013-08-01,339.0
2013-08-16,322.0
2013-09-01,371.0
2013-09-16,334.0
2013-10-01,300.0
2013-10-16,256.0
2013-11-01,277.0
2013-11-16,209.0
2013-12-01,148.0
2013-12-16,105.0
2014-01-01,58.0
2014-01-16,11.0
2014-02-01,7.0
2014-02-16,-4.0
2014-03-01,-20.0
2014-03-16,-28.0
2014-04-01,13.0
2014-04-16,34.0
2014-05-01,81.0
2014-05-16,254.0
2014-06-01,258.0
2014-06-16,292.0
2014-07-01,326.0
2014-07-16,293.0
2014-08-01,262.0
2014-08-16,351.0
2014-09-01,378.0
2014-09-16,303.0
2014-10-01,280.0
2014-10-16,326.0
2014-11-01,310.0
2014-11-16,221.0
2014-12-01,156.0
2014-12-16,123.0
2015-01-01,67.0
2015-01-16,15.0
2015-02-01,24.0
2015-02-16,6.0
2015-03-01,1.0
2015-03-16,3.0
2015-04-01,28.0
2015-04-16,32.0
2015-05-01,112.0
2015-05-16,172.0
