DATE,BR_ETHANOL_ANHYDROUS_PRICE
2013-03-22,1435.217
2013-04-12,1502.466
2013-04-19,1479.56
2013-05-03,1452.01
2013-05-17,1423.09
2013-05-24,1419.011
2013-05-31,1409.927
2013-06-07,1400.0
2013-06-21,1394.956
2013-06-28,1399.139
2013-07-12,1363.303
2013-08-09,1300.0
2013-09-20,1350.0
2013-10-18,1399.604
2013-10-25,1375.0
2013-11-01,1349.65
2013-12-06,1559.318
2013-12-20,1597.898
2013-12-27,1666.873
2014-01-03,1725.0
2014-01-10,1749.855
2014-01-24,1753.233
2014-01-31,1770.568
2014-02-28,1760.0
2014-04-11,1744.163
2014-04-18,1729.041
2014-05-09,1715.0
2014-06-06,1548.933
2014-07-11,1417.859
2014-07-25,1436.743
2014-08-15,1412.0
2014-08-29,1415.0
2014-09-05,1427.459
2014-09-12,1427.459
2014-09-19,1448.954
2014-10-03,1369.447
2014-10-10,1384.654
2014-10-31,1428.917
2014-11-14,1446.337
2014-11-28,1461.25
2015-01-02,1556.538
2015-01-09,1557.595
2015-01-16,1556.398
2015-03-06,1608.475
2015-03-13,1598.829
2015-03-27,1590.0
2015-04-24,1636.207
2015-04-30,1635.744
2015-05-01,1635.744
2015-05-08,1578.168
2015-06-19,1647.328
2015-06-26,1591.3
2015-07-31,1518.091
2015-09-11,1478.72
2015-10-23,1748.953
2015-11-13,2048.719
2015-12-11,2256.779
2015-12-18,2290.73
2016-01-01,2302.174
2016-01-15,2401.448
2016-03-18,2159.918
2016-03-25,2159.91
2016-11-25,2126.667
2017-01-06,2245.517
2017-01-13,2237.434
2017-04-07,1901.875
2017-04-20,1934.091
2017-05-12,1797.594
2017-05-19,1778.571
2017-06-09,1680.102
2017-06-16,1654.942
2017-06-30,1607.9322
2017-07-21,1517.7581
2017-07-28,1594.0
2017-08-04,1662.7692
2017-09-08,1673.3052
2017-09-29,1705.052
2017-10-13,1703.4783
2017-11-10,1708.8889
2017-11-17,1769.6889
2017-11-24,1843.075
2017-12-15,1906.5957
2018-01-19,1994.1135
2018-02-23,2034.6154
2018-04-06,2578.1427
2018-04-27,2383.2716
2019-02-15,1865.9565
2019-04-26,2167.1429
2019-05-03,2094.0
2019-05-31,2007.3333
2019-07-26,1979.1338
2019-12-20,2314.255
2020-07-31,1995.67
2020-10-02,2170.0
2020-10-30,2426.0833
2021-09-17,3897.3002
2021-10-08,3919.4718
2022-01-07,4057.1429
2022-01-28,3949.3333
2022-03-25,3846.9444
2022-05-13,4088.8276
2022-05-20,4006.0
2022-05-27,3995.9516
2022-07-15,3404.0887
2022-08-12,3434.4444
2022-08-19,3277.5289
2022-08-26,3157.4576
2022-09-02,2937.8351
2022-09-09,2955.7143
2022-09-16,2865.0
2022-10-07,2928.5714
2022-10-21,3142.8773
2022-11-18,3286.6667
2022-11-25,3290.5263
2022-12-09,3245.6036
2022-12-23,3120.8012
2022-12-29,3230.0826
2023-01-13,3177.7573
2023-01-20,3066.5
2023-01-27,3081.6183
2023-03-17,3140.981
2023-04-14,3258.1818
2023-04-28,3419.2682
2023-05-12,3255.1154
2023-05-19,3199.0633
2023-05-26,3015.2
2023-08-18,2605.905
2023-09-15,2696.6581
2023-12-01,2625.1037
2024-01-26,2238.4969
2024-02-23,2572.134
2024-03-22,2565.0
2024-07-05,2879.1471
2024-08-23,3027.3743
2024-08-30,3041.6667
