DATE,BR_ETHANOL_HYDROUS
2008-04-01,50.0
2008-04-16,208.0
2008-05-01,456.0
2008-05-16,692.0
2008-06-01,924.0
2008-06-16,917.0
2008-07-01,993.0
2008-07-16,1102.0
2008-08-01,1268.0
2008-08-16,1013.0
2008-09-01,1292.0
2008-09-16,1192.0
2008-10-01,1206.0
2008-10-16,986.0
2008-11-01,1059.0
2008-11-16,815.0
2008-12-01,923.0
2008-12-16,703.0
2009-01-01,284.0
2009-01-16,98.0
2009-02-01,106.0
2009-04-01,196.0
2009-04-16,460.0
2009-05-01,943.0
2009-05-16,1044.0
2009-06-01,1214.0
2009-06-16,1090.0
2009-07-01,1100.0
2009-07-16,1081.0
2009-08-01,1153.0
2009-08-16,1287.0
2009-09-01,1055.0
2009-09-16,965.0
2009-10-01,932.0
2009-10-16,1052.0
2009-11-01,819.0
2009-11-16,795.0
2009-12-01,707.0
2009-12-16,490.0
2010-01-01,84.0
2010-01-16,2.0
2010-02-01,15.0
2010-02-16,18.0
2010-03-01,12.0
2010-03-16,15.0
2010-04-01,86.0
2010-04-16,693.0
2010-05-01,946.0
2010-05-16,1066.0
2010-06-01,1211.0
2010-06-16,1227.0
2010-07-01,1359.0
2010-07-16,1347.0
2010-08-01,1487.0
2010-08-16,1366.0
2010-09-01,1501.0
2010-09-16,1311.0
2010-10-01,1029.0
2010-10-16,806.0
2010-11-01,868.0
2010-11-16,609.0
2010-12-01,478.0
2010-12-16,265.0
2011-01-01,51.0
2011-01-16,48.0
2011-02-01,91.0
2011-02-16,59.0
2011-03-01,60.0
2011-03-16,93.0
2011-04-01,126.0
2011-04-16,129.0
2011-05-01,373.0
2011-05-16,760.0
2011-06-01,1107.0
2011-06-16,978.0
2011-07-01,1113.0
2011-07-16,1031.0
2011-08-01,1046.0
2011-08-16,975.0
2011-09-01,1008.0
2011-09-16,948.0
2011-10-01,962.0
2011-10-16,642.0
2011-11-01,575.0
2011-11-16,462.0
2011-12-01,291.0
2011-12-16,116.0
2012-01-01,103.0
2012-01-16,18.0
2012-02-01,28.0
2012-02-16,26.0
2012-03-01,30.0
2012-03-16,43.0
2012-04-01,101.0
2012-04-16,196.0
2012-05-01,374.0
2012-05-16,600.0
2012-06-01,858.0
2012-06-16,593.0
2012-07-01,716.0
2012-07-16,929.0
2012-08-01,1005.0
2012-08-16,972.0
2012-09-01,1066.0
2012-09-16,999.0
2012-10-01,802.0
2012-10-16,863.0
2012-11-01,800.0
2012-11-16,537.0
2012-12-01,614.0
2012-12-16,388.0
2013-01-01,197.0
2013-01-16,32.0
2013-02-01,17.0
2013-02-16,5.0
2013-03-01,18.0
2013-03-16,27.0
2013-04-01,144.0
2013-04-16,277.0
2013-05-01,894.0
2013-05-16,987.0
2013-06-01,910.0
2013-06-16,868.0
2013-07-01,710.0
2013-07-16,973.0
2013-08-01,1012.0
2013-08-16,1093.0
2013-09-01,1123.0
2013-09-16,1018.0
2013-10-01,891.0
2013-10-16,734.0
2013-11-01,851.0
2013-11-16,708.0
2013-12-01,639.0
2013-12-16,488.0
2014-01-01,139.0
2014-01-16,76.0
2014-02-01,43.0
2014-02-16,42.0
2014-03-01,85.0
2014-03-16,109.0
2014-04-01,197.0
2014-04-16,347.0
2014-05-01,662.0
2014-05-16,903.0
2014-06-01,877.0
2014-06-16,928.0
2014-07-01,1048.0
2014-07-16,1013.0
2014-08-01,867.0
2014-08-16,1128.0
2014-09-01,1286.0
2014-09-16,1190.0
2014-10-01,933.0
2014-10-16,1133.0
2014-11-01,998.0
2014-11-16,668.0
2014-12-01,523.0
2014-12-16,296.0
2015-01-01,302.0
2015-01-16,65.0
2015-02-01,124.0
2015-02-16,105.0
2015-03-01,69.0
2015-03-16,271.0
2015-04-01,471.0
2015-04-16,482.0
2015-05-01,821.0
2015-05-16,849.0
2015-06-01,1142.0
2015-06-16,1034.0
2015-07-01,1223.0
2015-07-16,866.0
2015-08-01,1310.0
2015-08-16,1293.0
2015-09-01,1390.0
2015-09-16,954.0
2015-10-01,1198.0
2015-10-16,1026.0
2015-11-01,1063.0
2015-11-16,645.0
2015-12-01,458.0
2015-12-16,420.0
2016-01-01,117.0
2016-01-16,49.0
2016-02-01,35.0
2016-02-16,82.0
2016-03-01,69.0
2016-03-16,143.0
2016-04-01,248.0
2016-04-16,897.0
2016-05-01,955.0
2016-05-16,972.0
2016-06-01,877.0
2016-06-16,642.0
2016-07-01,1110.0
2016-07-16,1075.0
2016-08-01,1161.0
2016-08-16,1124.0
2016-09-01,986.0
2016-09-16,905.0
2016-10-01,1006.0
2016-10-16,747.0
2016-11-01,686.0
2016-11-16,464.0
2016-12-01,433.0
2016-12-16,215.0
2017-01-01,183.0
2017-01-16,41.0
2017-02-01,117.0
2017-02-16,139.0
2017-03-01,109.0
2017-03-16,255.0
2017-04-01,443.0
2017-04-16,524.0
2017-05-01,603.0
2017-05-16,844.0
2017-06-01,652.0
2017-06-16,816.0
2017-07-01,968.0
2017-07-16,1047.0
2017-08-01,1149.0
2017-08-16,1093.0
2017-09-01,1029.0
2017-09-16,1225.0
2017-10-01,1141.0
2017-10-16,899.0
2017-11-01,929.0
2017-11-16,606.0
2017-12-01,502.0
2017-12-16,356.0
2018-01-01,172.0
2018-01-16,36.0
2018-02-01,41.0
2018-02-16,107.0
2018-03-01,109.0
2018-03-16,147.0
2018-04-01,343.0
2018-04-16,861.0
2018-05-01,1313.0
2018-05-16,1424.0
2018-06-01,1211.0
2018-06-16,1457.0
2018-07-01,1560.0
2018-07-16,1615.0
2018-08-01,1760.0
2018-08-16,1351.0
2018-09-01,1688.0
2018-09-16,1568.0
2018-10-01,1148.0
2018-10-16,1023.0
2018-11-01,1001.0
2018-11-16,734.0
2018-12-01,527.0
2018-12-16,614.0
2019-01-01,85.0
2019-01-16,69.0
2019-02-01,96.0
2019-02-16,105.0
2019-03-01,124.0
2019-03-16,246.0
2019-04-01,377.0
2019-04-16,666.0
2019-05-01,1180.0
2019-05-16,1251.0
2019-06-01,1444.0
2019-06-16,1389.0
2019-07-01,1546.0
2019-07-16,1453.0
2019-08-01,1827.0
2019-08-16,1683.0
2019-09-01,1934.0
2019-09-16,1720.0
2019-10-01,1621.0
2019-10-16,1611.0
2019-11-01,1417.0
2019-11-16,878.0
2019-12-01,460.0
2019-12-16,133.0
2020-01-01,101.0
2020-01-16,95.0
2020-02-01,85.0
2020-02-16,92.0
2020-03-01,112.0
2020-03-16,227.0
2020-04-01,371.0
2020-04-16,808.0
2020-05-01,1166.0
2020-05-16,1324.0
2020-06-01,1275.0
2020-06-16,1283.0
2020-07-01,1371.0
2020-07-16,1462.0
2020-08-01,1677.0
2020-08-16,1566.0
2020-09-01,1518.0
2020-09-16,1571.0
2020-10-01,1391.0
2020-10-16,1311.0
2020-11-01,875.0
2020-11-16,674.0
2020-12-01,244.0
2020-12-16,89.0
2021-01-01,107.0
2021-01-16,111.0
2021-02-01,132.0
2021-02-16,129.0
2021-03-01,125.0
2021-03-16,174.0
2021-04-01,213.0
2021-04-16,628.0
2021-05-01,959.0
2021-05-16,1243.0
2021-06-01,1224.0
2021-06-16,1009.0
2021-07-01,1250.0
2021-07-16,1297.0
2021-08-01,1374.0
2021-08-16,1306.0
2021-09-01,1330.0
2021-09-16,1197.0
2021-10-01,1157.0
2021-10-16,656.0
2021-11-01,543.0
2021-11-16,354.0
2021-12-01,121.0
2021-12-16,82.0
2022-01-01,177.0
2022-01-16,97.0
2022-02-01,103.0
2022-02-16,118.0
2022-03-01,99.0
2022-03-16,165.0
2022-04-01,223.0
2022-04-16,382.0
2022-05-01,870.0
2022-05-16,1066.0
2022-06-01,1257.0
2022-06-16,1077.0
2022-07-01,1171.0
2022-07-16,1281.0
2022-08-01,1420.0
2022-08-16,1163.0
2022-09-01,1310.0
2022-09-16,1225.0
2022-10-01,735.0
2022-10-16,677.0
2022-11-01,811.0
2022-11-16,599.0
2022-12-01,392.0
2022-12-16,209.0
2023-01-01,178.0
2023-01-16,97.0
2023-02-01,102.0
2023-02-16,117.0
2023-03-01,99.0
2023-03-16,165.0
2023-04-01,219.0
2023-04-16,498.0
2023-05-01,648.0
2023-05-16,1113.0
2023-06-01,1202.0
2023-06-16,1020.0
2023-07-01,1068.0
2023-07-16,1304.0
2023-08-01,1480.0
2023-08-16,1424.0
2023-09-01,1418.0
2023-09-16,1264.0
2023-10-01,1396.0
2023-10-16,1054.0
2023-11-01,1080.0
2023-11-16,994.0
2023-12-01,785.0
2023-12-16,694.0
2024-01-01,356.0
2024-01-16,202.0
