DATE,BR_ETHANOL_HYDROUS_EXPORT
2002-01-31,3474471.411753
2002-02-28,3441850.228996
2002-03-31,7566658.546379
2002-04-30,6374962.071376
2002-05-31,6914714.658675
2002-06-30,2486357.363025
2002-07-31,15983566.304062
2002-08-31,8015181.927908
2002-09-30,7280457.661538
2002-10-31,10084491.623359
2002-11-30,5186835.407359
2002-12-31,8950887.17826
2003-01-31,5364694.753686
2003-02-28,10949656.410836
2003-03-31,8398735.77136
2003-04-30,4495911.634275
2003-05-31,5871001.702337
2003-06-30,6108325.416674
2003-07-31,6666383.165336
2003-08-31,4800922.312566
2003-09-30,8699797.624657
2003-10-31,8865850.239611
2003-11-30,7093622.385725
2003-12-31,10931320.42857
2004-01-31,9170219.939245
2004-02-29,7738695.981192
2004-03-31,9889660.190508
2004-04-30,2683391.834453
2004-05-31,8308852.65261
2004-06-30,9545162.648241
2004-07-31,7682152.824328
2004-08-31,10431711.315242
2004-09-30,1938768.221881
2004-10-31,5709522.350508
2004-11-30,5097625.649594
2004-12-31,6055751.545219
2005-01-31,7881917.538518
2005-02-28,5811394.376163
2005-03-31,3593178.877425
2005-04-30,7229504.46409
2005-05-31,8048261.317139
2005-06-30,590414.091697
2005-07-31,22216734.214797
2005-08-31,13799407.290473
2005-09-30,10799857.260746
2005-10-31,3731420.210274
2005-11-30,9837117.391162
2005-12-31,6651044.462295
2006-01-31,16641103.969603
2006-02-28,4762014.241026
2006-03-31,7339419.448574
2006-04-30,8276100.099913
2006-05-31,7011570.25787
2006-06-30,7776862.24896
2006-07-31,14936090.845185
2006-08-31,11992446.430567
2006-09-30,16686439.369207
2006-10-31,10722494.844681
2006-11-30,11873796.04607
2006-12-31,16317580.508106
2007-01-31,14939978.911918
2007-02-28,11585656.046979
2007-03-31,11829866.283239
2007-04-30,14215860.876522
2007-05-31,11028918.110547
2007-06-30,9277436.766944
2007-07-31,12360580.140421
2007-08-31,14346832.588411
2007-09-30,11920786.926298
2007-10-31,14911867.90539
2007-11-30,10272560.929763
2007-12-31,17121858.870495
2008-01-31,7682480.372954
2008-02-29,7869211.915124
2008-03-31,4269221.308635
2008-04-30,1933269.662237
2008-05-31,21097382.962074
2008-06-30,16252975.135964
2008-07-31,12438274.073998
2008-08-31,16913072.534484
2008-09-30,11252008.509209
2008-10-31,14918178.028809
2008-11-30,17977748.330893
2008-12-31,25506341.915736
2009-01-31,12369505.172007
2009-02-28,16332742.193213
2009-03-31,11160409.431566
2009-04-30,15126096.827553
2009-05-31,16394301.574524
2009-06-30,12794572.333555
2009-07-31,23784339.766505
2009-08-31,24022756.492563
2009-09-30,11207062.529461
2009-10-31,18889845.944742
2009-11-30,16370089.554417
2009-12-31,13406700.15946
2010-01-31,14901276.92834
2010-02-28,17722527.17517
2010-03-31,22107160.35155
2010-04-30,18024753.924701
2010-05-31,23201126.256744
2010-06-30,17534774.60379
2010-07-31,10525295.466077
2010-08-31,21046023.695859
2010-09-30,18481142.235909
2010-10-31,10202176.823995
2010-11-30,18421398.483639
2010-12-31,38323938.1262
2011-01-31,14425334.571864
2011-02-28,19791000.38158
2011-03-31,13172447.17212
2011-04-30,15530067.661588
2011-05-31,24855460.540422
2011-06-30,17485611.397387
2011-07-31,19855760.26534
2011-08-31,23205132.921083
2011-09-30,15093801.550425
2011-10-31,17297770.01606
2011-11-30,15099594.63764
2011-12-31,24836322.727053
2012-01-31,146175.303906
2012-02-29,237136.844168
2012-03-31,204701.331816
2012-04-30,164227.851123
2012-05-31,256865.229491
2012-06-30,241929.685677
2012-07-31,644722.054621
2012-08-31,410318.195796
2012-09-30,1176802.889611
2012-10-31,1226123.384328
2012-11-30,780812.931313
2012-12-31,1344028.294355
2013-01-31,1128462.42277
2013-02-28,649058.872326
2013-03-31,162426.72629
2013-04-30,91142.422617
2013-05-31,192862.619985
2013-06-30,649338.265686
2013-07-31,568340.444895
2013-08-31,593779.656918
2013-09-30,728602.237453
2013-10-31,1015267.926293
2013-11-30,768274.081862
2013-12-31,437749.944149
2014-01-31,584863.838663
2014-02-28,376168.521526
2014-03-31,164478.128952
2014-04-30,236246.792024
2014-05-31,124511.720161
2014-06-30,405836.165248
2014-07-31,311948.900996
2014-08-31,264171.246353
2014-09-30,291228.763591
2014-10-31,458545.471217
2014-11-30,320602.427883
2014-12-31,493361.230076
2015-01-31,362043.12411
2015-02-28,195629.758997
2015-03-31,451842.917595
2015-04-30,53021.551007
2015-05-31,105421.643626
2015-06-30,153904.159536
2015-07-31,881656.599629
2015-08-31,457339.865595
2015-09-30,328731.768296
2015-10-31,678428.127462
2015-11-30,517512.628661
2015-12-31,1076459.412146
2016-01-31,461667.550496
2016-02-29,1208028.638777
2016-03-31,472960.828873
2016-04-30,133866.579733
2016-05-31,372991.871855
2016-06-30,889155.210474
2016-07-31,592921.380894
2016-08-31,368485.921159
2016-09-30,794408.456265
2016-10-31,141232.620253
2016-11-30,126138.353084
2016-12-31,126138.353084
2017-01-31,20098.465164
2017-02-28,4464.11717
2017-03-31,63065.213962
2017-04-30,10119.96464
2017-05-31,179187.182997
2017-06-30,359893.078358
2017-07-31,47162.020619
2017-08-31,538526.965638
2017-09-30,509408.271374
2017-10-31,248177.479747
2017-11-30,252977.762102
2017-12-31,8071.360944
2018-01-31,314426.192983
2018-02-28,7120.863726
2018-03-31,118895.460755
2018-04-30,76385.666653
2018-05-31,89368.010608
2018-06-30,312584.863685
2018-07-31,559251.097072
2018-08-31,508925.547326
2018-09-30,460814.878693
2018-10-31,801922.011699
2018-11-30,288701.467615
2018-12-31,332489.546092
2019-01-31,311985.16804
2019-02-28,149099.644139
2019-03-31,173488.684325
2019-04-30,24971.784793
2019-05-31,99973.378755
2019-06-30,267010.535775
2019-07-31,359450.609094
2019-08-31,565662.338144
2019-09-30,461725.825586
2019-10-31,481937.419272
2019-11-30,520941.166353
2019-12-31,466013.280862
2020-01-31,249543.450364
2020-02-29,252983.938695
2020-03-31,140488.095443
2020-04-30,499688.898443
2020-05-31,496600.979121
2020-06-30,878660.98327
2020-07-31,1047017.081998
2020-08-31,1002538.998783
2020-09-30,1152197.586888
2020-10-31,1078070.980974
2020-11-30,989032.56899
2020-12-31,1387947.685196
2021-01-31,756106.557633
2021-02-28,749117.006271
2021-03-31,1095097.653889
2021-04-30,555250.350205
2021-05-31,106641.313263
2021-06-30,1190875.201031
2021-07-31,811118.808346
2021-08-31,277037.32317
2021-09-30,1012640.20092
2021-10-31,652431.707461
2021-11-30,487142.897477
2021-12-31,700152.747523
2022-01-31,376147.683385
2022-02-28,381996.911064
2022-03-31,820216.509036
2022-04-30,272017.180507
2022-05-31,76317.57317
2022-06-30,424304.368268
2022-07-31,571048.270998
2022-08-31,699181.58199
2022-09-30,751811.743279
2022-10-31,917495.081595
2022-11-30,547545.647446
2022-12-31,1021915.173616
2023-01-31,743811.438319
2023-02-28,348597.963356
2023-03-31,917078.979214
2023-04-30,859010.723677
2023-05-31,388907.336617
2023-06-30,80289.883806
2023-07-31,846564.510547
2023-08-31,1047871.294804
2023-09-30,973069.421178
2023-10-31,826476.209716
2023-11-30,714221.033464
2023-12-31,537991.639909
2024-01-31,1193577.586448
2024-02-29,638977.143441
2024-03-31,816812.476444
2024-04-30,663975.50268
2024-05-31,480811.920671
2024-06-30,304306.825874
2024-07-31,368694.937835
2024-08-31,601824.676137
2024-09-30,810418.393974
2024-10-31,1091567.523186
2024-11-30,350593.820706
2024-12-31,684081.207416
2025-01-31,797289.623242
2025-02-28,107126.71048
