DATE,BR_ETHANOL_HYDROUS_IMPORT
2012-01-31,545.496352
2012-02-29,125.569767
2012-03-31,674.185864
2012-04-30,405.283907
2012-05-31,404.491391
2012-06-30,312.16327
2012-07-31,133.010612
2012-08-31,444.224121
2012-09-30,300.369877
2012-10-31,281.085319
2012-11-30,306.408094
2012-12-31,152.012128
2013-01-31,310.465022
2013-02-28,443.947369
2013-03-31,622.382989
2013-04-30,155.628769
2013-05-31,153.892781
2013-06-30,154.679008
2013-07-31,610.872637
2013-08-31,3.201513
2013-09-30,315.056583
2013-10-31,14.064015
2013-11-30,1.943551
2013-12-31,21.070864
2014-01-31,7.849683
2014-02-28,5.251991
2014-03-31,6.6043
2014-04-30,151.508943
2014-05-31,455.451432
2014-06-30,14.441404
2014-07-31,308.011996
2014-08-31,158.842862
2014-09-30,446.425555
2014-10-31,620.162686
2014-11-30,156.163403
2014-12-31,313.056423
2015-01-31,152.314039
2015-02-28,156.477893
2015-03-31,451.589489
2015-04-30,2.434157
2015-05-31,166.403213
2015-06-30,615.74724
2015-07-31,603.639356
2015-08-31,460.81664
2015-09-30,158.415155
2015-10-31,304.23182
2015-11-30,151.427176
2015-12-31,4.28965
2016-01-31,7.742756
2016-02-29,5.893552
2016-03-31,304.112314
2016-04-30,158.660457
2016-05-31,303.168842
2016-06-30,11.774524
2016-07-31,313.716853
2016-08-31,5.094746
2016-09-30,157.345887
2016-10-31,159.635378
2016-11-30,10.434795
2016-12-31,2.094507
2017-01-31,153.483944
2017-02-28,4.880893
2017-03-31,162.239359
2017-04-30,17.56115
2017-05-31,14.001117
2017-06-30,1.861784
2017-07-31,5.390367
2017-08-31,183.027181
2017-09-30,320.742571
2017-10-31,29.486629
2017-11-30,3.861943
2017-12-31,3.6418
2018-01-31,159.031556
2018-02-28,6.189173
2018-03-31,70295.029777
2018-04-30,29391.370108
2018-05-31,5.170224
2018-06-30,58168.024504
2018-07-31,56022.507415
2018-08-31,15.617598
2018-09-30,25503.802082
2018-10-31,312.251328
2018-11-30,164.673516
2018-12-31,8.642199
2019-01-31,156.364677
2019-02-28,10.453664
2019-03-31,161.950028
2019-04-30,9.491323
2019-05-31,139.199785
2019-06-30,1.346019
2019-07-31,162.585299
2019-08-31,142.483066
2019-09-30,15.265369
2019-10-31,4.176434
2019-11-30,13.91306
2019-12-31,25.668715
2020-01-31,287.375129
2020-02-29,18.309637
2020-03-31,13.793553
2020-04-30,242.3338
2020-05-31,140.960932
2020-06-30,43.116648
2020-07-31,67.20033
2020-08-31,73.779471
2020-09-30,20.825561
2020-10-31,9.132804
2020-11-30,7006.634486
2020-12-31,2.201434
2021-01-31,34.832968
2021-02-28,3.566322
2021-03-31,35.814178
2021-04-30,26.888938
2021-05-31,25.876278
2021-06-30,36.657013
2021-07-31,17.403904
2021-08-31,6.528823
2021-09-30,23.404383
2021-10-31,5.792915
2021-11-30,788.773623
2021-12-31,10.220941
2022-01-31,1674.561276
2022-02-28,4.849444
2022-03-31,17.183761
2022-04-30,3.32102
2022-05-31,23.85096
2022-06-30,10.717836
2022-07-31,11.25247
2022-08-31,15.133283
2022-09-30,29.731932
2022-10-31,1.937262
2022-11-30,18.617838
2022-12-31,5.736307
2023-01-31,26.542998
2023-02-28,0.842835
2023-03-31,3.188934
2023-04-30,27.656295
2023-05-31,9.503903
2023-06-30,30.530738
2023-07-31,3.396497
2023-08-31,26.184479
2023-09-30,29.153269
2023-10-31,4.6293
2023-11-30,6.138855
2023-12-31,19.693395
2024-01-31,11.183282
2024-02-29,32.11577
2024-03-31,31.801279
2024-04-30,606.237047
2024-05-31,45.374689
2024-06-30,536.766096
2024-07-31,1053.838796
2024-08-31,1143.959194
2024-09-30,2207.012562
2024-10-31,649.435462
2024-11-30,749.298776
2024-12-31,1219.644478
2025-01-31,1357.013928
2025-02-28,316.880628
