DATE,BR_ETHANOL_HYDROUS_OTHERS
2008-04-01,30.0
2008-04-16,110.0
2008-05-01,160.0
2008-05-16,224.0
2008-06-01,314.0
2008-06-16,324.0
2008-07-01,353.0
2008-07-16,404.0
2008-08-01,471.0
2008-08-16,370.0
2008-09-01,491.0
2008-09-16,456.0
2008-10-01,441.0
2008-10-16,381.0
2008-11-01,390.0
2008-11-16,286.0
2008-12-01,322.0
2008-12-16,247.0
2009-01-01,110.0
2009-01-16,42.0
2009-02-01,50.0
2009-04-01,87.0
2009-04-16,147.0
2009-05-01,308.0
2009-05-16,360.0
2009-06-01,399.0
2009-06-16,373.0
2009-07-01,381.0
2009-07-16,408.0
2009-08-01,485.0
2009-08-16,519.0
2009-09-01,480.0
2009-09-16,439.0
2009-10-01,428.0
2009-10-16,439.0
2009-11-01,329.0
2009-11-16,309.0
2009-12-01,294.0
2009-12-16,177.0
2010-01-01,54.0
2010-01-16,11.0
2010-02-01,17.0
2010-02-16,16.0
2010-03-01,10.0
2010-03-16,13.0
2010-04-01,41.0
2010-04-16,242.0
2010-05-01,339.0
2010-05-16,418.0
2010-06-01,479.0
2010-06-16,542.0
2010-07-01,606.0
2010-07-16,602.0
2010-08-01,618.0
2010-08-16,601.0
2010-09-01,688.0
2010-09-16,573.0
2010-10-01,487.0
2010-10-16,349.0
2010-11-01,354.0
2010-11-16,249.0
2010-12-01,217.0
2010-12-16,153.0
2011-01-01,37.0
2011-01-16,25.0
2011-02-01,27.0
2011-02-16,26.0
2011-03-01,45.0
2011-03-16,52.0
2011-04-01,47.0
2011-04-16,66.0
2011-05-01,166.0
2011-05-16,316.0
2011-06-01,502.0
2011-06-16,465.0
2011-07-01,534.0
2011-07-16,489.0
2011-08-01,503.0
2011-08-16,476.0
2011-09-01,499.0
2011-09-16,472.0
2011-10-01,453.0
2011-10-16,314.0
2011-11-01,269.0
2011-11-16,200.0
2011-12-01,153.0
2011-12-16,82.0
2012-01-01,49.0
2012-01-16,9.0
2012-02-01,14.0
2012-02-16,9.0
2012-03-01,14.0
2012-03-16,30.0
2012-04-01,50.0
2012-04-16,90.0
2012-05-01,181.0
2012-05-16,321.0
2012-06-01,400.0
2012-06-16,334.0
2012-07-01,363.0
2012-07-16,469.0
2012-08-01,531.0
2012-08-16,502.0
2012-09-01,551.0
2012-09-16,522.0
2012-10-01,452.0
2012-10-16,429.0
2012-11-01,427.0
2012-11-16,242.0
2012-12-01,268.0
2012-12-16,149.0
2013-01-01,68.0
2013-01-16,21.0
2013-02-01,13.0
2013-02-16,11.0
2013-03-01,15.0
2013-03-16,11.0
2013-04-01,61.0
2013-04-16,122.0
2013-05-01,387.0
2013-05-16,441.0
2013-06-01,463.0
2013-06-16,454.0
2013-07-01,384.0
2013-07-16,529.0
2013-08-01,578.0
2013-08-16,606.0
2013-09-01,622.0
2013-09-16,543.0
2013-10-01,490.0
2013-10-16,410.0
2013-11-01,439.0
2013-11-16,358.0
2013-12-01,345.0
2013-12-16,225.0
2014-01-01,89.0
2014-01-16,42.0
2014-02-01,41.0
2014-02-16,36.0
2014-03-01,52.0
2014-03-16,87.0
2014-04-01,145.0
2014-04-16,182.0
2014-05-01,301.0
2014-05-16,431.0
2014-06-01,437.0
2014-06-16,448.0
2014-07-01,535.0
2014-07-16,532.0
2014-08-01,458.0
2014-08-16,608.0
2014-09-01,690.0
2014-09-16,608.0
2014-10-01,500.0
2014-10-16,600.0
2014-11-01,527.0
2014-11-16,355.0
2014-12-01,324.0
2014-12-16,197.0
2015-01-01,111.0
2015-01-16,22.0
2015-02-01,70.0
2015-02-16,59.0
2015-03-01,42.0
2015-03-16,117.0
2015-04-01,199.0
2015-04-16,305.0
2015-05-01,417.0
2015-05-16,434.0
2015-06-01,558.0
2015-06-16,545.0
2015-07-01,630.0
2015-07-16,514.0
2015-08-01,707.0
2015-08-16,713.0
2015-09-01,769.0
2015-09-16,595.0
2015-10-01,667.0
2015-10-16,560.0
2015-11-01,606.0
2015-11-16,367.0
2015-12-01,250.0
2015-12-16,171.0
2016-01-01,55.0
2016-01-16,33.0
2016-02-01,33.0
2016-02-16,63.0
2016-03-01,57.0
2016-03-16,83.0
2016-04-01,130.0
2016-04-16,422.0
2016-05-01,467.0
2016-05-16,485.0
2016-06-01,497.0
2016-06-16,434.0
2016-07-01,599.0
2016-07-16,582.0
2016-08-01,623.0
2016-08-16,590.0
2016-09-01,530.0
2016-09-16,514.0
2016-10-01,527.0
2016-10-16,363.0
2016-11-01,339.0
2016-11-16,230.0
2016-12-01,200.0
2016-12-16,98.0
2017-01-01,105.0
2017-01-16,35.0
2017-02-01,80.0
2017-02-16,82.0
2017-03-01,82.0
2017-03-16,125.0
2017-04-01,184.0
2017-04-16,266.0
2017-05-01,295.0
2017-05-16,430.0
2017-06-01,357.0
2017-06-16,423.0
2017-07-01,494.0
2017-07-16,559.0
2017-08-01,631.0
2017-08-16,589.0
