DATE,BR_ETHANOL_HYDROUS_PAULINIA_PRICE
2010-02-17,1136.5
2010-02-18,1133.5
2010-02-19,1139.0
2010-02-22,1111.5
2010-02-23,1090.0
2010-02-24,1036.0
2010-02-25,1034.5
2010-02-26,1036.5
2010-03-01,1018.5
2010-03-02,1020.5
2010-03-03,1010.0
2010-03-04,985.5
2010-03-05,968.5
2010-03-08,926.0
2010-03-09,891.5
2010-03-10,867.0
2010-03-11,838.5
2010-03-12,845.0
2010-03-15,845.0
2010-03-16,854.0
2010-03-17,849.0
2010-03-18,861.5
2010-03-19,862.0
2010-03-22,856.5
2010-03-23,841.0
2010-03-24,846.0
2010-03-25,797.5
2010-03-26,782.0
2010-03-29,790.0
2010-03-30,792.5
2010-03-31,824.5
2010-04-01,844.0
2010-04-05,890.5
2010-04-06,930.5
2010-04-07,978.0
2010-04-08,970.0
2010-04-09,970.5
2010-04-12,954.0
2010-04-13,925.5
2010-04-14,895.0
2010-04-15,859.5
2010-04-16,835.0
2010-04-19,815.5
2010-04-20,800.0
2010-04-22,797.5
2010-04-23,805.5
2010-04-26,802.0
2010-04-27,792.5
2010-04-28,790.5
2010-04-29,787.0
2010-04-30,780.5
2010-05-03,781.0
2010-05-04,773.0
2010-05-06,776.5
2010-05-07,770.0
2010-05-10,774.5
2010-05-11,774.5
2010-05-12,769.5
2010-05-13,768.5
2010-05-14,768.0
2010-05-17,765.0
2010-05-18,768.0
2010-05-19,770.0
2010-05-20,763.5
2010-05-21,762.0
2010-05-24,762.5
2010-05-25,754.0
2010-05-27,741.5
2010-05-28,739.5
2010-05-31,747.0
2010-06-01,742.5
2010-06-02,742.5
2010-06-04,736.0
2010-06-07,732.5
2010-06-08,738.0
2010-06-09,739.5
2010-06-10,735.5
2010-06-14,744.5
2010-06-15,750.5
2010-06-16,778.5
2010-06-17,787.5
2010-06-18,788.5
2010-06-21,795.5
2010-06-24,776.0
2010-06-25,773.5
2010-06-29,776.5
2010-06-30,781.0
2010-07-01,780.0
2010-07-02,768.0
2010-07-05,783.0
2010-07-06,798.5
2010-07-07,819.5
2010-07-08,821.5
2010-07-12,857.5
2010-07-13,874.0
2010-07-14,884.5
2010-07-15,882.5
2010-07-16,873.5
2010-07-19,875.5
2010-07-20,875.5
2010-07-21,870.0
2010-07-22,861.0
2010-07-23,860.5
2010-07-26,856.5
2010-07-27,850.0
2010-07-28,850.5
2010-07-29,862.5
2010-07-30,874.0
2010-08-02,891.5
2010-08-03,892.0
2010-08-04,896.0
2010-08-05,895.0
2010-08-06,893.5
2010-08-09,891.5
2010-08-10,888.0
2010-08-11,887.0
2010-08-12,887.5
2010-08-16,887.0
2010-08-17,882.0
2010-08-18,885.5
2010-08-19,884.5
2010-08-20,881.0
2010-08-23,882.0
2010-08-24,875.5
2010-08-25,876.5
2010-08-26,885.0
2010-08-27,885.0
2010-08-30,883.0
2010-08-31,881.5
2010-09-01,883.5
2010-09-02,888.0
2010-09-03,889.0
2010-09-06,892.5
2010-09-08,893.5
2010-09-09,895.0
2010-09-10,899.5
2010-09-13,905.0
2010-09-14,909.0
2010-09-15,915.5
2010-09-17,933.0
2010-09-20,938.5
2010-09-21,950.0
2010-09-22,954.0
2010-09-23,955.5
2010-09-24,962.5
2010-09-27,986.5
2010-09-28,1013.0
2010-09-29,1020.5
2010-09-30,1020.0
2010-10-01,1018.0
2010-10-04,1025.0
2010-10-05,1023.0
2010-10-06,1023.5
2010-10-07,1025.0
2010-10-08,1023.5
2010-10-11,1021.5
2010-10-13,1026.0
2010-10-14,1027.0
2010-10-15,1028.5
2010-10-18,1029.5
2010-10-19,1029.5
2010-10-20,1026.0
2010-10-21,1026.0
2010-10-22,1027.5
2010-10-25,1023.5
2010-10-26,1022.0
2010-10-27,1024.0
2010-10-28,1024.0
2010-10-29,1023.0
2010-11-01,1024.0
2010-11-03,1025.0
2010-11-04,1026.0
2010-11-05,1026.0
2010-11-08,1035.5
2010-11-09,1040.5
2010-11-10,1043.0
2010-11-11,1044.0
2010-11-12,1045.5
2010-11-16,1049.0
2010-11-17,1049.0
2010-11-19,1054.5
2010-11-22,1061.0
2010-11-23,1078.5
2010-11-24,1082.0
2010-11-26,1091.0
2010-11-29,1100.0
2010-11-30,1100.5
2010-12-01,1103.5
2010-12-02,1110.0
2010-12-03,1113.0
2010-12-06,1120.5
2010-12-07,1121.0
2010-12-08,1119.0
2010-12-09,1114.5
2010-12-10,1114.5
2010-12-13,1116.5
2010-12-14,1117.0
2010-12-15,1123.5
2010-12-16,1125.5
2010-12-17,1136.0
2010-12-20,1138.5
2010-12-21,1138.5
2010-12-22,1139.0
2010-12-23,1146.0
2010-12-27,1152.5
2010-12-28,1153.5
2011-01-03,1167.0
2011-01-04,1166.5
2011-01-05,1159.0
2011-01-06,1155.0
2011-01-07,1158.0
2011-01-10,1155.5
2011-01-11,1154.5
2011-01-12,1152.5
2011-01-13,1152.5
2011-01-14,1152.0
2011-01-17,1155.0
2011-01-18,1154.0
2011-01-19,1155.5
2011-01-20,1159.5
2011-01-21,1162.5
2011-01-24,1154.5
2011-01-26,1165.5
2011-01-27,1157.5
2011-01-28,1159.5
2011-01-31,1159.5
2011-02-01,1160.0
2011-02-03,1162.5
2011-02-04,1167.0
2011-02-07,1170.0
2011-02-08,1180.5
2011-02-09,1189.0
2011-02-10,1206.5
2011-02-11,1219.5
2011-02-14,1224.5
2011-02-15,1229.0
2011-02-16,1235.5
2011-02-17,1237.5
2011-02-18,1245.0
2011-02-21,1252.5
2011-02-22,1256.5
2011-02-23,1276.0
2011-02-25,1321.0
2011-02-28,1349.5
2011-03-01,1375.0
2011-03-02,1392.5
2011-03-04,1395.5
2011-03-09,1394.5
2011-03-10,1416.5
2011-03-11,1429.5
2011-03-14,1432.5
2011-03-15,1459.0
2011-03-16,1531.5
2011-03-17,1599.5
2011-03-18,1642.0
2011-03-21,1662.5
2011-03-22,1686.0
2011-03-23,1694.0
2011-03-24,1667.5
2011-03-25,1629.0
2011-03-28,1612.0
2011-03-29,1571.5
2011-03-30,1537.0
2011-03-31,1507.5
2011-04-01,1457.0
2011-04-04,1450.0
2011-04-05,1447.0
2011-04-06,1426.5
2011-04-07,1419.0
2011-04-08,1418.5
2011-04-11,1418.0
2011-04-12,1417.0
2011-04-13,1419.0
2011-04-14,1453.0
2011-04-15,1470.5
2011-04-18,1500.5
2011-04-19,1509.0
2011-04-20,1495.0
2011-04-25,1449.0
2011-04-26,1427.5
2011-04-27,1386.0
2011-04-28,1340.0
2011-04-29,1304.5
2011-05-02,1266.0
2011-05-03,1210.0
2011-05-04,1144.5
2011-05-05,1056.0
2011-05-06,1021.5
2011-05-09,1020.5
2011-05-10,1017.0
2011-05-11,1013.5
2011-05-12,1017.5
2011-05-13,1017.5
2011-05-16,1018.0
2011-05-17,1022.0
2011-05-18,1026.0
2011-05-19,1032.5
2011-05-20,1040.5
2011-05-23,1058.5
2011-05-24,1069.0
2011-05-25,1065.0
2011-05-26,1063.5
2011-05-27,1064.0
2011-05-30,1057.0
2011-05-31,1062.5
2011-06-01,1052.5
2011-06-02,1058.5
2011-06-03,1058.0
2011-06-06,1068.0
2011-06-07,1077.0
2011-06-08,1109.0
2011-06-09,1150.0
2011-06-10,1161.5
2011-06-13,1174.5
2011-06-14,1192.5
2011-06-15,1195.5
2011-06-16,1198.0
2011-06-17,1198.0
2011-06-20,1199.0
2011-06-21,1199.5
2011-06-22,1199.0
2011-06-24,1197.0
2011-06-27,1201.5
2011-06-28,1200.5
2011-06-29,1205.0
2011-06-30,1202.0
2011-07-01,1200.0
2011-07-04,1192.5
2011-07-05,1186.0
2011-07-06,1181.5
2011-07-07,1181.0
2011-07-08,1174.0
2011-07-11,1175.5
2011-07-12,1176.5
2011-07-13,1182.5
2011-07-14,1183.0
2011-07-15,1184.5
2011-07-18,1184.5
2011-07-19,1180.5
2011-07-20,1178.0
2011-07-21,1186.0
2011-07-22,1186.0
2011-07-25,1174.0
2011-07-26,1177.5
2011-07-27,1183.0
2011-07-28,1182.5
2011-07-29,1183.5
2011-08-01,1182.0
2011-08-02,1173.0
2011-08-03,1177.5
2011-08-04,1176.5
2011-08-05,1183.5
2011-08-08,1182.5
2011-08-09,1181.5
2011-08-10,1192.0
2011-08-11,1201.0
2011-08-12,1208.0
2011-08-15,1220.0
2011-08-16,1251.5
2011-08-17,1263.0
2011-08-18,1266.5
2011-08-19,1275.0
2011-08-22,1284.5
2011-08-23,1288.0
2011-08-24,1293.0
2011-08-25,1291.5
2011-08-26,1294.0
2011-08-29,1290.0
2011-08-30,1280.0
2011-08-31,1278.0
2011-09-01,1276.5
2011-09-02,1274.5
2011-09-05,1268.5
2011-09-06,1266.5
2011-09-08,1263.5
2011-09-09,1255.5
2011-09-12,1253.5
2011-09-13,1255.0
2011-09-14,1253.5
2011-09-15,1253.5
2011-09-16,1253.5
2011-09-19,1238.5
2011-09-20,1235.0
2011-09-21,1233.0
2011-09-22,1228.0
2011-09-23,1223.5
2011-09-26,1222.0
2011-09-27,1223.5
2011-09-28,1227.0
2011-09-29,1224.5
2011-09-30,1228.0
2011-10-03,1240.5
2011-10-04,1244.5
2011-10-05,1252.5
2011-10-06,1274.5
2011-10-07,1274.0
2011-10-10,1275.5
2011-10-11,1277.5
2011-10-13,1272.5
2011-10-14,1273.0
2011-10-17,1276.5
2011-10-18,1278.0
2011-10-19,1283.0
2011-10-20,1287.0
2011-10-21,1293.5
2011-10-24,1296.5
