DATE,BR_ETHANOL_MIX
2008-04-01,68.3
2008-04-16,74.29
2008-05-01,65.53
2008-05-16,61.93
2008-06-01,59.57
2008-06-16,60.22
2008-07-01,58.66
2008-07-16,58.08
2008-08-01,57.37
2008-08-16,59.73
2008-09-01,56.96
2008-09-16,57.52
2008-10-01,58.7
2008-10-16,61.03
2008-11-01,59.42
2008-11-16,63.78
2008-12-01,61.82
2008-12-16,64.84
2009-04-01,69.77
2009-04-16,66.08
2009-05-01,60.21
2009-05-16,58.8
2009-06-01,56.95
2009-06-16,57.11
2009-07-01,55.15
2009-07-16,54.71
2009-08-01,54.48
2009-08-16,53.37
2009-09-01,55.8
2009-09-16,54.77
2009-10-01,54.97
2009-10-16,53.54
2009-11-01,54.92
2009-11-16,56.54
2009-12-01,58.81
2009-12-16,68.5
2010-01-01,70.71
2010-01-16,80.15
2010-02-01,82.46
2010-02-16,78.31
2010-03-01,81.58
2010-03-16,76.62
2010-04-01,65.43
2010-04-16,60.62
2010-05-01,56.74
2010-05-16,55.63
2010-06-01,55.26
2010-06-16,54.45
2010-07-01,54.16
2010-07-16,54.46
2010-08-01,53.87
2010-08-16,53.16
2010-09-01,53.64
2010-09-16,53.6
2010-10-01,55.2
2010-10-16,57.85
2010-11-01,53.67
2010-11-16,52.79
2010-12-01,55.53
2010-12-16,64.12
2011-01-01,76.18
2011-01-16,86.6
2011-02-01,92.52
2011-02-16,77.67
2011-03-01,85.1
2011-03-16,65.93
2011-04-01,65.05
2011-04-16,65.6
2011-05-01,63.64
2011-05-16,56.95
2011-06-01,53.9
2011-06-16,53.77
2011-07-01,51.73
2011-07-16,50.82
2011-08-01,49.89
2011-08-16,49.8
2011-09-01,48.85
2011-09-16,48.7
2011-10-01,48.16
2011-10-16,50.2
2011-11-01,51.58
2011-11-16,48.88
2011-12-01,55.4
2011-12-16,60.01
2012-01-01,69.37
2012-01-16,75.53
2012-02-01,67.41
2012-02-16,69.95
2012-03-01,74.99
2012-03-16,83.73
2012-04-01,86.07
2012-04-16,62.98
2012-05-01,59.95
2012-05-16,54.89
2012-06-01,51.69
2012-06-16,54.29
2012-07-01,52.21
2012-07-16,49.76
2012-08-01,49.41
2012-08-16,48.5
2012-09-01,48.42
2012-09-16,48.44
2012-10-01,51.44
2012-10-16,48.55
2012-11-01,48.73
2012-11-16,49.72
2012-12-01,49.49
2012-12-16,53.52
2013-01-01,70.42
2013-01-16,74.58
2013-02-01,98.77
2013-03-01,31.61
2013-03-16,76.47
2013-04-01,67.3
2013-04-16,70.95
2013-05-01,58.19
2013-05-16,56.35
2013-06-01,58.34
2013-06-16,57.74
2013-07-01,58.2
2013-07-16,54.54
2013-08-01,54.91
2013-08-16,52.11
2013-09-01,51.3
2013-09-16,50.72
2013-10-01,53.1
2013-10-16,53.68
2013-11-01,52.01
2013-11-16,52.06
2013-12-01,56.17
2013-12-16,59.67
2014-01-01,65.99
2014-01-16,86.6
2014-02-01,93.15
2014-02-16,99.99
2014-03-16,76.61
2014-04-01,64.44
2014-04-16,66.25
2014-05-01,62.57
2014-05-16,57.61
2014-06-01,56.26
2014-06-16,54.82
2014-07-01,54.3
2014-07-16,53.62
2014-08-01,53.77
2014-08-16,54.17
2014-09-01,54.74
2014-09-16,56.06
2014-10-01,60.86
2014-10-16,56.8
2014-11-01,57.34
2014-11-16,59.99
2014-12-01,63.44
2014-12-16,67.6
2015-01-01,73.24
2015-01-16,88.51
2015-02-01,84.86
2015-02-16,90.97
2015-03-01,92.61
2015-03-16,90.84
2015-04-01,70.61
2015-04-16,69.51
2015-05-01,63.5
2015-05-16,62.15
2015-06-01,58.85
2015-06-16,57.83
2015-07-01,56.32
2015-07-16,60.87
2015-08-01,56.04
2015-08-16,55.18
2015-09-01,56.8
2015-09-16,60.06
2015-10-01,57.51
2015-10-16,56.67
2015-11-01,57.86
2015-11-16,61.8
2015-12-01,66.91
2015-12-16,66.5
2016-01-01,67.52
2016-01-16,83.57
2016-02-01,73.91
2016-02-16,80.68
2016-03-01,88.01
2016-03-16,70.56
2016-04-01,66.48
2016-04-16,58.97
2016-05-01,57.09
2016-05-16,55.99
2016-06-01,58.23
2016-06-16,59.27
2016-07-01,53.01
2016-07-16,52.34
2016-08-01,51.95
2016-08-16,51.43
2016-09-01,52.25
2016-09-16,51.91
