DATE,BR_ETHANOL_PRODUCTION
2008-02-16,-1.0
2008-03-01,0.0
2008-03-16,0.0
2008-04-01,56.0
2008-04-16,255.0
2008-05-01,577.0
2008-05-16,989.0
2008-06-01,1403.0
2008-06-16,1409.0
2008-07-01,1551.0
2008-07-16,1681.0
2008-08-01,1891.0
2008-08-16,1555.0
2008-09-01,1950.0
2008-09-16,1801.0
2008-10-01,1835.0
2008-10-16,1568.0
2008-11-01,1729.0
2008-11-16,1338.0
2008-12-01,1503.0
2008-12-16,1118.0
2009-01-01,409.0
2009-01-16,152.0
2009-02-01,100.0
2009-02-16,0.0
2009-03-01,0.0
2009-03-16,0.0
2009-04-01,212.0
2009-04-16,518.0
2009-05-01,1080.0
2009-05-16,1309.0
2009-06-01,1548.0
2009-06-16,1449.0
2009-07-01,1457.0
2009-07-16,1487.0
2009-08-01,1591.0
2009-08-16,1797.0
2009-09-01,1440.0
2009-09-16,1338.0
2009-10-01,1332.0
2009-10-16,1535.0
2009-11-01,1254.0
2009-11-16,1235.0
2009-12-01,1098.0
2009-12-16,691.0
2010-01-01,138.0
2010-01-16,33.0
2010-02-01,18.0
2010-02-16,9.0
2010-03-01,11.0
2010-03-16,8.0
2010-04-01,73.0
2010-04-16,782.0
2010-05-01,1241.0
2010-05-16,1449.0
2010-06-01,1701.0
2010-06-16,1704.0
2010-07-01,1864.0
2010-07-16,1834.0
2010-08-01,2030.0
2010-08-16,1927.0
2010-09-01,2116.0
2010-09-16,1891.0
2010-10-01,1499.0
2010-10-16,1270.0
2010-11-01,1374.0
2010-11-16,1008.0
2010-12-01,793.0
2010-12-16,405.0
2011-01-01,50.0
2011-01-16,25.0
2011-02-01,24.0
2011-02-16,14.0
2011-03-01,14.0
2011-03-16,15.0
2011-04-01,19.0
2011-04-16,186.0
2011-05-01,649.0
2011-05-16,1267.0
2011-06-01,1737.0
2011-06-16,1451.0
2011-07-01,1717.0
2011-07-16,1646.0
2011-08-01,1731.0
2011-08-16,1623.0
2011-09-01,1744.0
2011-09-16,1614.0
2011-10-01,1626.0
2011-10-16,1104.0
2011-11-01,968.0
2011-11-16,749.0
2011-12-01,388.0
2011-12-16,134.0
2012-01-01,161.0
2012-01-16,25.0
2012-02-01,32.0
2012-02-16,8.0
2012-03-01,3.0
2012-03-16,12.0
2012-04-01,68.0
2012-04-16,154.0
2012-05-01,369.0
2012-05-16,773.0
2012-06-01,1294.0
2012-06-16,998.0
2012-07-01,1206.0
2012-07-16,1604.0
2012-08-01,1783.0
2012-08-16,1751.0
2012-09-01,1925.0
2012-09-16,1810.0
2012-10-01,1436.0
2012-10-16,1616.0
2012-11-01,1483.0
2012-11-16,1056.0
2012-12-01,1104.0
2012-12-16,738.0
2013-01-01,308.0
2013-01-16,41.0
2013-02-01,24.0
2013-02-16,14.0
2013-03-01,9.0
2013-03-16,11.0
2013-04-01,184.0
2013-04-16,300.0
2013-05-01,1254.0
2013-05-16,1653.0
2013-06-01,1599.0
2013-06-16,1511.0
2013-07-01,1291.0
2013-07-16,1781.0
2013-08-01,1899.0
2013-08-16,1954.0
2013-09-01,2088.0
2013-09-16,1881.0
2013-10-01,1602.0
2013-10-16,1357.0
2013-11-01,1638.0
2013-11-16,1317.0
2013-12-01,1128.0
2013-12-16,809.0
2014-01-01,214.0
2014-01-16,75.0
2014-02-01,54.0
2014-02-16,37.0
2014-03-01,33.0
2014-03-16,69.0
2014-04-01,201.0
2014-04-16,514.0
2014-05-01,973.0
2014-05-16,1598.0
2014-06-01,1600.0
2014-06-16,1730.0
2014-07-01,1888.0
2014-07-16,1812.0
2014-08-01,1600.0
2014-08-16,2033.0
2014-09-01,2246.0
2014-09-16,1967.0
2014-10-01,1567.0
2014-10-16,1914.0
2014-11-01,1690.0
2014-11-16,1104.0
2014-12-01,814.0
2014-12-16,498.0
2015-01-01,508.0
2015-01-16,93.0
2015-02-01,174.0
2015-02-16,136.0
2015-03-01,70.0
2015-03-16,224.0
2015-04-01,583.0
2015-04-16,570.0
2015-05-01,1140.0
2015-05-16,1244.0
2015-06-01,1747.0
2015-06-16,1671.0
2015-07-01,2011.0
2015-07-16,1394.0
2015-08-01,2202.0
2015-08-16,2186.0
2015-09-01,2309.0
2015-09-16,1551.0
2015-10-01,1997.0
2015-10-16,1693.0
2015-11-01,1844.0
2015-11-16,1198.0
2015-12-01,884.0
2015-12-16,794.0
2016-01-01,169.0
2016-01-16,68.0
2016-02-01,45.0
