DATE,BR_ETHANOL_SP_PRICE
2004-05-15,0.77
2004-05-22,0.77
2004-05-29,0.8200000000000001
2004-06-05,0.89
2004-06-12,0.89
2004-06-19,0.9
2004-06-26,0.9
2004-07-03,0.9
2004-07-10,0.9
2004-07-17,0.91
2004-07-24,0.93
2004-07-31,0.97
2004-08-07,1.0
2004-08-14,1.02
2004-08-21,1.03
2004-08-28,1.03
2004-09-04,1.03
2004-09-11,1.03
2004-09-18,1.03
2004-09-25,1.03
2004-10-02,1.04
2004-10-09,1.08
2004-10-16,1.12
2004-10-23,1.16
2004-10-30,1.18
2004-11-06,1.19
2004-11-13,1.25
2004-11-20,1.27
2004-11-27,1.28
2004-12-04,1.28
2004-12-11,1.27
2004-12-18,1.26
2004-12-25,1.26
2005-01-01,1.25
2005-01-08,1.25
2005-01-15,1.25
2005-01-22,1.24
2005-01-29,1.24
2005-02-05,1.23
2005-02-12,1.23
2005-02-19,1.23
2005-02-26,1.22
2005-03-05,1.22
2005-03-12,1.22
2005-03-19,1.22
2005-03-26,1.22
2005-04-02,1.22
2005-04-09,1.22
2005-04-16,1.22
2005-04-23,1.21
2005-04-30,1.22
2005-05-07,1.2
2005-05-14,1.16
2005-05-21,1.09
2005-05-28,1.05
2005-06-04,1.01
2005-06-11,1.0
2005-06-18,0.98
2005-06-25,0.98
2005-07-02,0.98
2005-07-09,1.02
2005-07-16,1.05
2005-07-23,1.07
2005-07-30,1.07
2005-08-06,1.07
2005-08-13,1.07
2005-09-03,1.06
2005-09-10,1.06
2005-09-17,1.08
2005-09-24,1.14
2005-10-01,1.2
2005-10-08,1.22
2005-10-15,1.26
2005-10-22,1.27
2005-10-29,1.28
2005-11-05,1.28
2005-11-12,1.28
2005-11-19,1.28
2005-11-26,1.27
2005-12-03,1.28
2005-12-10,1.33
2005-12-17,1.37
2005-12-24,1.4
2005-12-31,1.42
2006-01-07,1.48
2006-01-14,1.53
2006-01-21,1.54
2006-01-28,1.54
2006-02-04,1.54
2006-02-11,1.54
2006-02-18,1.54
2006-02-25,1.58
2006-03-04,1.72
2006-03-11,1.8
2006-03-18,1.81
2006-03-25,1.8
2006-04-01,1.8
2006-04-08,1.77
2006-04-15,1.76
2006-04-22,1.73
2006-04-29,1.68
2006-05-06,1.59
2006-05-13,1.49
2006-05-20,1.43
2006-05-27,1.38
2006-06-03,1.33
2006-06-10,1.32
2006-06-17,1.31
2006-06-24,1.31
2006-07-01,1.31
2006-07-08,1.32
2006-07-15,1.34
2006-07-22,1.37
2006-07-29,1.38
2006-08-05,1.39
2006-08-12,1.38
2006-08-19,1.37
2006-08-26,1.36
2006-09-02,1.34
2006-09-09,1.32
2006-09-16,1.3
2006-09-23,1.28
2006-09-30,1.26
2006-10-07,1.25
2006-10-14,1.24
2006-10-21,1.23
2006-10-28,1.22
2006-11-04,1.22
2006-11-11,1.21
2006-11-18,1.22
2006-11-25,1.21
2006-12-02,1.21
2006-12-09,1.21
2006-12-16,1.22
2006-12-23,1.23
2006-12-30,1.26
2007-01-06,1.33
2007-01-13,1.39
2007-01-20,1.4
2007-01-27,1.4
2007-02-03,1.4
2007-02-10,1.39
2007-02-17,1.38
2007-02-24,1.38
2007-03-03,1.37
2007-03-10,1.37
2007-03-17,1.36
2007-03-24,1.37
2007-03-31,1.4
2007-04-07,1.43
2007-04-14,1.46
2007-04-21,1.49
2007-04-28,1.51
2007-05-05,1.51
2007-05-12,1.5
2007-05-19,1.48
2007-05-26,1.45
2007-06-02,1.41
2007-06-09,1.35
2007-06-16,1.32
2007-06-23,1.28
2007-06-30,1.24
2007-07-07,1.21
2007-07-14,1.19
2007-07-21,1.16
2007-07-28,1.15
2007-08-04,1.13
2007-08-11,1.11
2007-08-18,1.11
2007-08-25,1.11
2007-09-01,1.1
2007-09-08,1.09
2007-09-15,1.08
2007-09-22,1.08
2007-09-29,1.08
2007-10-06,1.07
2007-10-13,1.07
2007-10-20,1.07
2007-10-27,1.06
2007-11-03,1.06
2007-11-10,1.09
2007-11-17,1.17
2007-11-24,1.23
2007-12-01,1.26
2007-12-08,1.27
2007-12-15,1.29
2007-12-22,1.3
2007-12-29,1.3
2008-01-05,1.3
2008-01-12,1.3
2008-01-19,1.29
2008-01-26,1.27
2008-02-02,1.27
2008-02-09,1.25
2008-02-16,1.24
2008-02-23,1.24
2008-03-01,1.24
2008-03-08,1.25
2008-03-15,1.27
2008-03-22,1.28
2008-03-29,1.28
2008-04-05,1.28
2008-04-12,1.28
2008-04-19,1.27
2008-04-26,1.26
2008-05-03,1.26
2008-05-10,1.26
