DATE,BR_ETHANOL_TRS_PER_TON
2008-04-01,103.6
2008-04-16,100.08
2008-05-01,104.21
2008-05-16,115.35
2008-06-01,127.07
2008-06-16,127.22
2008-07-01,134.55
2008-07-16,140.14
2008-08-01,146.78
2008-08-16,148.42
2008-09-01,151.7
2008-09-16,156.43
2008-10-01,158.19
2008-10-16,152.42
2008-11-01,147.39
2008-11-16,137.52
2008-12-01,136.87
2008-12-16,136.99
2009-01-01,142.12
2009-01-16,129.61
2009-02-01,135.52
2009-02-16,107.55
2009-03-01,111.83
2009-03-16,126.14
2009-04-01,108.21
2009-04-16,105.48
2009-05-01,113.21
2009-05-16,125.79
2009-06-01,124.22
2009-06-16,128.8
2009-07-01,132.48
2009-07-16,134.93
2009-08-01,137.52
2009-08-16,141.52
2009-09-01,142.89
2009-09-16,139.06
2009-10-01,137.52
2009-10-16,137.84
2009-11-01,127.82
2009-11-16,127.45
2009-12-01,124.42
2009-12-16,107.4
2010-01-01,123.95
2010-01-16,100.04
2010-02-01,108.19
2010-02-16,102.31
2010-03-01,103.86
2010-03-16,103.39
2010-04-01,97.42
2010-04-16,104.54
2010-05-01,120.26
2010-05-16,125.73
2010-06-01,128.98
2010-06-16,133.51
2010-07-01,139.72
2010-07-16,146.64
2010-08-01,147.9
2010-08-16,152.92
2010-09-01,159.21
2010-09-16,159.77
2010-10-01,169.49
2010-10-16,142.5
2010-11-01,144.71
2010-11-16,133.5
2010-12-01,131.58
2010-12-16,122.18
2011-01-01,124.35
2011-01-16,116.73
2011-02-01,119.12
2011-02-16,74.9
2011-03-01,112.22
2011-03-16,78.43
2011-04-01,103.83
2011-04-16,92.54
2011-05-01,102.37
2011-05-16,114.25
2011-06-01,126.92
2011-06-16,131.07
2011-07-01,133.68
2011-07-16,135.96
2011-08-01,141.7
2011-08-16,143.48
2011-09-01,149.67
2011-09-16,151.93
2011-10-01,156.2
2011-10-16,160.15
2011-11-01,138.34
2011-11-16,140.45
2011-12-01,128.57
2011-12-16,137.26
2012-01-01,131.35
2012-01-16,113.83
2012-02-01,110.01
2012-02-16,95.44
2012-03-01,97.3
2012-03-16,111.95
2012-04-01,88.82
2012-04-16,96.02
2012-05-01,109.66
2012-05-16,114.11
2012-06-01,118.97
2012-06-16,121.22
2012-07-01,124.34
2012-07-16,130.43
2012-08-01,133.19
2012-08-16,139.46
2012-09-01,146.01
2012-09-16,152.1
2012-10-01,150.14
2012-10-16,149.8
2012-11-01,143.93
2012-11-16,137.29
2012-12-01,133.2
2012-12-16,134.29
2013-01-01,123.64
2013-01-16,105.82
2013-02-01,132.51
2013-02-16,75.3
2013-03-01,71.7
2013-03-16,90.72
2013-04-01,91.57
2013-04-16,91.98
2013-05-01,113.76
2013-05-16,123.79
2013-06-01,131.68
2013-06-16,125.26
2013-07-01,128.95
2013-07-16,129.81
2013-08-01,133.12
2013-08-16,137.86
2013-09-01,142.59
2013-09-16,147.11
2013-10-01,151.33
2013-10-16,138.12
2013-11-01,138.42
2013-11-16,133.81
2013-12-01,131.71
2013-12-16,126.95
2014-01-01,136.75
2014-01-16,98.11
2014-02-01,111.07
2014-02-16,105.65
2014-03-01,143.57
2014-03-16,140.54
2014-04-01,105.33
2014-04-16,103.44
2014-05-01,110.1
2014-05-16,121.58
2014-06-01,127.78
2014-06-16,129.81
2014-07-01,134.47
2014-07-16,139.32
2014-08-01,141.15
2014-08-16,142.81
2014-09-01,147.49
2014-09-16,149.64
2014-10-01,152.18
2014-10-16,145.73
2014-11-01,145.68
2014-11-16,135.36
2014-12-01,138.17
2014-12-16,122.14
2015-01-01,131.26
2015-01-16,109.01
2015-02-01,114.15
2015-02-16,118.59
2015-03-01,107.71
2015-03-16,101.08
2015-04-01,101.52
2015-04-16,104.4
2015-05-01,111.67
2015-05-16,118.29
2015-06-01,124.34
2015-06-16,124.07
2015-07-01,129.97
2015-07-16,132.42
2015-08-01,134.84
2015-08-16,141.21
2015-09-01,145.84
2015-09-16,147.96
2015-10-01,145.57
2015-10-16,140.02
2015-11-01,140.48
2015-11-16,128.57
2015-12-01,118.99
2015-12-16,112.21
2016-01-01,118.6
2016-01-16,89.71
2016-02-01,93.13
2016-02-16,97.43
2016-03-01,107.56
2016-03-16,94.51
2016-04-01,103.21
2016-04-16,111.67
2016-05-01,122.41
2016-05-16,124.42
2016-06-01,130.41
2016-06-16,119.26
2016-07-01,129.8
2016-07-16,132.95
2016-08-01,137.71
2016-08-16,142.63
2016-09-01,145.07
2016-09-16,139.35
2016-10-01,145.77
2016-10-16,148.15
2016-11-01,138.03
2016-11-16,137.44
2016-12-01,128.51
2016-12-16,130.26
2017-01-01,125.34
2017-01-16,109.94
2017-02-01,103.71
2017-02-16,95.06
2017-03-01,104.41
2017-03-16,96.6
2017-04-01,101.14
2017-04-16,106.63
2017-05-01,113.76
2017-05-16,122.98
2017-06-01,122.7
2017-06-16,128.58
2017-07-01,129.94
2017-07-16,135.07
2017-08-01,140.21
2017-08-16,146.22
2017-09-01,145.53
