DATE,BR_ETHANOL_TRS_TOTAL
2008-04-01,139.0
2008-04-16,579.0
2008-05-01,1491.0
2008-05-16,2713.0
2008-06-01,4007.0
2008-06-16,3981.0
2008-07-01,4502.0
2008-07-16,4925.0
2008-08-01,5605.0
2008-08-16,4429.0
2008-09-01,5823.0
2008-09-16,5325.0
2008-10-01,5317.0
2008-10-16,4375.0
2008-11-01,4959.0
2008-11-16,3577.0
2008-12-01,4144.0
2008-12-16,2937.0
2009-01-01,946.0
2009-01-16,311.0
2009-02-01,210.0
2009-02-16,137.0
2009-03-01,102.0
2009-03-16,229.0
2009-04-01,510.0
2009-04-16,1319.0
2009-05-01,3023.0
2009-05-16,3764.0
2009-06-01,4599.0
2009-06-16,4300.0
2009-07-01,4476.0
2009-07-16,4610.0
2009-08-01,4954.0
2009-08-16,5713.0
2009-09-01,4375.0
2009-09-16,4145.0
2009-10-01,4116.0
2009-10-16,4870.0
2009-11-01,3886.0
2009-11-16,3718.0
2009-12-01,3178.0
2009-12-16,1711.0
2010-01-01,1279.0
2010-01-16,376.0
2010-02-01,286.0
2010-02-16,325.0
2010-03-01,264.0
2010-03-16,444.0
2010-04-01,667.0
2010-04-16,2174.0
2010-05-01,3704.0
2010-05-16,4416.0
2010-06-01,5224.0
2010-06-16,5309.0
2010-07-01,5838.0
2010-07-16,5787.0
2010-08-01,6309.0
2010-08-16,6153.0
2010-09-01,6697.0
2010-09-16,5992.0
2010-10-01,4615.0
2010-10-16,3737.0
2010-11-01,4359.0
2010-11-16,3255.0
2010-12-01,2435.0
2010-12-16,1074.0
2011-01-01,308.0
2011-01-16,66.0
2011-02-01,33.0
2011-02-16,18.0
2011-03-01,22.0
2011-03-16,20.0
2011-04-01,188.0
2011-04-16,481.0
2011-05-01,1742.0
2011-05-16,3794.0
2011-06-01,5487.0
2011-06-16,4587.0
2011-07-01,5648.0
2011-07-16,5518.0
2011-08-01,5918.0
2011-08-16,5559.0
2011-09-01,6094.0
2011-09-16,5653.0
2011-10-01,5760.0
2011-10-16,3754.0
2011-11-01,3200.0
2011-11-16,2611.0
2011-12-01,1186.0
2011-12-16,376.0
2012-01-01,121.0
2012-01-16,53.0
2012-02-01,52.0
2012-02-16,30.0
2012-03-01,28.0
2012-03-16,24.0
2012-04-01,28.0
2012-04-16,404.0
2012-05-01,1030.0
2012-05-16,2383.0
2012-06-01,4257.0
2012-06-16,3137.0
2012-07-01,3942.0
2012-07-16,5504.0
2012-08-01,6164.0
2012-08-16,6170.0
2012-09-01,6792.0
2012-09-16,6383.0
2012-10-01,4770.0
2012-10-16,5692.0
2012-11-01,5203.0
2012-11-16,3637.0
2012-12-01,3811.0
2012-12-16,2358.0
2013-01-01,390.0
2013-01-16,57.0
2013-02-01,54.0
2013-02-16,12.0
2013-03-01,10.0
2013-03-16,22.0
2013-04-01,165.0
2013-04-16,711.0
2013-05-01,3656.0
2013-05-16,5004.0
2013-06-01,4680.0
2013-06-16,4466.0
2013-07-01,3792.0
2013-07-16,5581.0
2013-08-01,5915.0
2013-08-16,6406.0
2013-09-01,6960.0
2013-09-16,6340.0
2013-10-01,5156.0
2013-10-16,4322.0
2013-11-01,5390.0
2013-11-16,4324.0
2013-12-01,3430.0
2013-12-16,2294.0
2014-01-01,785.0
2014-01-16,65.0
2014-02-01,35.0
2014-02-16,16.0
2014-03-01,8.0
2014-03-16,14.0
2014-04-01,478.0
2014-04-16,1310.0
2014-05-01,2637.0
2014-05-16,4734.0
2014-06-01,4856.0
2014-06-16,5391.0
2014-07-01,5936.0
2014-07-16,5768.0
2014-08-01,5081.0
2014-08-16,6407.0
2014-09-01,6998.0
2014-09-16,5976.0
2014-10-01,4385.0
2014-10-16,5743.0
2014-11-01,5021.0
2014-11-16,3132.0
2014-12-01,2178.0
2014-12-16,1241.0
2015-01-01,484.0
2015-01-16,133.0
2015-02-01,94.0
2015-02-16,55.0
2015-03-01,22.0
2015-03-16,30.0
2015-04-01,592.0
2015-04-16,1362.0
2015-05-01,3028.0
2015-05-16,3392.0
2015-06-01,5039.0
2015-06-16,4920.0
2015-07-01,6080.0
2015-07-16,3894.0
2015-08-01,6697.0
2015-08-16,6751.0
2015-09-01,6925.0
2015-09-16,4393.0
2015-10-01,5917.0
2015-10-16,5085.0
2015-11-01,5430.0
2015-11-16,3304.0
2015-12-01,2242.0
2015-12-16,2019.0
2016-01-01,1253.0
2016-01-16,169.0
2016-02-01,377.0
2016-02-16,270.0
2016-03-01,113.0
2016-03-16,501.0
2016-04-01,1455.0
2016-04-16,3678.0
2016-05-01,4435.0
2016-05-16,4938.0
2016-06-01,4239.0
2016-06-16,3099.0
2016-07-01,6261.0
2016-07-16,6260.0
2016-08-01,6807.0
2016-08-16,6437.0
2016-09-01,5599.0
2016-09-16,5279.0
2016-10-01,6199.0
2016-10-16,4769.0
2016-11-01,4391.0
2016-11-16,2992.0
2016-12-01,2529.0
2016-12-16,942.0
2017-01-01,391.0
2017-01-16,130.0
2017-02-01,61.0
2017-02-16,87.0
2017-03-01,121.0
2017-03-16,317.0
2017-04-01,805.0
2017-04-16,1885.0
2017-05-01,2760.0
2017-05-16,4744.0
2017-06-01,3888.0
2017-06-16,5080.0
2017-07-01,6200.0
2017-07-16,6483.0
2017-08-01,7138.0
2017-08-16,6644.0
2017-09-01,5687.0
2017-09-16,6863.0
2017-10-01,6445.0
2017-10-16,4761.0
2017-11-01,4631.0
2017-11-16,3107.0
2017-12-01,2089.0
2017-12-16,1335.0
2018-01-01,378.0
2018-01-16,17.0
2018-02-01,48.0
2018-02-16,58.0
2018-03-01,75.0
2018-03-16,303.0
2018-04-01,835.0
2018-04-16,2385.0
2018-05-01,4539.0
2018-05-16,5486.0
2018-06-01,4353.0
2018-06-16,5719.0
2018-07-01,6368.0
2018-07-16,6562.0
2018-08-01,7175.0
2018-08-16,5124.0
2018-09-01,6643.0
2018-09-16,6067.0
2018-10-01,4098.0
2018-10-16,3649.0
