DATE,BR_ETHANOL_TRS_YIELD
2008-04-01,96.89
2008-04-16,94.98
2008-05-01,104.1
2008-05-16,115.66
2008-06-01,127.62
2008-06-16,127.81
2008-07-01,135.72
2008-07-16,141.85
2008-08-01,148.26
2008-08-16,149.13
2008-09-01,153.14
2008-09-16,157.1
2008-10-01,159.47
2008-10-16,155.52
2008-11-01,149.46
2008-11-16,141.63
2008-12-01,140.33
2008-12-16,138.33
2009-01-01,147.66
2009-01-16,136.32
2009-02-01,171.95
2009-02-16,102.21
2009-03-01,107.8
2009-03-16,138.76
2009-04-01,101.16
2009-04-16,105.08
2009-05-01,112.9
2009-05-16,127.69
2009-06-01,124.72
2009-06-16,130.48
2009-07-01,133.58
2009-07-16,136.42
2009-08-01,137.74
2009-08-16,141.83
2009-09-01,142.81
2009-09-16,139.33
2009-10-01,137.89
2009-10-16,138.2
2009-11-01,129.45
2009-11-16,128.86
2009-12-01,126.83
2009-12-16,107.89
2010-01-01,126.55
2010-01-16,102.52
2010-02-01,110.94
2010-02-16,102.35
2010-03-01,106.35
2010-03-16,104.27
2010-04-01,97.28
2010-04-16,104.64
2010-05-01,121.11
2010-05-16,126.62
2010-06-01,129.22
2010-06-16,134.38
2010-07-01,139.98
2010-07-16,148.6
2010-08-01,148.71
2010-08-16,153.9
2010-09-01,160.21
2010-09-16,161.17
2010-10-01,172.91
2010-10-16,140.13
2010-11-01,144.98
2010-11-16,134.37
2010-12-01,134.32
2010-12-16,126.89
2011-01-01,127.48
2011-01-16,124.81
2011-02-01,126.7
2011-03-01,83.83
2011-03-16,67.02
2011-04-01,102.14
2011-04-16,88.44
2011-05-01,99.78
2011-05-16,113.52
2011-06-01,126.1
2011-06-16,130.69
2011-07-01,132.94
2011-07-16,136.0
2011-08-01,140.58
2011-08-16,143.87
2011-09-01,150.41
2011-09-16,152.08
2011-10-01,157.0
2011-10-16,164.05
2011-11-01,138.88
2011-11-16,143.1
2011-12-01,132.46
2011-12-16,144.26
2012-01-01,245.69
2012-01-16,0.0
2012-02-16,15.36
2012-03-01,97.95
2012-03-16,127.09
2012-04-01,31.36
2012-04-16,90.09
2012-05-01,112.93
2012-05-16,109.99
2012-06-01,119.22
2012-06-16,120.09
2012-07-01,122.96
2012-07-16,130.13
2012-08-01,131.97
2012-08-16,138.93
2012-09-01,145.37
2012-09-16,151.54
2012-10-01,149.16
2012-10-16,149.27
2012-11-01,143.8
2012-11-16,137.28
2012-12-01,133.67
2012-12-16,135.25
2013-01-01,127.96
2013-01-16,113.43
2013-02-01,142.27
2013-03-01,67.31
2013-03-16,86.5
2013-04-01,95.12
2013-04-16,91.0
2013-05-01,115.37
2013-05-16,124.81
2013-06-01,134.26
2013-06-16,124.67
2013-07-01,129.1
2013-07-16,128.87
2013-08-01,132.06
2013-08-16,137.9
2013-09-01,141.76
2013-09-16,146.42
2013-10-01,151.79
2013-10-16,136.77
2013-11-01,139.25
2013-11-16,135.44
2013-12-01,133.9
2013-12-16,128.08
2014-01-01,136.99
2014-01-16,101.47
2014-02-01,117.13
2014-02-16,148.66
2014-03-16,87.13
2014-04-01,103.52
2014-04-16,103.41
2014-05-01,111.59
2014-05-16,123.5
2014-06-01,129.33
2014-06-16,130.85
2014-07-01,136.28
2014-07-16,140.57
2014-08-01,141.68
2014-08-16,144.64
2014-09-01,149.73
2014-09-16,152.06
2014-10-01,154.9
2014-10-16,145.8
2014-11-01,144.83
2014-11-16,136.66
2014-12-01,143.56
2014-12-16,122.83
2015-01-01,125.47
2015-01-16,104.87
2015-02-01,92.53
2015-02-16,118.3
2015-03-01,0.0
2015-03-16,24.94
2015-04-01,91.93
2015-04-16,96.1
2015-05-01,111.17
2015-05-16,118.66
2015-06-01,125.64
2015-06-16,123.27
2015-07-01,129.95
2015-07-16,131.53
2015-08-01,134.74
2015-08-16,141.18
2015-09-01,144.43
2015-09-16,146.69
2015-10-01,142.28
2015-10-16,137.14
2015-11-01,137.33
2015-11-16,126.01
2015-12-01,115.53
2015-12-16,109.04
2016-01-01,116.32
2016-01-16,87.68
2016-02-01,89.16
2016-02-16,95.37
2016-03-01,106.4
2016-03-16,91.22
2016-04-01,101.66
2016-04-16,111.14
2016-05-01,121.49
2016-05-16,124.15
2016-06-01,130.03
2016-06-16,111.13
2016-07-01,127.7
2016-07-16,130.21
2016-08-01,135.01
2016-08-16,139.9
2016-09-01,143.21
2016-09-16,134.95
2016-10-01,142.61
2016-10-16,147.52
2016-11-01,137.66
2016-11-16,137.65
2016-12-01,126.85
2016-12-16,131.01
2017-01-01,120.74
2017-01-16,112.59
2017-02-01,78.99
2017-02-16,83.77
2017-03-01,89.2
2017-03-16,91.25
2017-04-01,100.54
2017-04-16,105.83
2017-05-01,112.94
2017-05-16,122.34
2017-06-01,122.83
2017-06-16,128.64
2017-07-01,129.26
2017-07-16,134.12
2017-08-01,139.16
2017-08-16,144.9
2017-09-01,143.92
2017-09-16,148.91
2017-10-01,158.1
2017-10-16,144.09
2017-11-01,153.75
2017-11-16,131.02
2017-12-01,135.48
2017-12-16,126.52
2018-01-01,143.5
2018-01-16,741.05
2018-02-01,152.44
2018-02-16,97.36
2018-03-01,121.06
2018-03-16,83.83
2018-04-01,108.2
2018-04-16,105.57
2018-05-01,121.1
2018-05-16,129.67
2018-06-01,136.18
2018-06-16,135.43
2018-07-01,142.29
2018-07-16,147.19
2018-08-01,151.92
2018-08-16,151.88
2018-09-01,152.25
2018-09-16,155.42
2018-10-01,144.85
2018-10-16,140.0
2018-11-01,133.28
2018-11-16,125.95
2018-12-01,121.21
2018-12-16,125.13
2019-01-01,149.02
2019-01-16,95.99
2019-02-01,60.31
2019-02-16,152.35
2019-03-01,0.0
2019-03-16,84.59
2019-04-01,107.11
2019-04-16,107.11
2019-05-01,109.96
2019-05-16,119.77
2019-06-01,125.84
2019-06-16,129.5
2019-07-01,134.91
2019-07-16,137.31
2019-08-01,141.77
2019-08-16,145.3
2019-09-01,149.75
2019-09-16,152.03
2019-10-01,154.38
2019-10-16,152.54
2019-11-01,151.81
2019-11-16,150.17
2019-12-01,145.6
2019-12-16,139.23
2020-01-01,157.35
2020-01-16,345.45
2020-02-01,342.24
2020-03-16,96.44
2020-04-01,107.9
2020-04-16,112.64
2020-05-01,123.63
2020-05-16,132.87
2020-06-01,136.65
2020-06-16,138.39
2020-07-01,143.2
2020-07-16,142.95
2020-08-01,148.99
2020-08-16,153.08
2020-09-01,156.99
2020-09-16,159.57
2020-10-01,162.86
2020-10-16,165.46
2020-11-01,157.09
2020-11-16,158.47
2020-12-01,156.49
2020-12-16,186.1
2021-01-01,215.76
2021-01-16,421.12
2021-03-01,89.21
2021-03-16,94.43
2021-04-01,118.68
2021-04-16,101.68
2021-05-01,118.7
2021-05-16,130.4
2021-06-01,137.41
2021-06-16,139.92
2021-07-01,142.62
2021-07-16,144.34
2021-08-01,149.1
2021-08-16,149.49
2021-09-01,155.12
2021-09-16,156.25
2021-10-01,158.84
2021-10-16,157.02
2021-11-01,146.41
2021-11-16,140.0
2021-12-01,148.84
2021-12-16,152.39
2022-01-01,0.0
2022-01-16,0.0
2022-02-01,0.0
2022-02-16,0.0
2022-03-01,0.0
2022-03-16,0.0
2022-04-01,0.0
2022-04-16,93.65
2022-05-01,107.35
2022-05-16,124.2
2022-06-01,127.61
2022-06-16,129.79
2022-07-01,136.41
2022-07-16,143.29
2022-08-01,148.0
2022-08-16,152.05
2022-09-01,153.13
2022-09-16,158.26
2022-10-01,152.93
2022-10-16,141.9
2022-11-01,145.95
2022-11-16,138.59
2022-12-01,146.48
2022-12-16,144.61
2023-01-01,150.89
2023-01-16,0.0
2023-02-01,0.0
2023-02-16,0.0
2023-03-01,221.6
2023-03-16,97.31
2023-04-01,102.77
2023-04-16,104.52
2023-05-01,110.75
2023-05-16,123.75
2023-06-01,135.08
2023-06-16,134.76
2023-07-01,130.28
2023-07-16,138.7
2023-08-01,141.64
2023-08-16,147.54
2023-09-01,152.23
2023-09-16,152.27
2023-10-01,153.39
2023-10-16,150.2
2023-11-01,146.78
2023-11-16,131.33
2023-12-01,131.24
2023-12-16,116.57
2024-01-01,135.3
2024-01-16,147.24
2024-02-01,118.55
2024-02-16,159.47
2024-03-01,159.41
2024-03-16,101.3
2024-04-01,112.07
2024-04-16,105.76
2024-05-01,116.72
2024-05-16,126.57
2024-06-01,130.85
2024-06-16,134.26
2024-07-01,139.81
2024-07-16,142.76
2024-08-01,146.29
2024-08-16,150.43
2024-09-01,153.42
2024-09-16,157.1
2024-10-01,158.32
2024-10-16,159.99
2024-11-01,152.45
2024-11-16,134.88
2024-12-01,128.23
2024-12-16,123.57
2025-01-01,123.2
2025-03-16,103.96
