DATE,BR_INFLATION
2002-01-31,7.62
2002-02-28,7.51
2002-03-31,7.75
2002-04-30,7.98
2002-05-31,7.77
2002-06-30,7.66
2002-07-31,7.51
2002-08-31,7.46
2002-09-30,7.93
2002-10-31,8.45
2002-11-30,10.93
2002-12-31,12.53
2003-01-31,14.47
2003-02-28,15.85
2003-03-31,16.57
2003-04-30,16.77
2003-05-31,17.24
2003-06-30,16.57
2003-07-31,15.43
2003-08-31,15.07
2003-09-30,15.14
2003-10-31,13.98
2003-11-30,11.02
2003-12-31,9.3
2004-01-31,7.71
2004-02-29,6.69
2004-03-31,5.89
2004-04-30,5.26
2004-05-31,5.15
2004-06-30,6.06
2004-07-31,6.81
2004-08-31,7.18
2004-09-30,6.7
2004-10-31,6.86
2004-11-30,7.24
2004-12-31,7.6
2005-01-31,7.41
2005-02-28,7.39
2005-03-31,7.54
2005-04-30,8.07
2005-05-31,8.05
2005-06-30,7.27
2005-07-31,6.57
2005-08-31,6.02
2005-09-30,6.04
2005-10-31,6.36
2005-11-30,6.22
2005-12-31,5.69
2006-01-31,5.7
2006-02-28,5.51
2006-03-31,5.32
2006-04-30,4.63
2006-05-31,4.23
2006-06-30,4.03
2006-07-31,3.97
2006-08-31,3.84
2006-09-30,3.7
2006-10-31,3.26
2006-11-30,3.02
2006-12-31,3.14
2007-01-31,2.99
2007-02-28,3.02
2007-03-31,2.96
2007-04-30,3.0
2007-05-31,3.18
2007-06-30,3.69
2007-07-31,3.74
2007-08-31,4.18
2007-09-30,4.15
2007-10-31,4.12
2007-11-30,4.19
2007-12-31,4.46
2008-01-31,4.56
2008-02-29,4.61
2008-03-31,4.73
2008-04-30,5.04
2008-05-31,5.58
2008-06-30,6.06
2008-07-31,6.37
2008-08-31,6.17
2008-09-30,6.25
2008-10-31,6.41
2008-11-30,6.39
2008-12-31,5.9
2009-01-31,5.84
2009-02-28,5.9
2009-03-31,5.61
2009-04-30,5.53
2009-05-31,5.2
2009-06-30,4.8
2009-07-31,4.5
2009-08-31,4.36
2009-09-30,4.34
2009-10-31,4.17
2009-11-30,4.22
2009-12-31,4.31
2010-01-31,4.59
2010-02-28,4.83
2010-03-31,5.17
2010-04-30,5.26
2010-05-31,5.22
2010-06-30,4.84
2010-07-31,4.6
2010-08-31,4.49
2010-09-30,4.7
2010-10-31,5.2
2010-11-30,5.63
2010-12-31,5.91
2011-01-31,5.99
2011-02-28,6.01
2011-03-31,6.3
2011-04-30,6.51
2011-05-31,6.55
2011-06-30,6.71
2011-07-31,6.87
2011-08-31,7.23
2011-09-30,7.31
2011-10-31,6.97
2011-11-30,6.64
2011-12-31,6.5
2012-01-31,6.22
2012-02-29,5.84
2012-03-31,5.24
2012-04-30,5.1
2012-05-31,4.99
2012-06-30,4.92
2012-07-31,5.2
2012-08-31,5.24
2012-09-30,5.28
2012-10-31,5.45
2012-11-30,5.53
2012-12-31,5.84
2013-01-31,6.15
2013-02-28,6.31
2013-03-31,6.59
2013-04-30,6.49
2013-05-31,6.5
2013-06-30,6.7
2013-07-31,6.27
2013-08-31,6.09
2013-09-30,5.86
2013-10-31,5.84
2013-11-30,5.77
2013-12-31,5.91
2014-01-31,5.59
2014-02-28,5.68
2014-03-31,6.15
2014-04-30,6.28
2014-05-31,6.37
2014-06-30,6.52
2014-07-31,6.5
2014-08-31,6.51
2014-09-30,6.75
2014-10-31,6.59
2014-11-30,6.56
2014-12-31,6.41
2015-01-31,7.14
2015-02-28,7.7
2015-03-31,8.13
2015-04-30,8.17
2015-05-31,8.47
2015-06-30,8.89
2015-07-31,9.56
2015-08-31,9.53
2015-09-30,9.49
2015-10-31,9.93
2015-11-30,10.48
2015-12-31,10.67
2016-01-31,10.71
2016-02-29,10.36
2016-03-31,9.39
2016-04-30,9.28
2016-05-31,9.32
2016-06-30,8.84
2016-07-31,8.74
2016-08-31,8.97
2016-09-30,8.48
2016-10-31,7.87
2016-11-30,6.99
2016-12-31,6.29
2017-01-31,5.35
2017-02-28,4.76
2017-03-31,4.57
2017-04-30,4.08
2017-05-31,3.6
2017-06-30,3.0
2017-07-31,2.71
2017-08-31,2.46
2017-09-30,2.54
2017-10-31,2.7
2017-11-30,2.8
2017-12-31,2.95
2018-01-31,2.86
2018-02-28,2.84
2018-03-31,2.68
2018-04-30,2.76
2018-05-31,2.86
2018-06-30,4.39
2018-07-31,4.48
2018-08-31,4.19
2018-09-30,4.53
2018-10-31,4.56
2018-11-30,4.05
2018-12-31,3.75
2019-01-31,3.78
2019-02-28,3.89
2019-03-31,4.58
2019-04-30,4.94
2019-05-31,4.66
2019-06-30,3.37
2019-07-31,3.22
2019-08-31,3.43
2019-09-30,2.89
2019-10-31,2.54
2019-11-30,3.27
2019-12-31,4.31
2020-01-31,4.19
2020-02-29,4.01
2020-03-31,3.3
2020-04-30,2.4
2020-05-31,1.88
2020-06-30,2.13
2020-07-31,2.31
2020-08-31,2.44
2020-09-30,3.14
2020-10-31,3.92
2020-11-30,4.31
2020-12-31,4.52
2021-01-31,4.56
2021-02-28,5.2
2021-03-31,6.1
2021-04-30,6.76
2021-05-31,8.06
2021-06-30,8.35
2021-07-31,8.99
2021-08-31,9.68
2021-09-30,10.25
2021-10-31,10.67
2021-11-30,10.74
2021-12-31,10.06
2022-01-31,10.38
2022-02-28,10.54
2022-03-31,11.3
2022-04-30,12.13
2022-05-31,11.73
2022-06-30,11.89
2022-07-31,10.07
2022-08-31,8.73
2022-09-30,7.17
2022-10-31,6.47
2022-11-30,5.9
2022-12-31,5.79
2023-01-31,5.77
2023-02-28,5.6
2023-03-31,4.65
2023-04-30,4.18
2023-05-31,3.94
2023-06-30,3.16
2023-07-31,3.99
2023-08-31,4.61
2023-09-30,5.19
2023-10-31,4.82
2023-11-30,4.68
2023-12-31,4.62
2024-01-31,4.51
2024-02-29,4.5
2024-03-31,3.93
2024-04-30,3.69
2024-05-31,3.93
2024-06-30,4.23
2024-07-31,4.5
2024-08-31,4.24
2024-09-30,4.42
2024-10-31,4.76
2024-11-30,4.87
2024-12-31,4.83
2025-01-31,4.56
2025-02-28,5.06
