DATE,BR_MDIA3_PRICE
2006-10-18,7.05
2006-10-19,7.027
2006-10-20,7.067
2006-10-23,7.133
2006-10-24,7.167
2006-10-25,7.06
2006-10-26,7.033
2006-10-27,7.033
2006-10-30,7.0
2006-10-31,7.063
2006-11-01,7.0
2006-11-03,7.013
2006-11-06,7.013
2006-11-07,7.0
2006-11-08,7.077
2006-11-09,7.047
2006-11-10,7.077
2006-11-13,7.23
2006-11-14,7.233
2006-11-16,7.167
2006-11-17,7.233
2006-11-21,7.167
2006-11-22,7.333
2006-11-23,7.4
2006-11-24,7.583
2006-11-27,7.72
2006-11-28,7.8
2006-11-29,7.87
2006-11-30,7.967
2006-12-01,8.0
2006-12-04,8.233
2006-12-05,8.5
2006-12-06,8.433
2006-12-07,8.633000000000001
2006-12-08,8.5
2006-12-11,8.3
2006-12-12,8.333
2006-12-13,8.283
2006-12-14,8.433
2006-12-15,8.433
2006-12-18,8.283
2006-12-19,8.5
2006-12-20,8.337
2006-12-21,8.35
2006-12-22,8.5
2006-12-26,8.467
2006-12-27,8.417
2006-12-28,8.333
2007-01-02,8.417
2007-01-03,8.467
2007-01-04,8.333
2007-01-05,8.333
2007-01-08,8.333
2007-01-09,8.333
2007-01-10,8.117
2007-01-11,8.0
2007-01-12,8.167
2007-01-15,8.383000000000001
2007-01-16,8.267
2007-01-17,8.067
2007-01-18,8.233
2007-01-19,8.467
2007-01-22,8.467
2007-01-23,8.833
2007-01-24,8.667
2007-01-26,8.7
2007-01-29,8.667
2007-01-30,8.623
2007-01-31,8.587
2007-02-01,9.0
2007-02-02,8.833
2007-02-05,8.94
2007-02-06,8.933
2007-02-07,8.997
2007-02-08,9.1
2007-02-09,9.05
2007-02-12,9.217
2007-02-13,9.567
2007-02-14,9.367
2007-02-15,9.367
2007-02-16,9.3
2007-02-21,9.033
2007-02-22,9.0
2007-02-23,9.233
2007-02-26,9.33
2007-02-27,8.733
2007-02-28,9.333
2007-03-01,9.1
2007-03-02,9.017
2007-03-05,8.757
2007-03-06,9.213
2007-03-07,9.167
2007-03-08,9.163
2007-03-09,9.103
2007-03-12,9.093
2007-03-13,8.817
2007-03-14,8.483
2007-03-15,8.6
2007-03-16,8.663
2007-03-19,8.6
2007-03-20,8.417
2007-03-21,8.41
2007-03-22,8.467
2007-03-23,8.417
2007-03-26,8.7
2007-03-27,8.633000000000001
2007-03-28,8.763
2007-03-29,9.147
2007-03-30,9.167
2007-04-02,9.34
2007-04-03,9.19
2007-04-04,9.043
2007-04-05,9.083
2007-04-09,9.033
2007-04-10,9.06
2007-04-11,8.95
2007-04-12,8.997
2007-04-13,8.667
2007-04-16,8.987
2007-04-17,9.133
2007-04-18,9.267
2007-04-19,8.967
2007-04-20,9.05
2007-04-23,8.947
2007-04-24,9.0
2007-04-25,9.233
2007-04-26,9.067
