DATE,BR_MRFG3_PRICE
2007-06-28,16.904
2007-06-29,18.206
2007-07-02,19.489
2007-07-03,18.892
2007-07-04,18.395
2007-07-05,19.051
2007-07-06,19.837
2007-07-10,19.936
2007-07-11,20.284
2007-07-12,20.384
2007-07-13,20.762
2007-07-16,20.235
2007-07-17,20.583
2007-07-18,20.384
2007-07-19,20.772
2007-07-20,21.776
2007-07-23,21.577
2007-07-24,20.622
2007-07-25,20.682
2007-07-26,20.274
2007-07-27,19.787
2007-07-30,20.284
2007-07-31,20.284
2007-08-01,20.036
2007-08-02,19.787
2007-08-03,18.693
2007-08-06,18.365
2007-08-07,19.191
2007-08-08,19.887
2007-08-09,19.588
2007-08-10,18.892
2007-08-13,19.041
2007-08-14,18.892
2007-08-15,18.495
2007-08-16,17.898
2007-08-17,22.87
2007-08-20,18.892
2007-08-21,18.693
2007-08-22,18.644
2007-08-23,18.992
2007-08-24,19.499
2007-08-27,19.489
2007-08-28,19.081
2007-08-29,19.091
2007-08-30,18.892
2007-08-31,19.887
2007-09-03,20.483
2007-09-04,21.07
2007-09-05,20.732
2007-09-06,20.483
2007-09-10,19.588
2007-09-11,19.887
2007-09-12,19.479
2007-09-13,19.379
2007-09-14,18.992
2007-09-17,18.703
2007-09-18,20.274
2007-09-19,19.887
2007-09-20,19.36
2007-09-21,19.489
2007-09-24,19.191
2007-09-25,18.843
2007-09-26,18.793
2007-09-27,19.091
2007-09-28,18.892
2007-10-01,18.524
2007-10-02,17.898
2007-10-03,17.411
2007-10-04,17.351
2007-10-05,17.898
2007-10-08,17.898
2007-10-09,17.55
2007-10-10,17.878
2007-10-11,17.848
2007-10-15,17.5
2007-10-16,17.401
2007-10-17,17.401
2007-10-18,17.401
2007-10-19,17.202
2007-10-22,17.699
2007-10-23,17.749
2007-10-24,17.699
2007-10-25,17.391
2007-10-26,17.5
2007-10-29,18.047
2007-10-30,17.898
2007-10-31,17.799
2007-11-01,17.381
2007-11-05,16.774
2007-11-06,17.301
2007-11-07,16.208
2007-11-08,15.71
2007-11-09,15.71
2007-11-12,16.208
2007-11-13,15.71
2007-11-14,15.333
2007-11-16,15.263
2007-11-19,15.203
2007-11-21,14.617
2007-11-22,14.915
2007-11-23,15.899
2007-11-26,15.76
2007-11-27,15.601
2007-11-28,16.108
2007-11-29,15.909
2007-11-30,15.909
2007-12-03,15.879
2007-12-04,16.108
2007-12-05,16.357
2007-12-06,16.854
2007-12-07,16.953
2007-12-10,16.705
2007-12-11,16.705
2007-12-12,16.496
2007-12-13,15.909
2007-12-14,15.76
2007-12-17,15.263
2007-12-18,16.406
2007-12-19,15.909
2007-12-20,15.164
2007-12-21,15.014
2007-12-26,15.313
2007-12-27,14.865
2007-12-28,15.164
2008-01-02,15.154
2008-01-03,15.164
2008-01-04,15.164
2008-01-07,15.064
2008-01-08,15.114
2008-01-09,15.014
2008-01-10,15.173
2008-01-11,15.064
2008-01-14,14.915
2008-01-15,14.905
2008-01-16,14.229
2008-01-17,13.821
2008-01-18,13.771
2008-01-21,12.976
2008-01-22,13.503
2008-01-23,13.722
2008-01-24,14.905
2008-01-28,14.418
2008-01-29,14.239
2008-01-30,14.119
2008-01-31,14.378
2008-02-01,14.666
2008-02-06,14.666
2008-02-07,14.666
2008-02-08,14.915
2008-02-11,15.014
2008-02-12,14.497
2008-02-13,14.259
2008-02-14,14.318
2008-02-15,14.229
2008-02-18,14.497
2008-02-19,14.298
2008-02-20,14.816
2008-02-21,14.666
2008-02-22,14.279
2008-02-25,15.064
2008-02-26,15.959
2008-02-27,16.257
2008-02-28,16.406
2008-02-29,16.406
2008-03-03,16.347
2008-03-04,16.496
2008-03-05,16.804
2008-03-06,16.605
2008-03-07,16.595
2008-03-10,16.068
2008-03-11,16.416
2008-03-12,16.397
2008-03-13,16.605
2008-03-14,16.715
2008-03-17,16.486
2008-03-18,16.894
2008-03-19,15.661
2008-03-20,15.114
2008-03-24,15.691
2008-03-25,16.108
2008-03-26,16.605
2008-03-27,17.202
2008-03-28,17.401
2008-03-31,17.799
2008-04-01,17.898
2008-04-02,17.649
2008-04-03,17.888
2008-04-04,18.256
2008-04-07,18.783
2008-04-08,18.892
2008-04-09,18.584
2008-04-10,17.898
2008-04-11,17.749
2008-04-14,17.649
2008-04-15,18.057
2008-04-16,18.644
2008-04-17,18.395
2008-04-18,18.395
2008-04-22,18.674
2008-04-23,19.191
2008-04-24,19.191
2008-04-25,19.36
2008-04-28,19.29
2008-04-29,19.091
2008-04-30,19.29
2008-05-02,19.389
2008-05-05,18.693
2008-05-06,18.594
2008-05-07,18.574
2008-05-08,18.395
2008-05-09,18.196
2008-05-12,17.799
2008-05-13,17.51
2008-05-14,18.335
2008-05-15,19.041
2008-05-16,19.568
2008-05-19,20.085
2008-05-20,20.632
2008-05-21,20.98
2008-05-23,21.11
2008-05-26,21.229
2008-05-27,21.875
2008-05-28,23.118
2008-05-29,23.029
2008-05-30,23.466
2008-06-02,22.969
2008-06-03,23.218
2008-06-04,22.372
2008-06-05,21.875
2008-06-06,22.074
2008-06-09,21.547
2008-06-10,21.676
2008-06-11,21.875
2008-06-12,22.164
2008-06-13,22.174
2008-06-16,21.975
2008-06-17,22.074
2008-06-18,21.835
2008-06-19,22.044
2008-06-20,22.174
2008-06-23,22.064
2008-06-24,21.676
2008-06-25,21.378
2008-06-26,20.384
2008-06-27,20.185
2008-06-30,20.632
2008-07-01,20.195
2008-07-02,20.871
2008-07-03,20.483
2008-07-04,19.887
2008-07-07,19.936
2008-07-08,19.887
2008-07-10,19.638
2008-07-11,19.877
2008-07-14,19.389
2008-07-15,19.469
2008-07-16,19.191
2008-07-17,19.588
2008-07-18,19.191
2008-07-21,19.389
2008-07-22,19.489
2008-07-23,19.688
2008-07-24,19.588
2008-07-25,19.588
2008-07-28,19.091
2008-07-29,19.29
2008-07-30,19.389
2008-07-31,19.28
2008-08-01,18.892
2008-08-04,17.45
2008-08-05,17.59
2008-08-06,18.395
2008-08-07,18.892
2008-08-08,18.992
2008-08-11,18.942
2008-08-12,19.191
2008-08-13,19.34
2008-08-14,18.992
2008-08-15,18.455
2008-08-18,18.147
2008-08-19,17.898
2008-08-20,17.699
2008-08-21,17.699
2008-08-22,17.6
2008-08-25,17.5
2008-08-26,17.102
2008-08-27,16.486
2008-08-28,16.595
2008-08-29,16.297
2008-09-01,16.397
2008-09-02,16.705
2008-09-03,16.406
2008-09-04,15.909
2008-09-05,15.561
2008-09-08,15.114
2008-09-09,15.263
2008-09-10,16.208
2008-09-11,16.416
2008-09-12,16.108
2008-09-15,15.462
2008-09-16,16.307
2008-09-17,14.875
2008-09-18,14.915
2008-09-19,15.412
2008-09-22,15.71
2008-09-23,15.81
2008-09-24,16.138
2008-09-25,16.655
2008-09-26,16.208
2008-09-29,15.164
2008-09-30,17.49
2008-10-01,16.307
2008-10-02,16.486
2008-10-03,16.506
2008-10-06,16.904
2008-10-07,15.959
2008-10-08,16.108
2008-10-09,13.921
2008-10-10,13.324
2008-10-13,13.921
2008-10-14,13.414
2008-10-15,12.807
2008-10-16,11.932
2008-10-17,11.733
2008-10-20,12.379
2008-10-21,12.429
2008-10-22,10.938
2008-10-23,10.619
2008-10-24,8.949
2008-10-27,8.85
2008-10-28,8.939
2008-10-29,8.949
2008-10-30,10.142
2008-10-31,10.44
2008-11-03,10.938
2008-11-04,10.938
2008-11-05,10.043
2008-11-06,9.864
2008-11-07,9.943
2008-11-10,9.943
2008-11-11,10.321
2008-11-12,8.74
2008-11-13,8.85
2008-11-14,8.939
2008-11-17,8.253
2008-11-18,8.144
2008-11-19,7.955
2008-11-21,7.656
2008-11-24,7.845
2008-11-25,7.756
2008-11-26,8.154
2008-11-27,8.342
2008-11-28,8.551
2008-12-01,7.845
2008-12-02,7.656
2008-12-03,6.861
2008-12-04,7.368
2008-12-05,7.656
2008-12-08,7.756
2008-12-09,7.656
2008-12-10,7.706
2008-12-11,7.994
2008-12-12,7.845
2008-12-15,7.955
2008-12-16,8.154
2008-12-17,7.955
2008-12-18,7.925
2008-12-19,7.706
2008-12-22,7.706
2008-12-23,7.259
2008-12-26,7.457
2008-12-29,7.05
2008-12-30,7.457
2009-01-02,7.457
2009-01-05,7.06
2009-01-06,7.557
2009-01-07,7.408
2009-01-08,7.756
2009-01-09,7.617
2009-01-12,6.99
2009-01-13,7.08
2009-01-14,6.96
2009-01-15,6.99
2009-01-16,7.338
2009-01-19,7.457
2009-01-20,7.457
2009-01-21,7.259
2009-01-22,7.06
2009-01-23,6.811
2009-01-26,7.01
2009-01-27,7.109
2009-01-28,6.96
2009-01-29,6.95
2009-01-30,6.761
2009-02-02,6.234
2009-02-03,6.215
2009-02-04,6.364
2009-02-05,6.523
2009-02-06,6.662
2009-02-09,6.612
2009-02-10,6.801
2009-02-11,6.911
2009-02-12,7.01
2009-02-13,7.259
2009-02-16,7.448
2009-02-17,7.269
2009-02-18,7.209
2009-02-19,7.507
2009-02-20,7.408
2009-02-25,7.259
2009-02-26,7.05
2009-02-27,6.96
2009-03-02,6.752
2009-03-03,6.662
2009-03-04,6.861
2009-03-05,6.652
2009-03-06,6.662
2009-03-09,6.612
2009-03-10,7.199
2009-03-11,6.96
2009-03-12,6.911
2009-03-13,6.662
2009-03-16,6.612
2009-03-17,6.662
2009-03-18,6.901
2009-03-19,6.96
2009-03-20,6.811
2009-03-23,7.159
2009-03-24,6.851
2009-03-25,7.01
2009-03-26,7.259
2009-03-27,7.149
2009-03-30,7.159
2009-03-31,7.627
2009-04-01,7.179
2009-04-02,7.308
2009-04-03,7.955
2009-04-06,7.776
2009-04-07,7.955
2009-04-08,8.949
2009-04-09,9.546
2009-04-13,9.098
2009-04-14,9.247
2009-04-15,9.645
2009-04-16,10.45
2009-04-17,10.639
2009-04-20,10.709
2009-04-22,10.938
2009-04-23,11.335
2009-04-24,10.938
2009-04-27,10.44
2009-04-28,11.206
2009-04-29,11.097
2009-04-30,11.037
2009-05-04,10.838
2009-05-05,10.779
2009-05-06,10.838
2009-05-07,10.54
2009-05-08,10.261
2009-05-11,11.087
2009-05-12,10.838
