DATE,BR_PORK_DOMESTIC_PRICE
2013-01-02,5.45
2013-01-03,5.41
2013-01-04,5.4
2013-01-07,5.31
2013-01-08,5.42
2013-01-09,5.66
2013-01-10,5.66
2013-01-11,5.66
2013-01-14,5.66
2013-01-15,5.66
2013-01-16,5.71
2013-01-17,5.71
2013-01-18,5.71
2013-01-21,5.71
2013-01-22,5.7
2013-01-23,5.56
2013-01-24,5.58
2013-01-25,5.58
2013-01-28,5.58
2013-01-29,5.61
2013-01-30,5.54
2013-01-31,5.58
2013-02-01,5.5
2013-02-04,5.5
2013-02-05,5.47
2013-02-06,5.46
2013-02-07,5.4
2013-02-08,5.41
2013-02-13,5.34
2013-02-14,5.17
2013-02-15,5.17
2013-02-18,5.17
2013-02-19,5.17
2013-02-20,5.18
2013-02-21,5.21
2013-02-22,5.23
2013-02-25,5.26
2013-02-26,5.26
2013-02-27,5.18
2013-02-28,5.16
2013-03-01,5.16
2013-03-04,5.07
2013-03-05,5.09
2013-03-06,5.07
2013-03-07,5.06
2013-03-08,5.07
2013-03-11,5.07
2013-03-12,5.02
2013-03-13,4.98
2013-03-14,4.98
2013-03-15,5.0
2013-03-18,4.98
2013-03-19,4.94
2013-03-20,4.88
2013-03-21,4.88
2013-03-22,4.79
2013-03-25,4.79
2013-03-26,4.76
2013-03-27,4.76
2013-03-28,4.73
2013-04-01,4.78
2013-04-02,4.61
2013-04-03,4.68
2013-04-04,4.55
2013-04-05,4.55
2013-04-08,4.55
2013-04-09,4.57
2013-04-10,4.55
2013-04-11,4.56
2013-04-12,4.7
2013-04-15,4.68
2013-04-16,4.48
2013-04-17,4.3
2013-04-18,4.24
2013-04-19,4.18
2013-04-22,4.18
2013-04-23,4.18
2013-04-24,4.21
2013-04-25,4.06
2013-04-26,4.0
2013-04-29,4.0
2013-04-30,3.95
2013-05-02,3.95
2013-05-03,3.91
2013-05-06,3.91
2013-05-07,3.92
2013-05-08,3.86
2013-05-09,3.84
2013-05-10,3.84
2013-05-13,3.79
2013-05-14,4.02
2013-05-15,4.11
2013-05-16,4.14
2013-05-17,4.14
2013-05-20,4.14
2013-05-21,4.25
2013-05-22,4.39
2013-05-23,4.54
2013-05-24,4.5
2013-05-27,4.5
2013-05-28,4.37
2013-05-29,4.38
2013-05-31,4.35
2013-06-03,4.37
2013-06-04,4.37
2013-06-05,4.38
2013-06-06,4.52
2013-06-07,4.53
2013-06-10,4.53
2013-06-11,4.5
2013-06-12,4.45
2013-06-13,4.44
2013-06-14,4.41
2013-06-17,4.38
2013-06-18,4.37
2013-06-19,4.38
2013-06-20,4.36
2013-06-21,4.37
2013-06-24,4.37
2013-06-25,4.37
2013-06-26,4.35
2013-06-27,4.26
2013-06-28,4.15
2013-07-01,4.15
2013-07-02,4.13
2013-07-03,4.15
2013-07-04,4.19
2013-07-05,4.19
2013-07-08,4.18
2013-07-09,4.18
2013-07-10,4.19
2013-07-11,4.02
2013-07-12,3.97
2013-07-15,3.97
2013-07-16,3.98
2013-07-17,4.0
2013-07-18,4.0
2013-07-19,4.0
2013-07-22,4.01
2013-07-23,4.02
2013-07-24,4.12
2013-07-25,4.14
2013-07-26,4.16
2013-07-29,4.2
2013-07-30,4.3
2013-07-31,4.35
2013-08-01,4.38
2013-08-02,4.45
2013-08-05,4.45
2013-08-06,4.51
2013-08-07,4.62
2013-08-09,4.68
2013-08-12,4.68
2013-08-13,4.83
2013-08-14,4.97
2013-08-15,5.01
2013-08-16,5.02
2013-08-19,5.04
2013-08-20,5.04
2013-08-21,5.04
2013-08-22,5.07
2013-08-23,5.06
2013-08-26,5.06
2013-08-27,5.05
2013-08-28,5.07
2013-08-29,5.05
2013-08-30,5.05
2013-09-02,5.05
2013-09-03,5.05
2013-09-04,5.06
2013-09-05,5.06
2013-09-06,5.06
2013-09-09,5.06
2013-09-10,5.07
2013-09-11,5.16
2013-09-12,5.19
2013-09-13,5.22
2013-09-16,5.25
2013-09-17,5.35
2013-09-18,5.35
2013-09-19,5.47
2013-09-20,5.44
2013-09-23,5.47
2013-09-24,5.45
2013-09-25,5.45
2013-09-26,5.42
2013-09-27,5.44
2013-09-30,5.44
2013-10-01,5.46
2013-10-02,5.52
2013-10-03,5.58
2013-10-04,5.58
2013-10-07,5.69
2013-10-08,5.87
2013-10-09,5.96
2013-10-10,5.96
2013-10-11,5.96
2013-10-14,5.97
2013-10-15,6.21
2013-10-16,6.23
2013-10-17,6.37
2013-10-18,6.37
2013-10-21,6.3
2013-10-22,6.2
2013-10-23,6.23
2013-10-24,6.22
2013-10-25,6.22
2013-10-28,6.22
2013-10-29,6.09
2013-10-30,6.01
2013-10-31,6.0
2013-11-01,5.87
2013-11-04,5.84
2013-11-05,5.84
2013-11-06,5.84
2013-11-07,5.8
2013-11-08,5.8
2013-11-11,5.78
2013-11-12,5.72
2013-11-13,5.69
2013-11-14,5.69
2013-11-18,5.66
2013-11-19,5.63
2013-11-20,5.59
2013-11-21,5.64
2013-11-22,5.66
2013-11-25,5.63
2013-11-26,5.59
2013-11-27,5.54
2013-11-28,5.57
2013-11-29,5.57
2013-12-02,5.52
2013-12-03,5.55
2013-12-04,5.58
2013-12-05,5.53
2013-12-06,5.55
2013-12-09,5.55
2013-12-10,5.63
2013-12-11,5.63
2013-12-12,5.64
2013-12-13,5.73
2013-12-16,5.78
2013-12-17,5.78
2013-12-18,5.78
2013-12-19,5.81
2013-12-20,5.85
2013-12-23,5.88
2013-12-26,5.93
2013-12-27,5.93
2013-12-30,6.0
2014-01-02,5.97
2014-01-03,5.97
2014-01-06,5.94
2014-01-07,6.08
2014-01-08,6.08
2014-01-09,6.08
