DATE,BR_PORK_EXPORT_PRICE
2010-07-02,4.17
2010-07-05,4.16
2010-07-06,4.18
2010-07-07,4.14
2010-07-08,4.14
2010-07-09,4.14
2010-07-12,4.17
2010-07-14,4.19
2010-07-15,4.15
2010-07-16,4.15
2010-07-19,4.15
2010-07-20,4.15
2010-07-21,4.23
2010-07-22,4.22
2010-07-23,4.22
2010-07-26,4.18
2010-07-27,4.17
2010-07-28,4.13
2010-07-29,4.13
2010-07-30,4.14
2010-08-02,4.14
2010-08-03,4.16
2010-08-04,4.18
2010-08-05,4.19
2010-08-06,4.19
2010-08-09,4.19
2010-08-10,4.33
2010-08-11,4.31
2010-08-12,4.33
2010-08-13,4.37
2010-08-16,4.37
2010-08-17,4.44
2010-08-18,4.46
2010-08-19,4.5
2010-08-20,4.59
2010-08-23,4.62
2010-08-24,4.69
2010-08-25,4.69
2010-08-26,4.72
2010-08-27,4.71
2010-08-30,4.74
2010-08-31,4.6
2010-09-01,4.6
2010-09-02,4.58
2010-09-03,4.58
2010-09-06,4.58
2010-09-08,4.6
2010-09-09,4.72
2010-09-13,4.71
2010-09-14,4.7
2010-09-15,4.7
2010-09-16,4.71
2010-09-17,4.77
2010-09-20,4.77
2010-09-21,4.78
2010-09-22,4.74
2010-09-23,4.74
2010-09-24,4.76
2010-09-27,4.76
2010-09-28,4.76
2010-09-29,4.81
2010-09-30,4.82
2010-10-01,4.87
2010-10-04,4.87
2010-10-05,4.89
2010-10-06,4.94
2010-10-07,4.9
2010-10-08,4.89
2010-10-11,4.91
2010-10-13,4.91
2010-10-14,4.99
2010-10-15,4.97
2010-10-19,5.0
2010-10-20,5.0
2010-10-21,5.0
2010-10-22,5.2
2010-10-25,5.18
2010-10-26,5.2
2010-10-27,5.17
2010-10-28,5.19
2010-10-29,5.19
2010-11-03,5.19
2010-11-04,5.22
2010-11-05,5.25
2010-11-08,5.23
2010-11-09,5.26
2010-11-10,5.26
2010-11-11,5.32
2010-11-12,5.4
2010-11-16,5.43
2010-11-17,5.52
2010-11-18,5.52
2010-11-19,5.56
2010-11-22,5.55
2010-11-23,5.49
2010-11-24,5.49
2010-11-25,5.47
2010-11-26,5.47
2010-11-29,5.47
2010-11-30,5.43
2010-12-01,5.38
2010-12-02,5.38
2010-12-03,5.38
2010-12-06,5.36
2010-12-07,5.3
2010-12-08,5.3
2010-12-09,5.33
2010-12-10,5.24
2010-12-13,5.24
2010-12-14,5.2
2010-12-15,5.14
2010-12-16,5.09
2010-12-17,5.09
2010-12-20,5.09
2010-12-21,5.11
2010-12-22,5.13
2010-12-23,5.15
2010-12-27,5.2
2010-12-28,5.14
2010-12-29,5.13
2010-12-30,5.12
2011-01-03,5.12
2011-01-04,5.1
2011-01-05,5.05
2011-01-06,5.02
2011-01-07,5.02
2011-01-10,4.99
2011-01-11,4.96
2011-01-12,4.93
2011-01-13,4.89
2011-01-14,4.85
2011-01-17,4.85
2011-01-18,4.81
2011-01-19,4.78
2011-01-20,4.73
2011-01-21,4.59
2011-01-24,4.59
2011-01-25,4.48
2011-01-26,4.48
2011-01-27,4.32
2011-01-28,4.26
2011-01-31,4.26
2011-02-01,4.22
2011-02-02,4.22
2011-02-03,4.16
2011-02-04,4.02
2011-02-07,4.02
2011-02-08,4.05
2011-02-09,3.96
2011-02-10,3.89
2011-02-11,3.81
2011-02-14,3.79
2011-02-15,3.79
2011-02-16,3.8
2011-02-17,3.74
2011-02-18,3.74
2011-02-21,3.77
2011-02-22,3.69
2011-02-23,3.62
2011-02-24,3.57
2011-02-25,3.62
2011-02-28,3.62
2011-03-01,3.68
2011-03-02,3.65
2011-03-03,3.62
2011-03-04,3.62
2011-03-09,3.62
2011-03-10,3.88
2011-03-11,3.94
2011-03-14,4.17
2011-03-15,4.31
