DATE,BR_SLCE3_PRICE
2007-06-14,2.893
2007-06-15,2.934
2007-06-18,2.932
2007-06-19,2.893
2007-06-20,2.944
2007-06-21,2.893
2007-06-22,2.897
2007-06-25,2.872
2007-06-26,2.952
2007-06-27,2.946
2007-06-28,2.911
2007-06-29,2.924
2007-07-02,2.934
2007-07-03,3.07
2007-07-04,3.027
2007-07-05,3.037
2007-07-06,3.033
2007-07-10,3.023
2007-07-11,3.021
2007-07-12,3.048
2007-07-13,3.037
2007-07-16,3.11
2007-07-17,3.151
2007-07-18,3.213
2007-07-19,3.285
2007-07-20,3.376
2007-07-23,3.378
2007-07-24,3.403
2007-07-25,3.36
2007-07-26,3.202
2007-07-27,3.407
2007-07-30,3.347
2007-07-31,3.326
2007-08-01,3.43
2007-08-02,3.409
2007-08-03,3.345
2007-08-06,3.44
2007-08-07,3.428
2007-08-08,3.407
2007-08-09,3.43
2007-08-10,3.502
2007-08-13,3.523
2007-08-14,3.409
2007-08-15,3.285
2007-08-16,3.037
2007-08-17,3.097
2007-08-20,2.996
2007-08-21,2.994
2007-08-22,3.058
2007-08-23,3.058
2007-08-24,3.017
2007-08-27,3.037
2007-08-28,3.01
2007-08-29,3.048
2007-08-30,3.037
2007-08-31,2.996
2007-09-03,3.037
2007-09-04,3.048
2007-09-05,3.014
2007-09-06,3.058
2007-09-10,2.986
2007-09-11,3.058
2007-09-12,3.192
2007-09-13,3.252
2007-09-14,3.182
2007-09-17,3.202
2007-09-18,3.337
2007-09-19,3.337
2007-09-20,3.306
2007-09-21,3.302
2007-09-24,3.295
2007-09-25,3.306
2007-09-26,3.244
2007-09-27,3.337
2007-09-28,3.337
2007-10-01,3.378
2007-10-02,3.409
2007-10-03,3.399
2007-10-04,3.44
2007-10-05,3.43
2007-10-08,3.502
2007-10-09,3.481
2007-10-10,3.512
2007-10-11,3.492
2007-10-15,3.481
2007-10-16,3.461
2007-10-17,3.543
2007-10-18,3.543
2007-10-19,3.564
2007-10-22,3.574
2007-10-23,3.574
2007-10-24,3.471
2007-10-25,3.44
2007-10-26,3.533
2007-10-29,3.492
2007-10-30,3.409
2007-10-31,3.388
2007-11-01,3.368
2007-11-05,3.405
2007-11-06,3.512
2007-11-07,3.512
2007-11-08,3.45
2007-11-09,3.512
2007-11-12,3.533
2007-11-13,3.492
2007-11-14,3.488
2007-11-16,3.49
2007-11-19,3.264
2007-11-21,2.955
2007-11-22,3.079
2007-11-23,2.996
2007-11-26,3.112
2007-11-27,2.996
2007-11-28,3.058
2007-11-29,3.099
2007-11-30,3.079
2007-12-03,3.306
2007-12-04,3.275
2007-12-05,3.295
2007-12-06,3.306
2007-12-07,3.436
2007-12-10,3.306
2007-12-11,3.384
2007-12-12,3.337
2007-12-13,3.306
2007-12-14,3.285
2007-12-17,3.264
2007-12-18,3.264
2007-12-19,3.306
2007-12-20,3.347
2007-12-21,3.289
2007-12-26,3.337
2007-12-27,3.386
2007-12-28,3.409
2008-01-02,3.368
2008-01-03,3.347
2008-01-04,3.428
2008-01-07,3.409
2008-01-08,3.409
2008-01-09,3.537
2008-01-10,3.616
2008-01-11,3.771
2008-01-14,4.215
2008-01-15,4.153
2008-01-16,4.05
2008-01-17,3.926
2008-01-18,4.029
2008-01-21,3.903
2008-01-22,4.023
2008-01-23,3.864
2008-01-24,3.988
2008-01-28,3.926
2008-01-29,3.977
2008-01-30,4.339
2008-01-31,4.07
2008-02-01,3.967
2008-02-06,4.06
2008-02-07,4.13
2008-02-08,4.236
2008-02-11,4.43
2008-02-12,4.543
2008-02-13,4.752
2008-02-14,4.7
2008-02-15,4.723
2008-02-18,4.752
2008-02-19,4.897
2008-02-20,4.742
2008-02-21,4.917
2008-02-22,4.957
2008-02-25,4.986
2008-02-26,5.008
2008-02-27,4.979
2008-02-28,5.258
2008-02-29,5.372
2008-03-03,5.269
2008-03-04,5.155
2008-03-05,5.372
2008-03-06,5.374
2008-03-07,5.227
2008-03-10,5.155
2008-03-11,5.225
2008-03-12,5.351
2008-03-13,5.269
2008-03-14,5.064
2008-03-17,4.917
2008-03-18,5.145
2008-03-19,5.062
2008-03-20,4.773
2008-03-24,4.576
2008-03-25,4.659
2008-03-26,4.804
2008-03-27,4.876
2008-03-28,5.267
2008-03-31,5.372
2008-04-01,5.632
2008-04-02,5.971
2008-04-03,6.134
2008-04-04,5.981
2008-04-07,6.012
2008-04-08,5.888
2008-04-09,5.742
2008-04-10,5.64
2008-04-11,5.64
2008-04-14,5.599
2008-04-15,5.682
2008-04-16,5.992
2008-04-17,6.548
2008-04-18,6.55
2008-04-22,6.816
2008-04-23,7.004
2008-04-24,6.806
2008-04-25,6.601
2008-04-28,6.653
2008-04-29,6.612
2008-04-30,6.488
2008-05-02,6.539
2008-05-05,6.612
2008-05-06,6.674
2008-05-07,6.86
2008-05-08,6.921
2008-05-09,6.921
2008-05-12,6.488
2008-05-13,6.426
2008-05-14,6.353
2008-05-15,6.198
2008-05-16,6.376
2008-05-19,6.508
2008-05-20,6.426
2008-05-21,6.56
2008-05-23,6.612
2008-05-26,6.539
2008-05-27,6.612
2008-05-28,6.643
2008-05-29,6.488
2008-05-30,6.508
2008-06-02,6.405
2008-06-03,6.302
2008-06-04,6.012
2008-06-05,6.116
2008-06-06,6.033
2008-06-09,5.95
2008-06-10,5.95
2008-06-11,6.384
2008-06-12,6.302
2008-06-13,6.3
2008-06-16,6.384
2008-06-17,6.116
2008-06-18,6.196
2008-06-19,5.888
2008-06-20,5.729
2008-06-23,5.888
2008-06-24,5.802
2008-06-25,5.744
2008-06-26,6.116
2008-06-27,6.24
2008-06-30,6.612
2008-07-01,6.818
2008-07-02,6.715
2008-07-03,6.302
2008-07-04,6.322
2008-07-07,6.221
2008-07-08,5.785
2008-07-10,6.095
2008-07-11,6.198
2008-07-14,6.312
2008-07-15,6.097
2008-07-16,6.043
2008-07-17,5.994
2008-07-18,6.033
2008-07-21,6.198
2008-07-22,6.2
2008-07-23,6.095
2008-07-24,5.733
2008-07-25,5.659
2008-07-28,5.682
2008-07-29,5.517
2008-07-30,5.55
2008-07-31,5.601
2008-08-01,5.967
2008-08-04,5.446
2008-08-05,5.351
2008-08-06,5.424
2008-08-07,5.217
2008-08-08,4.731
2008-08-11,4.39
2008-08-12,4.236
2008-08-13,4.463
2008-08-14,4.795
2008-08-15,4.752
2008-08-18,5.114
2008-08-19,5.083
2008-08-20,5.041
2008-08-21,5.031
2008-08-22,5.072
2008-08-25,4.752
2008-08-26,4.659
2008-08-27,4.669
2008-08-28,4.711
2008-08-29,4.653
2008-09-01,4.38
2008-09-02,4.174
2008-09-03,3.969
2008-09-04,3.967
2008-09-05,3.884
2008-09-08,3.742
2008-09-09,3.636
2008-09-10,3.986
2008-09-11,3.946
2008-09-12,4.213
2008-09-15,4.074
2008-09-16,3.926
2008-09-17,3.616
2008-09-18,3.595
2008-09-19,3.802
2008-09-22,3.926
2008-09-23,3.924
2008-09-24,3.926
2008-09-25,3.977
2008-09-26,3.717
2008-09-29,3.2
2008-09-30,3.386
2008-10-01,3.169
2008-10-02,3.017
2008-10-03,2.789
2008-10-06,2.634
2008-10-07,2.273
2008-10-08,2.231
2008-10-09,1.756
2008-10-10,1.76
2008-10-13,2.438
2008-10-14,2.386
2008-10-15,1.864
2008-10-16,1.895
2008-10-17,2.18
2008-10-20,2.438
2008-10-21,2.345
2008-10-22,2.064
2008-10-23,1.963
2008-10-24,1.719
2008-10-27,1.508
2008-10-28,1.653
2008-10-29,1.798
2008-10-30,2.045
2008-10-31,2.314
2008-11-03,2.479
2008-11-04,2.583
2008-11-05,2.345
2008-11-06,2.376
2008-11-07,2.583
2008-11-10,2.655
2008-11-11,2.562
2008-11-12,2.347
2008-11-13,2.324
2008-11-14,2.31
2008-11-17,2.211
2008-11-18,2.136
2008-11-19,2.066
2008-11-21,2.045
2008-11-24,2.169
2008-11-25,2.252
2008-11-26,2.066
2008-11-27,2.273
2008-11-28,2.333
2008-12-01,2.169
2008-12-02,2.066
2008-12-03,2.008
2008-12-04,2.097
2008-12-05,2.076
2008-12-08,2.428
2008-12-09,2.417
2008-12-10,2.583
2008-12-11,2.903
2008-12-12,2.789
2008-12-15,2.893
2008-12-16,3.076
2008-12-17,2.996
2008-12-18,3.079
2008-12-19,3.161
2008-12-22,3.182
2008-12-23,3.161
2008-12-26,3.136
2008-12-29,2.996
2008-12-30,2.893
2009-01-02,2.872
2009-01-05,2.81
2009-01-06,2.872
2009-01-07,2.789
2009-01-08,2.717
2009-01-09,2.686
2009-01-12,2.479
2009-01-13,2.603
2009-01-14,2.479
2009-01-15,2.479
2009-01-16,2.56
2009-01-19,2.49
2009-01-20,2.304
2009-01-21,2.345
2009-01-22,2.233
2009-01-23,2.221
2009-01-26,2.2
2009-01-27,2.316
2009-01-28,2.583
2009-01-29,2.5
2009-01-30,2.583
2009-02-02,2.583
2009-02-03,2.581
2009-02-04,2.492
2009-02-05,2.436
2009-02-06,2.624
2009-02-09,2.717
2009-02-10,2.665
2009-02-11,2.583
2009-02-12,2.531
2009-02-13,2.686
2009-02-16,2.707
2009-02-17,2.632
2009-02-18,2.696
2009-02-19,2.663
2009-02-20,2.686
2009-02-25,2.754
2009-02-26,2.81
2009-02-27,2.893
2009-03-02,2.787
2009-03-03,2.727
2009-03-04,2.913
2009-03-05,2.791
2009-03-06,2.81
2009-03-09,2.702
2009-03-10,2.851
2009-03-11,2.855
2009-03-12,2.89
2009-03-13,2.851
2009-03-16,2.738
2009-03-17,2.616
2009-03-18,2.457
2009-03-19,2.56
2009-03-20,2.459
2009-03-23,2.599
2009-03-24,2.659
2009-03-25,2.684
2009-03-26,2.707
2009-03-27,2.663
2009-03-30,2.504
2009-03-31,2.583
2009-04-01,2.684
2009-04-02,2.789
2009-04-03,2.851
2009-04-06,2.769
2009-04-07,2.831
2009-04-08,2.893
2009-04-09,2.901
2009-04-13,2.89
2009-04-14,2.888
2009-04-15,2.975
2009-04-16,3.099
2009-04-17,3.151
2009-04-20,2.924
2009-04-22,2.841
2009-04-23,2.888
2009-04-24,2.969
2009-04-27,3.079
2009-04-28,3.087
2009-04-29,3.151
2009-04-30,3.079
2009-05-04,3.388
2009-05-05,3.293
2009-05-06,3.275
2009-05-07,3.07
2009-05-08,3.027
2009-05-11,3.099
2009-05-12,3.262
2009-05-13,3.207
2009-05-14,3.122
2009-05-15,3.099
2009-05-18,3.11
2009-05-19,3.192
2009-05-20,3.279
2009-05-21,3.281
2009-05-22,3.264
2009-05-25,3.285
2009-05-26,3.264
2009-05-27,3.233
2009-05-28,3.202
2009-05-29,3.275
2009-06-01,3.368
2009-06-02,3.802
2009-06-03,3.678
2009-06-04,3.717
2009-06-05,3.543
2009-06-08,3.676
2009-06-09,3.698
2009-06-10,3.678
2009-06-12,3.791
2009-06-15,3.719
2009-06-16,3.719
2009-06-17,3.667
2009-06-18,3.657
2009-06-19,3.636
2009-06-22,3.523
2009-06-23,3.521
2009-06-24,3.783
2009-06-25,3.76
2009-06-26,3.88
2009-06-29,3.942
2009-06-30,3.822
2009-07-01,3.742
2009-07-02,3.705
2009-07-03,3.719
2009-07-06,3.626
2009-07-07,3.554
2009-07-08,3.657
2009-07-10,3.597
2009-07-13,3.533
2009-07-14,3.368
2009-07-15,3.49
2009-07-16,3.574
2009-07-17,3.502
2009-07-20,3.605
2009-07-21,3.44
2009-07-22,3.512
2009-07-23,3.388
2009-07-24,3.44
2009-07-27,3.543
