DATE,BR_SMTO3_PRICE
2007-02-09,6.667
2007-02-12,7.887
2007-02-13,8.233
2007-02-14,8.317
2007-02-15,8.603
2007-02-16,9.46
2007-02-21,9.983
2007-02-22,9.933
2007-02-23,9.333
2007-02-26,9.167
2007-02-27,8.673
2007-02-28,9.0
2007-03-01,8.733
2007-03-02,8.93
2007-03-05,8.633000000000001
2007-03-06,8.933
2007-03-07,8.813
2007-03-08,8.833
2007-03-09,8.85
2007-03-12,8.833
2007-03-13,8.503
2007-03-14,8.71
2007-03-15,8.8
2007-03-16,8.833
2007-03-19,8.917
2007-03-20,8.9
2007-03-21,8.867
2007-03-22,8.667
2007-03-23,8.733
2007-03-26,8.903
2007-03-27,9.017
2007-03-28,8.927
2007-03-29,9.0
2007-03-30,8.887
2007-04-02,8.733
2007-04-03,8.833
2007-04-04,9.067
2007-04-05,9.117
2007-04-09,9.1
2007-04-10,9.167
2007-04-11,8.833
2007-04-12,8.903
2007-04-13,9.05
2007-04-16,9.267
2007-04-17,9.193
2007-04-18,9.217
2007-04-19,9.05
2007-04-20,9.26
2007-04-23,9.1
2007-04-24,9.1
2007-04-25,9.033
2007-04-26,9.0
2007-04-27,8.867
2007-04-30,8.77
2007-05-02,8.617
2007-05-03,8.403
2007-05-04,8.47
2007-05-07,8.423
2007-05-08,8.27
2007-05-09,8.367
2007-05-10,8.197
2007-05-11,8.023
2007-05-14,8.0
2007-05-15,7.853
2007-05-16,7.827
2007-05-17,7.917
2007-05-18,8.127
2007-05-21,8.187
2007-05-22,8.0
2007-05-23,8.0
2007-05-24,7.803
2007-05-25,7.95
2007-05-28,8.25
2007-05-29,8.02
2007-05-30,8.167
2007-05-31,8.0
2007-06-01,7.933
2007-06-04,7.947
2007-06-05,7.667
2007-06-06,7.703
2007-06-08,7.7
2007-06-11,7.803
2007-06-12,7.597
2007-06-13,7.69
2007-06-14,7.633
2007-06-15,7.5
2007-06-18,7.497
2007-06-19,7.45
2007-06-20,7.103
2007-06-21,7.077
2007-06-22,7.283
2007-06-25,7.183
2007-06-26,6.963
2007-06-27,6.84
2007-06-28,6.933
2007-06-29,6.767
2007-07-02,6.953
2007-07-03,6.967
2007-07-04,7.133
2007-07-05,7.523
2007-07-06,7.667
2007-07-10,7.427
2007-07-11,7.507
2007-07-12,7.583
2007-07-13,7.567
2007-07-16,7.567
2007-07-17,7.933
2007-07-18,7.883
2007-07-19,8.017
2007-07-20,7.797
2007-07-23,7.667
2007-07-24,7.387
2007-07-25,7.39
2007-07-26,7.133
2007-07-27,7.2
2007-07-30,7.333
2007-07-31,7.267
2007-08-01,7.117
2007-08-02,7.167
2007-08-03,7.0
2007-08-06,7.2
2007-08-07,7.167
2007-08-08,7.4
2007-08-09,7.403
2007-08-10,7.2
2007-08-13,7.267
2007-08-14,7.0
2007-08-15,6.517
2007-08-16,6.0
2007-08-17,5.767
2007-08-20,6.333
2007-08-21,6.417
2007-08-22,6.667
2007-08-23,6.63
2007-08-24,6.667
2007-08-27,6.5
2007-08-28,6.167
2007-08-29,6.267
2007-08-30,6.25
2007-08-31,6.34
2007-09-03,6.267
2007-09-04,6.533
2007-09-05,6.497
2007-09-06,6.417
2007-09-10,6.227
2007-09-11,6.333
2007-09-12,6.5
2007-09-13,6.703
2007-09-14,7.167
2007-09-17,7.133
2007-09-18,6.933
2007-09-19,7.0
2007-09-20,6.817
2007-09-21,6.663
2007-09-24,6.67
2007-09-25,6.7
2007-09-26,6.8
2007-09-27,7.0
2007-09-28,6.75
2007-10-01,6.867
2007-10-02,6.8
2007-10-03,6.75
2007-10-04,7.05
2007-10-05,7.333
2007-10-08,7.183
2007-10-09,7.447
2007-10-10,7.2
2007-10-11,7.053
2007-10-15,7.037
2007-10-16,7.067
2007-10-17,7.33
2007-10-18,7.167
2007-10-19,6.95
2007-10-22,7.08
2007-10-23,7.093
2007-10-24,7.267
2007-10-25,7.067
2007-10-26,7.367
2007-10-29,7.237
2007-10-30,7.123
2007-10-31,7.5
2007-11-01,7.767
2007-11-05,7.667
2007-11-06,7.967
2007-11-07,7.93
2007-11-08,7.567
2007-11-09,7.583
2007-11-12,7.34
2007-11-13,7.333
2007-11-14,7.277
2007-11-16,7.267
2007-11-19,7.133
2007-11-21,7.307
2007-11-22,6.967
2007-11-23,7.0
2007-11-26,6.667
2007-11-27,6.467
2007-11-28,6.503
2007-11-29,6.5
2007-11-30,6.667
2007-12-03,6.78
2007-12-04,6.963
2007-12-05,6.897
2007-12-06,6.733
2007-12-07,6.733
2007-12-10,6.75
2007-12-11,6.533
2007-12-12,6.5
2007-12-13,6.333
2007-12-14,6.333
2007-12-17,6.493
2007-12-18,6.533
2007-12-19,6.683
2007-12-20,6.6
2007-12-21,6.733
2007-12-26,6.857
2007-12-27,6.817
2007-12-28,6.733
2008-01-02,6.75
2008-01-03,6.733
2008-01-04,6.8
2008-01-07,7.167
2008-01-08,7.73
2008-01-09,8.557
2008-01-10,8.483
2008-01-11,8.633000000000001
2008-01-14,9.213
2008-01-15,9.117
2008-01-16,8.833
2008-01-17,9.007
2008-01-18,9.633
2008-01-21,8.67
2008-01-22,8.6
2008-01-23,8.333
2008-01-24,8.6
2008-01-28,8.367
2008-01-29,8.367
2008-01-30,8.7
2008-01-31,9.133
2008-02-01,8.833
2008-02-06,8.703
2008-02-07,8.833
2008-02-08,8.667
2008-02-11,8.567
2008-02-12,8.633000000000001
2008-02-13,8.737
2008-02-14,8.823
2008-02-15,9.0
2008-02-18,9.067
2008-02-19,9.0
2008-02-20,8.933
2008-02-21,9.217
2008-02-22,9.0
2008-02-25,9.067
2008-02-26,9.083
2008-02-27,9.17
2008-02-28,9.133
2008-02-29,9.5
2008-03-03,9.89
2008-03-04,9.667
2008-03-05,9.837
2008-03-06,9.583
2008-03-07,9.533
2008-03-10,9.5
2008-03-11,9.833
2008-03-12,9.533
2008-03-13,9.107
2008-03-14,8.603
2008-03-17,8.1
2008-03-18,8.5
2008-03-19,8.167
2008-03-20,8.167
2008-03-24,8.117
2008-03-25,8.167
2008-03-26,8.267
2008-03-27,8.203
2008-03-28,8.433
2008-03-31,8.67
2008-04-01,8.667
2008-04-02,8.667
2008-04-03,9.167
2008-04-04,9.313
2008-04-07,9.003
2008-04-08,8.6
2008-04-09,8.017
2008-04-10,8.067
2008-04-11,7.967
2008-04-14,7.733
2008-04-15,7.737
2008-04-16,8.333
2008-04-17,8.617
2008-04-18,8.7
2008-04-22,8.567
2008-04-23,8.667
2008-04-24,8.667
2008-04-25,8.45
2008-04-28,8.333
2008-04-29,8.007
2008-04-30,8.667
2008-05-02,8.0
2008-05-05,7.867
2008-05-06,7.767
2008-05-07,7.567
2008-05-08,7.733
2008-05-09,7.933
2008-05-12,7.78
2008-05-13,7.583
2008-05-14,7.667
2008-05-15,7.533
2008-05-16,7.467
2008-05-19,7.333
2008-05-20,7.267
2008-05-21,8.143
2008-05-23,8.333
2008-05-26,8.097
2008-05-27,7.93
2008-05-28,8.4
2008-05-29,8.0
2008-05-30,8.167
2008-06-02,8.333
2008-06-03,7.967
2008-06-04,7.6
2008-06-05,7.75
2008-06-06,7.687
2008-06-09,7.723
2008-06-10,7.437
2008-06-11,7.9
2008-06-12,7.733
2008-06-13,7.9
2008-06-16,7.967
2008-06-17,7.9
2008-06-18,8.167
2008-06-19,8.303
2008-06-20,8.55
2008-06-23,8.613
2008-06-24,8.553
2008-06-25,8.5
2008-06-26,8.5
2008-06-27,8.583
2008-06-30,8.633000000000001
2008-07-01,8.557
2008-07-02,8.667
2008-07-03,8.433
2008-07-04,8.533
2008-07-07,8.633000000000001
2008-07-08,8.703
2008-07-10,8.467
2008-07-11,8.563
2008-07-14,8.567
2008-07-15,8.583
2008-07-16,8.433
2008-07-17,7.83
2008-07-18,7.657
2008-07-21,7.6
2008-07-22,7.6
2008-07-23,7.467
2008-07-24,7.667
2008-07-25,7.867
2008-07-28,7.9
2008-07-29,7.947
2008-07-30,8.6
2008-07-31,8.833
2008-08-01,8.663
2008-08-04,8.267
2008-08-05,8.0
2008-08-06,8.333
2008-08-07,8.3
2008-08-08,8.267
2008-08-11,8.193
2008-08-12,7.9
2008-08-13,7.873
2008-08-14,7.933
2008-08-15,7.4
2008-08-18,7.4
2008-08-19,7.57
2008-08-20,8.033
2008-08-21,8.393
2008-08-22,8.3
2008-08-25,8.367
2008-08-26,8.363
2008-08-27,8.333
2008-08-28,8.7
2008-08-29,8.667
2008-09-01,8.337
2008-09-02,7.817
2008-09-03,7.5
2008-09-04,7.217
2008-09-05,7.5
2008-09-08,7.333
2008-09-09,6.67
2008-09-10,6.667
2008-09-11,7.117
2008-09-12,7.067
2008-09-15,6.733
2008-09-16,6.65
2008-09-17,5.9
2008-09-18,5.9
2008-09-19,6.633
2008-09-22,6.633
2008-09-23,6.533
2008-09-24,6.433
2008-09-25,6.663
2008-09-26,6.833
2008-09-29,6.15
2008-09-30,6.15
2008-10-01,5.91
2008-10-02,5.72
2008-10-03,5.833
2008-10-06,5.617
2008-10-07,5.533
2008-10-08,5.43
2008-10-09,5.133
2008-10-10,5.267
2008-10-13,6.0
2008-10-14,6.15
2008-10-15,5.03
2008-10-16,5.003
2008-10-17,5.0
2008-10-20,5.1
2008-10-21,4.833
2008-10-22,4.297
2008-10-23,3.667
2008-10-24,3.667
2008-10-27,3.087
2008-10-28,3.667
2008-10-29,4.093
2008-10-30,4.267
2008-10-31,4.43
2008-11-03,4.4
2008-11-04,4.727
2008-11-05,4.5
2008-11-06,4.167
2008-11-07,4.167
2008-11-10,4.133
2008-11-11,4.0
2008-11-12,3.333
2008-11-13,3.667
2008-11-14,3.7
2008-11-17,3.337
2008-11-18,3.28
2008-11-19,3.1
2008-11-21,2.873
2008-11-24,3.883
2008-11-25,3.45
2008-11-26,3.667
2008-11-27,3.8
2008-11-28,3.833
2008-12-01,3.333
2008-12-02,3.267
2008-12-03,3.167
2008-12-04,3.283
2008-12-05,3.333
2008-12-08,3.3
2008-12-09,3.397
2008-12-10,3.313
2008-12-11,3.417
2008-12-12,3.467
2008-12-15,3.333
2008-12-16,3.5
2008-12-17,3.533
2008-12-18,3.333
2008-12-19,3.27
2008-12-22,3.25
2008-12-23,3.283
2008-12-26,3.237
2008-12-29,3.2
2008-12-30,3.053
2009-01-02,3.05
2009-01-05,3.163
2009-01-06,3.267
2009-01-07,3.433
2009-01-08,3.49
2009-01-09,3.45
2009-01-12,3.267
2009-01-13,3.45
2009-01-14,3.4
2009-01-15,3.497
2009-01-16,3.467
2009-01-19,3.467
2009-01-20,3.333
2009-01-21,3.477
2009-01-22,3.437
2009-01-23,3.433
2009-01-26,3.5
2009-01-27,3.583
2009-01-28,3.8
2009-01-29,3.833
2009-01-30,4.05
2009-02-02,4.0
2009-02-03,4.157
2009-02-04,4.33
2009-02-05,4.433
2009-02-06,4.833
2009-02-09,4.687
2009-02-10,4.627
2009-02-11,4.55
2009-02-12,4.41
2009-02-13,4.613
2009-02-16,4.7
2009-02-17,4.467
2009-02-18,4.533
2009-02-19,4.33
2009-02-20,4.087
2009-02-25,3.947
2009-02-26,4.0
2009-02-27,3.637
2009-03-02,3.33
2009-03-03,3.23
2009-03-04,3.263
2009-03-05,3.183
2009-03-06,3.2
2009-03-09,3.133
2009-03-10,3.157
2009-03-11,3.123
2009-03-12,3.133
2009-03-13,3.083
2009-03-16,3.083
2009-03-17,3.517
2009-03-18,3.583
2009-03-19,3.5
2009-03-20,3.4
2009-03-23,3.653
2009-03-24,3.64
2009-03-25,3.657
2009-03-26,3.833
2009-03-27,3.967
2009-03-30,3.813
2009-03-31,3.833
2009-04-01,3.917
2009-04-02,4.13
2009-04-03,4.667
2009-04-06,4.217
2009-04-07,4.133
2009-04-08,4.057
2009-04-09,4.073
2009-04-13,4.133
2009-04-14,4.067
2009-04-15,4.07
2009-04-16,4.167
2009-04-17,4.4
2009-04-20,4.367
2009-04-22,4.3
2009-04-23,4.263
2009-04-24,4.363
2009-04-27,4.183
2009-04-28,4.533
2009-04-29,4.767
2009-04-30,4.6
2009-05-04,4.833
2009-05-05,4.643
2009-05-06,5.327
2009-05-07,5.3
2009-05-08,5.2
2009-05-11,5.333
2009-05-12,4.913
2009-05-13,4.6370000000000005
2009-05-14,4.813
2009-05-15,4.833
2009-05-18,5.03
2009-05-19,5.4
2009-05-20,5.333
2009-05-21,5.3
2009-05-22,5.57
2009-05-25,5.73
2009-05-26,5.967
2009-05-27,5.997
2009-05-28,5.843
2009-05-29,5.667
2009-06-01,5.5
2009-06-02,5.647
2009-06-03,5.493
2009-06-04,5.853
2009-06-05,5.917
2009-06-08,5.9
2009-06-09,5.72
2009-06-10,5.93
2009-06-12,5.833
2009-06-15,5.55
2009-06-16,5.667
2009-06-17,5.197
2009-06-18,5.237
2009-06-19,5.183
2009-06-22,5.167
2009-06-23,5.397
2009-06-24,5.597
2009-06-25,5.767
2009-06-26,5.467
2009-06-29,5.467
2009-06-30,5.5
2009-07-01,5.6
2009-07-02,5.333
2009-07-03,5.35
2009-07-06,5.283
2009-07-07,5.043
2009-07-08,4.867
2009-07-10,5.0
2009-07-13,4.9
2009-07-14,4.85
2009-07-15,4.9
2009-07-16,4.933
2009-07-17,4.9
2009-07-20,4.903
2009-07-21,4.9
2009-07-22,5.033
2009-07-23,5.067
2009-07-24,5.037
2009-07-27,5.09
2009-07-28,5.2
2009-07-29,5.063
2009-07-30,5.133
2009-07-31,5.283
2009-08-03,5.307
2009-08-04,5.303
2009-08-05,5.267
2009-08-06,5.267
2009-08-07,5.267
2009-08-10,5.43
2009-08-11,5.317
2009-08-12,5.413
2009-08-13,5.317
2009-08-14,5.257
2009-08-17,4.97
2009-08-18,5.27
2009-08-19,5.317
2009-08-20,5.467
2009-08-21,5.613
2009-08-24,5.613
2009-08-25,5.467
2009-08-26,5.65
2009-08-27,5.683
2009-08-28,5.85
2009-08-31,5.6370000000000005
2009-09-01,5.673
2009-09-02,5.667
2009-09-03,5.51
2009-09-04,5.437
2009-09-08,5.567
2009-09-09,5.523
2009-09-10,5.533
2009-09-11,5.567
2009-09-14,5.45
2009-09-15,5.483
2009-09-16,5.473
2009-09-17,5.483
2009-09-18,5.5
2009-09-21,5.437
2009-09-22,5.497
2009-09-23,5.487
2009-09-24,5.487
2009-09-25,5.503
2009-09-28,5.45
2009-09-29,5.533
2009-09-30,5.533
2009-10-01,5.923
2009-10-02,5.967
2009-10-05,6.217
2009-10-06,6.38
2009-10-07,6.267
2009-10-08,6.203
2009-10-09,6.21
2009-10-13,6.233
2009-10-14,6.183
2009-10-15,6.2
2009-10-16,6.14
2009-10-19,6.233
2009-10-20,5.863
2009-10-21,5.88
2009-10-22,6.267
2009-10-23,6.083
2009-10-26,5.737
2009-10-27,5.767
2009-10-28,5.733
2009-10-29,5.873
