DATE,BR_SOJA3_PRICE
2021-04-28,9.9
2021-04-29,14.5
2021-04-30,16.2
2021-05-03,16.04
2021-05-04,15.9
2021-05-05,15.62
2021-05-06,15.27
2021-05-07,15.3
2021-05-10,15.11
2021-05-11,15.0
2021-05-12,15.05
2021-05-13,16.18
2021-05-14,16.7
2021-05-17,16.88
2021-05-18,16.72
2021-05-19,16.28
2021-05-20,15.8
2021-05-21,15.96
2021-05-24,16.21
2021-05-25,16.02
2021-05-26,16.03
2021-05-27,15.9
2021-05-28,15.73
2021-05-31,15.55
2021-06-01,16.0
2021-06-02,15.64
2021-06-04,15.67
2021-06-07,15.41
2021-06-08,15.03
2021-06-09,15.37
2021-06-10,15.64
2021-06-11,15.51
2021-06-14,15.3
2021-06-15,15.39
2021-06-16,15.42
2021-06-17,15.35
2021-06-18,15.28
2021-06-21,15.11
2021-06-22,14.97
2021-06-23,14.62
2021-06-24,14.89
2021-06-25,14.87
2021-06-28,14.7
2021-06-29,15.3
2021-06-30,15.46
2021-07-01,15.11
2021-07-02,15.08
2021-07-05,15.01
2021-07-06,14.92
2021-07-07,14.9
2021-07-08,14.9
2021-07-12,14.75
2021-07-13,14.6
2021-07-14,14.61
2021-07-15,14.53
2021-07-16,14.62
2021-07-19,14.05
2021-07-20,13.9
2021-07-21,13.26
2021-07-22,13.0
2021-07-23,13.11
2021-07-26,13.47
2021-07-27,13.64
2021-07-28,13.7
2021-07-29,13.65
2021-07-30,13.94
2021-08-02,14.38
2021-08-03,14.31
2021-08-04,13.83
2021-08-05,13.53
2021-08-06,13.96
2021-08-09,14.5
2021-08-10,14.4
2021-08-11,14.35
2021-08-12,14.58
2021-08-13,15.1
2021-08-16,14.18
2021-08-17,13.81
2021-08-18,14.53
2021-08-19,14.6
2021-08-20,14.6
2021-08-23,14.48
2021-08-24,14.38
2021-08-25,14.3
2021-08-26,14.16
2021-08-27,14.2
2021-08-30,13.98
2021-08-31,13.76
2021-09-01,13.91
2021-09-02,13.99
2021-09-03,13.6
2021-09-06,14.02
2021-09-08,14.06
2021-09-09,13.75
2021-09-10,14.0
2021-09-13,13.98
2021-09-14,14.13
2021-09-15,14.0
2021-09-16,14.0
2021-09-17,13.75
2021-09-20,13.85
2021-09-21,13.9
2021-09-22,14.27
2021-09-23,14.9
2021-09-24,14.55
2021-09-27,14.35
2021-09-28,14.42
2021-09-29,14.37
2021-09-30,14.05
2021-10-01,14.0
2021-10-04,14.3
2021-10-05,13.76
2021-10-06,13.74
2021-10-07,13.68
2021-10-08,13.77
2021-10-11,14.0
2021-10-13,14.52
2021-10-14,14.41
2021-10-15,14.6
2021-10-18,14.69
2021-10-19,14.58
2021-10-20,14.23
2021-10-21,14.3
2021-10-22,13.8
2021-10-25,15.0
2021-10-26,14.8
2021-10-27,14.55
2021-10-28,14.0
2021-10-29,13.8
2021-11-01,13.9
2021-11-03,14.5
2021-11-04,14.22
2021-11-05,13.85
2021-11-08,14.11
2021-11-09,14.55
2021-11-10,14.77
2021-11-11,14.72
2021-11-12,14.35
2021-11-16,14.69
2021-11-17,14.55
2021-11-18,14.89
2021-11-19,14.92
2021-11-22,15.68
2021-11-23,15.45
2021-11-24,15.02
2021-11-25,15.49
2021-11-26,15.3
2021-11-29,15.3
2021-11-30,14.94
2021-12-01,13.9
2021-12-02,13.58
2021-12-03,13.99
2021-12-06,14.21
2021-12-07,14.5
2021-12-08,14.77
2021-12-09,14.8
2021-12-10,14.85
2021-12-13,14.88
2021-12-14,14.8
2021-12-15,15.15
2021-12-16,15.01
2021-12-17,15.63
2021-12-20,15.77
2021-12-21,15.36
2021-12-22,15.48
2021-12-23,15.5
2021-12-27,15.8
2021-12-28,15.8
2021-12-29,15.8
2021-12-30,15.86
2022-01-03,15.61
2022-01-04,14.91
2022-01-05,14.02
2022-01-06,14.19
2022-01-07,14.12
2022-01-10,14.3
2022-01-11,14.19
2022-01-12,14.19
2022-01-13,14.07
2022-01-14,14.19
2022-01-17,13.98
2022-01-18,13.88
2022-01-19,14.11
2022-01-20,14.2
2022-01-21,14.11
2022-01-24,13.97
2022-01-25,14.29
2022-01-26,13.3
2022-01-27,13.7
2022-01-28,13.93
2022-01-31,14.1
2022-02-01,14.2
2022-02-02,14.11
2022-02-03,13.87
2022-02-04,13.65
2022-02-07,14.2
2022-02-08,14.0
2022-02-09,14.3
2022-02-10,14.28
2022-02-11,13.94
2022-02-14,14.01
2022-02-15,14.11
2022-02-16,14.12
2022-02-17,14.2
2022-02-18,14.4
2022-02-21,13.88
2022-02-22,13.94
2022-02-23,14.19
2022-02-24,14.66
2022-02-25,14.48
2022-03-02,15.8
2022-03-03,15.34
2022-03-04,15.5
2022-03-07,15.38
2022-03-08,14.68
2022-03-09,15.0
2022-03-10,15.0
2022-03-11,14.38
2022-03-14,13.85
2022-03-15,13.91
2022-03-16,14.24
2022-03-17,13.9
2022-03-18,14.08
2022-03-21,14.1
2022-03-22,14.19
2022-03-23,14.45
2022-03-24,14.07
2022-03-25,14.01
2022-03-28,14.2
2022-03-29,14.2
2022-03-30,13.85
2022-03-31,13.78
2022-04-01,13.78
2022-04-04,13.85
2022-04-05,13.51
2022-04-06,13.31
2022-04-07,13.14
2022-04-08,13.15
2022-04-11,13.09
2022-04-12,12.94
2022-04-13,13.05
2022-04-14,12.87
2022-04-18,13.0
2022-04-19,13.0
2022-04-20,12.86
2022-04-22,12.36
2022-04-25,12.67
2022-04-26,12.5
2022-04-27,12.49
2022-04-28,12.53
2022-04-29,13.08
2022-05-02,12.92
2022-05-03,12.87
2022-05-04,13.12
2022-05-05,13.02
2022-05-06,13.06
2022-05-09,12.87
2022-05-10,12.63
2022-05-11,12.79
2022-05-12,12.9
2022-05-13,13.08
2022-05-16,13.44
2022-05-17,13.37
2022-05-18,13.38
2022-05-19,13.58
2022-05-20,13.37
2022-05-23,13.2
2022-05-24,13.44
2022-05-25,13.23
2022-05-26,13.47
2022-05-27,13.34
2022-05-30,13.55
2022-05-31,13.65
2022-06-01,13.66
2022-06-02,13.5
2022-06-03,13.14
2022-06-06,12.99
2022-06-07,13.22
2022-06-08,12.97
2022-06-09,12.87
2022-06-10,12.51
2022-06-13,12.34
2022-06-14,12.29
2022-06-15,12.39
2022-06-17,12.25
2022-06-20,12.13
2022-06-21,11.93
2022-06-22,11.84
2022-06-23,11.6
2022-06-24,11.3
2022-06-27,11.26
2022-06-28,11.03
2022-06-29,10.92
2022-06-30,10.51
2022-07-01,10.71
2022-07-04,11.1
2022-07-05,10.87
2022-07-06,10.93
2022-07-07,10.9
2022-07-08,10.73
2022-07-11,10.64
2022-07-12,10.46
2022-07-13,10.35
2022-07-14,10.23
2022-07-15,10.23
2022-07-18,10.32
2022-07-19,10.3
2022-07-20,10.67
2022-07-21,10.62
2022-07-22,10.65
2022-07-25,10.88
2022-07-26,10.54
2022-07-27,10.89
2022-07-28,10.89
2022-07-29,10.73
2022-08-01,10.74
2022-08-02,10.97
2022-08-03,10.76
2022-08-04,11.15
2022-08-05,11.29
2022-08-08,11.6
2022-08-09,11.15
2022-08-10,11.45
2022-08-11,11.75
2022-08-12,11.76
2022-08-15,11.98
2022-08-16,12.64
2022-08-17,12.8
2022-08-18,12.68
2022-08-19,12.63
2022-08-22,12.51
2022-08-23,12.62
2022-08-24,12.97
2022-08-25,12.99
2022-08-26,12.94
2022-08-29,12.84
2022-08-30,12.51
2022-08-31,12.5
2022-09-01,12.55
2022-09-02,12.31
2022-09-05,12.85
2022-09-06,12.73
2022-09-08,12.95
2022-09-09,13.3
2022-09-12,13.4
2022-09-13,13.41
2022-09-14,13.4
2022-09-15,13.58
2022-09-16,13.7
2022-09-19,13.58
2022-09-20,13.43
2022-09-21,12.95
2022-09-22,12.8
2022-09-23,12.8
2022-09-26,12.55
2022-09-27,12.38
2022-09-28,12.29
2022-09-29,12.19
2022-09-30,12.26
2022-10-03,12.38
