DATE,BR_SOY_BALSAS_PRICE
2013-07-04,54.33
2013-07-05,55.0
2013-07-08,55.0
2013-07-09,55.6
2013-07-10,56.5
2013-07-11,57.25
2013-07-12,57.5
2013-07-15,57.25
2013-07-16,58.0
2013-07-17,58.0
2013-07-18,56.25
2013-07-19,55.5
2013-07-22,55.75
2013-07-23,56.45
2013-07-24,56.25
2013-07-25,55.0
2013-07-26,55.0
2013-07-29,55.0
2013-07-30,54.25
2013-07-31,54.25
2013-08-01,55.35
2013-08-02,55.5
2013-08-05,55.15
2013-08-06,53.54
2013-08-07,54.8
2013-08-08,55.5
2013-08-09,55.35
2013-08-12,55.75
2013-08-13,55.25
2013-08-14,56.0
2013-08-15,56.5
2013-08-16,59.5
2013-08-19,59.88
2013-08-20,61.42
2013-08-21,62.47
2013-08-22,62.5
2013-08-23,61.75
2013-08-26,63.5
2013-08-27,65.17
2013-08-28,64.92
2013-08-29,64.72
2013-08-30,63.13
2013-09-02,62.42
2013-09-03,64.5
2013-09-04,62.67
2013-09-05,62.88
2013-09-06,61.14
2013-09-09,61.49
2013-09-10,62.92
2013-09-11,62.84
2013-09-12,62.27
2013-09-13,62.44
2013-09-16,61.69
2013-09-17,60.75
2013-09-18,60.84
2013-09-19,58.97
2013-09-20,60.22
2013-09-23,60.39
2013-09-24,57.39
2013-09-25,57.69
2013-09-26,57.82
2013-09-27,58.15
2013-09-30,58.49
2013-10-01,58.17
2013-10-02,55.59
2013-10-03,57.09
2013-10-04,56.84
2013-10-07,56.5
2013-10-08,57.13
2013-10-09,56.92
2013-10-10,56.75
2013-10-11,56.88
2013-10-14,56.92
2013-10-15,55.81
2013-10-16,56.17
2013-10-17,56.3
2013-10-18,55.98
2013-10-21,55.97
2013-10-22,56.66
2013-10-23,57.3
2013-10-24,58.7
2013-10-25,57.92
2013-10-28,57.63
2013-10-29,57.34
2013-10-30,58.0
2013-10-31,58.19
2013-11-01,58.13
2013-11-04,58.75
2013-11-05,59.27
2013-11-06,58.43
2013-11-07,59.92
2013-11-08,60.6
2013-11-11,60.17
2013-11-12,60.28
2013-11-13,59.92
2013-11-14,60.13
2013-11-18,59.94
2013-11-19,58.82
2013-11-20,57.34
2013-11-21,57.04
2013-11-22,59.04
2013-11-25,58.7
2013-11-26,59.19
2013-11-27,59.19
2013-11-28,59.07
2013-11-29,57.92
2013-12-02,57.76
2013-12-03,58.6
2013-12-04,58.7
2013-12-05,58.82
2013-12-06,58.84
