DATE,BR_SOY_BARREIRAS_PRICE
2004-01-20,37.27
2004-01-22,40.0
2004-01-27,39.0
2004-02-03,37.0
2004-02-04,37.0
2004-02-05,36.0
2004-02-10,36.5
2004-02-11,37.0
2004-02-12,37.0
2004-02-13,36.5
2004-02-16,36.8
2004-02-17,37.0
2004-02-18,37.5
2004-02-19,37.5
2004-02-20,37.5
2004-03-01,37.5
2004-03-02,37.5
2004-03-03,37.67
2004-03-04,38.0
2004-03-05,37.0
2004-03-08,37.75
2004-03-09,37.33
2004-03-10,37.67
2004-03-11,37.5
2004-03-12,38.33
2004-03-15,39.0
2004-03-16,38.5
2004-03-17,38.5
2004-03-18,39.88
2004-03-19,40.25
2004-03-22,41.0
2004-03-23,41.67
2004-03-24,41.33
2004-03-25,41.67
2004-03-26,41.67
2004-03-29,42.5
2004-03-30,42.5
2004-03-31,42.5
2004-04-01,42.67
2004-04-02,42.83
2004-04-05,42.4
2004-04-06,41.67
2004-04-07,42.33
2004-04-08,43.0
2004-04-12,41.5
2004-04-13,41.5
2004-04-14,41.7
2004-04-15,41.75
2004-04-16,40.93
2004-04-19,40.9
2004-04-20,40.33
2004-04-22,40.6
2004-04-23,40.9
2004-04-26,41.0
2004-04-27,41.67
2004-04-28,42.2
2004-04-29,41.67
2004-04-30,42.33
2004-05-03,41.75
2004-05-04,41.67
2004-05-05,42.33
2004-05-06,42.63
2004-05-07,42.63
2004-05-10,43.06
2004-05-11,43.67
2004-05-12,44.5
2004-05-13,41.0
2004-05-14,40.63
2004-05-17,39.0
2004-05-18,38.5
2004-05-19,38.63
2004-05-20,38.33
2004-05-21,38.5
2004-05-24,38.0
2004-05-25,38.5
2004-05-26,38.63
2004-05-27,37.5
2004-05-28,36.75
2004-05-31,36.5
2004-06-01,39.83
2004-06-02,40.0
2004-06-03,38.0
2004-06-04,36.33
2004-06-07,36.0
2004-06-08,36.38
2004-06-09,36.4
2004-06-11,36.25
2004-06-14,37.0
2004-06-15,37.17
2004-06-16,36.88
2004-06-17,36.0
2004-06-18,36.33
2004-06-21,36.25
2004-06-22,35.67
2004-06-23,36.0
2004-06-24,36.13
2004-06-25,36.75
2004-06-28,36.0
2004-06-29,36.0
2004-06-30,36.0
2004-07-01,34.5
2004-07-02,33.0
2004-07-05,33.5
2004-07-06,32.5
2004-07-07,32.67
2004-07-08,31.63
2004-07-09,31.63
2004-07-12,31.33
2004-07-13,30.67
2004-07-14,30.0
2004-07-15,30.0
2004-07-16,30.0
2004-07-19,29.67
2004-07-20,29.5
2004-07-21,29.25
2004-07-22,29.0
2004-07-23,29.33
2004-07-26,29.25
2004-07-27,29.67
2004-07-28,30.33
2004-07-29,28.88
2004-07-30,28.38
2004-08-02,27.67
2004-08-03,28.0
2004-08-04,28.17
2004-08-05,28.67
2004-08-06,30.25
2004-08-09,29.5
2004-08-10,29.25
2004-08-11,29.5
2004-08-12,29.33
2004-08-13,29.88
2004-08-16,29.63
2004-08-17,29.17
2004-08-18,29.83
2004-08-19,29.83
2004-08-20,29.67
2004-08-23,30.0
2004-08-24,30.13
2004-08-25,30.33
2004-08-26,29.67
2004-08-27,30.0
2004-08-30,30.0
2004-08-31,30.0
2004-09-01,30.67
2004-09-02,31.0
2004-09-03,30.63
2004-09-06,31.0
2004-09-08,30.5
2004-09-09,29.67
2004-09-10,29.38
2004-09-13,29.5
2004-09-14,29.75
2004-09-15,29.83
2004-09-16,29.7
2004-09-17,29.75
2004-09-20,29.25
2004-09-21,28.63
2004-09-22,28.5
2004-09-23,28.7
2004-09-24,28.2
2004-09-27,28.0
2004-09-28,27.67
2004-09-29,27.75
2004-09-30,27.75
2004-10-01,28.0
2004-10-04,28.33
2004-10-05,27.5
2004-10-06,27.13
2004-10-07,27.17
2004-10-08,27.38
2004-10-11,27.0
2004-10-13,26.5
2004-10-14,26.63
2004-10-15,26.5
2004-10-18,26.88
2004-10-19,26.83
2004-10-20,27.38
2004-10-21,26.67
2004-10-22,27.1
2004-10-25,27.3
2004-10-26,27.2
2004-10-27,26.75
2004-10-28,26.75
2004-10-29,26.38
2004-11-01,26.17
2004-11-03,26.13
2004-11-04,25.83
2004-11-05,25.88
2004-11-08,25.75
2004-11-09,25.33
2004-11-10,25.63
2004-11-11,25.5
2004-11-12,25.83
2004-11-16,25.5
2004-11-17,25.5
2004-11-18,26.3
2004-11-19,26.25
2004-11-22,26.0
2004-11-23,25.9
2004-11-24,26.1
2004-11-25,25.83
2004-11-26,25.5
2004-11-29,25.5
2004-11-30,25.13
2004-12-01,25.0
2004-12-02,25.0
2004-12-03,25.0
2004-12-06,25.25
2004-12-07,25.0
2004-12-08,25.38
2004-12-09,25.5
2004-12-10,25.25
2004-12-13,25.0
2004-12-14,26.0
2004-12-15,25.83
2004-12-16,25.5
2004-12-17,25.5
2004-12-20,25.63
2004-12-21,25.75
2004-12-22,26.0
2004-12-23,26.0
2004-12-27,26.33
2004-12-28,26.33
2004-12-29,26.38
2004-12-30,26.0
2005-01-03,26.0
2005-01-04,26.0
2005-01-05,26.25
2005-01-06,25.5
2005-01-07,26.17
2005-01-10,26.33
2005-01-11,26.33
2005-01-12,26.13
2005-01-13,25.83
2005-01-14,25.83
2005-01-17,26.0
2005-01-18,25.83
2005-01-19,25.5
2005-01-20,25.67
2005-01-21,25.63
2005-01-24,26.0
2005-01-25,26.0
2005-01-26,26.17
2005-01-27,25.75
2005-01-28,24.93
2005-01-31,24.33
2005-02-01,23.25
2005-02-02,24.33
2005-02-03,24.1
2005-02-04,23.0
2005-02-09,23.0
2005-02-10,23.13
2005-02-11,23.0
2005-02-14,23.58
2005-02-15,23.63
2005-02-16,23.25
2005-02-17,23.4
2005-02-18,23.33
2005-02-21,23.5
2005-02-22,23.25
2005-02-23,23.75
2005-02-24,24.0
2005-02-25,24.33
2005-02-28,24.0
2005-03-01,24.0
2005-03-02,24.0
2005-03-03,25.0
2005-03-04,25.83
2005-03-07,25.1
2005-03-08,25.0
2005-03-09,24.67
2005-03-10,26.0
2005-03-11,26.75
2005-03-14,27.88
2005-03-15,28.38
2005-03-16,28.5
2005-03-17,28.5
2005-03-18,28.33
2005-03-21,27.75
2005-03-22,27.0
2005-03-23,26.63
2005-03-24,26.25
2005-03-28,27.0
2005-03-29,27.0
2005-03-30,27.5
2005-03-31,27.5
2005-04-01,26.5
2005-04-04,26.33
2005-04-05,26.28
2005-04-06,26.0
2005-04-07,25.67
2005-04-08,25.9
2005-04-11,25.5
2005-04-12,25.5
2005-04-13,25.5
2005-04-14,25.5
2005-04-15,25.5
2005-04-18,25.67
2005-04-19,26.0
2005-04-20,26.0
2005-04-22,26.0
2005-04-25,26.0
2005-04-26,26.0
2005-04-27,25.88
2005-04-28,25.67
2005-04-29,25.67
2005-05-02,25.43
2005-05-03,24.93
2005-05-04,24.43
2005-05-05,24.5
2005-05-06,24.75
2005-05-09,23.67
2005-05-10,23.93
2005-05-11,23.77
2005-05-12,23.77
2005-05-13,23.63
2005-05-16,23.27
2005-05-17,23.5
2005-05-18,23.27
2005-05-19,23.3
2005-05-20,23.83
2005-05-23,23.5
2005-05-24,23.25
2005-05-25,23.25
2005-05-27,23.5
2005-05-30,23.5
2005-05-31,23.93
2005-06-01,24.25
2005-06-02,23.93
2005-06-03,24.5
2005-06-06,25.0
2005-06-07,24.5
2005-06-08,24.75
2005-06-09,24.5
2005-06-10,24.43
2005-06-13,24.25
2005-06-14,24.4
2005-06-15,24.5
2005-06-16,24.5
2005-06-17,24.25
2005-06-20,24.0
2005-06-21,24.0
2005-06-22,24.33
2005-06-23,24.67
2005-06-24,24.75
2005-06-27,23.83
2005-06-28,22.67
2005-06-29,23.0
2005-06-30,23.17
2005-07-01,22.83
2005-07-04,23.25
2005-07-05,24.5
2005-07-06,24.88
2005-07-07,24.75
2005-07-08,24.18
2005-07-11,23.93
2005-07-12,24.17
2005-07-13,24.83
2005-07-14,24.83
2005-07-15,25.0
2005-07-18,24.75
2005-07-19,24.5
2005-07-20,23.93
2005-07-21,24.05
2005-07-22,24.5
2005-07-25,24.67
2005-07-26,25.28
2005-07-27,25.43
2005-07-28,24.75
2005-07-29,24.67
2005-08-01,24.87
2005-08-02,24.87
2005-08-03,24.5
2005-08-04,24.33
2005-08-05,23.6
2005-08-08,23.58
2005-08-09,23.78
2005-08-10,23.27
2005-08-11,23.0
2005-08-12,23.5
2005-08-15,23.5
2005-08-16,23.5
2005-08-17,23.17
2005-08-18,23.0
2005-08-19,23.0
2005-08-22,23.17
2005-08-23,23.83
2005-08-24,24.27
2005-08-25,23.75
2005-08-26,23.33
2005-08-29,23.33
2005-08-30,23.5
2005-08-31,23.65
2005-09-01,23.43
2005-09-02,23.33
2005-09-05,23.67
2005-09-06,23.5
2005-09-08,23.17
2005-09-09,23.38
2005-09-12,22.63
2005-09-13,22.83
2005-09-14,22.73
2005-09-15,22.17
2005-09-16,21.83
2005-09-19,22.25
2005-09-20,21.93
2005-09-21,21.9
2005-09-22,22.07
2005-09-23,22.25
2005-09-26,22.0
2005-09-27,21.25
2005-09-28,21.38
2005-09-29,21.35
2005-09-30,21.15
2005-10-03,21.17
2005-10-04,21.3
2005-10-05,21.48
2005-10-06,22.0
2005-10-07,21.4
2005-10-10,20.83
2005-10-11,20.67
2005-10-13,21.15
2005-10-14,21.0
2005-10-17,21.0
2005-10-18,21.27
2005-10-19,21.25
2005-10-20,21.18
2005-10-21,20.73
2005-10-24,20.57
2005-10-25,20.9
2005-10-26,20.83
2005-10-27,21.1
2005-10-28,20.7
2005-10-31,20.23
2005-11-01,20.5
2005-11-03,20.25
2005-11-04,20.67
2005-11-07,20.45
2005-11-08,20.05
2005-11-09,19.73
2005-11-10,19.68
2005-11-11,19.5
2005-11-14,19.5
2005-11-16,19.93
2005-11-17,19.93
2005-11-18,20.0
2005-11-21,20.35
2005-11-22,20.75
2005-11-23,21.4
2005-11-24,21.4
2005-11-25,20.83
2005-11-28,20.5
2005-11-29,20.17
2005-11-30,20.35
2005-12-01,20.73
2005-12-02,20.83
2005-12-05,21.0
2005-12-06,21.0
2005-12-07,20.85
2005-12-08,21.15
2005-12-09,21.17
2005-12-12,21.25
2005-12-13,21.95
2005-12-14,22.0
2005-12-15,22.13
2005-12-16,22.17
2005-12-19,22.17
