DATE,BR_SOY_BEGINNING_INVENTORY
2002-01-31,9.23
2002-02-28,86.19
2002-03-31,100.65
2002-04-30,205.87
2002-05-31,516.62
2002-06-30,327.87
2002-07-31,372.23
2002-08-31,358.57
2002-09-30,296.51
2002-10-31,201.01
2002-11-30,18.25
2002-12-31,49.82
2003-01-31,14.58
2003-02-28,67.59
2003-03-31,111.01
2003-04-30,193.75
2003-05-31,519.19
2003-06-30,478.8
2003-07-31,428.93
2003-08-31,324.48
2003-09-30,309.01
2003-10-31,315.7
2003-11-30,152.28
2003-12-31,165.88
2004-01-31,127.33
2004-02-29,44.54
2004-03-31,123.65
2004-04-30,140.51
2004-05-31,87.36
2004-06-30,388.5
2004-07-31,445.73
2004-08-31,46.1
2004-09-30,94.74
2004-10-31,344.53
2004-11-30,192.08
2004-12-31,184.36
2005-01-31,136.51
2005-02-28,25.38
2005-03-31,39.39
2005-04-30,147.06
2005-05-31,66.92
2005-06-30,67.84
2005-07-31,94.15
2005-08-31,65.55
2005-09-30,51.26
2005-10-31,97.15
2005-11-30,49.78
2005-12-31,73.84
2006-01-31,34.38
2006-02-28,47.74
2006-03-31,42.17
2006-04-30,133.11
2006-05-31,139.07
2006-06-30,136.07
2006-07-31,147.26
2006-08-31,125.05
2006-09-30,163.15
2006-10-31,193.39
2006-11-30,104.28
2006-12-31,64.03
2007-01-31,64.84
2007-02-28,76.03
2007-03-31,142.89
2007-04-30,179.32
2007-05-31,212.97
2007-06-30,259.25
2007-07-31,177.61
2007-08-31,185.51
2007-09-30,117.5
2007-10-31,187.22
2007-11-30,186.31
2007-12-31,149.71
2008-01-31,134.26
2008-02-29,113.62
2008-03-31,567.73
2008-04-30,991.52
2008-05-31,324.46
2008-06-30,723.73
2008-07-31,639.76
2008-08-31,465.66
2008-09-30,351.67
2008-10-31,133.3
2008-11-30,115.24
2008-12-31,90.86
2009-01-31,74.73
2009-02-28,241.51
2009-03-31,182.24
2009-04-30,319.21
2009-05-31,227.98
2009-06-30,244.66
2009-07-31,202.3
2009-08-31,79.18
2009-09-30,54.11
2009-10-31,48.21
2009-11-30,36.86
2009-12-31,36.93
2010-01-31,34.79
2010-02-28,134.1
2010-03-31,229.03
2010-04-30,287.45
2010-05-31,436.19
2010-06-30,310.15
2010-07-31,283.78
2010-08-31,239.36
2010-09-30,136.44
2010-10-31,106.47
2010-11-30,89.02
2010-12-31,109.79
2011-01-31,28.7
2011-02-28,18.97
2011-03-31,47.46
2011-04-30,113.24
2011-05-31,149.35
2011-06-30,80.35
2011-07-31,254.55
2011-08-31,105.34
2011-09-30,190.79
2011-10-31,39.18
2011-11-30,52.49
2011-12-31,12.19
2012-01-31,27.37
2012-02-29,76.72
2012-03-31,193.68
2012-04-30,397.89
2012-05-31,311.89
2012-06-30,171.11
2012-07-31,192.71
2012-08-31,42.21
2012-09-30,182.38
2012-10-31,207.1
2012-11-30,46.93
2012-12-31,211.0
2013-01-31,79.0
2013-02-28,122.95
2013-03-31,175.37
2013-04-30,310.86
2013-05-31,196.5
2013-06-30,285.54
2013-07-31,162.36
2013-08-31,108.1
2013-09-30,84.96
2013-10-31,71.74
2013-11-30,131.72
2013-12-31,120.76
2014-01-31,86.76
2014-02-28,242.96
2014-03-31,137.29
2014-04-30,151.57
2014-05-31,130.21
2014-06-30,163.79
2014-07-31,97.9
2014-08-31,117.98
2014-09-30,127.24
2014-10-31,34.75
2014-11-30,104.21
2014-12-31,31.63
2015-01-31,39.81
2015-02-28,91.19
2015-03-31,221.0
2015-04-30,166.84
2015-05-31,192.87
2015-06-30,227.74
2015-07-31,215.73
2015-08-31,70.66
2015-09-30,19.8
2015-10-31,38.78
2015-11-30,184.4
2015-12-31,699.92
2016-01-31,19.68
2016-02-29,218.39
2016-03-31,131.7
2016-04-30,155.12
2016-05-31,164.55
2016-06-30,92.96
2016-07-31,28.3
2016-08-31,9.93
2016-09-30,23.86
2016-10-31,62.28
2016-11-30,43.97
2016-12-31,126.22
2017-01-31,11.87
2017-02-28,126.54
2017-03-31,202.68
2017-04-30,86.51
2017-05-31,104.92
2017-06-30,128.91
2017-07-31,54.75
2017-08-31,36.02
2017-09-30,28.4
2017-10-31,36.15
2017-11-30,120.31
2017-12-31,65.76
2018-01-31,46.1
2018-02-28,108.57
2018-03-31,223.61
2018-04-30,101.65
2018-05-31,229.35
2018-06-30,282.82
2018-07-31,200.8
2018-08-31,191.16
2018-09-30,65.04
2018-10-31,74.4
2018-11-30,35.1
2018-12-31,92.32
2019-01-31,146.69
2019-02-28,350.84
2019-03-31,338.05
2019-04-30,305.28
2019-05-31,211.75
2019-06-30,113.65
2019-07-31,133.8
2019-08-31,58.17
2019-09-30,88.78
2019-10-31,211.69
2019-11-30,151.53
2019-12-31,55.6
2020-01-31,46.68
2020-02-29,310.31
2020-03-31,487.94
2020-04-30,191.92
2020-05-31,439.7
2020-06-30,439.42
2020-07-31,238.77
2020-08-31,131.55
2020-09-30,135.89
2020-10-31,85.27
2020-11-30,83.21
2020-12-31,45.85
2021-01-31,15.71
2021-02-28,44.05
2021-03-31,272.47
2021-04-30,170.74
2021-05-31,340.93
2021-06-30,252.61
2021-07-31,225.94
2021-08-31,109.09
2021-09-30,71.72
2021-10-31,60.03
2021-11-30,22.4
2021-12-31,15.78
2022-01-31,106.87
2022-02-28,390.01
2022-03-31,539.11
2022-04-30,402.9
2022-05-31,381.09
2022-06-30,157.93
