DATE,BR_SOY_CAMPO_NOVO_PRICE
2013-07-04,51.39
2013-07-05,50.0
2013-07-08,50.5
2013-07-09,50.92
2013-07-10,51.46
2013-07-11,51.75
2013-07-12,51.0
2013-07-15,50.5
2013-07-16,50.88
2013-07-17,50.34
2013-07-18,50.0
2013-07-19,50.4
2013-07-22,50.35
2013-07-23,49.79
2013-07-24,49.5
2013-07-26,48.81
2013-07-29,48.0
2013-07-30,49.1
2013-07-31,49.5
2013-08-01,47.5
2013-08-02,47.5
2013-08-05,48.0
2013-08-06,48.25
2013-08-07,47.09
2013-08-08,46.55
2013-08-09,45.5
2013-08-12,46.5
2013-08-13,47.35
2013-08-14,47.85
2013-08-15,49.45
2013-08-16,48.38
2013-08-19,52.28
2013-08-21,54.67
2013-08-22,54.56
2013-08-23,54.69
2013-08-26,56.73
2013-08-27,57.08
2013-08-28,55.84
2013-08-29,57.0
2013-08-30,57.0
2013-09-02,57.0
2013-09-03,57.42
2013-09-04,56.31
2013-09-05,55.71
2013-09-06,55.48
2013-09-09,54.49
2013-09-10,53.25
2013-09-11,52.63
2013-09-13,53.98
2013-09-16,54.24
2013-09-17,53.62
2013-09-18,52.8
2013-09-19,53.65
2013-09-20,53.83
2013-09-23,53.11
2013-09-24,52.96
2013-09-25,52.99
2013-09-26,54.0
2013-09-27,54.17
2013-09-30,53.56
2013-10-01,52.78
2013-10-02,52.76
2013-10-03,51.77
2013-10-04,50.64
2013-10-07,50.02
2013-10-08,53.55
2013-10-09,51.93
2013-10-10,51.65
2013-10-11,52.38
2013-10-14,52.3
2013-10-15,53.5
2013-10-16,53.88
2013-10-17,53.96
2013-10-18,53.91
2013-10-21,53.89
2013-10-22,54.84
2013-10-23,54.78
2013-10-24,56.76
2013-10-25,56.5
2013-10-28,56.0
2013-10-29,54.0
2013-10-30,53.84
2013-10-31,55.11
2013-11-01,55.54
2013-11-04,55.77
2013-11-05,55.53
2013-11-06,55.15
2013-11-07,56.3
2013-11-08,56.77
2013-11-11,56.92
2013-11-12,57.78
2013-11-13,56.64
2013-11-14,58.38
2013-11-18,57.46
2013-11-19,56.44
2013-11-20,55.96
2013-11-21,55.96
2013-11-22,55.47
2013-11-25,55.0
2013-11-26,56.88
2013-11-27,57.56
2013-11-28,57.78
2013-11-29,57.56
2013-12-02,57.89
2013-12-03,57.95
2013-12-04,57.73
2013-12-05,57.66
2013-12-06,57.24
2013-12-09,57.12
2013-12-10,57.06
2013-12-11,57.04
2013-12-12,56.58
2013-12-13,55.84
2013-12-16,55.59
2013-12-17,57.43
2013-12-18,58.22
2013-12-19,56.13
2013-12-20,54.54
2013-12-23,54.12
2013-12-26,57.75
2013-12-27,58.38
2013-12-30,58.69
2014-01-02,58.37
2014-01-03,58.37
2014-01-06,55.41
2014-01-07,52.44
2014-01-08,54.14
2014-01-09,53.57
2014-01-10,53.57
2014-01-13,52.68
2014-01-14,51.02
2014-01-15,50.26
2014-01-16,50.26
2014-01-17,50.26
2014-01-20,50.26
2014-01-21,50.26
2014-01-22,49.95
2014-01-23,49.63
2014-01-24,49.63
2014-01-27,49.1
2014-01-28,49.01
2014-01-29,48.27
2014-01-30,47.93
2014-01-31,47.76
2014-02-03,47.67
2014-02-04,48.67
2014-02-05,51.06
2014-02-06,51.19
2014-02-07,50.37
2014-02-10,50.28
