DATE,BR_SOY_CHAPADAO_DO_SUL_PRICE
2013-07-04,57.5
2013-07-05,55.8
2013-07-08,56.5
2013-07-09,57.94
2013-07-10,56.5
2013-07-11,56.5
2013-07-12,56.5
2013-07-15,57.62
2013-07-16,57.8
2013-07-17,57.8
2013-07-18,56.0
2013-07-19,56.2
2013-07-22,56.25
2013-07-23,56.25
2013-07-24,55.25
2013-07-25,56.1
2013-07-26,56.35
2013-07-29,55.47
2013-08-01,55.74
2013-08-02,54.3
2013-08-05,53.39
2013-08-06,53.0
2013-08-07,52.52
2013-08-08,52.5
2013-08-09,52.3
2013-08-12,52.5
2013-08-13,53.75
2013-08-14,53.75
2013-08-15,55.4
2013-08-16,56.15
2013-08-19,56.95
2013-08-20,58.59
2013-08-21,58.75
2013-08-22,58.25
2013-08-23,58.27
2013-08-26,59.4
2013-08-27,60.88
2013-08-28,60.88
2013-08-29,61.25
2013-08-30,61.36
2013-09-02,61.67
2013-09-03,61.97
2013-09-04,62.64
2013-09-05,61.64
2013-09-06,60.97
2013-09-09,60.97
2013-09-10,60.54
2013-09-11,60.54
2013-09-12,60.84
2013-09-13,60.83
2013-09-16,61.1
2013-09-17,60.04
2013-09-18,60.55
2013-09-19,60.29
2013-09-20,58.95
2013-09-23,58.34
2013-09-24,58.78
2013-09-25,58.93
2013-09-26,58.7
2013-09-27,56.77
2013-09-30,56.77
2013-10-01,56.15
2013-10-02,55.75
2013-10-03,55.39
2013-10-04,60.14
2013-10-07,59.5
2013-10-08,58.95
2013-10-09,58.5
2013-10-10,57.92
2013-10-14,58.22
2013-10-15,57.5
2013-10-16,57.5
2013-10-17,59.0
2013-10-18,60.5
2013-10-21,60.5
2013-10-22,60.84
2013-10-23,58.95
2013-10-24,58.37
2013-10-25,61.42
2013-10-28,61.42
2013-10-29,61.31
2013-10-30,61.0
2013-10-31,61.12
2013-11-01,61.05
2013-11-04,61.05
2013-11-05,62.16
2013-11-06,62.56
2013-11-07,62.6
2013-11-08,61.75
2013-11-11,62.42
2013-11-12,64.17
2013-11-13,64.5
2013-11-14,64.86
2013-11-18,64.86
2013-11-19,63.75
2013-11-20,62.09
2013-11-21,63.84
2013-11-22,63.84
2013-11-25,64.0
2013-11-26,63.8
2013-11-27,64.11
2013-11-28,64.56
2013-11-29,65.17
2013-12-02,65.17
2013-12-03,64.57
2013-12-04,64.4
2013-12-05,63.29
2013-12-06,61.93
2013-12-09,63.55
2013-12-10,64.35
2013-12-11,63.34
2013-12-12,63.11
2013-12-13,61.67
2013-12-16,63.3
2013-12-17,63.74
2013-12-18,63.88
2013-12-19,63.8
2013-12-20,63.45
2013-12-23,63.23
2013-12-26,62.07
2013-12-27,60.44
2013-12-30,59.62
2014-01-02,59.34
2014-01-03,59.34
2014-01-06,59.26
2014-01-07,59.13
2014-01-08,59.07
2014-01-09,59.05
2014-01-10,57.54
2014-01-13,55.27
2014-01-14,54.51
2014-01-15,54.51
2014-01-16,54.51
2014-01-17,54.51
2014-01-20,54.51
2014-01-21,54.51
2014-01-22,54.51
2014-01-23,56.38
2014-01-24,56.69
2014-01-27,56.85
2014-01-28,56.13
2014-01-29,55.93
2014-01-30,55.98
2014-01-31,55.83
2014-02-03,55.78
2014-02-04,57.02
2014-02-05,57.26
2014-02-06,57.01
2014-02-07,57.0
2014-02-10,57.0
2014-02-11,57.75
2014-02-12,57.88
2014-02-13,57.88
2014-02-14,57.94
2014-02-17,57.97
2014-02-18,57.99
2014-02-19,58.0
2014-02-20,58.0
2014-02-21,58.0
2014-02-24,58.0
2014-02-25,59.88
2014-02-26,60.13
2014-02-27,59.69
2014-02-28,59.63
2014-03-05,59.91
2014-03-06,59.89
2014-03-07,59.88
2014-03-10,59.88
2014-03-11,60.69
2014-03-12,60.9
2014-03-13,60.1
2014-03-14,59.05
2014-03-17,58.53
2014-03-18,59.42
2014-03-19,59.42
2014-03-20,59.76
2014-03-21,59.87
2014-03-24,59.91
2014-03-25,59.49
2014-03-26,58.94
2014-03-27,58.67
2014-03-28,58.59
2014-03-31,58.54
2014-04-01,59.63
2014-04-02,59.82
2014-04-03,59.63
2014-04-04,59.63
2014-04-07,59.63
2014-04-08,59.23
2014-04-09,58.8
2014-04-11,58.98
2014-04-14,59.0
2014-04-15,60.53
2014-04-16,60.71
2014-04-17,60.32
2014-04-22,60.77
2014-04-23,60.78
2014-04-24,59.54
2014-04-25,58.58
2014-04-28,58.26
2014-04-29,59.87
2014-04-30,60.04
2014-05-02,57.97
2014-05-05,57.73
2014-05-06,58.67
2014-05-07,58.67
2014-05-08,58.72
2014-05-09,58.67
2014-05-12,58.72
2014-05-13,59.11
2014-05-14,59.19
2014-05-15,59.35
2014-05-16,59.37
2014-05-19,59.37
2014-05-20,59.81
2014-05-21,60.27
2014-05-22,61.01
2014-05-23,61.09
2014-05-26,61.11
2014-05-27,60.59
2014-05-28,60.3
2014-05-29,59.95
2014-05-30,59.75
2014-06-02,59.72
2014-06-03,60.17
2014-06-04,60.27
2014-06-05,59.77
2014-06-06,59.53
2014-06-09,59.5
2014-06-10,59.07
2014-06-11,58.46
2014-06-12,58.02
2014-06-13,57.92
2014-06-16,57.65
2014-06-17,57.41
2014-06-18,58.22
2014-06-20,58.33
2014-06-23,58.36
2014-06-24,58.46
2014-06-25,58.44
2014-06-26,58.68
2014-06-27,58.73
2014-06-30,58.74
2014-07-01,58.48
2014-07-02,58.48
2014-07-03,57.49
2014-07-04,57.16
2014-07-07,57.05
2014-07-08,56.28
2014-07-09,55.89
2014-07-10,54.46
2014-07-11,53.99
2014-07-14,53.83
2014-07-15,53.11
2014-07-16,52.83
2014-07-17,52.67
2014-07-18,52.56
2014-07-21,52.19
2014-07-22,51.9
2014-07-23,52.47
2014-07-24,52.82
2014-07-25,53.44
2014-07-28,53.65
2014-07-29,54.33
2014-08-04,55.37
2014-08-05,54.29
2014-08-06,53.93
2014-08-07,53.98
2014-08-08,53.99
2014-08-11,54.0
2014-08-12,54.5
2014-08-13,54.57
2014-08-14,55.36
2014-08-15,55.93
2014-08-18,55.72
2014-08-19,54.07
2014-08-20,54.42
2014-08-21,54.71
2014-08-22,54.86
2014-08-26,54.5
2014-08-27,54.25
2014-08-28,54.42
2014-08-29,54.47
2014-09-01,54.49
2014-09-02,54.16
2014-09-03,53.89
2014-09-04,52.0
2014-09-05,52.33
2014-09-08,52.44
2014-09-09,52.72
2014-09-10,52.86
2014-09-11,51.95
2014-09-12,51.48
2014-09-15,52.0
