DATE,BR_SOY_CRUSHING_VOLUME
2002-01-31,887.42
2002-02-28,1436.88
2002-03-31,2132.18
2002-04-30,2362.77
2002-05-31,2480.26
2002-06-30,2510.7
2002-07-31,2610.52
2002-08-31,2560.12
2002-09-30,2271.0
2002-10-31,2455.09
2002-11-30,2222.51
2002-12-31,1830.7
2003-01-31,969.39
2003-02-28,1338.08
2003-03-31,2362.05
2003-04-30,2563.19
2003-05-31,2766.8
2003-06-30,2636.04
2003-07-31,2693.19
2003-08-31,2780.79
2003-09-30,2549.86
2003-10-31,2512.12
2003-11-30,2305.06
2003-12-31,1970.55
2004-01-31,1318.23
2004-02-29,1716.3
2004-03-31,2460.96
2004-04-30,2795.55
2004-05-31,2873.35
2004-06-30,2852.1
2004-07-31,2898.71
2004-08-31,2714.72
2004-09-30,2554.82
2004-10-31,2345.93
2004-11-30,2168.47
2004-12-31,2006.87
2005-01-31,1525.87
2005-02-28,1962.94
2005-03-31,2771.01
2005-04-30,2981.57
2005-05-31,3016.65
2005-06-30,2804.63
2005-07-31,2689.52
2005-08-31,2510.55
2005-09-30,2558.42
2005-10-31,2492.69
2005-11-30,2307.14
2005-12-31,2238.53
2006-01-31,1393.98
2006-02-28,1890.38
2006-03-31,2221.38
2006-04-30,2614.06
2006-05-31,2516.41
2006-06-30,2696.33
2006-07-31,2697.11
2006-08-31,2796.29
2006-09-30,2421.76
2006-10-31,2609.22
2006-11-30,2393.91
2006-12-31,2081.21
2007-01-31,1818.36
2007-02-28,2168.62
2007-03-31,2692.59
2007-04-30,2790.57
2007-05-31,2982.42
2007-06-30,2877.29
2007-07-31,2994.8
2007-08-31,2989.1
2007-09-30,2710.96
2007-10-31,2662.1
2007-11-30,2483.4
2007-12-31,2314.48
2008-01-31,1844.58
2008-02-29,2017.85
2008-03-31,2629.52
2008-04-30,2970.74
2008-05-31,3141.08
2008-06-30,3096.18
2008-07-31,3253.99
2008-08-31,2949.33
2008-09-30,2754.11
2008-10-31,2781.75
2008-11-30,2648.99
2008-12-31,2237.1
2009-01-31,1414.36
2009-02-28,2298.75
2009-03-31,2752.92
2009-04-30,3000.02
2009-05-31,3277.17
2009-06-30,3199.17
2009-07-31,2993.46
2009-08-31,2896.17
2009-09-30,2369.15
2009-10-31,2370.28
2009-11-30,2145.68
2009-12-31,1709.14
2010-01-31,1767.26
2010-02-28,2456.16
2010-03-31,3276.34
2010-04-30,3422.77
2010-05-31,3532.63
2010-06-30,3374.34
2010-07-31,3480.15
2010-08-31,3256.22
2010-09-30,2909.7
2010-10-31,3021.95
2010-11-30,2949.24
2010-12-31,2059.34
2011-01-31,1962.16
2011-02-28,2510.47
2011-03-31,3186.09
2011-04-30,3535.52
2011-05-31,3652.89
2011-06-30,3547.71
2011-07-31,3451.17
2011-08-31,3072.87
2011-09-30,3381.21
2011-10-31,3384.69
2011-11-30,2896.03
2011-12-31,2689.36
2012-01-31,1955.99
2012-02-29,3021.38
2012-03-31,3535.53
2012-04-30,3653.46
2012-05-31,3799.12
2012-06-30,3535.58
2012-07-31,3269.68
2012-08-31,3285.28
2012-09-30,3056.62
2012-10-31,2677.76
2012-11-30,2461.93
2012-12-31,2181.58
2013-01-31,1751.0
2013-02-28,2386.51
2013-03-31,3260.79
2013-04-30,3603.97
2013-05-31,3795.87
2013-06-30,3463.79
2013-07-31,3356.13
2013-08-31,3306.57
2013-09-30,2987.28
2013-10-31,3033.12
2013-11-30,2847.65
2013-12-31,2444.77
2014-01-31,1943.9
2014-02-28,2437.27
2014-03-31,3353.36
2014-04-30,3531.89
2014-05-31,3774.63
2014-06-30,3578.31
2014-07-31,3432.91
2014-08-31,3402.43
2014-09-30,3081.22
2014-10-31,2958.52
2014-11-30,3163.44
2014-12-31,2964.03
2015-01-31,2518.2
2015-02-28,2893.98
2015-03-31,3566.91
2015-04-30,3760.63
2015-05-31,3986.91
2015-06-30,3753.17
2015-07-31,3809.69
2015-08-31,3580.91
2015-09-30,3477.89
2015-10-31,3398.01
2015-11-30,3087.43
2015-12-31,2722.73
2016-01-31,2300.25
2016-02-29,3293.38
2016-03-31,3844.21
2016-04-30,4094.18
2016-05-31,3965.85
2016-06-30,3646.01
2016-07-31,3502.95
2016-08-31,3016.15
2016-09-30,2876.53
2016-10-31,3096.11
2016-11-30,2982.24
2016-12-31,2912.72
2017-01-31,2737.01
2017-02-28,3058.22
2017-03-31,3779.73
2017-04-30,3803.13
2017-05-31,3811.93
2017-06-30,3590.92
2017-07-31,3862.73
2017-08-31,3450.19
2017-09-30,3326.39
2017-10-31,3641.03
2017-11-30,3434.5
2017-12-31,3341.67
2018-01-31,3061.05
2018-02-28,3214.01
2018-03-31,4051.04
2018-04-30,4106.61
2018-05-31,3629.05
2018-06-30,4001.24
2018-07-31,4127.78
2018-08-31,3945.32
2018-09-30,3651.51
2018-10-31,3483.12
2018-11-30,3297.19
2018-12-31,2988.43
2019-01-31,2893.99
2019-02-28,3275.53
2019-03-31,3904.65
2019-04-30,4033.06
2019-05-31,3910.51
2019-06-30,3912.16
2019-07-31,3902.71
2019-08-31,3446.11
2019-09-30,3479.99
2019-10-31,3804.2
2019-11-30,3473.34
2019-12-31,3418.18
2020-01-31,2934.47
2020-02-29,3407.74
2020-03-31,4237.59
2020-04-30,4299.03
2020-05-31,4443.5
2020-06-30,4284.5
2020-07-31,4351.98
2020-08-31,4105.66
2020-09-30,3981.92
2020-10-31,4123.38
2020-11-30,3311.92
2020-12-31,3363.77
2021-01-31,2561.64
2021-02-28,3097.46
2021-03-31,4316.99
2021-04-30,4476.66
2021-05-31,4576.95
2021-06-30,4435.82
2021-07-31,4479.1
2021-08-31,4017.91
2021-09-30,3913.52
2021-10-31,4101.0
2021-11-30,3830.19
2021-12-31,3974.15
2022-01-31,3119.26
2022-02-28,3705.17
2022-03-31,4644.73
2022-04-30,4603.53
2022-05-31,4786.43
2022-06-30,4530.72
2022-07-31,4780.59
2022-08-31,4619.49
2022-09-30,4071.74
2022-10-31,4105.84
2022-11-30,4020.48
2022-12-31,3943.82
2023-01-31,3411.06
2023-02-28,3703.97
2023-03-31,5011.11
2023-04-30,4772.02
2023-05-31,5042.75
2023-06-30,4930.13
2023-07-31,5099.11
2023-08-31,4920.9
2023-09-30,4447.34
2023-10-31,4289.0
2023-11-30,4238.31
2023-12-31,4299.4
2024-01-31,3864.08
2024-02-29,4056.84
2024-03-31,4863.18
2024-04-30,4835.43
2024-05-31,4764.02
2024-06-30,4755.31
2024-07-31,4928.69
2024-08-31,4851.7
2024-09-30,4658.74
2024-10-31,4940.28
2024-11-30,4604.64
2024-12-31,4688.56
2025-01-31,3274.87
