DATE,BR_SOY_DOMESTIC_SALES
2002-01-31,572.74
2002-02-28,340.52
2002-03-31,1170.26
2002-04-30,6941.71
2002-05-31,12484.48
2002-06-30,11705.43
2002-07-31,10080.94
2002-08-31,8517.73
2002-09-30,6522.41
2002-10-31,4797.39
2002-11-30,3298.49
2002-12-31,1931.46
2003-01-31,770.48
2003-02-28,294.04
2003-03-31,1621.1
2003-04-30,7832.86
2003-05-31,14349.09
2003-06-30,13397.79
2003-07-31,11154.48
2003-08-31,8447.61
2003-09-30,5971.61
2003-10-31,4305.8
2003-11-30,3030.82
2003-12-31,2185.9
2004-01-31,1429.82
2004-02-29,1124.0
2004-03-31,2390.08
2004-04-30,10062.54
2004-05-31,14857.57
2004-06-30,14038.01
2004-07-31,11712.85
2004-08-31,9098.51
2004-09-30,6451.69
2004-10-31,4426.77
2004-11-30,3218.59
2004-12-31,2215.39
2005-01-31,1315.95
2005-02-28,779.0
2005-03-31,2515.14
2005-04-30,9418.82
2005-05-31,15387.76
2005-06-30,15397.5
2005-07-31,13183.17
2005-08-31,10969.93
2005-09-30,8711.96
2005-10-31,6615.86
2005-11-30,4781.93
2005-12-31,3062.83
2006-01-31,1355.7
2006-02-28,1220.0
2006-03-31,2678.86
2006-04-30,8902.47
2006-05-31,13733.32
2006-06-30,14178.25
2006-07-31,12381.74
2006-08-31,10281.71
2006-09-30,8975.33
2006-10-31,7303.5
2006-11-30,5418.47
2006-12-31,4172.24
2007-01-31,2797.93
2007-02-28,2289.0
2007-03-31,5771.05
2007-04-30,13994.26
2007-05-31,17504.9
2007-06-30,16977.05
2007-07-31,14811.71
2007-08-31,12670.54
2007-09-30,10572.53
2007-10-31,8635.12
2007-11-30,6576.47
2007-12-31,4721.6
2008-01-31,3258.72
2008-02-29,2027.0
2008-03-31,4893.52
2008-04-30,12982.54
2008-05-31,18470.32
2008-06-30,18395.59
2008-07-31,16548.05
2008-08-31,13304.13
2008-09-30,10747.82
2008-10-31,8318.15
2008-11-30,6261.69
2008-12-31,4298.48
2009-01-31,2430.08
2009-02-28,1991.0
2009-03-31,4826.89
2009-04-30,11034.16
2009-05-31,16257.92
2009-06-30,16050.48
2009-07-31,13264.13
2009-08-31,10618.23
2009-09-30,7805.54
2009-10-31,5846.8
2009-11-30,3892.7
2009-12-31,2300.33
2010-01-31,1057.35
2010-02-28,1769.0
2010-03-31,7472.72
2010-04-30,13944.23
2010-05-31,15611.59
2010-06-30,13838.46
2010-07-31,12510.29
2010-08-31,10747.7
2010-09-30,8341.58
2010-10-31,6338.26
2010-11-30,4867.57
2010-12-31,3485.15
2011-01-31,2255.48
2011-02-28,1298.0
2011-03-31,5491.04
2011-04-30,14582.89
2011-05-31,17946.56
2011-06-30,16618.15
2011-07-31,14518.1
2011-08-31,12208.7
2011-09-30,10495.45
2011-10-31,8941.37
2011-11-30,7134.0
2011-12-31,5006.84
2012-01-31,3034.34
2012-02-29,2706.0
2012-03-31,8025.52
2012-04-30,15195.27
2012-05-31,18839.2
2012-06-30,18026.19
2012-07-31,16235.39
2012-08-31,13195.72
2012-09-30,10418.22
2012-10-31,7694.29
2012-11-30,5570.73
2012-12-31,3451.07
2013-01-31,1586.0
2013-02-28,1893.0
2013-03-31,8049.86
2013-04-30,14409.32
2013-05-31,16216.92
2013-06-30,14808.52
2013-07-31,12381.95
2013-08-31,9519.52
2013-09-30,7402.0
2013-10-31,6121.46
2013-11-30,4631.11
2013-12-31,3074.25
2014-01-31,1478.1
2014-02-28,2004.12
2014-03-31,8464.14
2014-04-30,13221.0
2014-05-31,14897.47
2014-06-30,14011.98
2014-07-31,11444.74
2014-08-31,8615.63
2014-09-30,6837.78
2014-10-31,5421.47
2014-11-30,4590.77
2014-12-31,3040.79
2015-01-31,1484.58
2015-02-28,2077.74
2015-03-31,6403.38
2015-04-30,14139.22
2015-05-31,17229.98
2015-06-30,16138.19
2015-07-31,13994.83
2015-08-31,11551.98
2015-09-30,9149.57
2015-10-31,7415.71
2015-11-30,5927.02
2015-12-31,3968.76
2016-01-31,1530.96
2016-02-29,1946.17
2016-03-31,9536.57
2016-04-30,15912.35
2016-05-31,16346.4
2016-06-30,15106.23
2016-07-31,12946.79
2016-08-31,9746.14
2016-09-30,7608.69
2016-10-31,6190.72
2016-11-30,4931.37
2016-12-31,4006.74
2017-01-31,2207.91
2017-02-28,3796.51
2017-03-31,12217.96
2017-04-30,18521.82
2017-05-31,18183.02
2017-06-30,16176.27
2017-07-31,13390.94
2017-08-31,10889.41
2017-09-30,8202.25
2017-10-31,7373.38
2017-11-30,6058.42
2017-12-31,5086.98
2018-01-31,3093.27
2018-02-28,4115.35
2018-03-31,10982.58
2018-04-30,20658.43
2018-05-31,22627.51
2018-06-30,19555.67
2018-07-31,16715.41
2018-08-31,14452.2
2018-09-30,12335.17
2018-10-31,10878.21
2018-11-30,9263.01
2018-12-31,6299.56
2019-01-31,2544.27
2019-02-28,6969.23
2019-03-31,17185.99
2019-04-30,23272.0
2019-05-31,23356.88
2019-06-30,20889.44
2019-07-31,17909.4
2019-08-31,15238.03
2019-09-30,13306.37
2019-10-31,11300.11
2019-11-30,8905.43
2019-12-31,6165.0
2020-01-31,3267.98
2020-02-29,5645.88
2020-03-31,17807.93
2020-04-30,27729.88
2020-05-31,28767.29
2020-06-30,26072.66
2020-07-31,22219.82
2020-08-31,18251.9
2020-09-30,15111.79
2020-10-31,11408.99
2020-11-30,7595.27
2020-12-31,4967.78
2021-01-31,2349.76
2021-02-28,1805.52
2021-03-31,11440.36
2021-04-30,26252.81
2021-05-31,27805.14
2021-06-30,23730.02
2021-07-31,19707.21
2021-08-31,14715.96
2021-09-30,12045.73
2021-10-31,9658.79
2021-11-30,7732.23
2021-12-31,5989.5
2022-01-31,3314.6
2022-02-28,5004.11
2022-03-31,14881.37
2022-04-30,25059.37
2022-05-31,24415.17
2022-06-30,22420.39
2022-07-31,18736.01
2022-08-31,15044.64
2022-09-30,12020.39
2022-10-31,9564.25
2022-11-30,6995.82
2022-12-31,5192.66
2023-01-31,3223.36
2023-02-28,5328.57
2023-03-31,16785.46
2023-04-30,29083.6
2023-05-31,29408.28
2023-06-30,26422.37
2023-07-31,22376.85
2023-08-31,18397.15
2023-09-30,15849.33
2023-10-31,13451.06
2023-11-30,10617.56
2023-12-31,8644.46
2024-01-31,5860.92
2024-02-29,7083.67
2024-03-31,15182.66
2024-04-30,21605.93
2024-05-31,26033.59
2024-06-30,25250.83
2024-07-31,21794.59
2024-08-31,18889.18
2024-09-30,15228.31
2024-10-31,12806.46
2024-11-30,9734.53
2024-12-31,7001.81
2025-01-31,3939.79
