DATE,BR_SOY_ENDING_INVENTORY
2002-01-31,340.88
2002-02-28,1170.05
2002-03-31,6941.51
2002-04-30,12484.48
2002-05-31,11705.43
2002-06-30,10080.94
2002-07-31,8517.73
2002-08-31,6522.41
2002-09-30,4797.39
2002-10-31,3298.49
2002-11-30,1931.46
2002-12-31,770.48
2003-01-31,294.02
2003-02-28,1621.1
2003-03-31,7832.86
2003-04-30,14349.09
2003-05-31,13397.79
2003-06-30,11154.48
2003-07-31,8447.61
2003-08-31,5971.61
2003-09-30,4305.8
2003-10-31,3030.82
2003-11-30,2185.9
2003-12-31,1429.82
2004-01-31,1124.1
2004-02-29,2390.08
2004-03-31,10062.54
2004-04-30,14857.57
2004-05-31,14038.01
2004-06-30,11712.85
2004-07-31,9098.51
2004-08-31,6451.69
2004-09-30,4426.77
2004-10-31,3218.59
2004-11-30,2215.39
2004-12-31,1315.95
2005-01-31,778.97
2005-02-28,2515.14
2005-03-31,9418.82
2005-04-30,15387.76
2005-05-31,15397.5
2005-06-30,13183.17
2005-07-31,10969.93
2005-08-31,8711.96
2005-09-30,6615.86
2005-10-31,4781.97
2005-11-30,3062.83
2005-12-31,1355.7
2006-01-31,1219.74
2006-02-28,2678.86
2006-03-31,8902.47
2006-04-30,13733.32
2006-05-31,14178.25
2006-06-30,12381.74
2006-07-31,10281.71
2006-08-31,8975.33
2006-09-30,7303.5
2006-10-31,5418.47
2006-11-30,4172.24
2006-12-31,2797.93
2007-01-31,2288.92
2007-02-28,5771.05
2007-03-31,13994.26
2007-04-30,17504.9
2007-05-31,16977.05
2007-06-30,14811.71
2007-07-31,12670.54
2007-08-31,10572.53
2007-09-30,8635.12
2007-10-31,6576.47
2007-11-30,4721.6
2007-12-31,3258.72
2008-01-31,2027.06
2008-02-29,4893.52
2008-03-31,12982.54
2008-04-30,18470.32
2008-05-31,18395.59
2008-06-30,16548.05
2008-07-31,13304.13
2008-08-31,10747.82
2008-09-30,8318.15
2008-10-31,6261.69
2008-11-30,4298.48
2008-12-31,2430.08
2009-01-31,1991.34
2009-02-28,4826.89
2009-03-31,11034.16
2009-04-30,16257.92
2009-05-31,16050.48
2009-06-30,13264.13
2009-07-31,10618.23
2009-08-31,7805.54
2009-09-30,5846.8
2009-10-31,3892.7
2009-11-30,2300.33
2009-12-31,1057.35
2010-01-31,1769.25
2010-02-28,7472.72
2010-03-31,13944.23
2010-04-30,15611.59
2010-05-31,13838.46
2010-06-30,12510.29
2010-07-31,10747.7
2010-08-31,8341.58
2010-09-30,6338.26
2010-10-31,4867.57
2010-11-30,3485.15
2010-12-31,2255.48
2011-01-31,1297.88
2011-02-28,5491.04
2011-03-31,14582.89
2011-04-30,17946.56
2011-05-31,16618.15
2011-06-30,14518.1
2011-07-31,12208.7
2011-08-31,10495.45
2011-09-30,8941.37
2011-10-31,7134.0
2011-11-30,5006.84
2011-12-31,3034.34
2012-01-31,2705.56
2012-02-29,8025.52
2012-03-31,15195.27
2012-04-30,18839.2
2012-05-31,18026.19
2012-06-30,16235.39
2012-07-31,13195.72
2012-08-31,10418.22
2012-09-30,7694.29
2012-10-31,5570.73
2012-11-30,3451.57
2012-12-31,1586.23
2013-01-31,1893.0
2013-02-28,8049.86
2013-03-31,14409.32
2013-04-30,16216.92
2013-05-31,14808.52
2013-06-30,12381.95
2013-07-31,9519.52
2013-08-31,7402.0
2013-09-30,6121.46
2013-10-31,4631.11
2013-11-30,3074.25
2013-12-31,1478.1
2014-01-31,2004.12
2014-02-28,8464.14
2014-03-31,13221.0
2014-04-30,14897.47
2014-05-31,14011.98
2014-06-30,11444.74
2014-07-31,8615.63
2014-08-31,6837.78
2014-09-30,5421.47
2014-10-31,4590.77
2014-11-30,3040.79
2014-12-31,1484.58
2015-01-31,2077.74
2015-02-28,6403.38
2015-03-31,14139.22
2015-04-30,17229.98
2015-05-31,16138.19
2015-06-30,13994.83
2015-07-31,11551.98
2015-08-31,9149.57
2015-09-30,7415.71
2015-10-31,5927.02
2015-11-30,3968.76
2015-12-31,1530.96
2016-01-31,1946.17
2016-02-29,9536.57
2016-03-31,15912.35
2016-04-30,16346.4
2016-05-31,15106.23
2016-06-30,12946.79
2016-07-31,9746.14
2016-08-31,7608.69
2016-09-30,6190.72
2016-10-31,4931.37
2016-11-30,4006.74
2016-12-31,2207.91
2017-01-31,3796.51
2017-02-28,12217.96
2017-03-31,18521.82
2017-04-30,18183.02
2017-05-31,16176.27
2017-06-30,13390.94
2017-07-31,10889.41
2017-08-31,8202.25
2017-09-30,7373.38
2017-10-31,6058.42
2017-11-30,5086.98
2017-12-31,3093.27
2018-01-31,4115.35
2018-02-28,10982.58
2018-03-31,20658.43
2018-04-30,22627.51
2018-05-31,19555.67
2018-06-30,16715.41
2018-07-31,14452.2
2018-08-31,12335.17
2018-09-30,10878.21
2018-10-31,9263.01
2018-11-30,6299.56
2018-12-31,2544.27
2019-01-31,6969.23
2019-02-28,17185.99
2019-03-31,23272.0
2019-04-30,23356.88
2019-05-31,20889.44
2019-06-30,17909.4
2019-07-31,15238.03
2019-08-31,13306.37
2019-09-30,11300.11
2019-10-31,8905.43
2019-11-30,6165.0
2019-12-31,3267.98
2020-01-31,5645.88
2020-02-29,17807.93
2020-03-31,27729.88
2020-04-30,28767.29
2020-05-31,26072.66
2020-06-30,22219.82
2020-07-31,18251.9
2020-08-31,15111.79
2020-09-30,11408.99
2020-10-31,7595.27
2020-11-30,4967.78
2020-12-31,2349.76
2021-01-31,1805.52
2021-02-28,11440.36
2021-03-31,26252.81
2021-04-30,27805.14
2021-05-31,23730.02
2021-06-30,19707.21
2021-07-31,14715.96
2021-08-31,12045.73
2021-09-30,9658.79
2021-10-31,7732.23
2021-11-30,5989.5
2021-12-31,3314.6
2022-01-31,5004.11
2022-02-28,14881.37
2022-03-31,25059.37
2022-04-30,24415.17
2022-05-31,22420.39
2022-06-30,18736.01
2022-07-31,15044.64
2022-08-31,12020.39
2022-09-30,9564.25
2022-10-31,6995.82
2022-11-30,5192.66
2022-12-31,3223.36
2023-01-31,5328.57
2023-02-28,16785.46
2023-03-31,29083.6
2023-04-30,29408.28
2023-05-31,26422.37
2023-06-30,22376.85
2023-07-31,18397.15
2023-08-31,15849.33
2023-09-30,13451.06
2023-10-31,10617.56
2023-11-30,8644.46
2023-12-31,5860.98
2024-01-31,7083.67
2024-02-29,15182.66
2024-03-31,21605.93
2024-04-30,26033.59
2024-05-31,25250.83
2024-06-30,21794.59
2024-07-31,18889.18
2024-08-31,15228.31
2024-09-30,12806.46
2024-10-31,9734.53
2024-11-30,7001.81
2024-12-31,3939.79
2025-01-31,5594.37
