DATE,BR_SOY_EXPORTS
2002-01-31,65.86
2002-02-28,166.3
2002-03-31,1302.66
2002-04-30,1242.26
2002-05-31,1353.56
2002-06-30,1337.91
2002-07-31,1278.15
2002-08-31,1514.98
2002-09-30,1172.34
2002-10-31,628.88
2002-11-30,183.0
2002-12-31,91.52
2003-01-31,79.86
2003-02-28,180.43
2003-03-31,1579.7
2003-04-30,2377.15
2003-05-31,2186.3
2003-06-30,1731.76
2003-07-31,1900.72
2003-08-31,1452.47
2003-09-30,531.64
2003-10-31,510.91
2003-11-30,144.08
2003-12-31,137.96
2004-01-31,255.7
2004-02-29,451.26
2004-03-31,1446.78
2004-04-30,2049.76
2004-05-31,1920.18
2004-06-30,1470.1
2004-07-31,1429.85
2004-08-31,1176.1
2004-09-30,550.47
2004-10-31,268.9
2004-11-30,57.26
2004-12-31,166.01
2005-01-31,146.41
2005-02-28,482.83
2005-03-31,1571.05
2005-04-30,1663.38
2005-05-31,1481.2
2005-06-30,1669.4
2005-07-31,1361.26
2005-08-31,1363.6
2005-09-30,1023.05
2005-10-31,799.77
2005-11-30,735.01
2005-12-31,495.83
2006-01-31,183.4
2006-02-28,821.35
2006-03-31,1631.75
2006-04-30,2671.83
2006-05-31,1931.56
2006-06-30,1912.5
2006-07-31,1796.82
2006-08-31,1409.81
2006-09-30,1290.77
2006-10-31,921.27
2006-11-30,483.5
2006-12-31,284.28
2007-01-31,305.36
2007-02-28,682.76
2007-03-31,1817.85
2007-04-30,1889.06
2007-05-31,1676.0
2007-06-30,2270.35
2007-07-31,1519.7
2007-08-31,1383.68
2007-09-30,878.0
2007-10-31,935.32
2007-11-30,668.29
2007-12-31,224.64
2008-01-31,235.6
2008-02-29,375.05
2008-03-31,2326.28
2008-04-30,3390.32
2008-05-31,3165.33
2008-06-30,3281.62
2008-07-31,2853.2
2008-08-31,1334.64
2008-09-30,1287.59
2008-10-31,853.87
2008-11-30,636.36
2008-12-31,642.43
2009-01-31,598.74
2009-02-28,935.41
2009-03-31,3140.3
2009-04-30,4313.55
2009-05-31,4102.97
2009-06-30,4109.85
2009-07-31,2771.95
2009-08-31,2312.23
2009-09-30,997.67
2009-10-31,514.17
2009-11-30,106.76
2009-12-31,51.98
2010-01-31,34.08
2010-02-28,1503.63
2010-03-31,2966.32
2010-04-30,4913.18
2010-05-31,4322.0
2010-06-30,3018.0
2010-07-31,2544.17
2010-08-31,2329.41
2010-09-30,1354.88
2010-10-31,482.78
2010-11-30,244.75
2010-12-31,112.0
2011-01-31,212.82
2011-02-28,627.35
