DATE,BR_SOY_EXPORT_PRICE
2014-03-07,556.25
2014-03-08,545.5
2014-03-10,540.25
2014-03-11,540.75
2014-03-12,529.5
2014-03-13,526.75
2014-03-14,525.75
2014-03-15,506.0
2014-03-17,505.0
2014-03-18,509.0
2014-03-19,515.0
2014-03-20,516.0
2014-03-21,520.0
2014-03-22,516.25
2014-03-24,519.25
2014-03-25,514.25
2014-03-26,515.5
2014-03-27,518.25
2014-03-28,519.0
2014-03-29,518.75
2014-03-31,519.25
2014-04-01,524.25
2014-04-02,526.0
2014-04-03,522.25
2014-04-04,525.25
2014-04-05,526.25
2014-04-07,523.0
2014-04-08,523.75
2014-04-09,523.75
2014-04-10,523.75
2014-04-11,523.75
2014-04-12,523.25
2014-04-14,530.5
2014-04-15,529.75
2014-04-16,533.5
2014-04-17,532.0
2014-04-18,532.0
2014-04-19,532.0
2014-05-12,527.75
2014-05-13,532.0
2014-05-14,530.0
2014-05-15,527.5
2014-05-16,527.25
2014-05-17,525.0
2014-05-19,524.25
2014-05-20,526.25
2014-05-21,522.75
2014-05-22,527.75
2014-05-23,528.75
2014-05-24,532.0
2014-05-26,532.0
2014-05-27,538.5
2014-05-28,534.75
2014-05-29,532.5
2014-05-30,525.75
2014-05-31,525.75
2014-06-02,526.5
2014-06-03,533.5
2014-06-04,533.5
2014-06-05,533.5
2014-06-06,533.5
2014-06-07,533.5
2014-06-09,533.5
2014-06-10,529.25
2014-06-11,530.0
2014-06-12,527.0
2014-06-13,523.25
2014-06-14,523.25
2014-06-16,523.0
2014-06-17,519.75
2014-06-18,521.5
2014-06-19,521.75
2014-06-20,526.0
2014-06-21,524.75
2014-06-23,528.75
2014-06-24,532.25
2014-06-25,535.0
2014-06-26,531.75
2014-06-27,533.75
2014-06-28,533.75
2014-06-30,535.0
2014-07-01,534.0
2014-07-02,534.0
2014-07-03,532.5
2014-07-04,539.75
2014-07-05,532.5
2014-07-07,532.5
2014-07-08,532.5
2014-07-09,525.75
2014-07-10,533.0
2014-07-11,532.25
2014-07-12,526.5
2014-07-14,528.5
2014-07-15,519.75
2014-07-16,519.75
2014-07-17,519.75
2014-07-18,519.75
2014-07-19,515.75
2014-07-21,515.75
2014-07-22,515.75
2014-07-23,515.75
2014-07-24,512.5
2014-07-25,512.5
2014-07-26,512.5
2014-07-28,516.0
2014-07-29,525.25
2014-07-30,525.5
2014-07-31,525.5
2014-08-01,522.5
2014-08-02,522.5
2014-08-04,523.25
2014-08-05,524.25
2014-08-06,524.25
2014-08-07,540.75
2014-08-08,548.25
2014-08-09,557.5
2014-08-11,567.0
2014-08-12,575.0
2014-08-13,559.0
2014-08-14,554.25
2014-08-15,481.25
2014-08-16,482.25
2014-08-18,483.75
2014-08-19,483.5
2014-08-20,488.0
2014-08-21,490.5
2014-08-22,497.25
2014-08-23,509.0
2014-08-25,509.0
2014-08-26,478.25
2014-08-27,470.75
2014-08-28,479.25
2014-08-29,485.75
2014-08-30,495.5
2014-09-01,501.5
2014-09-02,497.5
2014-09-03,497.5
