DATE,BR_SOY_IJUI_PRICE
2004-01-20,42.4
2004-01-21,42.4
2004-01-22,42.83
2004-01-23,42.3
2004-01-26,42.62
2004-01-27,43.0
2004-01-28,42.2
2004-01-29,41.5
2004-01-30,41.7
2004-02-03,40.57
2004-02-04,41.0
2004-02-05,40.47
2004-02-09,41.59
2004-02-10,41.75
2004-02-11,41.5
2004-02-12,41.62
2004-02-13,40.44
2004-02-16,40.64
2004-02-17,40.68
2004-02-18,41.73
2004-02-19,42.26
2004-02-20,43.46
2004-02-25,45.38
2004-02-26,45.6
2004-02-27,45.12
2004-03-01,45.14
2004-03-02,45.13
2004-03-03,44.25
2004-03-04,43.95
2004-03-05,43.85
2004-03-08,43.82
2004-03-09,42.82
2004-03-10,43.9
2004-03-11,43.33
2004-03-12,43.95
2004-03-15,44.45
2004-03-16,45.18
2004-03-17,46.2
2004-03-18,46.96
2004-03-19,49.2
2004-03-22,49.7
2004-03-23,50.93
2004-03-24,51.0
2004-03-25,51.0
2004-03-26,51.5
2004-03-29,50.5
2004-03-30,50.5
2004-03-31,50.5
2004-04-01,49.6
2004-04-02,50.67
2004-04-05,51.43
2004-04-06,50.7
2004-04-07,50.0
2004-04-08,50.5
2004-04-12,50.0
2004-04-13,49.0
2004-04-14,49.13
2004-04-15,50.63
2004-04-16,49.38
2004-04-19,49.0
2004-04-20,49.0
2004-04-22,47.6
2004-04-23,48.1
2004-04-26,48.88
2004-04-27,49.0
2004-04-28,50.49
2004-04-29,49.98
2004-04-30,50.48
2004-05-03,50.25
2004-05-04,50.63
2004-05-05,50.45
2004-05-06,49.9
2004-05-07,49.49
2004-05-10,50.55
2004-05-11,50.17
2004-05-12,50.25
2004-05-13,48.17
2004-05-14,48.5
2004-05-17,44.5
2004-05-18,42.26
2004-05-19,40.7
2004-05-20,41.25
2004-05-21,41.5
2004-05-24,41.0
2004-05-25,40.13
2004-05-26,41.2
2004-05-27,41.0
2004-05-28,37.5
2004-05-31,36.63
2004-06-01,36.7
2004-06-02,38.38
2004-06-03,38.38
2004-06-04,37.0
2004-06-07,38.0
2004-06-08,38.46
2004-06-09,38.5
2004-06-11,38.38
2004-06-14,38.5
2004-06-15,40.38
2004-06-16,40.5
2004-06-17,40.4
2004-06-18,39.75
2004-06-21,39.5
2004-06-22,40.5
2004-06-23,41.33
2004-06-24,42.33
2004-06-25,42.4
2004-06-28,42.4
2004-06-29,40.33
2004-06-30,40.25
2004-07-01,39.67
2004-07-02,40.17
2004-07-05,40.33
2004-07-06,39.86
2004-07-07,40.45
2004-07-08,40.29
2004-07-09,39.17
2004-07-12,38.31
2004-07-13,36.7
2004-07-14,35.5
2004-07-15,35.46
2004-07-16,33.91
2004-07-19,32.17
2004-07-20,32.36
2004-07-21,33.03
2004-07-22,32.64
2004-07-23,31.07
2004-07-26,32.88
2004-07-27,32.5
2004-07-28,32.44
2004-07-29,32.17
2004-07-30,32.08
2004-08-02,31.75
2004-08-03,31.58
2004-08-04,32.06
2004-08-05,32.25
2004-08-06,33.93
2004-08-09,33.3
2004-08-10,33.47
2004-08-11,33.46
2004-08-12,33.7
2004-08-13,35.08
2004-08-16,35.25
2004-08-17,34.33
2004-08-18,35.94
2004-08-19,36.01
2004-08-20,36.08
2004-08-23,35.83
2004-08-24,36.9
2004-08-25,37.14
2004-08-26,36.9
2004-08-27,36.44
2004-08-30,35.44
2004-08-31,36.6
2004-09-01,37.25
2004-09-02,37.88
2004-09-03,36.57
2004-09-06,35.58
2004-09-08,35.13
2004-09-09,35.19
2004-09-10,35.14
2004-09-13,34.07
2004-09-14,34.07
2004-09-15,34.0
2004-09-16,34.37
2004-09-17,33.93
2004-09-21,33.42
2004-09-22,33.26
2004-09-23,32.81
2004-09-24,32.81
2004-09-27,32.19
2004-09-28,32.11
2004-09-29,32.19
2004-09-30,32.12
2004-10-01,31.71
2004-10-04,31.69
2004-10-05,31.1
2004-10-06,31.26
2004-10-07,31.59
2004-10-08,31.85
2004-10-11,31.69
2004-10-13,30.74
2004-10-14,30.72
2004-10-15,31.24
2004-10-18,31.06
2004-10-19,31.15
2004-10-20,31.76
2004-10-21,31.71
2004-10-22,31.72
2004-10-25,31.64
2004-10-26,31.71
2004-10-27,31.72
2004-10-28,31.54
2004-10-29,31.27
2004-11-01,30.96
2004-11-03,30.16
2004-11-04,30.23
2004-11-05,29.31
2004-11-08,29.3
2004-11-09,29.15
2004-11-10,29.15
2004-11-11,30.14
2004-11-12,29.69
2004-11-16,30.12
2004-11-17,30.01
2004-11-18,30.06
2004-11-19,30.06
2004-11-22,30.2
2004-11-23,30.06
2004-11-24,30.17
2004-11-25,29.52
2004-11-26,29.63
2004-11-29,29.18
2004-11-30,28.53
2004-12-01,28.24
2004-12-02,28.19
2004-12-03,28.13
2004-12-06,28.03
2004-12-07,28.18
2004-12-08,28.34
2004-12-09,28.63
